"","ARE","AUS","AUT","BEL","BGD","BMU","CAN","CHE","CIV","CSK","DEU","DNK","EGY","ESP","ETH","FIN","FRA","GBR","GRC","GRL","HKG","IDN","IRL","ISL","ISR","ITA","JOR","JPN","LKA","MAR","MYS","NCL","NLD","NOR","NZL","PAK","PER","PHL","SAU","SGP","SWE","THA","TTO","TUR","USA","YUG","ARG","BRA","GLP","HUN","PRT","CRI","DOM","ECU","NIC","AFG","BDI","BGR","BHR","BHS","BOL","BRB","CHL","CHN","CMR","COL","CUB","CYP","DDR","DZA","FJI","GHA","GTM","GUY","HND","IND","IRN","IRQ","JAM","KEN","KHM","KNA","KOR","KWT","LBN","LBR","LBY","MAC","MEX","MLT","MMR","MOZ","MUS","MWI","NGA","NPL","OMN","PNG","POL","PRK","QAT","ROU","SDN","SEN","SOM","SUN","SYC","SYR","TUN","TZA","UGA","URY","VEN","YMD","ZAF","AGO","ALB","BEN","BLZ","CAF","COD","COG","DJI","GAB","GIB","GIN","GUF","HTI","MRT","NER","PAN","PRY","SLV","SUR","TCD","TGO","VNM","ZMB","ZWE","BFA","FLK","GMB","GNB","KIR","LAO","MDG","MLI","MNG","RWA","SLE","WSM","GNQ","SHN","SPM"
"NPL",176000,171000,125000,115000,45000,0,0,740000,79000,0,11656000,140000,33000,323000,0,116000,1294000,6727000,1000,0,211000,0,3000,0,0,3623000,0,1411000,0,515000,208000,0,182000,109000,109000,941000,0,39000,70000,1952000,194000,37000,0,26000,1649000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OMN",1296000,64910000,10000,77309000,11000,0,1997000,14937000,50360000,0,446408000,4000,2221000,25826000,0,0,134560000,77069000,5000,0,123000,0,24000,0,0,39000,50000,1702409000,3000,15000,12000,0,98022000,10000,36000,6028000,0,7000,4583000,125153000,2083000,24421000,0,0,351609000,44000,0,0,0,0,15000,0,0,0,0,0,53000,0,2968000,0,0,0,0,9000,0,0,0,1091000,0,1000,0,0,0,0,0,2788000,10869000,11140000,0,337000,0,0,4407000,7993000,260000,0,76000,0,0,0,1000,0,0,0,0,0,0,0,0,0,9431000,0,358000,0,117000,0,0,90000,46000,383000,1000,0,0,0,7000,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,5000,0,0,117000,0,0,0,0,0
"PNG",143000,60287000,1329000,7671000,0,0,53000,1143000,0,0,210455000,322000,0,19382000,0,5000,14264000,49056000,114000,0,2643000,295000,412000,0,0,3005000,0,286370000,0,0,858000,103000,11966000,1596000,5439000,498000,3000,10798000,48000,8767000,1788000,8000,0,0,18732000,1000,0,4705000,0,0,86000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122000,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157000,0,0,0,0,0,0,0,0,0,0
"POL",2766000,13803000,188110000,106002000,7041000,72000,35313000,40669000,2219000,215476000,863204000,56158000,47740000,90142000,5796000,194052000,332916000,224258000,55254000,25000,2474000,14828000,47290000,3168000,0,288842000,7034000,38938000,358000,66927000,20129000,80000,142203000,96857000,8435000,15785000,1065000,2286000,20473000,13199000,145147000,8652000,366000,43991000,227128000,272030000,12390000,127357000,107000,53757000,6676000,142000,20000,1538000,44000,0,0,0,0,0,0,0,0,0,1021000,13950000,0,1702000,0,0,134000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000,0,0,0,240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",23000,118000,436000,185000,306000,31000,8000,27000,545000,3051000,42154000,127000,3010000,1272000,81000,4000,3014000,411000,509000,0,14783000,9187000,9000,0,0,1419000,289000,151270000,21000,0,1316000,16000,91000,155000,16000,799000,2000,43000,23121000,10372000,498000,6390000,2784000,5404000,0,8208000,0,0,95000,0,8000,0,3000,0,119000,0,0,0,0,0,0,0,0,0,169000,485000,0,0,0,0,1194000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QAT",32684000,39650000,0,47515000,9715000,0,30000,240000,0,0,115085000,15000,4070000,206430000,0,65567000,596905000,59457000,7000,0,3265000,0,54000,0,0,359949000,92000,1783775000,0,73000,96318000,0,115834000,56000,122000,4942000,12000,56400000,73902000,10550000,1857000,183433000,0,0,110276000,28000,0,338575000,0,0,160358000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",7612000,18582000,76067000,25602000,11986000,0,24708000,18838000,1335000,155893000,555561000,18635000,197749000,112946000,2004000,20616000,386277000,87115000,52347000,0,983000,31373000,4457000,158000,44267000,535860000,55053000,34108000,911000,13780000,5314000,267000,98428000,11188000,948000,15673000,5150000,5738000,93618000,2714000,37433000,13127000,222000,103584000,368216000,120261000,9994000,43963000,281000,0,6294000,25000,3000,0,18000,0,0,0,0,0,0,0,0,0,1975000,13576000,0,8133000,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37000,0,0,0,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SDN",279000,355000,339000,6514000,4000,0,674000,512000,0,0,33272000,2665000,43119000,2313000,299000,4271000,40138000,17300000,7386000,0,7900000,688000,110000,124000,0,46496000,5102000,45700000,509000,1000,961000,7000,9528000,470000,21000,172000,0,76000,210482000,1179000,2144000,7782000,0,26000,17237000,16497000,0,0,0,0,9081000,7000,3000,41000,0,0,0,0,0,0,0,0,0,0,0,0,0,3700000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEN",1808000,0,187000,12153000,0,0,39000,1074000,40371000,0,22362000,1603000,361000,17757000,2000,10000,181934000,24838000,9336000,0,365000,0,4626000,0,0,18183000,0,14170000,0,2721000,0,1340000,8029000,12000,0,0,9000,0,137000,0,161000,0,0,1755000,1146000,5408000,0,0,148000,0,3816000,0,0,0,0,0,0,0,0,0,0,0,0,0,3264000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOM",2129000,1000,12000,27000,58000,0,297000,6000,0,0,21000,0,120000,130000,0,0,630000,1545000,754000,0,114000,0,14000,0,0,21311000,16000,0,0,0,0,0,17000,0,0,0,0,0,103924000,0,0,0,0,0,964000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUN",2760000,12547000,988156000,1470427000,25253000,48000,14030000,831016000,6037000,1040249000,2801224000,319377000,175668000,491703000,213619000,3289681000,2846883000,1097026000,222056000,0,42976000,39187000,53843000,85962000,48000,3492105000,58058000,1314180000,3797000,222418000,27419000,339000,2554433000,223066000,9490000,27287000,3086000,13210000,26187000,82086000,794491000,13025000,636000,106339000,245782000,2893964000,28382000,213308000,1142000,3359000,87991000,627000,4000,6053000,38792000,0,0,0,0,0,0,0,0,0,5544000,7353000,0,23904000,0,0,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414000,0,0,0,406000,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYC",2000,6000,5000,35000,0,0,6812000,0,0,0,105000,5000,0,3000,0,1000,127000,1545000,64000,0,9000,0,7000,0,0,247000,0,964000,12000,0,0,0,5000,0,2000,1083000,0,0,0,258000,0,0,0,0,1e+05,0,0,120000,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0
"SYR",5037000,0,33927000,52775000,0,0,176000,342000,7000,0,101077000,1048000,283000,10604000,0,217000,233583000,44876000,51506000,0,0,0,3000,10000,0,378591000,33334000,1552000,22000,29000,4000,0,7181000,112000,0,2307000,0,0,88542000,24049000,2535000,1000,0,14223000,13512000,37583000,145000,0,0,0,0,0,0,558000,0,0,0,0,0,0,0,0,0,0,0,0,0,38197000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUN",2122000,64000,4648000,79738000,0,0,319000,21829000,687000,0,237476000,4350000,93000,35676000,0,617000,387257000,22090000,46239000,0,2000,29054000,6959000,537000,0,429510000,2575000,951000,0,3492000,1000,164000,48040000,1087000,12000,10000,0,0,3785000,108000,7548000,1000,0,17666000,61104000,14252000,0,0,177000,0,10530000,0,0,0,0,0,0,0,0,0,0,0,0,0,882000,0,0,220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TZA",928000,4143000,1095000,7196000,116000,0,2178000,2616000,1442000,0,78105000,6676000,612000,2908000,468000,10260000,22813000,32906000,1127000,0,13893000,21483000,2395000,1000,532000,28050000,1294000,18022000,0,55000,4759000,0,25868000,213000,1319000,2955000,0,0,2751000,19186000,6518000,255000,49000,65000,30832000,7411000,2000,1000,5000,0,8354000,0,0,0,0,0,0,0,0,0,0,0,0,0,44000,0,0,187000,0,0,285000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375000,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGA",596000,7625000,1375000,2235000,0,0,716000,324000,0,0,26852000,1156000,148000,22234000,0,751000,33218000,40287000,876000,0,1361000,64000,134000,0,0,17795000,0,24415000,0,0,0,55000,9771000,972000,437000,0,0,0,166000,7607000,17000,0,0,0,166541000,1871000,0,0,83000,0,1509000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URY",79000,651000,15819000,11529000,0,5000,8686000,13624000,1120000,6390000,95578000,2188000,32589000,15961000,0,5152000,39801000,40429000,8145000,0,6582000,104000,119000,42000,15559000,55840000,7355000,21059000,167000,265000,236000,15000,22403000,659000,21000,0,19726000,288000,15041000,371000,2357000,0,30000,3072000,263680000,10567000,89856000,155964000,90000,6708000,18967000,22000,58000,578000,49000,0,0,130000,0,222000,985000,208000,21752000,9046000,168000,2627000,0,645000,7350000,92000,2000,0,22000,0,4000,375000,55012000,175000,0,0,0,2000,1013000,8364000,3591000,0,0,0,3627000,405000,0,0,0,0,16169000,0,1128000,0,1824000,40000,0,0,0,0,0,78632000,0,0,636000,0,0,0,2144000,0,8116000,0,0,0,0,0,0,7000,0,263000,0,0,0,0,0,0,78000,10890000,166000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VEN",2000,768000,232000,179571000,0,590000,1468119000,3677000,65741000,165000,488324000,43900000,9626000,370272000,0,4618000,330925000,248132000,73000,0,1617000,1212000,26000,0,929000,943390000,1206000,723346000,0,681000,2850000,0,150674000,1197000,0,2000,18772000,1000,3295000,27160000,266364000,2670000,13276000,8038000,4944155000,2087000,20532000,1048121000,73660000,0,105753000,107370000,221038000,14209000,40455000,0,0,0,0,0,0,0,0,0,0,354424000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,157746000,0,129344000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YMD",60000,0,67000,10046000,0,0,108000,7501000,1000,0,22143000,1000,350000,0,177000,0,196011000,46610000,0,0,0,2000,0,0,0,23054000,0,18443000,1500000,0,1000,0,8895000,32000,0,55000,0,0,3138000,18039000,2000,0,18000,552000,471000,7000,0,0,0,0,5899000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",29019000,83843000,64566000,388657000,0,125000,167011000,76582000,656000,0,1014681000,17026000,3000,167695000,383000,32753000,739078000,1332869000,26725000,0,135451000,2911000,20562000,1294000,166255000,496066000,97000,1823211000,25253000,6534000,720000,2841000,146026000,46046000,14956000,132000,18344000,1747000,55182000,0,57815000,10774000,9000,29207000,2120687000,15943000,30992000,85491000,82000,0,49015000,73000,2518000,15557000,1822000,0,0,0,0,0,0,0,0,0,9000,10163000,0,122000,0,0,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5303000,0,0,0,0,0,0,0,0,0,9841000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,286000,0,111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",0,0,1821000,142918000,0,0,0,6960000,0,0,955000,11000,0,175175000,0,141000,13311000,12896000,15000,0,0,0,0,0,0,874000,762000,1511000,0,0,111000,0,170214000,0,0,0,41000,0,0,0,142000,0,1000,0,723804000,4348000,0,104721000,19000,0,23087000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,5000,10416000,2559000,2000,0,128000,2443000,0,31080000,16826000,66000,1308000,11721000,7000,7000,15412000,76000,13970000,0,0,0,3000,0,0,42390000,16000,3817000,0,0,0,4000,6183000,1664000,3000,22000,15000,0,421000,0,3759000,0,0,2168000,3085000,78644000,14000,0,2000,0,2000,0,1000,3000,174000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,15000,3279000,0,0,17000,4000,105000,0,3989000,1079000,0,65000,0,0,5074000,1634000,0,0,11000,0,461000,0,0,456000,15000,3125000,0,0,0,0,6516000,0,0,0,0,0,0,0,26000,0,6000,0,1387000,827000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,264000,93000,434000,0,0,4735000,187000,0,0,1319000,256000,0,674000,0,3000,2419000,23321000,10000,0,19000,0,7000,0,0,1186000,0,102000,0,0,10000,0,1000,317000,0,0,0,0,0,0,30000,0,8714000,0,39967000,0,0,0,0,0,0,11000,1176000,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,1000,550000,33866000,83000,0,0,836000,314000,0,7900000,254000,0,4018000,0,1000,28247000,1536000,303000,0,131000,394000,0,0,10000,3807000,0,6965000,0,249000,0,0,141000,0,39000,0,1000,0,81000,0,20000,0,0,0,3978000,4024000,0,0,353000,0,2101000,0,0,0,0,0,0,0,0,0,0,0,0,0,428000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,463000,2742000,556926000,1000,4000,12005000,7730000,1543000,0,96757000,2324000,1471000,9932000,2000,8208000,109648000,25770000,6430000,0,0,0,2526000,0,0,82115000,0,60239000,0,1357000,10184000,0,20167000,34000,36000,2064000,0,0,87000,0,610000,1093000,0,3000,419102000,13428000,0,14718000,42000,0,5961000,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,181000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,11000,58000,69264000,0,0,0,2007000,226000,0,108309000,1704000,190000,109841000,0,21000,97404000,4178000,1664000,0,0,0,71000,0,2000,146461000,0,11429000,3000,461000,0,0,5522000,73000,0,0,0,14000,168000,0,495000,24000,0,0,682888000,44000,676000,81000,0,0,18116000,0,0,0,0,0,0,0,0,0,0,0,0,0,2346000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,1000,0,0,2000,0,670000,0,0,44000,352000,0,17000,1442000,0,315000,93000,1000,0,78000,0,2000,0,0,507000,0,1000,13000,0,16000,0,0,0,0,102000,0,0,1626000,0,0,0,0,0,121000,0,5e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3748000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,25030000,104493000,0,2000,6091000,1283000,746000,0,86790000,185000,2000,51244000,0,13000,480812000,48362000,11785000,0,13000,0,0,37000,9998000,27978000,31000,10786000,0,10952000,0,0,50117000,15996000,0,177000,5000,0,24000,0,3561000,0,0,146000,635247000,2674000,0,226030000,908000,0,7505000,0,0,0,0,0,0,0,0,0,0,0,0,0,7974000,0,0,121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,115000,2000,255000,0,113000,1000,31000,26000,0,29000,22000,959000,102000,11000,0,72000,7369000,18000,0,9000,0,6000,0,0,1561000,1e+05,57000,0,0,38000,1000,478000,0,0,9000,0,0,45000,0,16000,0,90000,102000,566000,0,0,0,0,0,0,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,6000,2321000,6226000,0,0,19256000,946000,3000,0,53150000,363000,61000,57728000,0,145000,50707000,3423000,45000,0,0,0,5067000,11817000,0,13720000,315000,109000,0,0,0,4000,2390000,15000,0,255000,5000,0,274000,0,23000,0,0,0,165409000,15240000,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,18316000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUF",0,0,4000,47000,0,24000,0,4000,0,0,144000,4000,0,10000,0,0,4186000,62000,0,0,0,0,0,0,0,1181000,0,8670000,0,0,0,0,224000,33000,0,2000,0,0,110000,0,0,0,0,0,29404000,0,0,1000,2963000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69000,0,0,4000,0,0,102000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,499000,153000,9905000,0,0,6957000,2210000,6000,0,11974000,887000,0,1084000,0,1197000,19996000,4578000,736000,0,104000,0,613000,1000,2000,12469000,1000,3046000,0,191000,0,2000,1647000,41000,10000,0,0,34000,0,0,112000,0,571000,23000,323993000,0,3000,8000,702000,0,2000,1000,2428000,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,103000,0,263000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRT",0,0,0,33580000,0,0,35000,0,17181000,0,13967000,119000,0,19318000,0,0,59470000,9560000,4009000,0,0,0,44000,4000,0,72020000,0,56920000,0,0,0,1000,734000,0,0,14000,0,0,6000,0,15000,0,0,0,373000,2941000,0,0,0,0,2735000,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NER",0,0,0,5000,0,0,0,0,313000,0,27000,9000,0,323000,1000,0,247571000,1005000,188000,0,0,0,0,0,0,1185000,0,1143000,0,0,0,0,34000,0,0,0,0,0,11000,0,0,0,0,0,747000,0,0,0,0,0,161000,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
