"","AUS","AUT","BEL","BGR","CAN","CHE","CHN","COD","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","HKG","HUN","IND","IRL","IRN","IRQ","ISR","ITA","JOR","JPN","LBN","MEX","MYS","NLD","NOR","NZL","PAK","POL","PRY","SAU","SEN","SGP","SUN","SWE","SYR","THA","USA","VEN","YUG","ARG","BRA","CAF","CIV","COG","COL","GRC","MAR","MDG","NGA","PAN","PHL","PRT","BFA","GHA","LBY","AGO","ALB","BDI","BEN","BOL","CHL","CMR","CRI","CUB","CYP","DOM","DZA","ECU","GAB","GLP","GNQ","GTM","HND","HTI","IDN","ISL","JAM","KEN","KIR","KOR","KWT","LAO","LBR","LKA","MLT","MMR","MRT","NCL","NIC","OMN","PER","ROU","RWA","SDN","SLV","SOM","TCD","TGO","TTO","TUN","TUR","TZA","UGA","URY","VNM","ZAF","ZMB","ZWE","AFG","BHR","BHS","BMU","BRB","DDR","DJI","ETH","FJI","GIN","GMB","GNB","GUF","GUY","KHM","MNG","MOZ","MUS","MWI","NER","NPL","PNG","PRK","QAT","SLE","SUR","WSM","YMD","MLI","SPM","GIB","BLZ","SYC","KNA","MAC","GRL"
"DNK",7097000,25928000,29111000,2282000,18544000,53132000,2077000,957000,10997000,392201000,0,4197000,34241000,47791000,59700000,545835000,3648000,6734000,4613000,10586000,7788000,2849000,7886000,86824000,1108000,14562000,5100000,5199000,5232000,50670000,120607000,3269000,4747000,17916000,117000,2780000,374000,6421000,30773000,273774000,1883000,9741000,151308000,13723000,6083000,2342000,15088000,121000,278000,68000,2868000,10510000,1300000,233000,4033000,1113000,1837000,8927000,20000,2246000,2447000,1119000,34000,149000,113000,907000,6938000,259000,491000,605000,2145000,566000,1723000,489000,51000,1246000,169000,1249000,548000,393000,982000,12383000,782000,1651000,126000,297000,3614000,106000,21866000,1351000,3069000,930000,32000,429000,511000,408000,3167000,2416000,55000,1517000,1447000,260000,123000,133000,1553000,1046000,5283000,758000,429000,520000,743000,12237000,322000,666000,122000,1710000,0,3137000,0,24563000,210000,1688000,0,75000,30000,0,50000,553000,218000,0,805000,519000,22000,19000,58000,0,1000,0,620000,460000,9000,2934000,112000,0,0,0,0,0,0,0
"EGY",224000,2779000,5639000,6104000,205000,5551000,45128000,31000,62166000,59611000,3103000,0,6428000,2599000,17814000,20017000,43000,8796000,35843000,262000,1000,3187000,0,37532000,3580000,27980000,7442000,7000,519000,7921000,1253000,374000,1373000,16119000,0,3565000,205000,796000,130346000,2587000,1846000,3123000,16191000,1000,24187000,0,2000,0,138000,91000,0,10858000,214000,127000,809000,0,124000,1128000,2000,959000,1613000,0,258000,0,6000,0,233000,211000,0,9217000,283000,22000,1187000,0,0,0,0,0,0,147000,116000,13000,12000,38000,0,6000,1725000,0,1000,3704000,90000,0,1000,0,1000,20000,0,18588000,0,8083000,0,213000,101000,41000,0,1242000,558000,31000,1000,1000,370000,2000,12000,1000,256000,204000,0,0,0,23075000,98000,64000,0,1839000,0,4000,0,0,0,0,0,3000,1000,161000,0,0,427000,292000,22000,0,0,1579000,2695000,0,0,0,0,0,0,0
"ESP",8334000,6860000,32553000,3005000,12276000,32621000,0,6132000,3726000,210777000,16881000,14671000,0,9368000,142329000,207002000,1167000,2388000,514000,8033000,541000,479000,798000,37195000,220000,20461000,3102000,10844000,527000,39426000,18227000,713000,1040000,7408000,464000,290000,1130000,784000,2035000,29147000,1064000,467000,133673000,12082000,3986000,12903000,6570000,148000,528000,242000,11126000,2947000,6174000,102000,4868000,541000,1820000,25081000,122000,3396000,1730000,711000,0,242000,113000,468000,7449000,570000,695000,38221000,287000,2387000,4062000,818000,261000,16000,0,1396000,225000,27000,161000,936000,88000,422000,1000,15000,350000,11000,5989000,193000,349000,1365000,1433000,21000,653000,0,2070000,3901000,0,206000,6e+05,5000,402000,385000,197000,618000,1368000,114000,31000,1022000,215000,4015000,183000,186000,2000,36000,0,132000,0,2125000,25000,134000,0,339000,71000,0,0,24000,4000,0,278000,0,3000,139000,0,0,0,0,454000,0,0,66000,1000,0,0,0,0,0,0,0
"FIN",17693000,4123000,50242000,1940000,2556000,8862000,8049000,133000,8099000,189346000,70912000,7118000,18112000,0,70747000,325504000,861000,7623000,3972000,15232000,4034000,830000,9173000,51267000,381000,2563000,2071000,3065000,8e+05,90748000,16323000,1733000,579000,33396000,39000,494000,242000,874000,226597000,97528000,1049000,1101000,83757000,2071000,1237000,18041000,6561000,0,18000,5000,10078000,13725000,1941000,41000,3208000,178000,156000,2809000,0,599000,310000,44000,0,28000,13000,73000,985000,9000,212000,2000,890000,62000,937000,228000,7000,1000,29000,266000,141000,128000,640000,3149000,216000,641000,0,12000,175000,98000,312000,423000,254000,1445000,9000,55000,25000,27000,3425000,3251000,13000,209000,248000,22000,0,57000,225000,1051000,4870000,163000,44000,645000,1950000,10099000,206000,490000,212000,64000,0,41000,0,12129000,8000,116000,0,21000,7000,0,0,33000,73000,0,365000,0,44000,23000,68000,0,0,0,51000,20000,1000,63000,0,0,0,0,0,0,0,0
"FRA",88158000,82504000,994256000,23652000,88157000,531474000,60078000,14507000,35431000,1994836000,104881000,48432000,326605000,69659000,0,534079000,12748000,20732000,38575000,29857000,48889000,6805000,35415000,718010000,5042000,62491000,42660000,48477000,12579000,414367000,96429000,7815000,17382000,35617000,959000,10710000,87249000,12779000,72013000,181230000,18081000,7897000,615359000,46216000,46428000,46812000,33268000,16555000,147312000,39633000,6762000,96157000,171383000,86331000,33867000,1891000,11390000,69480000,18678000,11525000,16755000,7907000,574000,1435000,17784000,1685000,15339000,78346000,7114000,13447000,9065000,1850000,511526000,2884000,36044000,110197000,482000,3442000,816000,1591000,22567000,1713000,4206000,9188000,1552000,2500000,9121000,1840000,29370000,8618000,5624000,4083000,9978000,72168000,742000,1623000,14245000,43802000,0,4538000,2539000,557000,14477000,14059000,2030000,95637000,21365000,2896000,2061000,4004000,11995000,87989000,1959000,3835000,784000,1370000,0,0,0,69024000,7264000,5210000,0,12830000,510000,527000,11865000,1057000,20656000,0,4624000,3759000,351000,20008000,377000,0,4370000,1435000,5081000,762000,10000,2618000,9641000,1403000,0,0,0,0,0,0
"GBR",870129000,114897000,485712000,10693000,572427000,266806000,69646000,12684000,35964000,771211000,374027000,47518000,275327000,221464000,521986000,0,168276000,21170000,327268000,525794000,111103000,60342000,164214000,340196000,18523000,162629000,41249000,53566000,216113000,454729000,266383000,371498000,154562000,68289000,3633000,35172000,2160000,135184000,127283000,642363000,17067000,65703000,1405260000,85028000,61560000,71363000,30442000,1150000,4739000,1750000,22860000,103521000,11720000,1631000,238150000,6767000,35952000,119903000,470000,115860000,47535000,19001000,278000,1194000,1182000,7086000,38615000,2319000,8289000,41302000,43399000,3694000,19140000,9435000,1890000,1659000,2777000,10471000,3720000,1507000,26101000,19048000,65421000,95959000,3495000,1183000,52976000,2840000,11274000,55330000,45639000,21823000,601000,2632000,5857000,17848000,37860000,26762000,620000,48575000,8101000,2616000,665000,2632000,70013000,10289000,55340000,30773000,21111000,13219000,5247000,738176000,45277000,88102000,5763000,24370000,14828000,13295000,16451000,22576000,3468000,11975000,12842000,3368000,6107000,823000,328000,29728000,5302000,123000,21430000,17380000,9858000,1124000,457000,5732000,108000,10204000,28797000,5080000,710000,38877000,661000,226000,0,0,0,0,0,0
"HKG",28694000,3730000,11414000,24000,28782000,6784000,3097000,1208000,0,83195000,8066000,24000,5176000,2181000,4281000,196573000,0,0,772000,2973000,2467000,327000,429000,13186000,848000,35251000,1604000,1030000,45743000,12316000,6201000,14660000,2944000,4000,144000,4991000,539000,35595000,32000,18754000,210000,19320000,343487000,5114000,22000,259000,129000,277000,1590000,134000,1e+05,1160000,76000,778000,10056000,2356000,9505000,442000,176000,4446000,2244000,287000,0,355000,333000,449000,327000,422000,379000,1000,794000,3e+05,1016000,534000,98000,0,90000,874000,413000,279000,10598000,252000,1855000,2817000,393000,7540000,3245000,1244000,1585000,1766000,1580000,942000,3000,0,474000,835000,1774000,0,0,1761000,548000,114000,152000,245000,2150000,53000,183000,1738000,785000,22000,2583000,12381000,1143000,1252000,545000,1536000,218000,135000,395000,37000,170000,1424000,1381000,11000,580000,21000,0,1007000,1945000,0,711000,1306000,851000,528000,25000,3441000,102000,351000,1661000,0,256000,4572000,20000,0,0,0,0,0,0,0
"HUN",1597000,31299000,7842000,0,1439000,20055000,0,543000,0,71890000,6744000,12640000,2374000,5070000,15896000,19030000,182000,0,14422000,298000,6266000,0,4582000,51694000,768000,430000,0,120000,265000,12433000,3681000,90000,1418000,0,58000,0,22000,404000,0,12591000,0,198000,2093000,504000,30782000,1029000,1980000,0,266000,8000,413000,9612000,759000,457000,2291000,107000,0,303000,6000,7123000,1939000,0,0,15000,3000,377000,65000,466000,160000,0,0,0,0,140000,189000,0,0,0,510000,0,0,315000,0,0,0,0,0,0,0,269000,0,938000,0,0,1000,0,1000,0,0,1267000,104000,0,74000,95000,0,479000,9174000,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,0,0,0,0,0,0,2000,0,242000,0,0,0,0,0,0,0
"IND",44909000,2480000,25214000,5794000,40168000,11458000,1000,229000,33136000,91098000,8060000,54647000,3108000,1298000,30085000,359537000,9464000,14371000,0,10186000,14999000,8e+06,145000,20375000,2198000,183817000,1736000,674000,18533000,14816000,4446000,13951000,20598000,18170000,382000,7201000,169000,18774000,182821000,5042000,2471000,5271000,348101000,351000,26178000,14833000,341000,46000,292000,55000,114000,2708000,738000,337000,11079000,4e+05,1469000,530000,2000,3307000,1492000,8000,1000,326000,346000,355000,2414000,280000,488000,4112000,1087000,1245000,909000,404000,0,4000,0,57000,763000,197000,2634000,227000,418000,10427000,517000,483000,9728000,78000,178000,27819000,486000,12422000,5000,17000,705000,1063000,3906000,8711000,44000,18633000,1e+05,588000,178000,1e+05,742000,2324000,591000,8471000,2035000,1752000,8018000,18000,1740000,4518000,6098000,3827000,62000,12000,137000,30115000,0,2750000,1766000,17000,640000,0,0,708000,3469000,0,2420000,2052000,568000,1e+05,31823000,450000,2000,6122000,956000,99000,107000,12216000,8000,3000,0,0,0,0,0,0
"IRL",952000,468000,7854000,0,6343000,4011000,9000,15000,574000,38099000,1102000,140000,6602000,453000,18764000,476935000,5000,109000,80000,0,2000,64000,301000,5657000,47000,1531000,385000,129000,243000,15794000,1242000,253000,22000,1062000,5000,41000,5000,204000,2100000,3143000,76000,1075000,57699000,544000,16000,494000,115000,0,21000,0,30000,1369000,24000,3000,846000,4000,16000,823000,2000,69000,211000,6000,0,1000,0,6000,27000,14000,24000,35000,570000,4000,0,36000,1000,0,0,309000,99000,15000,1000,80000,620000,108000,2000,7000,625000,0,3000,217000,486000,157000,1000,0,2000,17000,115000,0,0,39000,7000,0,0,1000,1759000,12000,179000,27000,25000,66000,433000,441000,77000,35000,2000,54000,61000,502000,240000,562000,0,110000,9000,55000,33000,0,0,101000,3000,0,0,76000,1000,0,0,0,0,6000,34000,15000,10000,15000,0,0,0,0,0,0,0,0
"IRN",34528000,3883000,101190000,201000,29383000,9187000,0,1842000,7177000,159219000,15218000,1731000,4108000,10609000,125794000,114838000,7991000,3692000,63066000,21911000,0,2870000,1184000,61253000,544000,246957000,4648000,1000,3633000,78734000,997000,18584000,5106000,5550000,0,173000,5000,33549000,17353000,10153000,261000,15491000,88207000,384000,1773000,10586000,0,8000,66000,46000,101000,17086000,4000,3446000,396000,413000,10722000,3033000,22000,0,55000,147000,0,932000,0,3000,0,64000,9000,0,5000,0,80000,50000,56000,0,0,2000,28000,0,0,15000,0,12048000,0,561000,13236000,409000,3256000,4294000,0,1107000,3000,0,0,14449000,86000,367000,0,124000,0,47000,32000,0,0,3830000,504000,572000,0,0,1606000,48974000,6961000,0,523000,0,0,0,0,4525000,13281000,2224000,0,197000,0,0,0,0,0,0,7445000,1166000,0,1000,21000,0,0,396000,0,0,3000,56277000,0,0,0,0,0,0,0,0
"IRQ",14683000,45000,18230000,0,4888000,8000,0,0,0,81757000,975000,6337000,31793000,69000,184761000,196471000,0,0,5370000,12691000,768000,0,0,123202000,1149000,72312000,0,14000,55000,6066000,3507000,36000,402000,0,0,0,79000,40000,0,10703000,0,424000,18909000,0,7252000,13752000,27201000,0,725000,0,0,229000,2000,2000,2006000,0,15448000,27167000,306000,0,1000,0,0,0,437000,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,5000,0,1783000,0,0,0,0,0,0,0,0,0,59000,0,0,242000,359000,0,0,16250000,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628000,0,0,0,0,0,0,0,0,211000,0,0,0,0,0,0,0
"ISR",1845000,3744000,24526000,3071000,6154000,11108000,151000,212000,115000,45391000,5755000,0,7191000,5566000,12593000,67948000,14377000,5613000,191000,2491000,5810000,0,0,8305000,0,25014000,0,226000,1243000,9324000,3457000,49000,0,5297000,1000,0,8000,1327000,588000,11035000,0,673000,62066000,271000,9534000,918000,1276000,14000,89000,4000,61000,4440000,0,305000,3106000,83000,346000,670000,12000,6451000,0,15000,0,2000,5000,106000,47000,1000,415000,3000,2618000,10000,0,47000,2000,0,0,109000,14000,7000,0,260000,0,1165000,0,1656000,0,6000,15000,81000,607000,266000,1000,0,222000,0,280000,1954000,0,0,23000,27000,1000,79000,13000,0,6479000,1146000,2986000,115000,996000,2725000,1868000,0,0,0,0,0,5000,397000,212000,1631000,0,11000,0,0,0,0,6000,0,48000,565000,0,14000,4000,0,0,0,133000,0,0,0,32000,0,0,0,0,0,0,0
"ITA",55176000,173367000,251990000,32570000,74224000,376270000,56415000,10736000,41868000,1496096000,82835000,54080000,182412000,42131000,726095000,405484000,26571000,37158000,43193000,12843000,38494000,12426000,31967000,0,6282000,38276000,41421000,44603000,10060000,289467000,44468000,10258000,34858000,50212000,770000,27116000,5040000,11563000,98093000,154147000,11952000,15543000,620212000,73552000,137114000,79643000,25537000,579000,7621000,1417000,6751000,103102000,13868000,2605000,35608000,2043000,8725000,47273000,549000,15165000,81243000,3618000,6245000,642000,765000,2051000,12865000,4357000,3172000,4086000,12387000,2898000,24453000,4511000,1056000,2199000,216000,5314000,1425000,1137000,20119000,1270000,1403000,9943000,226000,1852000,19448000,88000,8168000,5490000,12359000,5751000,106000,1050000,3691000,3725000,18944000,47060000,0,7161000,4077000,13278000,610000,579000,1484000,16764000,36876000,7490000,2049000,5172000,7177000,90122000,3629000,6313000,1003000,1749000,0,931000,305000,16096000,533000,26498000,0,1645000,126000,1076000,102000,629000,1139000,1000,3176000,1522000,430000,530000,55000,0,219000,1342000,2933000,726000,9000,7617000,328000,60000,0,0,0,0,0,0
"JOR",3000,1000,14000,317000,9000,2000,0,1000,746000,196000,4000,19000,305000,0,91000,1364000,0,0,2262000,7000,134000,1594000,0,2001000,0,662000,5546000,5000,0,14000,7000,0,128000,0,0,2537000,0,5000,0,4000,2328000,0,268000,5000,2818000,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,11000,0,0,0,0,0,0,0,0,0,15000,0,0,5000,0,0,0,0,2000,0,0,0,0,0,0,0,2877000,0,0,99000,0,0,0,0,0,0,0,0,0,1000,4000,1000,0,0,0,0,287000,0,0,0,4000,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57000,0,0,0,2000,0,0,0,0,0,0,0,0
"JPN",317506000,10405000,44941000,10883000,212872000,49722000,245055000,7222000,8678000,240600000,40909000,15117000,31861000,20889000,59471000,218867000,271395000,2254000,172779000,10716000,67369000,24300000,18195000,48802000,7101000,81850000,16593000,39104000,112710000,60256000,82257000,67311000,102602000,5401000,3630000,48486000,269000,137571000,168364000,60921000,9981000,249508000,2423059000,87181000,22088000,44069000,36727000,447000,1084000,707000,15906000,39051000,2495000,2046000,71717000,10833000,213541000,2055000,45000,19452000,12040000,3255000,92000,4852000,303000,17585000,9236000,3514000,16882000,3470000,3707000,5022000,15214000,10345000,725000,78000,1016000,15280000,6634000,1476000,207545000,5014000,8098000,25659000,2302000,166632000,44473000,2654000,371441000,23355000,2975000,71454000,10000,1078000,11161000,768000,52144000,15238000,598000,19578000,17819000,918000,809000,6263000,5149000,986000,9372000,9837000,6245000,966000,32053000,137884000,8172000,16682000,9742000,5651000,8452000,273000,976000,1148000,1897000,21491000,7333000,83000,2141000,1021000,30000,2582000,17459000,218000,8883000,2162000,3387000,259000,326000,8787000,16505000,7904000,8806000,4353000,659000,30432000,13000,3000,0,0,0,0,0,0
