"","ARE","ARG","AUT","BGD","BGR","BHS","BIH","BLR","BRA","BRB","CAN","CHE","CHL","CHN","COG","COL","CRI","CZE","DEU","DNK","DOM","ECU","ESP","EST","FIN","FJI","FRA","GBR","GRC","GTM","GUY","HKG","HND","HRV","HUN","IND","IRL","ISR","ITA","JAM","KHM","KOR","LBN","LKA","LTU","LVA","MEX","MNG","MWI","MYS","NGA","NIC","NLD","NOR","NZL","PAK","PAN","PER","PHL","POL","PRT","PRY","QAT","ROU","RWA","SAU","SDN","SLV","SRB","SVK","SVN","SWE","THA","TTO","TUR","TZA","UGA","URY","USA","VEN","ZAF","ZMB","ZWE","ALB","ARM","AUS","AZE","BEN","BFA","BHR","CIV","CYP","DZA","ETH","GAB","GEO","GIN","JOR","JPN","KAZ","KEN","KGZ","KWT","MDG","MKD","MNE","MOZ","MUS","NER","RUS","SEN","SGP","SYR","TUN","CMR","GHA","ISL","MAR","MDA","MLI","MLT","OMN","PSE","TGO","VNM","AFG","BDI","BOL","CAF","CUB","EGY","FLK","GIB","IDN","IRN","IRQ","LBR","LBY","MAC","NCL","PRK","SHN","SLE","SMR","SUR","SYC","TKM","UKR","ABW","AGO","BLZ","COD","DJI","ERI","GMB","GNQ","GRL","HTI","KIR","LAO","MMR","MRT","NPL","PNG","SOM","TCD","TJK","TLS","UZB","WSM","ASM","KNA","MHL","MNP","ATA","BMU","FSM","GNB","GUM","PLW","SPM","ATF","TKL","VAT","HMD","SGS"
"JAM",581444.9,20713,934037.69,2253422.67,10241.95,2724661.69,0,33800,3674036.34,15259600.57,344200190.12,19240596.25,1568663.44,76300121.02,0,1516248.48,695201.46,1031262.52,110118002.26,1379151.53,9059973.89,211444.86,3932466.28,549448.62,14230217.23,9560,90407890.15,236874904.74,26954,2559248.62,5529434.49,971505.62,1337100.91,327120,0,22426642.05,3021355.83,105807.56,634616.65,0,3167,2114453.03,20547.13,23254.11,0,0,5516667.65,0,0,145338.78,540280.25,15415,218740566.45,68483277.81,4180249.22,53881.09,6178309.33,690695.95,39289.26,399174.51,275697,5191,88175.05,13014747.42,0,212932.16,183601,137939.81,0,44769689.46,38111.15,10224160.26,7006491.76,20340980.94,60220.33,2866.61,79993.08,1079.54,830418322.59,35053563.17,126019.35,2312,9225,0,1150.24,1002374.69,11377.18,0,4987,0,1162,99489.26,0,147300.53,0,38624973,1625,25589,28804690.32,30506.99,59630.43,1054,52957.11,0,0,70647.55,11610,10800,0,83517237.45,0,5557746.96,0,15086,0,199420.01,44577781.96,7542.79,3190.33,0,0,0,0,13805,2091771.11,0,0,0,8014,5943503,0,0,0,325972,0,0,0,0,16451.2,1041,149474,0,0,0,2289454,0,0,0,743298,0,3261082.22,0,0,0,0,1712,1015,299765,0,0,0,0,0,0,0,0,0,0,0,0,0,2103847,0,0,0,1363354,0,0,22500,0,0,0,0,0,0,0
"KHM",7645626.37,4480881.21,45034423.77,352634.11,841461.58,9570,316479,190124.35,6076741.83,4815,204553259.17,23614412.52,9582461.28,55662302.65,0,538952.01,824759.55,10033109.05,399545615.86,18971755.73,2782189,252650,148095513.74,2954597.9,10135134.71,0,111684010.79,297426493.28,6738571.04,49835.22,0,479805577.75,0,2425704.9,329611.6,1694455.62,29058443.82,397067,39927517.7,14050.95,0,12434255.17,932801.08,417789.81,265632.96,86849,27484651.52,26521,0,25832114.2,840564.43,65532,66830400.51,12798859.64,1209814.15,107622,4723483.52,583170.33,1480659.01,13901367.43,251576.9,67245,647906.54,625916.48,0,1779186.35,61197,295821.51,2030828.76,3859050.36,4155716.5,18461878.19,52271397.83,24534,15797669.06,6010,0,1006345.6,3322416622.18,265014,5814533.52,0,10343,392866,109046,24662049.17,0,123662.89,243585.55,196186.47,60969,255255.16,950263.06,454514,2709,15004,0,6500,165842590,440562.23,37101,409788.78,3860356.62,23898.55,79238,140298,288636.76,17771,56755,22298447.67,26630,108674213.46,0,207667,32540,1512,769858.03,673685.55,158768,437212.64,95927,0,15742.39,3575.38,263461993.13,32138,59569,94938.91,0,0,153989,0,0,1551295,0,1293275,63504,0,37665,60729,22817,0,10625,0,0,0,0,1224670,35363,6072,75285,31154,0,0,0,0,37486,35548,0,606655,7863,8530,3124,0,7612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",3419622948.76,526782558.270001,891367942.25,671672522.06,310834663.76,1307728361,54259066.37,115498032.45,2822310063.22,14160516.25,4749080847.35,665912539.35,3263559216.4,81288484701.6,489400733.28,952870439.95,250437341.59,1072418922.14,12045229183.6,582821603.38,115354076.83,409447558.81,4747682356.7,132515686.84,1488329111.93,27038116.97,4977457973.14,6984748546.49,2440375733.78,476891199.42,5401488.11,17488378614.65,113999819.59,316004336.63,2343412929.62,6404431256.3,1083275081.02,984569005.84,4394113540.74,38704180.08,307991260.99,0,162779336.11,195328740.8,68196562.28,86874103.37,10479809526.24,139970323.42,9100338.81,7020944801.23001,2435735737.73,174570063.31,3895588127.79,815471762.67,869827259.95,702024619.530001,3222123538.38,518934184.19,4578380224.27,3791060740.18,412084176.63,74486814.45,1421658045.89,848596902.01,3532887.33,4390144595.28,357471693.85,107080685.94,135689754.67,3012656460.8,717195777.61,1102625904.49,5214605499.93,75570427.85,4267177751.1,84591100.4,28718777.29,69719707.61,49058564991.89,864326497.22,1967895512.52,22930724.55,22274882.03,18256329.41,55860957.21,4996997015.51,136586316.59,25918497.12,7202267.6,203322885.53,87687980.11,1080262761.35,846367219.67,117434944.07,18103796.1,26031003.08,16085207.02,447863243.11,26596705919.53,628759464.16,147289527.51,85590482.08,1465793696.94,32581886.05,52763946.17,24755104.52,25923852.3,58387241.42,4430163.23,8479195982.52,34335305.47,13138779559.75,720397979,133857969.6,29546813.24,177212691.6,58882940.36,445627144.24,38120156.57,3219883.41,543294792.76,605174887.48,30996854.29,26127110.01,5660873070.04,109006857,1594609.32,20660103.8,144270,214310341,1166452228,19225,972539,5769746238,3265558985,209838037,2511025043,458030214.81,58217191.14,60048483.75,0,10013,5409511,348019,8686253,8399407,6879053,1546143277,13348522,173624203,5367778.15,22200258,19306556,5247480,2359159,933393,972879.69,51506817,387738.22,55633833,291913454,11597235,18700736,18359901,258686,399730,22559102,694329,748123099,5628131,12616871,795511,2278818748,35932200,25628,1534956157,5688708,185414,107091960,1649213,0,62683,54113,0,0,0
"LBN",281925675.14,341024.16,2243719.41,7376240.45,1868542.84,709755,193900.52,1915813.75,13879291.77,78456,15097464.06,603452909.9,103410.73,53495086.9,29644385.84,592516.34,2749294.78,1438097.95,52545474.21,2077426.48,29786.71,101145.33,26248542.74,226743.26,1826525.67,52397,68722142.75,103531289.97,72315347.48,0,21154,6234215.9,43376.44,298283.15,1312902.75,12157180.13,6735160.45,1000,48392443.37,7524,82346,32232077.52,0,630973.9,564637.65,232047.37,4044266.2,20099.51,448219.32,8522986.42,137357415.93,46353,43393961.48,1739200.65,754818.82,28413420.27,995770.78,245671,273082.53,10348225.49,1723885.5,282597.33,104342250.01,7016766.78,270609,240639394.29,55816618.12,30471,279909,47616.29,4050605.58,15556519.12,2237126.63,112953.11,165645629.78,3446304.91,1082954.07,127559.71,101393048.01,1801692.54,11349140.86,4073734.27,688085.11,7644363.5,10496229.57,13006359.71,1824376.89,4409317.41,3681087.87,23593810.58,16389069.96,32829398.03,24840775.61,928184.89,8857672.39,209628.34,24439904.71,120706388.87,5736768.51,1380943.06,635386.27,198147,129540500.83,298043.24,79667.49,9460,405096.01,283225.46,1530947.82,8895999.19,13117781.2,5664147.27,219460580.41,17604318.53,2944209.07,26726865.86,118051.71,22567606.31,747953.34,1217893.37,2211339.99,19319677.89,11150,3917017.71,185338,5858504,149949,34851.19,6221696.72,0,113454245,0,0,679040,39026750,147448863,12482571,4356469.45,3497.59,258483.35,14270,0,6044636,44665,20992,0,130355,989791,0,24478840,6930,4999590,1941467,668382,2301553,8398536,0,105558,0,0,0,2447345,0,0,0,274654,139093,0,0,0,0,0,0,0,1000,0,0,330778,0,0,0,0,0,0,0,0
"LKA",207426677.06,7694138.89,40942429.22,25954795.52,3088389.03,16273,473622.19,7297700.05,18171066.25,223051.04,101695599.84,61290494.21,22093491.34,50781482.6,552796.67,6336899.45,565009.82,24507655.96,489334372.55,26255298.73,241257.84,4438497.52,96159689.01,4161885.47,20332418.74,2342606.42,247260605.76,1121753677.46,9664757.08,1397707.69,180672.66,95551584.85,1252524.69,5823295.29,2958829.97,520291871.15,39769600.61,49367914.48,406411217.2,1443999.42,2308502.28,40971640.83,12759836,0,4038377.9,1483751.34,76341901.52,1222053.48,223014.48,42751642.43,5315418.91,829684.39,143327562.65,24617324.68,22364207.21,58149230.4,6993980.88,5857348.86,5857820.69,48856253.37,5545715.19,393961.69,5890562.95,5722392.48,533621.8,57696984.08,195212.76,1318001.45,2926138.6,11487961.02,5681713.01,58146884.95,46843177.86,1713059.73,68308322.34,3770436.18,110088.13,788869.62,2131958704,4853645.41,23968156.01,66537.57,53340.87,159047.51,4546629.67,89274562.66,6621996.76,0,190490.01,8768238.53,1131684.74,2156991.63,2033191.8,476222.46,42095.6,1480312.36,1460658.28,21156599.22,209043187.67,4860362.59,5333020.17,1298834.35,20878737.43,1022629.87,1089534.24,140905.19,46013.55,2536985.81,233235.27,225960700.29,436690.53,103809063.95,87926964.16,12203821.79,662773.53,2621903.82,1738007.94,4174303.95,1656877.41,666949.44,546329.88,6133205.9,454069.17,1077823,19855995.1,0,0,995093.47,0,142717,17714215,0,48074,48337694,114745663,26434806,167112,22896973.45,721365.47,236944.92,62004,0,454979,0,53281,2943808,371106,34663578,6929,1787092,250692.77,0,43279,0,874904,0,0,71646,22216,35478,509314,285735,180756,830531,0,0,155486,0,2529411,7038,0,17484,0,0,0,1330,31997,39864,38661,0,0,0,0,0,0,0
"LTU",14438076.6,13985477.4,82509175.47,558674,31715110.72,43102,1307468.82,458602675.97,3860838.94,19869,122180669.8,48308038.83,3123407.35,26558912.28,533219.82,23827143.66,2277599,159039328.98,1597467234.76,678967461.71,3165636,16325457.33,276517166.73,872436894.599999,254618440.37,0,736431043.81,712641178.75,19128923.72,2558281.94,0,11628955.44,27752.6,17337128.61,65356090.86,13793780.36,76986185.12,27136543.05,381456761.78,27839.66,8138,10539656.56,1221760.18,1072083.64,0,2002921727.8,14548093.9,4363420.32,49632,38983788.56,141850,15724,413257758.49,512802977.86,7282428.07,44120089.89,16932080,6680401.33,890445.46,992649546.6,41077078.83,94092.01,8442576.41,62750143.25,0,69999452.67,503781.15,118119.06,6583615.05,37953402.1,14000525.58,718319010.24,3378551.81,49898.44,130279038.34,663090.14,77359.37,787206.19,464912367.54,21238234.6,10757328.37,0,0,122808.32,1801615.45,26910785.05,14372000.56,947003.09,86898.57,357354,4127974.6,6770778.56,28089986.25,34301947.25,439943.24,16449509.35,188884.67,553199.24,23330356.85,169322017.72,3636846.26,24202412.67,11662287.23,94308.22,1429511.19,57516.99,852962,79743,59298.34,2152000413.29,1566117.04,72175090.9899999,222945,12638391.29,3938778.52,3327462.9,97600240.8599999,39880667.18,18872006.77,7554133.37,8561790.68,786241.23,0,865149,2537265.98,7609867,0,42447.91,34549.1,325019,1727270,0,9250320,407282,901874,24745952,6410789,15994458.04,138957.23,135977.49,0,0,1216,15111,0,971599,493255,469304932,8132,381491,7142709,0,22005632,0,508016,0,194001,0,0,0,3724,180544,0,96132,0,0,34872538,0,17477917,0,0,5040,877286,0,0,0,0,19784,0,0,0,27153,0,0,0,0
"LVA",4107553.76,113342539.77,54911322.2,912987.28,9098202.42,1601764,720783.8,176496015.51,2939535.82,241187.64,27036345.67,48419042.45,1375942.17,32187159.64,0,10791748.05,4539921.83,47489202.22,661836520.98,355105055.56,452551.92,13062382.31,203321483.05,754688906.560001,296130330.02,78549.99,245774452.43,929902485.72,19043492.33,13790854.96,12529.11,5856391.96,121632,3291054.05,25138256.81,40502636.15,93388234.01,243327336.75,108820457.15,19206,321222,60419741.58,1334363.89,381213.98,1305069865.43,0,3574625.3,8191679.08,77824.23,1626921.19,13790553.21,2538604.79,193693579.07,282139077.82,2688118.82,3013120.35,7200324.92,22464370.39,21311,295153750.74,10473173.99,65039,265100.28,23134674.9,0,13235243.65,666816,2080060.72,1518130.31,24574989.92,7162026.59,759241654.249999,1878464.83,24911,35159514.22,268814.66,288851.78,297871.67,243501569.75,425412.6,65427090.39,68054.14,31768,98475.64,2435065.94,4648597.32,8013385.47,182294.98,6869,124088,0,12753781.04,16484042.52,93781,480546,9112079.69,119220,773571.16,43856441.76,58891542.98,507926.82,9477504.36,1274957.6,0,99472.27,117361.05,87577,295062,0,786583171.81,2219320.52,37934926.49,41326488.14,18339891.07,67553.87,344897.23,73197390.35,53769203.65,7468370.66,26288,7882485.89,636247.17,0,498203,14925606.93,1091549,1112,77325.43,82997,35720,4353041,0,1229471,1055370,786642,331964,4372041,6438686.37,58335,52950.71,0,0,19372,6001,22555,674916,779516,116838284,37963,0,830494.35,7114,76949,0,176928,72190,24965,13204,0,78383,0,0,14425,0,4103,0,2515725,0,12722639,0,0,40262,1588158,0,0,40504,0,2120,0,0,0,0,0,0,0,0
"MEX",252966769.03,1338390250.04,221536125.83,5563714.66,27953214.61,23718907.21,2571504.37,17128895.33,1920236769.94,14569400.42,13273699899.81,275624048.37,1386920538.37,2501462874.44,13186048.95,3079653410.41,751315744.42,186435087.66,4770421879.6,128264707.21,810493463.259999,395456904.92,3855290027.14,15420277.91,306836436.53,319066.88,1021225258.27,2394227890.67,61470818.78,1193046868.44,6259617.77,360809051.53,411872150.94,29848451.78,97960485.16,1163557852.96,256483214.28,142365688.23,601179331.06,123726950.29,1534105.58,949766390.789999,16569575.87,2849913.76,6723126.3,3873377.35,0,25670,12416.36,218662183.51,44320957.74,564444293.5,1461471631.28,110962102.64,93989528.58,34463189.79,631250610.63,775909707.700001,96209994.52,264195440.03,312497963.73,50803456.79,106354000.36,58350023.98,2842,321785466.26,2559176.06,846923416.18,14645678.22,40448813.7,39681563.63,96115955.3899999,282387253.1,78131695.78,311161865.15,338127.11,320674.33,94241299.33,210352212430.26,1932791285.39,290909037.14,96251,3265,2272166.51,1206988.91,876212335.1,7232278.62,8280,78742.66,7472675.71,2534447.67,7583855.15,134634318.38,3542898.05,253259.87,38116,3668461.81,20666662.1,2754807683.38,62802698.27,1526883.64,842246.46,260899590.63,426113.23,4921000.54,1015335.84,6618468.35,1941625.82,97638.37,333192139.59,493759.23,494164550.43,14085525.6,21318576.01,890991.15,8697218.53,6279598.76,21042503.24,1214036.13,83352.91,18335054.27,5777243.87,2138166.58,47873,77717140.95,29217,149955,61224860.53,6340,188972295,60101468,1509,35351,41617019,19142744,380019,3184067,78562495.68,3523712.51,1524686.13,3104015,0,38439,4889,7341526,0,1784638,14902018,1517406741,13493137,94150399.44,0,0,0,12877,0,1145,12070652,3045,125856,0,80178,93390,3439068,0,0,1500,0,4916368,35644,0,741080,1495109,2320,0,2735794,19673,21420,155582,10656,0,0,0,0,0,0
"MNG",2278368,0,757045.68,153793.3,126522.22,0,0,4540,0,0,180051285.27,2184875.88,29422.78,1497888586.96,0,3658,1508,387818.68,15856326.12,146059.24,17110.62,0,987272.98,3909282,26004.46,10715,17077767.69,26690132.87,2881,0,0,6847281.76,0,10227,81079.18,1915745.68,417891.12,6368,100981604.84,0,274934.86,41058474.92,26275.78,16873,0,100032.82,6559927,0,0,336972.61,0,0,6248207.28,106948.34,84711.02,298146,0,47005,0,108305.18,5450,0,320000,373106.23,3030,871677.49,10409.69,0,15121.47,0,11610.41,101236.28,79559.29,0,287584.97,0,0,19382,125279461.43,0,92564,0,0,0,16969,1228295.74,0,0,0,0,0,0,25331,0,0,19706,0,420494,17074843.39,802675.58,0,2797655.62,391324.82,0,0,0,0,74052,0,60339332.56,0,623870.86,0,0,0,0,80064.3,0,156096,0,1777,0,0,0,0,0,0,0,0,0,369432,0,0,0,108749,0,0,0,0,11152.2,16623,0,0,0,0,0,0,6574190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212831,0,0,0,18070,0,170919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",1534617.95,2655520.56,5805815.58,1054474.51,290509.18,0,837510.47,706180.77,5922064.59,15463.57,1712342.2,4076646.46,479323.72,6786982.74,663808,1029461.54,686196.39,5655289.79,99531186.16,7180700.33,274387.22,0,10254848.01,15863,1059714.83,269572.94,12159885.3,40024739.54,8140619.4,1198926.34,0,384998.96,2740,4500790.41,1052027.66,10768486.3,6133458.73,436160.3,5811896.2,0,11598,50680623.68,0,141733.59,4569953.92,190067.6,8450475.47,0,0,5685159.78,493680.03,0,37851954.3,306571.06,818127.65,6837040.83,0,0,3401745.58,21212725.07,27095886.61,0,19802.24,6017469.47,513888.14,647906.91,2459,0,1626293.11,3929,7588,1509670.27,614266.36,10155.96,39574308.42,8285623.28,4394933,0,73943740.37,0,92742234.61,18478722.65,183214130.02,3682.66,212085.37,10232311.73,150665.3,0,0,18590,0,4548,2329761,128677,84149,557143,0,279264,23265719.29,5159453.76,10854912.49,4322.23,237504.41,4397677.11,471894.72,0,13697343.33,281101.06,354602,62255471.1,981707.59,3906675,0,1718780.31,41566,1147.38,113586.38,2067925.14,0,0,0,0,24392.95,0,0,5688,0,3589,0,0,20389949,0,0,1067090,347110,0,81144,0,0,4158,0,0,112623,0,0,28890,0,988879,0,389300,0,73139,0,0,50812,0,0,9962,0,0,100259,23863,0,0,4689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10749,0,0,0
"MYS",2748591186.32,336513867.83,310349050.67,546408315.34,101189641.44,1729365,8630213.31,81327850.56,757137170.01,3355323.67,2573338057.44,425466904.7,185074388.82,22285609278,34232993.62,161472385.91,125885231.05,786383931.83,5972579288.61,311894843.13,16903593.28,19581225.94,1137969967.49,69657279.23,566942378.71,29051593.79,3215687943.3,3578991276.58,158916699.07,31859152.55,6614948.54,10206708231.96,25128789.8,68826273.94,536865100.99,5880800069.19999,619343031.25,61416036.31,1318378734.26,21628650.52,197292887.41,8493067876.23,87111322.6800001,388702212.81,31949479.72,22378134.66,3097949074.22,19309533.23,8850277.63,0,115132649.28,14855850.04,7327718845.69,278690848.38,839948603.68,1188083093.53,143871403.92,112221280.86,2535784127.87,564591146.62,164598414.11,57437721.59,385295551.68,92458887.92,1035960.03,991442035.18,62936805.68,23685537.93,88204363.94,246483215.5,66044719.64,534586937.62,8721903061.13,27778942.77,1252341701.56,142954223.68,56180575.12,17725537.77,34899720308.25,57076072.18,1086517055.15,5835690.86,1880999.98,2603118.88,8960916.19,6273400238.03001,16328945.68,188869843.07,17546673.48,89861062.3199999,21115839.8,38888380.02,163236075.3,59789979,10794128.47,5047071.33,11793761.23,152743485.47,16564674486.7,64966865.73,55561454.28,3475945.19,249117224.56,28174735.91,14291563.28,2467751.84,30535532.73,100502783.81,13838814.92,1212568901.3,15093894.5,33445154788.76,182444371.66,48725803,28822067.49,108655696.29,12702152.82,65214221.4,4864360.48,3569330.12,72248533.66,182013754.94,2551867.35,93655856.7,2448171384.64,3866875,942447.47,6275631.04,1543848.02,3905261,471330828,0,0,5069516979,603933563,20059307,11405485,89952083.5,64119383.08,12115145.99,7900703,16215,19791986,20263,2976038,9981034,5470377,257985243,329518,54885909,947286.86,13392177,78793525,1317314,30260690,1222632,14254,41117073,352000.28,9198166,202847534,42310118,9318070,91903562,15356226,112105,999872,2416928,34068173,1044321,1315530,23467,163813,77036,0,298788,67738,1632390,5126933,82256,0,0,26596,500916,1489,47428
"NGA",110210331.17,1095317.42,148187654.65,19368170.73,9262904.4,18230.33,29149.65,8024.75,4795514544.43,4334.6,276071647.89,254899458.33,253055557.44,617306484.98,482212884.01,36963395.51,1348.68,4584804.44,1256551822.25,415800.37,0,29985698.94,4589829838.03,573517.01,426334.47,0,1796872135.09,743905312.96,56637116.91,24675206.02,0,53009209.98,3088795.32,130325.85,26000,6405198324.96,762832.32,1366217.43,1132597245.29,28669169.68,577936,431714534.27,694996.26,1824868.76,15052.14,11137.3,235181787.81,0,33760.65,28879042.15,0,885018.64,1116556545.31,5497844.55,66472309.39,10573299.83,15863,291928470.46,3860487.02,2419662.73,1260747011.25,0,133316.53,2319734.55,17878.73,1071785.17,4868790.14,6223836.38,154275.89,183337.14,232085.79,273970.71,37194013.31,275679338.54,142686125.07,1878748.57,447256.9,89706,30632894190.45,24715.95,1774746068.59,336875.48,598693.35,30167,103985,1258740.07,2992,100308362.59,10337031.9,0,1472894452.19,6696,2314903.74,73935.25,1909397.13,0,5039529.21,15281.12,631270262.81,342628.71,4848223.55,5840.14,1296108.4,14418.31,86866.95,10772.33,191996,27715,106254821.45,3206088.9,377732092.49,41697483.27,18137396,900253.72,562246748.57,552853742.66,17958.09,10044522.86,0,3736213.73,2185,38957.29,0,16083091.26,50831971.77,1627294,2747,1756,1686733.03,0,618541,0,0,5079957,1288528,0,4197191,344307.23,0,173444,0,0,9167404,0,0,0,0,187890,0,6738053,0,0,86859,8602,5517256,2847085,0,0,0,0,282319,348293,0,3633,0,3870537,0,38592,0,0,5115189,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0
"NIC",1796201.75,29417.53,2331054.54,2452,129148.12,13773,3161,22370.41,1163961.09,4707.98,82503768.55,1814552.78,3756034.04,7441546.14,0,2710305.23,96152512.15,303728.89,25922852.22,1089222.63,8925011.19,1148469.99,45623512.84,7871.18,11856563.74,0,12930675.01,18302781.36,316478.54,73240614.37,4111,2811987.29,117241979.95,503604.88,168054.02,147108.52,2084751.3,94370,13536111.28,3629371.25,1767667.7,712470.76,143087.75,71157.7,3108.06,14011,78744271.63,0,0,6096.79,0,0,19244861.97,1304777.49,549279.14,0,12088491.32,1781431.88,1740,1375115.23,3669098.72,14105.22,0,129199.56,0,435781.41,1805,171833087.29,6760.47,161153.18,46882.71,3548117.4,138596.44,13930,10371.07,12386,0,1065,821644959.27,8733233.75,761572.69,53399.55,55471,0,66268.76,6549492.41,0,0,8719.56,0,0,20720.53,61000,0,9736,1512,305395,327249.79,15444120.82,2211.74,0,0,31819,4892,2305.29,3140,1194,21216,0,9118019.55,0,15814,0,0,0,0,373001.35,271207.74,0,0,2203059.29,0,0,32630,1013818.17,0,0,259607.99,0,653334,11818,0,0,6630,0,0,0,0,100736,10992,0,0,43300,0,0,0,0,0,0,65518,252887.65,19882,0,0,0,0,0,10139244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,42794,0
"NLD",2048646944.75,303799386.57,5257745962.47999,79354424.19,536384125.120001,31582105.84,104367035.94,322261175.48,1339639430.55,27622913.58,1746544485.44,7222250132.55,441019880.71,4909730058.76,102776345.36,358335803.72,187904526.67,4891632815.98,74140018090.22,6405360504.79,85326997.49,206840600.69,15409614658.75,355684279.22,3734256932.37,4544078.56,27417472121.61,44063862380.28,3773378068.03,115073096.14,18954727,1773111711.85,38363341.36,483621450.19,3807224419.47,2053680353.09,4004917959.12,2080930966.8,26161997052.38,27398096.15,5758661.19,3751656040.6,182749981.42,88590145.35,1038013037.89,478153788.91,2300196183.13,8984366.13,28364448.88,973753730.37,2760868601.92,15688121.62,0,3208930782.51,393974351.59,371200308.95,87790428.81,106824562.41,517129469.39,6097503727.51,3441189335.72,18164703.81,537513820.56,2386113270.04,16075708.53,1921470799.91,260203634.86,38025083.91,342735061.39,892601252.370001,690190561.04,8907912173.80001,1039946143.62,67186083.79,3161574565.08,92963734.8100001,53237588.45,46154135.23,18238053311.17,361341040.62,1425822962.39,83277091.77,38400710.76,28587432.01,29044830.32,1280517282.27,163248005.1,81140454.56,30343901.44,134666935.58,127828601.93,396888041.06,469356280.67,64078173.74,98194644.01,103247197.4,169486004.11,222041227.63,3009988523.6,477788939.85,156000579.22,45524152.18,458091467.3,72257849.75,83463634.1900001,31839189.26,63493335.04,50004193.42,25283666.95,6643535474.28,393027208.72,2549380848.15,321656480.03,340213738.94,117605750.5,318757803.58,444567037.52,1122902871.25,59857735.21,28271762.85,160165816.47,361776404.76,15032306.01,276100906.64,526807058.54,31640871,6397731.53,14390152.19,40296757.74,93562140,948048279,11097916,564103432,923422554,634435981,68411995,46674687,302923747.84,24052842.34,15613523.41,13132442,5149467,29256276,74444186,184842669,8773730,24218011,1851895705,105684200,345272381,9806281.61,77176115,36734060,3094359,39994529,48182050,4959208.93,18682777,59128,1180633,6934139,49410724,6861384,19068539,3732713,18516668,6577212,886846,47686459,45304,1054329,1602091,770154,444796,12355,95727094,52167,8282258,369293,2746,524418,2156707,7531320,686413,42558,6864
"NOR",218438023.81,27936891.35,358353360.72,57480214.85,21823230.68,186160946.6,3781248.16,79263085.49,531621619.83,1557112.04,4472534099.6,767472242.260001,120885656.85,1711239677.47,206400447.56,24365896.2,8668101.67,1021653432.57,18402906657.87,4155245627.13,189342244.78,8942383.16,2825407728.09,141653991.26,1719323848.69,104123.74,9058799991.18999,30246978334.96,214934818.9,68939387.03,249127.48,293095674.02,10788487.97,92677791.52,78046548.02,935217241.48,2292868820.19,90673763.83,3580498342.77,17237265.39,422897.8,1513975969.03,8979006.76,9010121.77,134605421.02,155036200.31,247025712.42,74203.92,581693.45,165870797.99,108938507.03,4732126.21,11317289903.86,0,35145636.58,45985339.78,28473150.15,21730819.87,53467416.85,1819599585.03,932781890.280001,1801941.1,30890065.38,147070480.03,255109.27,272021347.44,22537679.29,18582218.53,21975323.97,93762738.11,34627654.44,11360957030.89,272561157.5,10381599.86,510433693.64,14735250.58,5342618.1,6551886.08,7919613479.16999,21842840.36,170008573.03,3712366.72,2618695.14,4259794.06,1153530.53,386059938.49,25270006.75,17937194.86,3803816.18,10241234.45,7242117.95,20691990.06,11826285.9,6620470.52,4518055.88,3381522.25,842332.98,12210235.39,1643485561.66,109404678.22,14260445.94,2064203.45,18599224.36,1194509.9,3590007.19,5902064.58,2087366.86,1430303.99,16600892.27,1008162667.64,3568068.23,993018634.84,43212653.75,15670005.28,15163124.27,28532248.99,324668453.68,39240954.93,6385945.85,2732264.82,14730092.05,13124659.53,170102.84,718397.25,36069335.28,6076217,39145.7,6265905.28,168029.26,581002,56235407,220993,27370184,105356525,21134089,3535417,189996279,13378043.04,1765873.09,6786640.79,25951682,0,327597,10596845,5313659,472296,581316,223834304,159975,203078372,1692826.38,24187529,526067,362647,348460,3362617,13913103.73,406555,0,854346,0,4054234,379936,597616,159518,220547,431803,224061,4044558,12201,3793,2332289,51651093,0,0,5916511,0,0,515144,0,0,0,0,0,0,0
