"","AUT","BEL","BRA","CHN","COL","CRI","CYP","CZE","DEU","DNK","ESP","FIN","FRA","GBR","GLP","GRC","GTM","HKG","HND","IRL","ISR","ITA","MEX","MYS","NLD","NOR","NZL","PER","PHL","PRT","THA","USA","ZAF","AUS","BHR","CAN","CHE","CHL","DZA","EGY","GAB","GRL","HRV","HUN","IDN","IND","ISL","JAM","JOR","JPN","KOR","KWT","LKA","LTU","LVA","MAC","MLT","POL","QAT","SAU","SGP","SLV","SVK","SVN","SWE","TUN","TUR","ARG","ECU","FJI","KEN","ZWE","BOL","MAR","MKD","ROU","URY","VEN","MUS","OMN","AGO","ARE","ARM","BEN","BFA","BGD","BGR","BHS","BMU","BRB","CAF","CIV","CMR","COD","COG","CUB","DOM","EST","GHA","GIB","GIN","GNQ","GUF","GUY","HTI","IRN","KNA","LBN","LBR","LBY","MNG","MOZ","MRT","NER","NGA","NIC","NPL","PAK","PAN","PNG","PRY","RUS","SCG","SDN","SEN","SHN","SUR","SYR","TCD","TGO","TKM","TTO","TZA","UGA","UKR","VNM","ZMB","AFG","ALB","ATF","AZE","BDI","BIH","BLR","BLZ","DJI","ETH","FLK","FSM","GEO","GMB","GNB","IRQ","KAZ","KGZ","KHM","KIR","LAO","MDA","MDG","MHL","MLI","MMR","MNP","MWI","NCL","PLW","PRK","RWA","SLE","SOM","SYC","TJK","TKL","UZB","WSM","ABW","SPM","ERI","TLS"
"CIV",13372097,139413965,6728057,3523447,0,0,1437893,10602763,357616583,11097513,146474189,2883020,591887243,89217929,123141,13941351,0,1544980,0,17931044,2800393,257854173,368671,20033578,324669881,207463,83290,4966,4580815,32360889,51193103,184965765,21864897,3399409,51249,27146915,17975177,31856,5652700,1346005,6822859,0,473249,7443590,15484165,24944402,48875,125143,170239,13078387,4913826,125825,0,0,1020314,0,1759819,46410792,52552,2527952,8333077,0,9118241,162178,2270795,22087158,12585463,83950,0,0,91670,39431,4050,26789891,75433,0,0,0,199543,9290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",3664980,39258263,7338986,8148058,0,10299,16385,116104,105285682,4652112,283755501,629993,388218991,47988983,67261,14072344,0,7575762,0,1664672,182906,283239477,8671330,2138074,120780144,289527,35801,32804,747574,36037965,9083968,54798905,1832930,317008,0,6545195,3433076,29597,7429533,40028,11002723,0,49619,31381,2891506,3746875,50526,0,0,34080305,58844737,0,785032,17814,0,0,279287,8805549,0,1837288,7357013,0,304483,76767,746599,5129010,6179339,17289,0,8107,302403,16997,0,31096279,627759,53618,3375,0,1181042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",614746,596114692,14776,2186526,275365,0,27749,81521,32020762,531066,17296507,1134062,31300822,14962423,0,2589331,0,66600,333428,118580,1594,85938648,1772000,7116604,7208390,15137323,24444,0,45206,24352861,467091,178350473,90750715,369890,24697,14550244,3316087,18899,117257,3130,16618,0,111926,50522,0,27776014,0,8523,162433,72131029,3035365,3051,647,0,0,0,47775,486796,0,829748,0,0,0,1206095,884901,0,854972,0,0,0,1474803,21017,0,646443,84079,96134,0,0,592995,2340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",19659,227464350,12583733,1750214,0,0,6354,109173,18986157,1243264,48282801,11049,59258061,4607338,0,2694580,0,575793,140706,903,194542,191079187,4456,22766,41562194,4271054,1706,0,0,24779457,4503554,392753935,785316,33282,0,93523,31072,15243126,740134,0,1215409,0,0,503640,0,87009,0,0,0,6765989,0,0,0,15788,0,0,10518,146487,0,749252,0,0,0,6123,275929,728414,1212857,1386706,0,0,0,0,0,7213871,0,0,0,0,168588,0,0,0,0,0,0,0,0,0,0,0,12443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30687,0,0,0,0,122670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",2937857,5532996,51475030,108329522,12111109,5810544,278302,389486,26818254,556354,70894476,18580111,39575307,14543998,475548,145161,557201,733941,12498,911154,7401,43704612,10588844,6036046,21536256,1266382,47173,466146,14160,42758704,57878,0,3604403,2733161,370959,123034539,7274479,197465,27437873,74016451,1502,0,5552066,70766,682,2674197,0,292775,137962,56975982,0,43606,3911,0,12671719,61264,30837,427827,115926,69414,0,1102540,149361,3992433,650106,6806917,0,42808774,495354,0,0,376436,191320,407425,0,15236288,4930281,4567011,8791,32919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",756794,30892963,1149640,13037,1038129,2011679,13403,1135048,53133383,2664096,27488555,13966827,30161805,28583047,3166996,7805,1055162,1605803,1235158,4007105,25085,26245331,5262520,7886,10835460,122727,172524,1049316,10464,10136732,1512961,2883274203,119864,507674,27892,34088418,4030355,207579,0,0,0,631,0,49876,0,54394,11887,3170732,0,17833565,1421855,23450,802,0,7173,5736,0,545414,0,202662,0,204104,0,369531,9354400,301167,89817,3274495,149621,0,0,0,37739,58505740,0,149003,7651,1910319,0,0,0,0,0,0,0,0,0,0,0,101776,0,0,0,0,0,0,0,0,0,0,0,0,98652,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,297026,0,0,0,0,0,0,0,0,0,0,0,0,182645,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",4563235,19391637,985031,8326116,60834,1308597,336555,2697410,104745289,34565004,4709062,200729121,15075100,79759203,669,116430,0,18041,0,92745,8586073,14676520,4178502,0,30194080,29414072,831,100383,434632,8845536,1596411,29130759,0,220699,11811,1842866,2633775,0,0,477740,0,6657,0,1558521,0,2553339,1835297,402470,1152,14891447,1080560,75322,12487,36912867,39594696,0,31308,6776809,0,117714,0,0,1274451,70245,151382645,0,1729874,60985,0,0,0,0,0,0,567608,1706022,30164,0,0,77578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",12049566,50102560,64670,22369749,368716,5078,55936,46106,217062663,3643506,36111871,942710,85846311,188992955,0,1478319,40690,3468943,1741,34347516,264734,76222637,165624,515621,64848176,5743013,189182,37044,4871829,6928491,79296609,186937159,5712565,1325008,0,4093091,18871829,2868,1016954,446243,8863,0,4619658,1516727,599342,9662058,46683,356998,0,56919977,33571906,5091,2612,14087,661,0,93275,6592028,0,1493574,6654951,0,6384,850879,1827721,360426,3845230,86060,0,0,573,106411,43191,398129,343839,2549049,87556,0,885649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",5386,336144,1572065,0,209597,74126,681,92031,4315997,460911,11177912,4804,1678405,6471256,0,145085,0,3957735,0,45900,309143,503731,0,3210,141332,2418,0,6174,0,1164701,0,1317255,51729,37107,13087,17272,20356846,0,0,3407477,0,0,5012,1791,0,0,0,1905,0,4216,15821,0,224213,0,0,0,8443,63672,0,849265,2644,0,124911,1685,646579,209339,21132,0,0,0,0,286037,0,789,35147,116280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",2627693,103518451,37785031,11949512,80106,0,0,48577,40556350,22479,68085203,115912,32372237,2319989,0,810792,0,5403209,0,68167136,4090,25116444,26728,4506,3282909,8147697,72336,0,41325,213818,0,107390560,32232,0,1429,13170481,180420,0,0,35352,2098,0,0,418647,96248,58266,0,0,0,8096946,2750127,0,0,0,0,0,2889,228320,4398,206806,0,0,10800,9868620,2566,625481,124405,0,0,1301,0,2735,3068,10654885,0,5177412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,260349,0,87215,1703,0,0,0,2387577,0,12911203,0,4444765,0,0,0,0,0,0,2073,0,2168959,0,0,4290137,0,0,0,0,4942994,0,295604,0,0,568,0,102722,0,0,233462,18049,0,0,0,0,0,0,4732,0,13192100,0,0,0,0,0,0,0,0,0,2171,0,23453,0,279145,4142,0,477864,0,0,0,0,0,0,244963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUF",163349,47773,4007,322502,0,0,0,0,5708394,0,4815990,13153,38848728,1262089,7367342,0,23415,0,9512,0,0,1160320,27800,912,847085,0,552,332322,0,1761,0,2918237,48327,0,0,2510,82652,0,0,0,0,0,0,0,0,0,0,0,0,2126,90075,0,1476,0,25424,0,0,0,0,0,0,0,0,0,0,1066,1004169,0,593870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",6935,10432503,1131836,0,1256952,23406,0,1136859,11548325,0,2458134,163133,4969724,98149042,357412,12319,77236,248243,0,283921,0,3403366,1561808,80067,12178553,207175,441533,173644,0,3199634,0,106797778,441434,423629,3224,135269098,26064,455343,0,0,0,0,146157,30482,370265,0,0,5060668,0,10068029,8077021,0,65704,0,37978,0,0,560791,6653,29718,0,0,160729,212745,417537,0,270058,0,0,0,0,0,0,224584,9740,0,0,437858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",65293,2743812,0,66067,0,0,0,1178,5147674,208227,78748,50610,6168823,741014,361210,0,0,36360,7159,2586,0,3555944,229342,0,350268,38384,0,0,0,0,0,56167590,0,56443,0,320397,1113653,26133,758,0,0,460,0,34803,0,0,0,0,0,315321,0,0,0,0,0,0,0,0,12023,0,0,31366,0,0,86197,0,0,0,5957,0,0,0,0,26817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",75405856,68414202,269936009,163054300,1674367,76890,14607687,4899501,734386044,12771152,582859560,3793746,936256828,182945238,75125,476600584,0,5461567,2693,1163435,0,924883572,17325025,37593066,898792328,6063720,27239099,274067,64399325,328366291,81898522,803955,12342826,11579760,23393912,76646038,58912183,4319261,614546,3259144,120946,24600,189783537,3427456,225138940,483962525,52317,24571,6603427,2499558825,1160185213,75068650,82300360,149006,237302,80249,250609,164047909,19487855,60480240,534601265,0,1053640,974052,174429735,3090270,631773264,144826,293452,93252,16763650,504457,12832,176784867,2565530,402474486,21912,253279,2219075,8494793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KNA",2031,0,0,0,0,0,0,0,74315,0,0,0,35243,8938117,102007,0,0,0,0,0,0,42902,0,0,0,0,495,0,0,0,140549,20108255,35377,4151,0,1255943,17354,0,0,0,0,0,0,0,0,0,0,0,0,35582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48472,0,0,0,2053,1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",286668,10154734,802516,194418,49157,0,5317353,451748,10367395,983267,5607464,20207,29876189,8642813,578881,6619235,0,645777,3070,511737,0,17131856,74345,101189,5158011,169296,4753,0,15712,103364,9718654,23711582,62911,2107002,7479947,2450903,89479702,57392,2787131,19074065,743830,0,245283,77296,593020,378955,2860,0,23498550,3001760,1044722,39777046,46875,25949,5683,0,55001,0,8082204,93472074,470770,3501,192494,51410,1369372,3685194,6160611,31130,0,6095,32537,2562,9615,6257276,91271,9539771,15084,137056,5001,1095033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",40454,290215626,0,1116132,88794,0,0,15589,2533193,23929481,814005,0,1046254,323997,0,72796307,0,0,0,29268,164832,1112512,114482,486726,609940,20277971,0,79904,0,50679,5886411,3310830,3153,0,0,29412,2377419,11406810,21380,626,0,0,2546,15251,4285,0,0,0,0,92115,52859916,0,0,0,0,0,0,0,8194,4105,61291259,0,0,0,692,0,387408,0,223972,0,2229917,0,0,0,0,99854,0,5459618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",149294473,83766940,11894303,2280363,8268538,0,397502,0,1381937911,31451328,918152087,0,381565342,204536835,0,256406404,0,0,1852994,0,0,3064255815,4614022,1325179,27612044,6862545,0,1865,20643,87979373,3199701,0,0,0,469,977,220535486,427973,4652460,43657212,0,0,50775753,232273,49144794,23752116,0,0,20150874,546548,4670518,0,6145,0,0,0,46082565,1070176,0,33561,5265546,0,7462,720401,16012382,110211691,290349369,19962559,2018444,8659,0,226701,0,74757164,1124226,360780,0,1874051,6995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",307441,3301494,0,68662240,518661,0,0,54032,5550639,864617,40501,0,2776863,2321886,0,29045,0,619297,0,472,0,15174254,19626,193840,3348288,0,7203,0,747211,28805,149178,26539522,0,47318,46623,0,471880,2243655,3174,160482,0,0,0,11584,0,0,0,0,0,51439504,4347783,0,0,0,0,0,0,0,11533,5825,0,0,1050617,0,90919,0,0,0,0,719,0,790,0,0,0,0,0,0,44807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOZ",210234,3326224,0,5055601,0,468550,810,200923,5777146,121981,33485424,667,2484861,3835741,36195,53037,0,260946,0,341298,0,13135631,448464,753907,2020801,1240,0,0,536040,22444772,2222229,15031957,23588206,10433,5813,187112,595528,1493,1137,0,0,0,866,130897,13157219,6478075,0,0,115431,23249621,11379,45139,0,0,4481,0,0,0,196523,1200943,1109064,0,23767,9395,374766,412319,0,0,0,7658,98505,4822470,0,412640,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRT",10624,32190166,469477,36828,0,0,34438,25235,11125478,3190,51701831,30650,62711964,14648566,0,5229224,0,187881,0,231690,0,66562071,16060,10304,911833,0,12064,2784,0,5216921,3446247,3755152,2181,0,657,256466,17547,0,0,642404,0,0,96116,54889,199884,134272,12449,0,0,127051741,2164983,0,17937,0,776186,0,0,0,1130,277478,0,0,0,41972,20804,44723,506867,0,0,0,652,1969,5779,471725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NER",345404,21255,237386,674470,0,0,0,3430,225525,5817,418841,2072,75431540,5928507,12739,63480,0,1382,0,39658,7085,181487,0,155166,40646,6286,0,0,0,1843433,1341254,2284500,383424,0,0,3950573,531299,0,278285,0,40899,0,0,43630,0,0,0,0,0,333369,164918,0,49344,0,0,0,11767,0,0,191845,0,0,173307,0,37571,20667,1183321,0,0,0,0,316516,0,31372,0,173377,0,0,26028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NGA",148621530,71671456,221481995,949881,2629527,0,557781,1637083,858990049,428659,973470003,5632,986772535,169565383,3177,1397754,3597,3660772,286386,2506943,388703,213908367,660360,7036228,606747683,804869,0,55339,874738,348647528,913657,4266372850,5327836,4021617,0,419424899,110279276,121613295,15941,493,2673049,0,86080,779114,23710252,383434416,0,0,0,17788170,105951957,454842,697,100605,1005928,0,9586,38365964,1196,2993264,13153403,0,401938,134241,116292606,7596,5820079,36433667,650,893,706385,840586,29583,9475274,17108,1908443,6436,2015,640059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIC",5576794,3267399,48295,64276,113274,20762670,0,2573677,33255275,385016,10954717,752895,12066244,7168467,0,0,5409465,396668,4350572,527501,0,3792184,9744283,19467,2756141,1392921,83115,686110,0,46608,263753,161494287,164802,402461,0,5973516,3942055,2186,0,32772,0,1719,7278,0,1411356,0,30643,22398,9779,1201875,66038,0,29595,83813,9344,0,55996,486365,0,0,0,28682800,12646,4957,531762,0,5025,0,6497,0,0,1209,30016,81899,0,203691,0,152786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPL",7524065,7659406,20371,1853194,5776,0,5319,106159,145475522,420043,1394413,328522,4919641,8910238,751,45950,0,243479,0,56826,67625,4966169,898582,63751,1752180,302064,235487,5176,7654,47460,612210,123465938,21510,555711,164119,3190608,14113609,5638,221896,38896,0,0,89974,64377,0,33355495,0,0,509,2900329,211040,0,823731,0,564,4904,12713,99554,7277,0,984441,0,1312,28569,773341,16158,0,209193,0,551,0,0,0,0,1774,888,0,0,36186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAK",49120449,128290246,15065731,147468550,2784452,1090617,8294506,5723956,521165402,40817516,116894168,16402157,313723558,488451819,408051,17540855,165255,522411543,164924,18294864,0,209558440,31718571,57288494,144297122,33658387,28023826,856654,22283836,55964501,46879325,976421201,23999648,96941476,19297393,131334579,33106828,0,3873747,13181382,12173,101227,2142637,5642632,29176890,48224947,1043028,676818,6561311,498544334,217002362,24381746,54883724,12532,24036,2447909,1681920,3778942,4211367,95573656,61200812,207245,1773842,2835474,63233373,2114673,33360361,17075114,375576,672607,48042205,6702968,77203,3244387,2226632,3399490,832097,918372,25134190,23729468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAN",9418586,21623668,202486495,3443118,24512917,59255331,34310,6396783,118217097,573433,46470349,39371807,8998139,9768120,194331,16850697,61428205,9419778,26066444,4947890,10933746,43946350,22550778,11662577,5630850,94155750,9629932,36545494,313797,4675738,17107814,320127341,1229100,503788,14559,7668038,100689140,4332705,3413594,115954,9914026,0,198955,1240244,30330,4450,1028047,6398229,3632,95579892,538162931,3875,1345,97734,54154,0,50729,49507,0,76614,120125530,72890994,2759332,128903,49162316,67691,15383950,103705267,66852070,0,0,0,9763191,20044,0,857549,25661402,83553519,127349,0,0,0,0,0,0,0,0,0,0,1028618,0,0,0,0,0,0,0,0,0,0,0,0,25028,0,0,0,0,0,0,0,0,0,0,0,0,3707761,0,0,0,0,17008975,0,0,0,0,0,0,0,0,0,0,415828,0,0,0,0,0,0,0,0,0,0,0,0,245764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNG",2004405,8481406,0,127423251,166123,1343,0,42238,191811989,1272458,2707348,19123723,4809712,78365737,0,0,0,30569878,1236,1392102,135601,919544,165249,42184638,28690905,0,74994756,0,68992453,676364,14179464,106529448,5586,746342592,0,1269853,128010,0,0,0,0,0,0,2663,6027910,2062935,0,0,0,672619232,243112893,0,65024,0,0,0,0,434513,0,0,16724588,0,1822,2695,2362572,0,0,0,0,2394711,0,0,0,0,0,1364324,0,132779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
