"","ARE","ARG","AUT","BGR","BOL","BRA","CAN","CHE","CHL","CHN","CIV","COL","CRI","CZE","DEU","DNK","DOM","ECU","ESP","EST","FIN","FJI","FRA","GBR","GRC","GTM","GUY","HKG","HUN","IRL","ISR","ITA","JAM","KHM","KOR","LBN","LKA","LVA","MEX","MKD","NLD","NOR","NZL","PAK","PAN","PER","POL","PRT","PRY","ROU","RUS","SAU","SDN","SLV","SVK","SVN","SWE","THA","TTO","TUR","TZA","UGA","URY","USA","ZAF","ZMB","ZWE","AUS","AZE","BIH","BLR","CYP","DZA","EGY","ETH","HRV","JOR","JPN","KEN","KGZ","LTU","MNE","MUS","NCL","SEN","SGP","SRB","SYR","TUN","ARM","MAC","MDG","MLT","MWI","NIC","TGO","VNM","GRL","ISL","MLI","ABW","AFG","AGO","ALB","BDI","BEN","BFA","BGD","BHR","BHS","BLZ","BMU","BRB","CAF","CMR","COD","COG","CUB","DJI","ERI","GAB","GEO","GHA","GIN","GMB","GNQ","GUM","HND","HTI","IDN","IND","IRN","IRQ","KAZ","KIR","KWT","LAO","LBR","LBY","MAR","MDA","MMR","MNG","MOZ","MRT","MYS","NER","NGA","NPL","OMN","PHL","PNG","PRK","PSE","QAT","RWA","SLE","SMR","SOM","SUR","SYC","TCD","TJK","TKM","TLS","UKR","UZB","VEN","GIB","GNB","KNA","MHL","MNP","WSM","FLK","ASM","ATA","FSM","PLW","SHN","SPM","ATF","TKL","VAT","HMD","SGS"
"HKG",1606555068.65,74583523.83,258884187.19,46085999.31,6393100.08,828410614.04,535676013.98,2569327869.18,98257301.07,19754342524.07,4937278.94,123786209.57,73694775.0700001,111365755.58,2726649289.63,311302465.83,62603714.08,139725641.1,710923971.820001,40157667.33,143857664.98,46033766.28,946373663.55,5566459049.1,138438937.77,171070984.07,3363672.21,0,1296102510.6,520644973.02,1817010904.63,719377710.44,34546374.3,960781563.16,2384254485.35,18214951.81,654856672.47,36546992.77,506774387.99,16243253.2,2713035928.84,255073484.72,183384383.98,151276116.2,1367392191.08,50331368.5,232337103.21,80201649.5,34283170.6,40362403.63,288984234.06,323736351.36,9870390.23,78853336.45,107318072.87,31352686.82,1309826418.96,1982161314.5,8466124.47,245758729.18,26341201.71,48415775.63,28471748.42,6438199391.4,473028378.95,33875396.83,13674078.57,1463617623.12,3070830.42,5516218.08,15864138.95,44115726.12,19543697.72,110117686.4,10473164.13,31468467.48,61385307.02,1721034299.47,92067157.7100001,1496183.04,34439922.02,4190405.16,26332897.49,7769354.88,23123661.58,3039799881.12,19451174.63,26864397.84,52349873.68,10955712.01,942265723.100001,40096827.83,23424070.49,17201393.73,26540073.09,14832409.47,3032154954.24,524911.29,16403926.99,21754528.55,3868745,2956206,62085012,3042593,1007721,34761351,16452459,697354567,64087569,2402084,1491868,0,2470717,7559502,53624681,12492170,10846605,1939871,2111686,0,7943922,13591329,40056939,12897010,4706195,1050325,46819133,46239505,2330444,2095441919,6785561199,95296290,2407130,19604782,491585,117906841,21213533,6442865,5978110,106724898,6735778,48311285,13110337,3756004,1155406,2730248160,4135839,302604653,21452145,37935294,2461340336,11596046,8665570,1929765.34,45630816,392157,7180938,2511529,77124,3124854,2148854,1504656,1036893,3605116,0,217034254,24918933,136700768,1471215,143153,0,342681,17643398,579531,0,1028576,0,1546436,0,0,0,0,17155,0,0,0
"HUN",780093480.23,54660161.64,4844596398.68001,777474864.22,3522642.31,185168389.02,348709904.53,1088835005.16,19286997.13,1304342895.96,9426223.69,17631465.38,3707905.66,3950322523.41,24300580326.87,850739081.89,3128571.77,1010476.11,2603715004.98,124340771.04,560501486.24,2279,4880583135.99,4738168997,558336747.37,1580229.35,126827.29,210608836.27,0,527765531.39,274530206.56,5533774380.6,7184421.04,102332.68,387230555.37,38872686.65,1952982.53,190933693.42,362364861.65,115728320.01,2902368781.76,417719269.04,36473951.75,95100280.61,3167784.94,15385965.7,3862008629.62,418530244.39,1734954.2,5908423239.07,3879759499.52,459583556.59,10141057.27,385908.1,4329714594.7,1038224434.6,1181279965.39,59340998.29,6474325.23,1332997234.96,8555006.63,20220798.42,2464318.01,2978259059.34,365682504.51,1614178.54,411159.96,326011573.74,84835901.54,556175806.58,198202574.14,63884969.43,58709315.47,287450808.81,3594695.21,993659550.6,198098374.81,658198131.67,20393270.58,11212165.66,270239390.99,53391512.03,21669954.2,5381100.37,4375831.9,257896244.77,1069423294.55,97309209.98,83715564.72,30520908.38,4346433.41,1574073.76,10682748.92,263099.7,640175.1,2142533.27,47636156.22,752890.04,22207116.68,390473.71,150000,2149000,4662000,77399000,167000,3776000,178000,4486000,25172000,196000,220000,247000,566000,106000,3202000,763000,271000,2791000,5881000,0,336000,34933000,22212000,299000,408000,0,0,479000,418000,13130000,141723000,23422000,208933000,402540000,0,113550000,0,1043000,20533000,66932000,96773000,7000,4027000,1086000,839000,39712000,353000,113038000,219000,43314000,12075000,34000,263000,2017624.76,41053000,5800000,1500000,4950000,31000,147000,660000,0,8465000,6513000,29000,2140598000,32067000,11651000,1070000,0,4000,0,0,0,0,13000,0,0,0,0,0,13000,4000,0,0,4000
"IRL",350601023.07,116330994.17,794180403.03,140420187.19,2229341.18,494301273.63,1833150431.59,5279398566.89999,92402026.7,2739615007.27,20363949.69,69917398.38,429567656.73,914612762.620001,11815160825.04,1156761642.47,14837538.61,58911690.56,6034522752.61,97965835.12,678690257.35,3677123.29,8982328415.32,22774109345.26,784093466.950001,11253432.02,2728468.13,880780835.67,399524991.99,0,474695055.04,4229462378.24,55861017.4,6085446.42,968411711.9,46480299.87,15356605.97,99896452.89,1010741082.98,28346606.8,4859002492.71,937417195.12,178703999.28,53349142.9,30690246.15,41293029.96,1372401139.13,845328007.77,1336109,310589711.58,931686572.52,828091102.22,25941452.59,7061710.83,156566107.25,102437343.76,1737179890.45,281847139.09,51779311.29,990952489.72,20578643.33,14962248.83,22865558.24,28869541526.86,878561614.5,20729166.31,12178152.5,1870451263.79,17342485.73,33109803.11,33292137.22,52393860.92,129040217.8,154644760.03,20904821.75,134025201.81,87896985.67,4058729877.26,37353484.99,667676.72,65156271.78,9948855.15,13475928.5,9800988.19,63078460.54,1023754716.88,110235635.27,48690164.33,78826777.14,5667745.65,6989344.77,4664528.67,38864485.25,4193825.45,7778823.49,11120480,83225841.5,281657.85,75272252.29,14766162.84,520831,6123159,20672602,7238567,593747,5421442,3317824,3364168,27564060,3397431,1435086,861887,2710642,235148,16546245,31469471,7793899,1074140,19199,320836,5311269,6915935,37103870,2348249,412628,188715,256370,2010626,1252016,74408109,228822728,64359612,36702792,20197017,0,81139874,3340759,1512353,38633006,112311965,3673957,217018,575358,1721081,459927,1563926632,1861441,301292626,81895,35643268,533500747,11171008,946935,6406204.5,35744331,528826,1375210,431991,160774,1059190,2048802,721066,189425,662867,0,60022276,2010694,112587354,2241950,0,282236,0,93274,1430748,0,0,0,0,0,0,7760,0,1978323,0,0,0
"ISR",37449000,166207148.81,144561217,76304511.52,10250665.6,1193808558.85,965370573.46,706776415.48,116618354.48,1788008497.41,9288713.93,214560710.09,49139757.03,242726306.5,2090344584.95,154882749.09,23127011.07,43861720.13,1241706240.72,30542188.75,159620280.87,5620055.74,1569187516.53,2206896925.13,347090605.31,37807831.82,140369.42,2255347266.91,174784788.69,115099014.73,0,1769720847.91,26178980.29,269959.56,911736956.14,123000,80215035.02,22356040.44,501440932.03,40602443.88,2345432968.03,127150826.76,90992290.73,1156000,17780443.02,56756444.24,437392381.98,107032392.02,20829184.38,255231195.3,801756684.58,642000,23000,14573244,50451459.97,94872035.59,190619051.03,559967771.91,3559692.25,1334428219.14,19912213.32,16603632.34,16981319.81,21215079987.5,561605014.11,1465134.95,4743139.16,701648209.16,109896764.42,8704866.83,62382334.27,858373530.36,320000,125784856.41,33057561.67,42917903.48,284018207.99,968167414.69,139833008.27,3964533.42,43597679.7,1774277.03,17639734.88,2342886.67,11726753.08,553098817.8,59221952.14,437000,226000,27969355.52,12072029.48,3156665.38,16446923.62,426824.06,6499078.67,4880334.31,91585287.95,193379.79,9176104.96,4677394.62,1347000,227000,31817000,6052000,425000,6258000,904000,3000,199000,406000,258000,736000,1269000,1695000,17578000,225000,10979000,4729000,11925000,36000,2761000,126058000,31104000,11002000,125000,28760000,0,27763000,3274000,11654000,2234056000,4000,287000,150844000,4000,2423000,846000,1614000,283000,20248000,23785000,1279000,2026000,3659000,141000,11846000,2896000,168793000,4439000,394000,90565000,734000,145000,2159291637.48,594000,19387000,103000,0,0,10000,306000,2802000,1360000,1471000,0,177647000,19092000,29161000,501000,34000,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",7539575238.66,1255774347.35,12387796671.83,2788681453.75,51496500.8,4751362460.44,4235573527.58,20403404070.05,813739491.08,9575902049.9,172802168.58,634578585.12,163837029.32,6008640847.16999,63858461180.7399,4191009399.31,235971567.33,223741285.7,33096372944.91,514216318.29,2591282530.32,7267524.24,58003264531.73,27454538697.75,10257954717.69,125795512.05,12706160.03,4580980393.62,4602727063.87,2003250325.75,2595371316.67,0,26362312.95,19341245.57,3971215035.87,1150871626.54,253030969.14,515212662.79,4546524607.19,382933385.37,11484927112.93,2861937774.55,674510127.19,874407998.02,342388014.51,708689138.1,13580807335.39,4607680945.34999,51232744.05,8962067035.9,12970199361.63,4939339692.09,419397017.97,83349480.94,2864312845.12,5616867066.65,5545523101.73,1614454170.23,204094270.47,10996298669.45,134907100.83,98409983.46,130217034.45,34842920015.96,2195819127.65,19334076.13,27962466.67,4508678019.51,409903306.35,1107543424.77,791435223.22,1414113739.68,4494555871.52001,4338755664.3,511681774.14,5159949592.06,657385971.99,6520466054.02999,282541633.97,30420109.65,1121264290.72,318670023.87,118868216.68,113867982.04,212468735.06,2836186348.95,2033522696.23,1518608924.41,4174595028.61,171296966.9,106373329.63,50745209.38,1574211115.84,13375951.11,20365739.75,58007794.12,723261538.88,3215433.31,167116836.16,46029513.42,29069328,23986224,325895324,1317168118,6363585,78221078,29526869,243885321,317022737,105372243,8879441,1209616088,12876055,2849537,119434480,91491800,169733563,432603252,26754372,37504920,78404284,221897240,298871486,49057324,8688773,86549656,12772332,47837830,18643065,899470957,4476642690,3103636462,306773096,980467998,0,1042368018,6073167,290917463,3876064504,2457815374,289565615,6037671,31285057,35071596,41226884,1031981735,25922033,1138829441,7287979,580944232,392618984,5231942,34954954,62056615.12,2239247891,11123874,19627552,0,2414128,8163626,27629809,24739250,23285607,35496573,638659,3455701722,107133839,1079337318,814631567,4669368,970979,252980838,1449830,3317006,1810,413551,0,77084,0,43008,52274,70493,508510,16678677,0,20062
"JAM",1026889.61,48023.47,1632199.39,55285.83,52129.42,5629594.54,287155535.68,2137685.39,8666570.29,3843005.03,1176.54,8796945.89,519742.06,1481564.68,146359550.11,657724.5,8595369.15,729199.81,1518220.1,707509.23,35756409.55,2283.49,158261253.25,237659403.68,27293,1647382.98,7976935.52,845487.6,16018,4630805.91,159701,1158514.5,0,0,5213373.32,23960.46,0,80907.55,6109556.49,2802,186498107.87,81231021.82,3653618.27,3761058,6383395.99,933097.32,584052.45,0,0,51295808.09,157516948.47,125333,219896.27,1442670.56,52198035.63,46741.04,1800075.32,9449761.56,22712607.69,59738.77,21851,22542.08,0,787810042.46,148470,2346,1596,1111478.84,0,0,21569.37,4557.67,17445,45400,23990.72,33983.2,55900.08,27896194.83,151049.81,3950,0,29361.7,0,0,0,3544377.33,12968.76,0,0,3355.86,27032.41,0,4691,4523,28122.8,0,3789406.79,1008,63742496.32,0,1932937,0,0,0,0,0,0,540407,0,2617641,3279310,1611741,10518981,0,5338,0,0,7916450,46191,0,0,2995,6094307,0,0,0,25135,921099,3376022,4167422,1466776,0,0,0,0,0,0,9430,0,0,0,0,0,0,0,60939,0,109463,0,0,44239,12394,203755,0,0,0,0,0,0,3803609,0,0,0,0,0,6321219,0,81136,0,0,2151654,0,0,4729,0,0,0,0,0,0,8387,0,0,0,0,0
"KHM",9033704.25,9966214.13,48014927.86,1511987.36,94713.7,10412703.12,281886853.69,31654326.56,7437527.68,43122096.96,64204,950541.23,1072119.55,12878750.48,477244988.9,20439802.56,276456,344155,221513650.22,2635455.84,17080569.5,0,133033035.76,348893781.8,11794072.32,215770.01,0,848639826.26,409523.48,20077175.67,1201595.49,63482720.22,91883.23,0,16889162.32,1395969.83,180561,166409.23,42968564.24,187863,75841732.29,18874140.51,2007101.15,42202.56,6411882.16,1014967.48,51197027.77,24097.05,102662.93,1670086.34,34518225.13,1736636.2,0,60666,6678667.1,6180910.04,14955846.48,93268953.57,287350,26493435.08,5726,29621,1786426.47,3046304625.78,8707486.9,0,0,18199271.79,4681,826152.5,369982.72,113415,336212,396528,407828,3199256.13,73309,148761289.9,42552,7747,153034,263373,68417,63750.18,7425.24,151206335.16,3227875,0,215563,169168,280496.86,0,80038,0,231783.48,0,221862519.31,18374.05,1042928.36,231225.88,0,934249,237851,0,0,0,60457,729585,19900,0,35036,0,0,0,2493,0,25220,0,0,17894,0,8266,7916,3085,0,0,0,38009,64039,4676667,4192109,675042,3449524,483815,0,45786,819070,0,0,39831,6936,1363758,0,0,53682,8855097,11798,52504,2469,1771,1455993,27794,888407,0,31954,0,6888,0,7010,0,0,0,0,0,0,4519458,0,276266,0,0,0,0,0,0,0,0,0,0,0,6093,0,0,0,0,0,0
"KOR",5438210408.49,727081845.09,846877104.08,294615835.74,29698899.36,5587153452.78,5392299478.51,655907488.919999,3270934725.82,89562726283.39,103435606.19,970814330.66,291773278.25,1316159207.49,12262710121.15,585694881.700001,134733724.12,674363494.81,3837546369.71,130208287.4,2331121006.57,38754890.69,5341814735.02,6991786842.38,2043870809.53,381281586.13,8916973.76,17548964162.19,2036435943.27,779156125.69,1097720255.7,4329487585.61,40509549.79,360574221.97,0,251167999.09,285585232.67,92316039.3,10004432936.14,55720310.08,4613785332.44,2181838888.39,910432603.64,874015203.13,6522521069.24,793096470.910001,4776597062.71,495504829.6,118585702.08,787210368.21,10272938937.24,5355254206.12,205755906.33,123115367.96,4028391115.74,689399390.22,1332730412.12,6353982873.17001,97374494.29,4407283070.08,92318369.82,42469631.61,100657160.33,48446624860.3,1578278638.29,26350643.02,12269490.45,5412689641.7,251468871.53,64728245.96,160306498.84,1382059962.6,984918937.09,1565104308.03,137618296.6,256110836.38,702975578.96,28663504172.37,149308727.36,122638625,111653042.63,20752570.41,81162697.31,76154082.05,47956254.96,18707520899.63,141055602.76,783669601.95,186341096.03,79068137.92,42852261.22,85796100.1,1809168673.85,22171774.62,211262960.62,31034391.12,7646645373.35999,1507342.49,53020803.58,6356834.81,12591067,73869475,1266258639,13875155,148681,45868320,17612805,1094926173,498027631,2069128825,8022924,789997823,8130779,89527122,44121138,20020866,37075741,344779152,33526989,2705872,12858728,66280086,194896531,24913502,2408215,12796402,175371326,130704250,16565077,7932747740,8975761473,4342473542,368285227,347537734,176905,744129873,53141296,2801507409,821007909,390720223,13372536,243769539,237996187,38478291,7671643,5793404657,8098114,2535917777,23700085,888514694,5012934273,31339291,0,34752203.27,1901416877,8980365,5996569,450045,5187,13900579,9835281,2272078,38917575,22356039,2433219,1773224790,1121684432,728323072,46372356,643254,987482,4759253911,9371362,4785960,3290,30716883,33724,6662332,2051100,0,0,217712,31164,35298,0,0
"LBN",388211502.11,485921.22,2174812.26,17029161.47,39986,55740963.04,15658167.61,598168331.36,95211.78,48460130.02,21136627.14,474336.19,10555.21,1930151.89,61425539.13,4310240.3,52043.11,46689.72,48496330.89,343145.52,998076.55,0,90410705.67,95973521.98,77295445.47,0,0,21328904.26,405089.57,7763226.7,0,57477501.21,105154,55001.8,29045127.62,0,763212.38,301229.09,450342.08,69892.59,31445004.58,1239639.13,782886.05,19318534.24,1292474.43,384687.29,11447303.43,1666408.43,346450.83,15790903.97,16883224.59,255405650.4,34310462.99,33603,55987.53,7478988.62,14176426.09,5407353.48,5582824.13,296755330.53,4161928.18,2145933.89,3408142.22,83888341.72,13120997.93,3826720.89,1338125.93,12567298.47,6035043.44,88591.76,3530711.69,39562153.12,72675564.57,180820774.03,2898813.03,35661.12,144653402.52,4805515.14,16894701.01,108148.01,315363.38,31896,177863.61,510852.72,13572488.79,3063297.01,592702.17,244242151.88,22353704.76,9312504.82,7467.2,1779119.1,5483525.48,1018715.09,2102,5339161.7,188872,0,72616.31,2950617.63,50398,4720247,36122557,2111455,2500,6357908,2364245,2177097,26838491,64485,0,0,458507,6804808,3100424,2784035,33759117,0,2171060,1389456,10748003,160034,20863597,29757137,2378815,8569142,0,42106,32987,3051674,12371435,100832662,268831959,571319,0,95668328,0,15643351,11073242,16015362,276870,0,0,535397,1493766,2268787,2220951,53823701,0,13658323,467257,0,0,0,84839582,33885,7978304,0,0,54933,0,49853,44072,198790,0,1993986,147713,1328204,0,252044,0,0,0,0,0,31555,0,0,0,0,0,0,0,0,0,0
"LKA",279016637.53,10519789.25,48719384.29,3598173.54,2469916.3,23170758.84,105352468.81,81633856.12,30102399.78,62144143.63,1531037.62,7913004.27,755606.36,29495817.83,523667957.44,36005443.44,406317.5,4909375.2,100619871.44,5471211.93,22086743.83,3295069.75,264608547.82,1522919737.04,12800704.76,942846.85,453988.41,113459660.42,3756677.58,45064952.39,49607587.98,472499250.42,1589104.02,1719566.35,53035372.33,15697311.62,0,1914778.96,88596958.86,1694803.39,144734491.72,31564280.37,26031409.44,73364693.82,6523445.2,8355923.25,56918155.76,6059429.74,604098.84,9937017.42,252711812.2,57297569.67,2223467,1000645.94,17958999.97,6883494.07,62073242.93,52237638.11,2865015.58,112257280.57,4735471.3,838889.13,1112417.15,1964564426.98,21688571.47,173109.46,101056.59,103610539.49,12732789.21,892761.86,10065700.81,2670655.27,1825098.91,23149230.19,546172.42,8654520.98,45148484.35,198832766.46,6691513.79,2203049.84,4736728.28,388721.8,2433805.16,593776.02,235826.34,97843667.24,4312905.1,108631945.01,12123383.89,9929886.23,820927.89,5193633.36,1714321.56,249041.57,906307.07,1300920.9,21605808.66,30300,1584377.4,425144.04,23629,342290,2148303,99299,2123,39098,5967,22975584,10732198,23325,126390,16006,64275,0,346689,0,911491,29902,21019,47271,70770,1800201,5441926,1917501,1055886,0,245083,647648,165102,38419625,400136525,154409519,42469416,3907369,30888,29709096,0,294898,21442879,2826423,2161760,174846,1655565,142767,455160,41236521,254971,2745895,182504,7630023,3268501,1026374,17058,680545.28,5718477,311283,311534,0,0,220395,2335573,0,446051,613629,4384,58565372,4580646,1867225,0,0,6653,11754,0,15892,0,1132,0,6386,0,0,187567,0,1495,0,0,0
"LVA",14632058.13,176119661.13,46523702.96,12597108.57,121189,9764373.52,42749616.59,64706206.6,7756083.73,33284172.13,26609.26,11276558.05,11834522.76,55416829.94,712967332.82,519512928.74,547240.7,39664162.12,332718704.88,877120953.2,335968932.89,0,271870717.15,734400097.52,9122758.82,33848538.22,6287.68,8290305,31375129.63,150155162.32,303503792.9,124193190.28,830249,489005,23676901.79,2189605.15,760796.24,0,2394172.2,583362.59,286115876.49,293877051.53,3745360.78,2677919.25,6185189.29,166457322.41,344336534.12,6735039.05,15001754.55,60327454.73,888568340.32,20555106.32,56395,1204253,50029251.93,8270185.5,867104833.53,7236980.26,893668,22329103.77,178279.24,19917.85,752151.13,237157968.05,10886594.23,266676,23031,3436208.17,15619581.18,1062475.68,188181359.33,17517552.63,22567225.76,41615310.56,107320,2424836.89,218685.94,36073004.26,244396.78,7661813.5,1585940355.85,192832.47,385911.14,21138.84,1112472.34,61657986.74,2744559.87,25930836.49,12912680.22,11197561.03,12966,3250,2824767.19,58255,45730,22468054.98,14087864.95,136514.42,52907910.4,117262.24,83109,82030,0,149978,19263,260764,0,463389,823887,1372737,1058949,27527,330609,0,92025,675261,1410,0,134899,0,77108,10124005,358046,46559,98627,64985,0,161087,6599,2388127,13170315,10697412,1180498,44296529,0,417481,16128,2237065,5878399,47114244,11470469,0,938394,29670,3055,1374003,0,2173010,21093,5264119,858921,0,0,0,536963,0,6546,20324,9183,21996,9266,100709,2866103,4748636,0,134963927,26853364,442589,196798,6224,293360,448010,0,0,442023,0,0,0,0,0,0,0,0,0,0,0
"MEX",316192843.01,1562289275.99,228697212.26,53661221.57,121299688.34,3369574256.23,13668229191.63,743217150.249999,1777555491.63,2645128643.47,3862095.13,3122809429.31,1032712406.74,237524176.04,5734743226.8,167773375.82,902268546.12,668874126.75,4643030806.24,14758380.66,462876764.25,784325.94,1011385768.65,2698305119.54,100437521.28,1444166761.57,8270848.41,438915740.99,186766609.3,345713743.93,238432044.43,869288806.92,251003739.73,142630.11,897357808.85,23341803.49,5824473.68,6930384.26,0,5501659.8,2194808301.75,147346910.12,127936059.22,24126461.72,821212356.25,1195527882.96,364576103.15,165609526.56,76673640.79,32365983.32,427786841.07,309165587.31,1784933,928095845.320001,54162982.9,50491724.52,142369342.98,271624102.3,142212458.25,356746252.03,378737.11,315334.81,147160193.99,213846469648.47,323434935.34,284333.16,66749.7,1085843800.49,2384514.81,8850314,21955403.75,14791186.13,495842082.83,122813773.24,2959243.13,49741664.39,23271530.81,3341961714.04,5879470.91,928307.22,8205811.77,1498068.52,3426066.76,8294050.59,1451793.12,575171719.97,20222053.57,11002893.77,42194207.9,2759022.85,2095926.12,1514877.53,9915844.06,0,417786888.91,76022.85,79394653.41,200573.42,11147385.49,240657.54,1494470645,2124708,30987634,1194580,0,5940,164446,12782046,5457539,55053591,87561463,3464424,13269241,117732,1614810,0,8887033,306911160,17372,0,654608,146641,1082145,734195,37133,14634,454140,453954086,22768238,63158247,1556474855,4510360,1008955,79757215,0,112642753,412185,4215977,40888621,11512555,169271,132197,38690,6692,27930,107280429,0,22126685,74065,2227583,60884610,1213112,3039853,872761.78,15118770,14110,1406,15629,0,10390658,603943,0,0,498643,129525,17140423,4913005,2304361051,277674,23137,1876733,3541662,0,92744,0,0,0,452162,0,0,49140,0,0,3487,0,0
"MKD",1745052.99,2554933.56,38111168.76,407027394.68,1979,901783.62,7420567.67,27746067.68,55944,12027194.29,3613,1014198.03,0,19766830.89,670778178.05,4164970.42,1440,0,97258495.49,604658.49,3417417.43,0,39483558.59,60973466.82,517873945.09,5867,0,121961.43,6885950.51,742525.38,584820.71,370011400.32,0,0,1257285.96,1221803,47943.19,1059847.86,1010140.5,0,71781215.35,5190860.14,171323.82,0,0,28550,16040926.88,27003291.75,0,33929700.46,59229939.7,562929.8,19389,0,20022131.44,70056727.3,8844539.14,347044.95,0,28987829.38,0,40049,2718,75243246.93,409229.6,0,0,3390067.37,426181.1,111201606.94,3342824.03,1865017.65,0,802596.57,0,271071411.99,136143.24,12518062.25,0,0,980721.25,38649410.23,0,2297,0,0,367030257.59,0,110255.63,468693,111401,7798.96,164358,0,0,0,0,7916,427695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NLD",2382312418.82,300994896.62,5381748778.59,632128756.19,18375093.36,1603951712.8,2181943368.71,8273339409.84,262856910.61,5493069449.11,167020282.43,373470672.83,280735388.58,4845538648.56,85808394024.24,7281522091.34,89888244.1899999,156455940.96,16071799809.45,377571459,3935880114.02,5556688.35,30267456878.44,43072050737.3101,4137596143.35,83577742.39,27945338.95,1991899849.6,4584206955.10001,4315011658.13,2414764932.37,27552534551.98,25058419.94,6947360.38,3538316947.13,217914554.87,121668285.91,564868228.83,3867977988.42,103897513.43,0,3782592892.08,291308045.63,374402355.34,79791471.08,140267988.64,7764286642.99002,3810021860.28,49433870.78,2993532384.45,6795625400.86,2185860538.74,144593102.12,40242904.84,1199857622.11,712083988.279999,9571880031.39,1200507878.8,123712566.47,3574811477.43,220701097.7,74238920.29,48914540.02,18591331127.89,1535546168.54,37109169.41,17670198.42,1576923532.2,145955040.8,140441457.48,411325677.74,477179518.51,564785330.98,1218493825.57,72312826.08,565977822.6,288958808.46,3985895094.92,221972273.04,49358986.22,1076985679.69,42295682.03,55966680.79,26531372.53,225373340.21,3484667652.95,434814261.29,280240053.14,388277735.22,32309781.49,23114603.56,55501068.05,228119470.65,47808541.92,19299778.68,247018056.57,697614292.32,7518907.35,398859064.23,31762183.14,86384233,54887928,523831187,51181873,4800933,204054004,20235205,60508150,164581232,16031079,7151287,9037479,16294860,24062090,91220523,125834904,103955200,128558068,31791031,1687255,100430387,79994782,350961090,245744529,40520517,33630061,1164131,27880137,21057469,1105369186,2089670529,639016511,108144587,484337761,26525,428695382,540803,78899905,310396372,931796227,85579656,6486699,8313945,21810461,114218670,673381869,45347954,4419123433,7133609,352526035,414680159,20750955,19146227,16772611.11,516704926,20364882,27116826,69417413,2534558,197181240,11082802,31256123,6856570,37011926,775107,1756032860,80128872,316346686,470368216,8994740,467125,77784391,800155,1458845,194516,91362,27998,36839,0,7368,646904,3314084,6838885,719108,0,7368
"NOR",386279023.6,66070559.78,956231125.15,28760940.57,7967730.37,662436170.979999,5079882605.17,985179748.370001,145834424.67,2087095071.3,13249181.34,56123621.28,27031162.37,1137554125,24589994030.39,5506339136.79999,62851873.56,14928994.27,2988562109.15,169033460.54,2332928535.46,330077.64,13274586292.98,42386537247.06,607424883.949999,56962956.69,232978.63,313359621.39,84470463.6,1945991929.63,83684819.99,5138096678.54,21547236.63,802756.85,2123512870.11,9181555.32,7836538.58,126402297.06,264375671.15,4218587.96,14222040034.8,0,57890441.88,102405470.67,88878720.61,13795611.28,2747883802.13,1000299309.6,2749435.19,181262979.53,1192172839.17,292091722.56,6189916.4,16256945.2,114947328.41,37582359.91,12576327407.92,337067936.93,7838605.53,721091386.02,19076874.14,51660842.34,10596686.71,7308250316.22001,202075929.38,2964954.72,1126181.03,368451868.51,19549031.72,7059156.32,86186196.71,93013633.54,36956009.99,170166788.05,7661645.04,89223018.98,79218770.51,1998300565.24,38807023.35,2340540.4,197802047.31,1579750.37,3216941.22,9167869.51,1392736.41,1055643442.6,27767916.13,6379739.67,16271037.07,1340630.48,1569902.73,1409194.66,26794516.68,374262.72,4142808.8,714144.61,67418092.13,45298035.9,709005597.09,2361076.75,135664,3053408,145134763,3780215,45621,318557,117254,12318479,39043889,37766223,3817023,251662926,1441788,3267,1455387,23998133,79984388,300434,196005,489591,4508233,4844782,12506634,950714,342384,1582502,567123,11459966,466586,52642155,516542936,38605180,3368068,636231642,0,9808233,2027840,209393950,9663513,22831389,6333818,658815,290343,9897943,1963043,164521252,6985496,279710615,400887,15379655,46717679,542754,0,1071408.34,45799957,333848,421789,7989650,126268,394268,538768,427306,95343,4116201,25022,261830471,2678092,36915279,1678719,58430,9231771,47242519,7803,0,16922,16922,0,0,0,0,0,0,0,0,0,0
