"","BEL","CHN","COL","DEU","DNK","ESP","FIN","FRA","GBR","GTM","HKG","IRL","ITA","MYS","NLD","NZL","PHL","PRT","PRY","USA","ARE","AUS","AUT","BOL","BRA","BRB","CAN","CHE","CHL","CYP","ECU","EGY","GRC","GRL","HUN","IDN","IND","ISL","JPN","KOR","LKA","MEX","MLT","NOR","PAK","PER","POL","SAU","SGP","SWE","THA","TUR","ZWE","ARG","NGA","VEN","HND","MAC","TUN","AFG","BGD","BGR","BHR","BHS","CIV","COD","CRI","CSK","CUB","DJI","DOM","DZA","ETH","FJI","GHA","GLP","GUF","IRN","JAM","JOR","KEN","KWT","LBN","LBY","MAR","MDG","MMR","MOZ","MUS","NER","NPL","OMN","PAN","PNG","PRK","QAT","ROU","RWA","SDN","SEN","SOM","SUN","SYR","TTO","TZA","VNM","YUG","ZAF","ZMB","AGO","ALB","BEN","BMU","CMR","COG","GAB","GIB","GIN","GUY","HTI","IRQ","ISR","KHM","KNA","LBR","MRT","MWI","NIC","SLV","SUR","TGO","URY","ATF","BDI","BFA","BLZ","CAF","FLK","GMB","GNB","GNQ","KIR","LAO","MLI","MNG","NCL","SLE","SYC","TCD","UGA","WSM","SHN","SPM","ABW","TKL","TLS"
"HKG",526262747,15972153250,10554328,3057477408,155744470,284027106,110549073,706881145,3395764855,21378042,0,114559120,345263269,702051015,774268323,103782639,583302134,39018559,48898573,8770900627,319313681,527807558,243388870,1231971,119612447,1920366,801392829,536145181,52555080,22469355,8350405,71325313,64376662,969637,12198359,219876921,241145455,10512329,1976979557,724303578,195280095,280301507,10209197,252574100,40505172,10009561,182738717,127971006,1802270163,377649421,749329891,75031908,10343896,48943488,127025778,42486541,14888877,627375404,10862293,17438070,241088999,6019112,20715836,3574691,23689322,26019683,21451549,15814730,286406,5993164,36445274,4202994,1528243,23610138,33698831,2372946,1481555,11572309,11932218,35902932,27979624,15522321,89753559,27354194,21043363,13486010,13328153,11110422,100398064,5621363,26130321,23882332,866259830,30505973,124831219,8322429,5857062,3341018,2940188,25488142,35904,197715670,15263771,11733558,22963183,381324301,61454107,506169159,8012902,5560376,78383,15818442,7092923,13694367,45291412,15002746,7817171,35933096,1465129,8570004,0,135222659,5332002,7197611,1994696,3845185,15894340,1496544,5259645,5697571,65606748,16788275,0,2935600,10902905,3101937,484277,0,25680981,1028126,189197,795518,3289405,13008624,1622947,18662167,4163296,1131393,100351,9405850,1991598,0,0,2802860,0,0
"IRL",721113895,18446005,6117500,2962484828,217380673,658080694,163606914,1941926049,7069191787,6852263,58005613,0,1135705167,43820332,894719700,25106367,20617430,108632560,1649609,1851021478,32501428,133066978,196664235,1080227,65684745,2904376,285083185,341992967,21645259,20996061,7111911,62397316,121756853,133261,190307697,12528974,15012622,8313216,765396749,93936671,4990835,75875412,18857993,216560345,21033599,4321963,35763331,125837421,75955299,313507581,28603085,44131652,7508892,17549834,51251589,11594305,1725853,171804,10711802,1310862,1245855,290260,8585628,10056085,4777787,11668754,4336745,12839541,2185499,963964,1923392,10734801,3838198,160343,7268902,809848,740331,16016299,62717926,6044391,6718363,7013679,13502097,23959152,23385177,627028,125558,1673730,8394252,2928574,1000682,5278013,4181150,1427482,6190247,5257435,4656859,475065,4526482,1805909,0,112226873,2725640,10994416,3065202,607673,18691346,49055597,3116960,4684316,168554,579092,21163944,7477965,1356810,3730718,2151717,1146734,567564,2328857,1326425,42033680,0,21107,4827459,711326,969231,740241,644634,100827,1296447,720122,0,806690,2693431,441370,706758,5954,347091,221220,519541,0,11281,320748,0,187971,1390159,228687,2141572,573636,6100,6718,5820,875904,0,0
"ITA",5026489265,1341965900,115527409,33029013953,1230839428,8533135756,923764856,23201836726,10119234758,41092920,1376267477,530624283,0,401466227,4234257614,187629023,105669297,2473560777,32457166,11143248330,379977234,898048513,4103087407,23821056,906456014,3599131,1438299755,6169051525,159744826,251132772,136334694,813053955,2797243351,3276685,754329724,483722930,444994373,54148499,4113691302,1291543287,18599170,561896781,704684158,777390284,256977006,114053680,763809062,1226312281,818371018,1831415348,491529070,1753744266,45440966,351449110,282869387,437599197,7714602,8667543,853727524,2377774,33641119,239286574,98450531,7383549,74276171,40642061,35037154,437278055,158293070,19933510,61024309,1105942452,87952337,2077359,65159629,68135918,36812792,1758734210,19066667,125913914,89168135,0,476059248,1275759197,466916111,14761406,1871730,61403747,37891175,12838910,1384889,76637596,263680817,2554141,23129203,90528151,261695284,7679779,107785883,53926508,34970274,2411962759,239676501,7662902,82116982,12243901,2131674057,681805315,19123759,60307665,80452306,18931963,5562052,45371659,38538475,23215065,24872574,25508959,9079377,2372178,0,1003274245,260892,1437487,61734863,23484894,5924035,19348678,9991188,10045180,33945166,58973894,0,9764192,17146341,1539835,24531058,6771271,9453585,6096152,3278056,306947,6089580,12627677,3167460,16633143,12742545,4466810,3519134,24552148,443828,105828,1067886,5094898,0,0
"MYS",259709654,748808128,10448761,1709767909,95064000,248651317,40663979,647799403,1594929796,11846740,1185097893,62489852,407499959,0,442465485,83258582,322987864,28027607,1020818,5939484942,199481161,571035095,79376515,448721,71028133,497100,346020408,73520271,94876423,9370273,2600865,63716499,35814653,187550,11465004,507220014,317827541,1180868,5853500842,1707016727,136780102,48801382,3364429,39261731,349583229,2626643,11045843,173954301,9336309222,117666194,1128948739,132679490,6487842,28788273,55849873,7560724,2916725,4778437,8497662,7798934,45350945,1271298,14538046,42146,2934297,248599,793578,11557666,1354834,161208,898865,399252,1913151,4831696,1038133,1258849,462616,43557278,9551469,24041795,2768710,12858727,16288551,6643555,9083150,3632866,67019324,8585687,19162714,293286,3509977,32250591,46407668,20745044,771108,5537846,6761565,47755,17831370,973655,36326,81307402,13582616,316672,3258658,23282404,36279689,324789,93067,7802766,144722,3722743,26549,9435909,37391,994462,106203,58421,21818,17198151,0,0,1829736,32677,662122,544758,422541,7322,463426,0,269061,2282142,0,130750,61519,0,4210,10362,129155,0,0,0,66552,105183,110141,581968,222630,553759,0,26429,15311,4471,27544,418342,76387,0
"NLD",19352420842,393410447,44161223,34992385868,1668333121,2988129536,669028205,10950913178,14959203532,23511252,752264999,827121099,10051585383,299378805,0,84938942,142387840,1458509258,13480620,4599614473,187100416,404709674,1227598329,8650437,269404508,11414398,478783897,2490383004,52109518,60895177,21544305,279176293,1169974680,3901328,279686623,460733122,238746201,158808258,1109366588,528163587,44017838,197242733,58930326,1219364971,122987211,31249335,823401205,513067425,524729975,1951533447,297779445,587932547,32057302,92878470,277830356,138920327,16386756,4700136,107907498,4281568,28469923,41098381,49388224,3607801,100445675,40541088,21832319,209699636,36003467,13313410,49212134,115320812,33496520,2208531,64186097,16876387,21019878,455328008,18970015,65984898,54282691,49171725,78840936,226263424,170947657,3970629,11421597,13643592,10301654,12896641,1449632,124896385,22771060,3689034,5550459,35623728,78738670,6334615,40752383,28249895,3712491,595477379,84361629,21285184,54957285,5832589,334807009,344781089,13210159,64582550,1612214,42494431,3709799,38034358,25065613,28410675,49596987,30512417,4072445,7918429,11569290,514110430,345029,432138,9329633,11497125,9258110,6410942,13026978,63056656,49761334,10539241,0,6498182,12784343,6734414,2757426,714808,11059584,6554125,4993112,37519,143419,17324789,4962125,9100465,13869458,2607266,3727077,4277138,342083,130926,530606,37700933,0,0
"NZL",103523256,159820394,3630506,332329947,23780232,68371632,14177778,181829872,618876791,1846817,162996425,11394821,146315439,263191221,47606370,0,69832663,25957228,111160,1214060128,23803686,1592307500,25250293,45496,7548656,8941614,154945576,35201190,16055678,1590427,670332,7616478,42631414,574554,2024026,108119508,67509748,1015125,1663574080,460321718,29825184,61647751,3128937,9623426,13419858,12421123,1468477,83805155,147640992,46166371,104062060,27135592,2596201,21201656,635070,59815470,1773680,4179084,3785694,11343,1597645,193261,7636582,814089,10118,30110,57137,2985014,46243366,0,5871229,106539691,0,111308875,354797,5126439,546400,98685802,9700572,22835819,990149,4882145,1102577,8647703,5162389,5082,307008,2286355,16071328,42838,33209449,13760166,4760634,55533477,0,2380665,39828,20487,0,21474,0,131786547,1344258,8667057,113408,3046618,828517,13481735,31245,0,86613,0,2627698,2416,0,0,185799,0,647217,1113443,1731613,1793267,0,58497,0,0,898047,432638,2318506,5074,0,409507,0,0,0,779346,0,38353,0,0,0,2339775,24803,0,66431,27567951,55386,59641,0,17597,36668919,0,0,23544,9622,0
"PHL",65216432,120477205,1760629,601816672,30366195,72490843,19760297,235635000,363279534,212632,451364654,13971504,113164761,167517434,171198318,13864347,0,12547009,355392,3346219618,63954159,96550961,31705671,18348,5143167,115821,169011071,29150472,7657545,1526801,64166,14559508,7555096,40638,1903355,75278327,16673439,882372,2127477820,292402563,3075413,18328074,1196717,27549915,3507130,741217,1844808,47184392,254932026,35514858,149434263,4816658,70800,4161211,3136585,2818084,6050,1930721,797224,25772,4646464,0,4031286,307162,31503,0,70543,424698,0,29536,383103,688000,0,961393,49815,1053433,123775,247035,446316,303282,90589,2732952,2050662,211079,205365,267364,1154,9775878,1012462,0,114312,2109174,44442838,2363520,0,375894,5155915,0,0,167207,2114,15495196,237988,383355,382260,21203071,628180,1543434,1010,0,0,8321,180485,26952,86699,91029,45974,4605,0,76486,0,6402954,0,0,0,0,0,33794,83913,83863,146457,323544,0,0,0,291465,0,0,0,531143,0,71435,0,0,0,98463,0,90825,0,1054,61220,0,0,994532,0,0
"PRT",455708018,22328750,884326,3083866403,341482829,2342288952,276091332,2327510699,1685845191,970033,17426644,96416147,612789620,14152770,700957548,10313885,3602196,0,246360,673994587,7999697,43486548,273161274,678853,37372869,227253,139564045,260155545,9517958,16491084,2488429,13470819,62721458,1148432,3678617,4105433,5347815,18884289,165273694,45009148,2544226,15336656,6260944,246169714,4248994,1449829,5746616,23019039,23429737,627117852,12388806,23672440,10188348,6398941,8275101,8055915,578351,16535859,4523115,0,195988,5056393,1979664,188834,3635094,1240329,1142528,4850021,1643093,137368,2636049,22051049,101248,65284,2210061,3946564,571012,12262474,580617,1078176,2468263,1786628,11567236,2155112,44722354,225800,0,38531019,1628520,166124,2644,1040573,2162712,90991,0,1171673,1004701,309721,0,3402630,9053,10459035,3102677,628522,5170131,24738,3882334,44839083,278553,550260200,267617,562612,350275,1751384,1432048,1601353,2380645,1817694,244137,67236,2474,49342043,0,3141,260005,595193,1266061,38884,429785,342659,718121,763946,0,314791,666520,76435,493531,6327,94009,32732254,921,0,0,743327,0,275814,69470,18256,83898,269071,5115,6347,21595,84530,0,0
"PRY",32910522,17489019,617894,59640624,1590173,50218956,1258954,21889002,2236291,981715,853409,43639,69825613,4177836,55438004,796,0,24147977,0,42470568,166126,18189,3245666,3163474,191511261,85658,107497,7480261,53451016,0,200236,0,4871211,0,4515,3625804,21627,0,8789119,8763936,0,1463008,1381,31874,28938,10609879,0,369781,3380901,187805,907580,199045,0,36907164,0,8899154,8976,0,530978,0,0,0,0,0,0,0,317744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050046,0,0,0,0,0,0,2819,0,0,6256834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",5248046968,7633791877,1567064764,22994868886,1798518750,6780036127,1400984011,20545785839,20231141905,877157461,7850220466,2813402436,9263942104,5106662264,8729837413,1379167369,2372994735,812817755,217602269,0,879003011,8277468516,1833111720,239590181,6147852624,229724835,69677836655,4605735731,1560739471,200968815,753461371,1960240644,849557345,9657956,284383481,3107474839,1999306837,167157997,48657327510,17119549427,161414417,22590744012,78300780,1792652485,865423490,744311313,463967239,5492141896,9434070635,3825057893,3592814180,2100251099,101335947,1357969002,529658418,5037924233,543513964,79457058,231234457,2942402,178916059,142161728,500289600,721026296,81196349,61774368,1218184280,123127185,1265373,9955810,1742610886,726668016,210392631,28334868,140878655,136602339,145274744,527481700,946199671,219432671,91418688,1228385790,165140113,62451790,395830514,14064518,22869517,100873097,15120208,10377520,5880409,237451529,977972992,95831908,484270,147354781,208984593,2010658,92351057,75983321,7369882,3579177190,209344560,467754717,34499548,3492583,370678946,2183977450,23496572,186084520,17995286,26119923,232465598,45399059,43311011,84953471,10338273,88177631,85935891,395081014,181240,3006154132,17500,34691819,47123369,21601864,54731548,149934213,432031053,134223895,23911235,216303440,90651,1919481,23571344,114180556,1213353,101235,10750707,1433238,12676512,27399281,896315,18312315,12262977,44156897,24689834,1887934,13763259,13375036,6659188,0,378053,234271289,34834,0
"ARE",241023229,61995240,150643,173219074,2727214,226942594,41226255,445187505,353553648,43317,60227570,4397860,261283926,63714374,171302849,105388179,262079825,70083328,0,697484757,0,285551278,2951699,56073,0,3011,18555880,14840718,9923348,1785461,0,2432629,1222555,0,372562,3800636,5014242,0,9550783315,1039410497,37170449,346325,89981,2255034,283585975,25616,3554165,189932967,1172271640,11374847,269867471,333916307,121406,0,116562,1687338,0,6899,90487,0,77609,0,0,0,0,0,0,0,0,28607,0,0,12930,0,0,101109,853,0,0,998083,337563,8391405,0,9548930,237948756,0,0,0,0,0,0,746769031,0,0,0,3479786,84236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",324036892,1532132458,4144036,1121559836,74045279,190748406,72912251,746779661,1412960598,1236416,1331966937,16001347,787616840,1051345452,515373071,1714372429,383425488,26493155,222011,3887082576,238191694,0,24835809,1110412,135923332,1721196,565167842,297610062,44368919,4702756,2346463,197784219,17961728,283569,4765039,1243822791,228135428,45412984,11765419611,2732993714,40431341,72050093,3304769,44309352,155475064,18574772,18581241,269679370,1126257602,133485092,603322635,93015592,19067612,90075740,5738197,11201862,115893,27503027,599550,206517,65437954,5492055,15335948,417802,65295,23066,262089,13609336,284441,210388,0,39452100,371708,190060031,11927757,817035,133818,228223245,663750,7815532,7192362,19563224,2420871,14914783,3404851,107719,3096805,1727685,36679528,187356,1746539,73749325,19459522,618349037,20551301,18469099,46059145,17100,2194470,63157,23463,367712957,527418,4527292,1910794,36538393,25103245,113165041,1308153,931612,0,3424,159900,10147,25728,57249,1132,70597,39866,21222,32869332,66711325,2609927,0,92142,1794208,857667,272362,38795,0,363818,2030127,87467,7093,9416,23024,92014,108698,43627,7059,9853,8611739,365959,154708,19454,78887362,184638,1577768,17379,763397,15352340,0,0,0,0,0
