"","AUS","AUT","BEL","BRA","CAN","CHE","COL","DEU","DNK","ESP","FIN","FRA","GBR","GLP","GRC","HKG","IDN","IRL","ISL","ITA","JPN","KOR","KWT","LKA","MAR","MLT","MYS","NCL","NLD","NOR","NPL","NZL","PAK","PER","PHL","POL","PRT","SAU","SGP","SWE","THA","TUR","USA","YUG","ARG","CMR","CUB","DZA","JAM","JOR","KEN","MAC","SEN","SLV","TTO","TUN","URY","ECU","EGY","ETH","HND","LBY","MDG","PAN","VEN","BHR","CYP","OMN","QAT","SYC","AGO","ALB","ARE","BEN","BFA","BGD","BGR","BHS","BLZ","BMU","BOL","BRB","CHL","CHN","CIV","COD","COG","CRI","CSK","DDR","DOM","GAB","GHA","GIB","GNB","GTM","GUF","GUY","HTI","HUN","IND","IRN","IRQ","ISR","KNA","LBN","LBR","MEX","MRT","MUS","MWI","NGA","NIC","PRK","PRY","ROU","SDN","SLE","SUN","SUR","SYR","TZA","VNM","ZAF","ZMB","ZWE","AFG","CAF","DJI","FJI","FLK","GIN","GMB","GRL","KHM","KIR","LAO","MLI","MMR","MOZ","NER","PNG","RWA","SHN","SOM","TGO","UGA","WSM","YMD","BDI","GNQ","MNG","SPM","TCD"
"BLZ",230000,323000,84000,0,1499000,56000,90000,1316000,78000,0,0,102000,30574000,0,0,0,0,5000,0,1535000,354000,0,0,0,0,0,0,0,41000,13000,0,0,0,0,0,0,163000,0,0,18000,0,0,60399000,0,0,0,0,0,1379000,24000,0,0,0,94000,7661000,0,0,122000,0,0,66000,0,144000,27000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,0,794000,0,0,0,0,0,0,0,0,16000,0,0,0,0,4753000,0,0,0,0,0,0,0,0,116000,0,0,0,0,0,0,0,81000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMU",0,348000,123000,2205000,1010000,231000,6314000,7428000,26000,9e+05,0,271000,6589000,0,0,114000,0,301000,94000,2656000,115000,0,0,3000,0,0,0,0,1605000,0,0,0,68000,18000,10000,1870000,8000,391000,0,2742000,3000,9720000,13251000,0,941000,0,0,0,3000,0,0,0,0,0,41000,0,2000,218000,0,0,18000,0,0,0,573000,297000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,96000,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,4e+05,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",234000,1381000,57055000,47157000,14264000,1481000,7316000,28044000,327000,1543000,86000,44348000,77038000,0,3439000,53000,21000,16000,0,5116000,29393000,1000,5000,0,0,303000,78000,0,17926000,70000,0,5000,63000,26839000,0,0,911000,2230000,0,637000,141000,0,187922000,4109000,252429000,0,0,0,0,1246000,0,0,0,0,2000,0,1066000,1683000,0,0,12000,0,0,77000,2753000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,2000,0,0,0,0,15000,0,0,0,0,0,0,0,244000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",86000,103000,297000,1000,9836000,653000,29000,585000,298000,43000,206000,1318000,17611000,1101000,1000,43000,193000,16087000,0,326000,181000,537000,0,0,0,2000,497000,8000,75000,1000,0,70000,0,2000,10000,0,0,715000,0,72000,0,0,98160000,0,0,190000,0,0,6516000,0,0,0,0,0,25946000,0,0,2000,1000,0,0,0,0,2000,47000,0,3000,0,3000,0,0,0,0,0,0,0,0,329000,22000,2781000,0,0,0,0,0,0,0,1000,0,0,90000,0,0,0,0,0,331000,592000,258000,0,0,0,0,7000,5888000,0,0,1000,0,0,0,0,11000,0,0,0,0,34000,0,1215000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0
"CHL",5685000,22332000,224255000,461581000,80018000,6638000,82775000,593908000,5553000,135371000,1625000,276510000,293017000,286000,13448000,6014000,790000,461000,44000,291661000,643410000,87521000,4674000,1000,5000,11000,710000,38000,139175000,3386000,0,127000,90000,48499000,5222000,0,5112000,30143000,5535000,66991000,1406000,15156000,580047000,22953000,254146000,2000,0,0,7000,732000,0,0,367000,87000,16000,2118000,19606000,17615000,1756000,0,433000,0,0,3218000,62374000,3230000,1000,31000,2121000,0,0,0,0,0,0,0,0,0,0,158000,0,25000,0,0,0,0,0,7490000,0,0,10748000,0,0,0,0,556000,4000,0,0,0,0,0,0,883000,3000,0,6000,0,0,0,0,0,2000,0,0,0,1600000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",239367000,33026000,190089000,263299000,132443000,76801000,43907000,791393000,60184000,117701000,30560000,467797000,353205000,1171000,25385000,4401504000,197275000,13766000,1646000,436588000,4323366000,0,146882000,50838000,37722000,8060000,253413000,4354000,267879000,25120000,0,43666000,167847000,406000,221096000,45916000,7400000,250110000,622747000,106929000,416781000,212000,1139066000,61597000,32266000,29491000,0,47677000,1546000,33480000,19423000,142822000,19478000,2000,7358000,19874000,3160000,511000,30480000,10018000,4565000,11399000,27528000,2635000,44469000,12070000,2888000,10806000,20815000,1042000,0,0,0,0,6955000,0,0,0,0,288000,0,866000,0,0,0,0,0,105000,0,0,49000,0,0,0,0,1230000,471000,0,0,0,0,0,0,286000,0,0,13998000,0,0,0,0,0,730000,0,0,0,35170000,0,0,0,0,11899000,0,0,0,0,0,325000,0,10561000,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,1014000,0,0,0,0,0,0
"CIV",7529000,19427000,57140000,285000,2717000,21390000,117000,326144000,16236000,174770000,2804000,784985000,121977000,482000,47953000,667000,0,15269000,27000,453979000,45916000,2243000,225000,20000,32963000,4130000,5287000,2664000,173904000,1509000,0,60000,0,44000,1243000,0,39827000,2652000,201000,7594000,2000,0,302667000,14912000,196000,4978000,0,87943000,0,201000,982000,0,29873000,0,0,6039000,830000,92000,97000,0,0,0,1009000,0,0,0,1469000,0,6000,0,0,0,0,0,41231000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51000,0,0,0,0,0,0,4803000,0,0,2257000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",487000,603000,1213025000,57667000,7144000,12473000,43000,114487000,4281000,14085000,2841000,173947000,13389000,298000,8196000,6712000,0,4737000,0,151770000,134314000,172000,0,0,2811000,103000,1986000,14000,21978000,361000,0,214000,98000,0,2000,0,936000,83000,0,7501000,8881000,0,369963000,897000,210000,219000,0,4243000,46000,0,423000,0,23000,0,37000,25000,0,0,3000,0,0,0,314000,1000,0,0,120000,0,0,0,0,0,0,0,7000,0,0,0,0,51000,0,9000,0,0,0,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,528000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188000,0,0,0,0,0,2146000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,143000,45668000,84798000,0,2508000,0,56147000,2695000,114773000,25000,28734000,7931000,0,2230000,726000,0,134000,0,254846000,14018000,0,0,9000,1260000,171000,0,2000,54124000,184000,0,0,12000,0,0,0,12485000,333000,0,75000,19000,0,95272000,821000,20007000,0,0,1247000,0,0,0,0,2000,0,0,3388000,437000,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,835000,0,0,0,0,0,0,0,0,0,472000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",699000,18502000,12086000,2194000,29810000,30975000,1222000,113716000,6972000,4347000,48082000,38971000,9679000,9000,116000,961000,65000,638000,251000,52052000,13906000,286000,13000,0,188000,179000,0,4000,14800000,5277000,0,975000,668000,651000,266000,1000,1151000,1376000,259000,23357000,304000,0,403029000,7160000,2037000,24000,4358000,0,510000,268000,2000,0,2000,55345000,1538000,1244000,142000,1041000,0,3000,31321000,1784000,0,36829000,1477000,0,7000,0,0,0,0,0,0,0,0,0,0,14000,268000,1e+05,1686000,429000,1706000,0,0,0,0,0,68000,0,2381000,0,0,0,0,45129000,706000,137000,760000,0,13000,0,0,3727000,296000,528000,0,6247000,0,0,0,0,126853000,0,30000,1000,0,7000,23000,262000,1385000,0,0,276000,34000,0,0,0,0,0,0,0,0,12000,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
