"","AUS","AUT","BEL","BRA","CAN","CHE","COL","DEU","DNK","ESP","FIN","FRA","GBR","GLP","GRC","HKG","IDN","IRL","ISL","ITA","JPN","KOR","KWT","LKA","MAR","MLT","MYS","NCL","NLD","NOR","NPL","NZL","PAK","PER","PHL","POL","PRT","SAU","SGP","SWE","THA","TUR","USA","YUG","ARG","CMR","CUB","DZA","JAM","JOR","KEN","MAC","SEN","SLV","TTO","TUN","URY","ECU","EGY","ETH","HND","LBY","MDG","PAN","VEN","BHR","CYP","OMN","QAT","SYC","AGO","ALB","ARE","BEN","BFA","BGD","BGR","BHS","BLZ","BMU","BOL","BRB","CHL","CHN","CIV","COD","COG","CRI","CSK","DDR","DOM","GAB","GHA","GIB","GNB","GTM","GUF","GUY","HTI","HUN","IND","IRN","IRQ","ISR","KNA","LBN","LBR","MEX","MRT","MUS","MWI","NGA","NIC","PRK","PRY","ROU","SDN","SLE","SUN","SUR","SYR","TZA","VNM","ZAF","ZMB","ZWE","AFG","CAF","DJI","FJI","FLK","GIN","GMB","GRL","KHM","KIR","LAO","MLI","MMR","MOZ","NER","PNG","RWA","SHN","SOM","TGO","UGA","WSM","YMD","BDI","GNQ","MNG","SPM","TCD"
"SYR",11000,2063000,15018000,0,2174000,21881000,0,127639000,2001000,7130000,165000,119418000,28323000,0,50669000,1075000,22000,13000,1000,983288000,2759000,0,10317000,6773000,114000,0,73000,0,25496000,509000,0,6000,0,0,0,457000,53000,59148000,15128000,3877000,9000,17290000,29717000,5199000,65000,3000,0,20226000,0,40120000,0,0,7000,0,0,7234000,0,0,6528000,0,0,2914000,0,5000,5000,288000,92000,67000,8249000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,926000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TZA",7358000,3158000,20771000,0,4084000,2193000,2000,78676000,4763000,3594000,2221000,11853000,80587000,0,116000,29005000,58965000,4699000,0,39509000,23250000,5291000,901000,97000,620000,0,5236000,0,26855000,471000,0,2557000,3109000,130000,230000,781000,9624000,819000,11110000,6754000,48000,48000,33934000,9211000,305000,32000,0,9115000,10000,134000,835000,0,230000,0,178000,0,0,0,527000,261000,0,0,33000,0,0,599000,16000,51000,0,686000,0,0,0,0,0,0,40000,0,0,0,0,28000,0,2566000,0,3413000,0,0,0,8000,0,0,3000,0,0,6000,0,0,0,1000,8686000,669000,591000,1364000,18000,0,3000,0,0,162000,327000,258000,0,0,0,1229000,51000,0,15545000,0,45000,0,0,66000,2295000,103000,0,0,0,15000,0,0,0,0,0,0,0,0,6000,17161000,0,0,2578000,0,2693000,0,14528000,0,3412000,10136000,0,0,0,0
"VNM",184000,232000,28000,0,53000,6e+05,13000,6475000,397000,3131000,76000,4906000,161000,7000,53000,22165000,138000,3000,0,1281000,48628000,4864000,0,0,148000,0,259000,54000,732000,81000,0,698000,43000,0,0,1885000,0,5010000,18044000,416000,1070000,0,0,613000,0,223000,0,181000,0,912000,0,0,0,0,0,1000,0,0,3000,3000,0,0,3000,0,57000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",120840000,108742000,445040000,227440000,289594000,125737000,16984000,1299231000,13331000,214576000,16923000,1162314000,1347769000,288000,54182000,239720000,1842000,24855000,1411000,657450000,1812965000,5853000,5046000,31669000,0,1164000,11244000,6014000,156126000,35174000,0,22737000,430000,16418000,3464000,1992000,54268000,38912000,0,62063000,23728000,5267000,3562230000,17812000,53399000,0,0,4246000,0,2713000,2092000,526000,0,215000,19000,0,8348000,23846000,6000,269000,1145000,0,79000,220000,65328000,941000,645000,3355000,2898000,9877000,0,0,0,0,0,0,0,0,0,726000,0,1000,0,0,0,0,0,379000,0,0,4610000,0,0,0,0,768000,85000,0,0,0,0,0,0,124435000,14000,0,3000,0,0,0,162625000,0,61000,0,0,0,1000,0,0,0,0,109000,0,0,0,0,0,541000,0,261000,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0
"ZMB",403000,5951000,57386000,4665000,22000,13087000,0,102589000,47000,184000,6e+06,226166000,179088000,0,16368000,684000,9972000,3000,0,176927000,297158000,0,0,2346000,911000,3000,1000,1000,13960000,0,0,3000,6000,0,546000,0,5637000,19000,20000,24508000,5849000,0,203130000,40562000,0,0,0,10928000,0,0,4101000,0,0,0,0,1354000,0,0,647000,0,1000,0,246000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,11000,0,0,7000,0,0,0,9440000,0,0,0,0,0,191000,0,0,0,0,4124000,0,0,0,0,0,173000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZWE",22000,5394000,8029000,151000,51000,5142000,39000,72686000,1912000,13429000,34815000,36598000,61618000,0,30000,1846000,0,3071000,0,18538000,30904000,0,0,4172000,0,0,4000,0,16438000,104000,0,0,0,0,0,0,16900000,441000,0,2066000,1545000,0,39149000,0,17000,0,0,0,0,38000,0,0,0,0,0,0,0,0,0,217000,0,0,0,0,0,0,0,0,0,809000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15597000,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",1040000,4465000,4981000,0,156000,12916000,136000,59535000,1628000,1129000,1156000,7508000,46817000,0,2658000,46000,0,370000,15000,9327000,1412000,0,109000,0,53000,314000,0,7000,5277000,1341000,17000,57000,49088000,2000,1000,11000,0,6445000,80000,1746000,2000,11000,5770000,857000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,51000,23433000,0,0,1546000,0,3596000,2000,6845000,22000,39894000,862000,521000,198000,2594000,169000,19000,0,8758000,9754000,0,0,4000,636000,0,0,0,3e+05,0,0,0,0,0,0,0,410000,61000,0,0,0,0,8008000,4579000,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,4000,0,0,0,0,0,0,0,132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899000,49000,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21251000,0,0,2000,0,0,0,0,151000,0,0,0,738000,50000,0,0,0,0,0,0,403000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465000
"DJI",0,24000,0,0,0,0,0,2000,62000,8000,33000,6798000,703000,0,0,108000,0,19000,0,1995000,0,0,37000,1000,0,0,0,0,7000,3000,0,0,22000,0,0,0,0,925000,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,5450000,0,0,54000,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",86492000,12000,946000,74000,26199000,366000,0,5875000,2000,10000,0,158000,85533000,0,251000,702000,0,101000,4000,226000,42823000,10148000,0,24000,0,0,22035000,787000,2367000,1000,0,65979000,19000,0,7000,0,0,1561000,6749000,703000,23000,0,52874000,5000,0,0,0,51000,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,15879000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41000,0,0,0,0,0,1921000,0,0,0,0,0,2161000,0,0,0,0,0,159000,0,0,0,0,0,1954000,0,0,0,0,0,0
"FLK",0,28000,4000,0,2000,0,0,63000,0,0,10000,1208000,6608000,0,0,0,0,0,0,78000,524000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",4000,2017000,958000,0,33897000,157000,9000,65910000,1209000,70385000,0,43270000,1797000,0,35000,0,24000,2000,0,23600000,46000,462000,0,0,0,0,0,0,2320000,0,0,0,20000,0,0,5366000,41000,139000,0,183000,0,0,95385000,8208000,0,19805000,0,0,0,61000,0,0,11000,0,0,0,0,0,1000,0,0,1245000,0,0,4000,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",1000,206000,53000,0,8000,7092000,0,822000,4000,321000,0,6855000,5615000,0,50000,393000,0,109000,0,3432000,31000,0,0,0,0,0,0,0,277000,0,0,0,0,98000,0,0,725000,154000,0,1000,0,0,130000,301000,0,0,0,0,0,0,6000,0,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",6000,127000,52000,6799000,1787000,2063000,0,19721000,106054000,3706000,97000,19832000,655000,0,2405000,0,0,14000,368000,1526000,296000,55000,0,0,0,19000,1000,0,576000,536000,0,14000,8000,0,0,0,2153000,0,0,4408000,12000,0,14572000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,4000,0,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,564000,0,0,0,0,0,0,0,0,0,0,0,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",345000,0,0,0,4000,0,0,10000,0,0,0,20000,169000,0,27000,1000,0,0,0,172000,568000,0,0,0,0,0,18000,0,1000,0,0,0,60000,3000,0,0,0,3127000,1851000,29000,0,0,0,184000,0,0,0,0,0,0,0,0,0,0,0,0,0,131000,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",1672000,16000,51000,0,0,147000,0,12291000,1117000,125000,4000,10654000,9526000,127000,0,221000,0,257000,11000,2860000,29318000,613000,0,1000,0,0,0,1492000,3243000,1245000,0,824000,0,0,0,0,2445000,0,0,1342000,0,0,23957000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,8638000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAO",0,0,2000,0,0,1000,0,328000,22000,3000,0,656000,51000,0,2000,3859000,21000,1000,0,180000,5884000,0,0,0,0,0,617000,0,3000,0,0,0,23000,3000,0,0,0,7572000,1578000,32000,1816000,0,268000,0,0,0,0,0,0,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLI",0,12000,4953000,0,0,1346000,0,18190000,7072000,329000,0,38771000,17722000,0,384000,875000,136000,68000,0,2003000,9264000,0,0,0,592000,0,0,20000,686000,4000,0,0,0,0,0,0,5846000,957000,0,5433000,0,0,362000,0,0,0,0,107000,0,16000,14000,0,104000,0,12000,1688000,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,2352000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",6102000,96000,12415000,25776000,142000,926000,0,6852000,7528000,2276000,440000,4337000,12492000,0,8000,29171000,48616000,34000,128000,5790000,76200000,3414000,5319000,23575000,0,0,32909000,28000,6020000,2062000,0,288000,7627000,4706000,20000,0,0,499000,70001000,3317000,11153000,0,8782000,2955000,0,0,0,6000,0,93000,0,0,0,0,0,22000,0,0,0,48000,0,0,6430000,0,109000,19000,0,0,23000,11000,0,0,0,0,0,0,0,0,0,0,0,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOZ",1627000,3154000,5563000,10000,2722000,3064000,221000,20519000,5036000,5331000,191000,10464000,26506000,22000,357000,1060000,34317000,1252000,0,8759000,18915000,0,2955000,0,403000,0,13621000,0,14010000,53000,0,41000,0,18000,5460000,0,21452000,17784000,52100000,659000,7604000,0,112636000,0,0,62000,0,14000,0,25479000,51085000,0,0,0,156000,2489000,0,0,0,0,0,0,13725000,0,1400000,2722000,54000,288000,44000,32000,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258000,0,0,0,0,0,0,0,0,0,0,2881000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NER",0,9000,654000,0,0,1000,0,81470000,0,616000,0,369910000,405000,1000,370000,0,1000,0,0,1930000,157000,5000,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,27000,81000,0,28687000,0,0,0,0,0,18000,0,1361000,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNG",87591000,999000,15155000,129000,818000,1026000,242000,308551000,3165000,49087000,366000,15374000,52306000,0,0,1518000,6000,869000,0,1525000,405210000,14158000,0,1000,0,0,81000,109000,18806000,937000,0,5120000,14000,57000,5947000,0,110000,207000,5729000,260000,160000,0,56595000,0,0,0,0,0,0,183000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,0,0,0,0,0
"RWA",0,365000,11066000,0,0,77000,0,18906000,3000,364000,2999000,3502000,9984000,2000,67000,0,0,6000,0,5143000,2041000,0,0,0,0,0,0,0,1068000,5000,0,62000,0,0,0,0,0,0,0,3440000,0,0,70361000,0,0,0,0,0,0,0,7084000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHN",2000,0,0,0,0,0,0,2000,0,10000,0,968000,1107000,0,0,0,0,0,0,98000,0,0,0,0,0,0,0,0,10000,0,0,0,0,2000,0,0,0,4000,0,0,0,0,428000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOM",23000,10000,1354000,0,5000,20000,3000,1316000,0,69000,29000,1343000,259000,0,317000,57000,0,29000,0,22134000,0,0,7000,4652000,0,0,8000,0,42000,2000,0,0,0,2000,0,0,2000,116296000,0,0,0,0,411000,179000,0,0,0,0,0,0,119000,0,0,0,84000,0,0,0,0,0,0,0,2299000,0,14000,2000,0,307000,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGO",0,46000,21915000,0,2000,4784000,0,32993000,3453000,12224000,1080000,62528000,3241000,0,7241000,0,0,635000,0,13332000,881000,0,0,0,92000,0,0,0,70290000,5690000,0,0,0,0,0,4809000,0,175000,0,687000,0,0,16605000,41195000,0,29319000,0,0,0,0,2000,0,15000,0,0,0,1969000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5807000,0,0,0,0,384000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81000,0,0,651000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGA",13077000,138000,2493000,0,848000,2046000,0,21501000,893000,49326000,6000,64089000,56693000,55000,101000,2424000,0,41000,0,16405000,36633000,6043000,0,0,122000,0,2000,4000,25138000,232000,0,1012000,7000,0,0,0,684000,371000,1067000,2129000,0,0,131233000,4145000,0,0,0,0,0,39000,3260000,0,0,0,0,0,0,1368000,2604000,0,0,11594000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,0,7000,0,0,0,0,0,0,0,0,0,6318000,0,0,0,0,102000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSM",776000,14000,0,0,3000,813000,0,5538000,0,3000,0,4000,1328000,0,0,783000,0,0,0,22000,701000,0,0,11000,0,0,0,7000,2164000,3000,0,6319000,0,0,0,0,0,0,93000,2508000,0,0,1528000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166000,0,0,0,0,0,9000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0
"YMD",1000,1104000,88000,0,44000,167000,3000,1256000,0,12705000,2000,53000,8554000,0,66000,4e+05,0,0,0,85753000,17542000,0,14000,441000,0,0,0,0,13136000,4000,0,0,38000,0,0,0,3000,2180000,2272000,3000,6265000,0,18852000,6000,0,0,0,0,1000,0,5907000,0,66000,0,45000,0,0,0,0,1319000,83000,32000,801000,0,0,106000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32282000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,1854000,10042000,0,0,72000,0,23170000,199000,116000,2528000,8161000,4345000,0,0,1959000,0,0,0,4700000,4505000,0,0,0,106000,0,0,0,1378000,0,0,126000,0,0,0,0,1537000,30000,0,527000,4000,0,42200000,1487000,0,0,0,0,0,0,309000,0,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,68000,0,0,1000,0,4009000,1000,3496000,0,361000,0,0,0,0,0,0,0,1302000,0,0,0,0,0,0,0,0,10816000,0,0,0,0,0,0,0,0,168000,0,0,0,0,0,7445000,0,42000,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",0,26000,146000,0,0,44000,0,999000,29000,0,22000,1101000,4726000,0,63000,0,0,0,0,2244000,1247000,0,0,0,0,0,0,0,1189000,124000,0,9000,5000,0,0,5212000,0,915000,0,102000,0,0,2262000,1607000,0,0,0,54000,0,1000,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,13000,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPM",0,0,145000,0,82000,0,0,25000,23000,0,0,2244000,8000,18000,248000,0,0,0,0,1537000,309000,0,0,0,0,0,0,0,38000,0,0,0,0,0,0,0,943000,0,0,0,0,0,1906000,0,0,1000,0,3000,0,0,0,0,0,7000,0,0,0,6000,0,0,27000,0,0,78000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,211000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,483000,2412000,0,0,101000,0,11140000,492000,6836000,0,12703000,648000,4000,240000,698000,0,156000,0,1133000,7494000,0,0,1000,0,0,0,0,11000,29000,0,0,48000,1000,0,0,16305000,174000,0,0,139000,0,0,0,0,10115000,0,22000,0,86000,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
