"","AUS","AUT","BEL","BRA","CAN","CHE","COG","CYP","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GLP","GRC","GRL","GUF","HKG","IND","IRL","ISL","ITA","JOR","JPN","KOR","MYS","NLD","NOR","NZL","PAK","PRT","QAT","SAU","SGP","SWE","THA","TUN","USA","MAR","PNG","CHL","DZA","IDN","PER","COL","KEN","LBY","OMN","PHL","BGD","BGR","BHS","BOL","BRB","CHN","CIV","CMR","CRI","CSK","CUB","DDR","ECU","GAB","GTM","HUN","ISR","JAM","LKA","MAC","MEX","MUS","PAN","POL","PRY","ROU","SLV","SUN","SYR","TTO","TUR","URY","VEN","YUG","ZAF","ZWE","AFG","AGO","ALB","ARE","ARG","BDI","BEN","BHR","BLZ","BMU","COD","DOM","ETH","FJI","FLK","GHA","GIB","GIN","GMB","GNB","GNQ","GUY","HND","HTI","IRN","IRQ","KHM","KIR","KNA","KWT","LAO","LBN","LBR","MDG","MLI","MLT","MMR","MNG","MOZ","MRT","MWI","NCL","NER","NGA","NIC","NPL","PRK","RWA","SDN","SEN","SLE","SOM","SYC","TGO","TZA","UGA","VNM","WSM","YMD","ZMB","BFA","CAF","DJI","SPM","SUR","TCD","TLS","SHN","TKL"
"BHR",74769138,13009,8911403,0,188029,162457,0,40850,6875502,11671,21660018,88175,0,5517002,34103920,0,0,0,0,3292611,0,82687,0,3635900,60854,327290700,29610242,5592015,1561378,13024,8072437,1123392,2752,2030997,57726781,193604070,4427416,10892282,0,50593686,0,0,0,0,0,0,0,0,0,6757742,20633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91226,4273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",3769,219697,19067,0,2173860,28423,0,0,310723,26245,0,32958,0,4307953,19196391,480793,0,0,0,0,0,19248,0,73494,0,385169,0,0,4256,17542,0,0,0,0,0,0,2791,412753,0,43566547,0,441,1652,0,0,0,0,0,0,0,0,0,0,0,0,74588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMU",0,5864536,30450,0,1775445,4389213,0,0,172542,1705,0,10165,5704,8993,3629411,0,0,0,0,19099,0,1086520,125126,7130,0,41291,45780,0,1108662,0,63828,434054,4828,0,0,0,9399810,17328,0,7296725,0,2825,0,0,0,16095,6770955,0,0,0,0,0,0,0,0,2812,0,0,0,0,0,0,0,0,0,0,0,291258,0,46822,0,0,0,0,0,0,0,0,0,0,0,0,0,56322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",455078,4083732,466224273,0,9766285,1972410,14275009,137811,171122912,1710193,8693813,18238686,2269207,102182705,9255038,129985,0,0,12521,2961,0,1700788,0,101206434,0,76467175,4431875,20555916,19354839,3221,50580,1381022,4456493,0,0,0,1435926,862643,6600,470067279,245601,0,0,278155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",440,1325943,19664051,0,22365009,719891,0,76101,14138691,547040,0,23783953,5068052,9313338,6746018,353348,0,0,2763,117557,0,134108,0,5024068,168214,15553351,0,125380,3951985,16637,1739,0,819456,0,0,10874,7279865,0,0,971508042,12963450,2343,190346,0,0,0,335455,0,0,3280,3520849,0,0,0,0,128173,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,202181,18294491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",409619,2487013,10515624,0,130981,2396344,0,11544,69581125,1507962,557723,13467140,10255527,29327683,16522107,60420,1933182,0,2038,101888,5186,0,0,28560254,143657,29914581,1701880,97380,9590606,2655,39005,3747,469682,0,18072491,3339381,653076,30652,381468,80997788,0,0,0,2253938,7280,0,0,109983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408491,0,3229,0,0,0,0,0,0,0,0,0,0,0,0,0,5664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17444479,0,0,0,0,0,0
"FJI",27538739,0,105366,2496,3987835,60793,0,0,630082,23448,0,0,0,68895,82162730,0,0,0,0,635596,0,125191,839,125181,0,6907331,141770,21008126,325209,0,10233218,0,0,0,0,1541270,0,7306,0,23967304,0,400733,5014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLK",0,24147,32445,0,0,0,0,0,28301,0,0,204320,0,408419,6326902,0,0,0,0,0,0,9600,0,1566,0,656265,0,18758,0,0,0,92635,0,0,0,0,0,0,0,47556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",1511398,4449846,16459517,0,747619,9331316,0,553989,41753840,1529168,2044360,15832146,767451,16463625,74380255,0,0,0,0,95486,0,5043479,11523,5963005,47331,64270435,5358270,249332,15843992,9510704,8979536,124971,520708,20439,1344322,154327,2724355,4544113,0,46033533,0,0,0,0,113439,34556,0,0,0,0,97337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285764,0,455952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,0,1210466,0,966,48321,759,123025,2106316,25420,668190,96915,298299,75782,6401672,0,0,0,0,10373,0,5216,0,1821195,150448,3303,0,3016,136152,0,0,26913,14901,0,0,0,11203,0,7147,2431329,1811,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,11267,0,0,0,0,0,0,0,0,0,0,0,2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",0,2411180,9396739,0,7070730,540799,0,0,87220077,1475637,512,75055679,35319,26077485,1359891,0,0,0,0,0,0,46253039,0,27055588,104990,266890,439824,0,2086358,0,0,212477,179674,0,321849,0,67020,0,0,127007379,55229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
