"","AUS","AUT","BEL","BRA","CAN","CHE","COG","CYP","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GLP","GRC","GRL","GUF","HKG","IND","IRL","ISL","ITA","JOR","JPN","KOR","MYS","NLD","NOR","NZL","PAK","PRT","QAT","SAU","SGP","SWE","THA","TUN","USA","MAR","PNG","CHL","DZA","IDN","PER","COL","KEN","LBY","OMN","PHL","BGD","BGR","BHS","BOL","BRB","CHN","CIV","CMR","CRI","CSK","CUB","DDR","ECU","GAB","GTM","HUN","ISR","JAM","LKA","MAC","MEX","MUS","PAN","POL","PRY","ROU","SLV","SUN","SYR","TTO","TUR","URY","VEN","YUG","ZAF","ZWE","AFG","AGO","ALB","ARE","ARG","BDI","BEN","BHR","BLZ","BMU","COD","DOM","ETH","FJI","FLK","GHA","GIB","GIN","GMB","GNB","GNQ","GUY","HND","HTI","IRN","IRQ","KHM","KIR","KNA","KWT","LAO","LBN","LBR","MDG","MLI","MLT","MMR","MNG","MOZ","MRT","MWI","NCL","NER","NGA","NIC","NPL","PRK","RWA","SDN","SEN","SLE","SOM","SYC","TGO","TZA","UGA","VNM","WSM","YMD","ZMB","BFA","CAF","DJI","SPM","SUR","TCD","TLS","SHN","TKL"
"UGA",12316460,1701083,1794426,0,723838,264045,0,0,35973099,752462,396697,40344178,3164852,37502719,57400805,83197,0,0,0,810982,0,36708,0,27529790,226490,26759251,1458039,0,16288628,0,565127,10036,4642298,0,0,5164978,264835,40549,0,89161367,39174,0,0,15489,0,0,0,0,0,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VNM",3325993,407505,2567627,0,1547357,487435,0,30093,5298172,110812,0,144763,110262,7316678,1404065,0,0,0,0,80719222,0,1748,0,1358875,27275,46352993,0,7761875,427624,71311,130713,133635,14113,0,67174,44325978,417047,588842,0,64945,388244,0,50342,0,1359867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321309,70702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WSM",1836343,9016,535121,0,71086,0,0,0,1763929,307174,0,17350,0,1412,441556,0,0,0,0,1933,0,0,0,59614,0,645064,119118,0,1288475,12395,5623379,17257,0,0,0,0,0,0,0,6007859,0,216771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YMD",0,1205,22390994,0,77524,40174,0,4587518,14117743,1884,1443178,1725,0,6198608,22088154,0,0,0,0,19446,0,2682,0,52282259,12677,41148475,6170322,5776,19500136,0,0,546007,2817,0,2893825,9560978,5607,0,0,15771919,0,0,0,0,3272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3152778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZMB",1808196,90837,37305685,0,195251,3791661,641337,29135,29776760,7672,342629,209242,3245780,62434232,58856751,0,0,0,9683,413711,0,34307,0,68867306,8977577,185172524,11649482,19421559,52513,22179,371165,96024,3097739,0,138885,156851,9649313,13323113,0,117191725,0,0,0,0,9857985,0,0,0,0,189953,197684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496,0,67503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFA",0,8153,1373871,0,0,91917,0,0,5343895,7903960,0,2709144,1422,9706588,1364105,7270,0,0,0,0,0,2379,0,3634135,0,11327821,0,0,659625,5722,0,0,18723,0,0,0,675865,1204019,646998,105667,164083,0,0,0,0,5342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8402,0,26285,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,95794,49389378,0,0,541973,1628,0,9879774,16572,31385,5060512,0,29529803,154649,341555,0,0,13116,14520,0,0,0,5209354,0,8667585,2599655,0,1748687,460,51379,5938,271194,0,740199,0,0,23643,0,2815507,623419,0,0,74056,307877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165473,0,0,519520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,30173,0,0,133505,0,0,336884,0,45504,92334,0,344003,77989,0,0,0,0,34893,0,0,0,4429905,0,1412,0,0,15024,0,0,239668,0,0,2049749,0,544,904,0,65470,0,0,0,0,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPM",0,0,4369,0,259910,0,0,0,91570,220653,6203,525866,0,654192,882313,0,0,0,0,0,0,0,0,162922,0,288096,0,117599,35929,0,0,0,0,0,0,0,0,0,0,5356463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUR",0,701295,114699,0,805209,0,0,0,19073458,36365,0,491974,0,11441457,22188264,5517817,0,0,1932994,171937,0,16926,0,4963986,0,12899350,0,0,58273136,49176381,869,2990,71682,0,0,0,6620843,0,0,102627670,0,0,1699,0,0,1770,0,0,0,0,0,0,0,0,0,85452,0,0,0,0,0,0,0,0,0,0,0,93889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21550617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,971583,2182122,0,0,2306534,82103,0,17840864,640214,0,11348765,0,10708607,760540,4082,0,0,0,0,0,0,0,2086427,22790,3447589,0,0,24033,697,0,9096,25842460,0,0,0,4013,0,0,102523,0,0,0,0,0,36815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TLS",0,55590,0,0,11032037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22742,2612,2371,23921,0,0,0,7676,1041244,0,0,0,2528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHN",0,0,0,0,0,4988,0,0,968,0,0,55255,0,171493,1112483,0,0,0,0,0,0,0,0,10321,0,312289,0,0,0,0,0,0,0,0,0,0,10807,0,0,4565130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TKL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
