"","AUT","BGR","BHS","BRA","BRB","CHE","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","ECU","ESP","FIN","FRA","GBR","GIN","GRC","GTM","GUY","HKG","IDN","IRL","IRN","ITA","JAM","KAZ","KHM","KNA","KOR","LBN","LKA","LTU","MEX","MNG","MWI","MYS","NGA","NIC","NLD","NOR","PAN","PER","PHL","POL","PRT","PRY","SDN","SGP","SLV","SVK","SWE","THA","TTO","TUR","URY","USA","VEN","VNM","ZAF","ZMB","AUS","AZE","BEN","BLR","BOL","CAN","CHL","CMR","DZA","EST","GEO","GMB","HND","HRV","HUN","IND","ISL","JOR","JPN","KEN","KGZ","LVA","MLI","MLT","MUS","NZL","OMN","QAT","ROU","RUS","SAU","SVN","TUN","TZA","ARG","GAB","MAC","TGO","ZWE","ARE","ARM","BIH","CIV","EGY","GIB","HTI","ISR","KWT","LBY","MAR","MDA","MDG","MKD","MMR","MOZ","PRK","SEN","SOM","SUR","SYR","UKR","YUG","ALB","FJI","MRT","NER","NPL","UGA","AGO","BDI","BGD","BHR","BLZ","COD","COG","DJI","DOM","ETH","GHA","GNQ","IRQ","LAO","LBR","PAK","PNG","PSE","SLE","TCD","TKM","UZB","SYC","AFG","ASM","ATF","BFA","BMU","CAF","ERI","FLK","FSM","GNB","GUM","KIR","MHL","MNP","NCL","PLW","RWA","SHN","SPM","TJK","TKL","TLS","WSM","ABW","ATA","GRL","SMR","UMI","VAT","HMD","SGS"
"MNG",13284.67,1484,0,35229,0,1343014.97,74620629.4,90829.91,0,0,2213,288988.52,4403506.99,9343.8,49246,291257.83,8949,3612314.11,16246876.26,0,0,0,0,7257132.48,78566.14,353953.27,0,20037064.62,0,336094.3,1057,0,2539179.89,141373.12,5136,0,1736036.06,0,0,12318,5407,0,5530905.45,15659,0,0,0,21089,0,0,0,688320.62,0,20354,48641,151312.44,0,1075962.29,0,133585850.47,0,0,0,0,10904.4,0,0,151435.91,0,787769,25827.12,0,10978,1029,0,0,0,2906,30000,620255.62,0,264965.52,9418920.44,0,0,0,0,0,689225,0,0,0,0,43458025.27,0,2743,0,0,0,0,0,0,0,0,0,0,0,15393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2127617,0,0,0,0,0,572047.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6818,0,0,0,0,0,2399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MWI",1350340.65,74152.94,0,664114,9716.83,8151907.61,439880,55839.14,42446.02,0,4702.94,5765424.6,42611545.52,3984466.54,220119.22,17864647.51,930701.26,11047461.31,60081976.53,199192.48,1947540.71,44526,0,64052,1753056.47,785096.52,847357,9580780.8,0,815888.46,0,70471,17183,449342.34,34206.56,296383.51,582028.64,0,0,1217551.11,3868995.75,0,30847805,252037.27,0,1360666.89,11328657.08,5669904.51,11982083.59,0,0,989254.32,0,743780.14,1430294.12,6537586.77,11944.87,10124442.86,0,76426163.46,84103,0,45413661.1,5384414.57,3311215.15,0,36653.47,12517.99,0,2203620.13,0,104438.52,18897,0,116648,403409.05,0,9326366.69,4754378.4,3835904.44,0,2417827.26,50782114.75,3830396.01,96712,0,3163,0,1398456.54,2047657.55,0,0,2859425.98,6647593.54,1073731.61,783053.18,1070080.92,7138702.07,1180962.03,302766.25,0,0,6930272,344418,0,0,111567,13001581,0,0,0,0,0,373276,0,3068,62151.47,0,9826180,0,159251.52,0,0,0,1568958,1406854,0,71846,131972,0,0,1200378.34,0,93958,135855,0,0,6959,70428,26680,175636,0,25481,0,0,0,77299,3484365,397306,0,349394,0,0,0,39538,0,0,0,0,216137,0,0,0,0,202516,0,0,0,0,0,0,0,0,0,0,0,0,0,1333,0,0,0,0,0,0,0
"MYS",221078874.46,11435176.62,17019,509000794.35,3136469.54,211394871.14,4195893847.6,35286268.07,15948909.27,9958367.62,22671697.69,164603828.66,3405057136.69,156240387.91,4134717.17,512008894.09,281876334.15,1797875423.33,3724409035.43,2993223.07,110968402.11,7269137.8,774420.42,4634396067.44,1370595664.94,622377334.68,158164656.33,669217748.15,5830142.17,4426419.07,89425962.5299999,87005.02,4649058032.03001,46764399.66,226984659.52,10852494.7,710870240.65,1984778.2,1440569.82,0,44293538.28,1770873.5,2278038157.64,115285459.34,134329839.14,27893909.72,1648424364.77,228100592.39,83553366.96,9505657.75,34053255.4,16585619946.77,6745381.26,38000301.86,372623083.68,3415737389.82,4429065.98,266227112.81,9568119.88,24050146213.1,17153698.73,489405215.7,301069048.54,1732839.96,2552962392.36,2191375.47,1779024.8,10832241.26,2823618.08,1086974487.37,71612604.16,4344842.63,24422973.81,13952806.68,469413,310725.38,1206803.73,12846704.44,299423089.19,1753077032.8,5744791.89,63768281.06,14004921559.69,39542377,2564816.53,8635345.98,1589894.68,31485618.23,71636078.16,366464756.53,69660111.27,42169149.4,36294268.65,90190195.04,366202125.17,20239210.74,17722254.1,14862474.49,187683174.25,1302837.36,19916889.34,5783354.08,2973410,577242682,242587.88,97912,8888309,224363712,52717,2401940,24516962.87,65082007,2264911,17029376,1113847.78,9694394.48,2456452.24,228932745,3933664,587791,3216646.82,3785566,216960,64563351,19041919,11262587.33,762110.07,12913487,3118554.53,1072399.41,15961520.88,18382551.45,1851374,4118,151309531,26354114,723593.32,1674016,5784967,5143878,3828688,6347499,23765222,598766,20125569,1612556,956782,395521532,35187496,0,1185071,48432,182846.12,844977,3468103,2794595,0,0,283991,18621,171312.31,315797,7094,126350,0,0,197797,0,146285,1252972,46562,91686,0,0,31794,0,0,245905,106264,0,0,0,1710988,0,0,0
"NGA",202537862.92,6850.06,1043,719503162.72,0,320504878.62,272140873.1,0,0,4112.08,0,2205693.38,446538216.21,2110116.67,19775954.16,2384166312.3,110547.48,1129154213.75,115071708.15,13745347.02,534220.51,0,0,1359157.53,442138279.83,1860815.87,0,323889851.81,111712.28,62550.44,0,0,87434081.83,438764.46,75928,22819.4,21541314.98,0,35023.02,7483662.4,0,233333,149021702.95,4679276.99,0,67085253.46,63017.51,3042933.6,732170389.07,0,101143.54,18340976.4,11206.75,2039,62343047.77,25123484.5,1274.4,5218965.01,58109551.82,11005090828.53,73658641.66,5418729.72,183662025.16,226652.45,17355057.28,4319.73,15774641.02,551797.75,0,309309758.65,276977274.78,266703103.67,2067305,1500546.87,0,428041.65,0,26103373.94,44907.37,2199329419.53,2173.68,2920.67,193940645.11,824437.51,0,0,8740326.61,6338,59137.67,29649432.81,68984.82,271109.99,90296.33,2223633.57,575039.55,175510.56,107080.81,538527.67,176276395.81,3202360.9,0,5005370.93,0,2468717,0,0,842246877,0,0,0,603145.99,0,0,412230,0,1275374.26,23807.63,0,0,31640873,264826945.36,0,0,0,0,809688.58,0,0,0,22561167.44,0,172556.19,4263688,0,0,1977,0,0,363384,0,0,0,262246666,5663772,242403,0,149479,13254,0,0,0,1838968,0,0,0,0,0,0,453605,0,29869.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIC",3403802.17,4232610.14,137597.66,88811.24,13974.64,7693798.78,383160.43,229417.78,42769348.95,3349381.75,8247,2378472.5,57031567.55,1609270.87,62005.28,14307503.45,6192866.08,12237293.89,13429285.53,0,41263.08,19021586.53,11367.73,228243.44,786041.93,1900889.97,0,4996526.75,155501.36,5500,0,0,208514.31,6456,0,1058.78,24598232.44,0,0,22800,335650.61,0,8236958.42,310459.58,4902347.49,120713.44,3241042.19,488942.66,1144228.23,9285,77645.61,7196,70057691.86,177343.24,6150389.96,62609.24,2072131.11,44922.47,0,438989992.69,136982.94,678119.78,373445.45,189049.97,609885.67,0,0,0,24611.74,33716019.55,19710,0,1274,2496.83,0,0,39318007.81,11143.69,1712311.64,0,65193.93,75795.64,4356758.96,0,0,0,0,0,23444,62719.25,0,0,10371915.18,225541.86,169036.6,49103.43,23235.03,0,33864,0,4506,0,0,71250,0,0,0,0,0,661179,155740.28,0,0,213628,0,0,14182.83,0,0,35811,0,0,0,473006,0,594821.37,0,0,0,0,0,1349,0,0,0,0,331606.57,0,0,0,3062851,0,0,0,0,0,0,304999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,3219,0,0,0
"NLD",2156682648.67,122934311.49,4659707.78,747432428.29,14441273.66,4580797652.01,1144180873.21,101294728.62,96945812.38,91031818.14,87767330.1,771519713.09,35515658855.51,3289510592.81,46655122.1,5683505915.92999,1360262912.46,15198564775.22,22421330246.7,19527281.75,1706615970.15,21250133.74,22187187.86,1353048074.43,426971118.2,1568349729.81,296940126.13,13894851979.99,25916589.7,77202310.12,3000126.24,972380.72,1173828353.53,134267139.54,85532016.57,131665843.48,425688089.71,2524129.87,10549032.4,568126684.11,399192914.92,15826984.26,0,1372367916.67,36906049.45,43943417.95,354959782.7,1864779395.91,1834465365.8,14780818.21,43081835.02,1331378104.09,11714210.05,219666704.01,5017116286.49,548520864.01,34162245.13,1566865649.91,27118672.22,9129681492.47,228898813.93,86742412.11,545309006.64,6917943.62,568765223.59,21565432.6,50722325.6,90856538.12,10118708.14,868487091.54,159636142.07,44074189.89,173146260.8,74389001.7500001,11374155.5,23654757.36,16566128.78,136001861.03,723659263.93,417525510.34,191964032.22,93821756.3299999,1900051321.69,123217844.3,5075523.67,113037194.22,11931973.23,85812366.8700001,24703551.45,124340697.99,117121326.72,102870405.87,304563231.74,1052647299.52,668001346.09,226128007.65,202297889.56,38029624.54,187113858.19,45443057.38,6882964.88,45741667.75,23215377,674173211,12985493.96,51418082,51820351,346046899,20116915,16687079,1403271524.04,119599622,117658230,226910339,16494100.72,7693698.94,36859075.63,7718511,8320530,12739913,47410399.83,2916190,62809473,69775887,170609881,88967968.63,10050344.67,879090,18583295.06,12819610.49,3547219.12,21031072.78,72904714,1968979,42071184,52033011,20634705.81,27912749,29618462,20044193,64533546,19212060,113347483,9306398,31902245,1782119,13201098,115091871,3086491,3970180,16977061,1366967,5608280.16,14169476,3483229,3668249,0,0,5538737,3438128,1312297.13,6168369,1682700,26695,2755106,0,39582,244857,43264,4318147,29456,4662413,43265,247620,2580204,0,0,2762,58471083,35902,1007379.96,6220832,0,1395500,0,0
"NOR",112416271.75,6446128.16,43836426.63,215397909.31,2978574.56,182790823.8,453072277.54,17638409.86,13146103.56,2242484.4,56934978.51,274148113.72,8101553712.44,2272665018.05,1783203.38,835499427.95,1270029340.53,6602943355.74999,8845166083.28,956798.31,204614342.7,3366490.97,1176791.92,145825613.38,40390305.05,956919203.9,29415263.33,842289167.100001,6781888.16,3125723.26,332999.58,336569.88,449180504.09,10378095.66,7965649.27,45415064.03,93069697.4299999,201525.9,14209769.45,52707759.08,18393146.03,2229063.98,5305036198.98,0,60277565.64,7342896.35,32872418.17,426038841.21,683109722.52,1246770.51,509910.19,237728702.48,1697042.1,23882922.25,5723603421.91,69912046.22,6864870.26,330967541.28,3120100.83,5294480539.66,28080210.19,10450443.07,37787163.93,1025654.1,75447403.47,15387982.67,441289.48,19156145.67,940969.87,3004420396.98,25965083.14,3925607.79,12522262.69,51313663.78,174871.5,546123.76,2985478.78,46453442.1,45903860.52,83187524.2600001,216847875.9,3594821.33,1137366103.43,7715379.34,1898750.96,38531529.88,1142881.01,32879766.09,1002128.73,18073181.81,3722970.92,6080405.65,30504891.28,193818725.52,82938525.29,44793194.36,1994407.2,4237712.78,24564974.16,2655972.68,860049.32,671855.99,354185,83109184,106743.9,3207271,1774174,30366106,35372435,79910,74710799.29,3156110,282340,17649425,1970618.7,293703.95,2061396.51,108505,616071,106404,2525010.34,143709,128397,4984297,65988671,19200337.13,8177568.74,105789,271919,123514.46,280412.86,9004456.72,30045779,2964,10224042,1622061,408126.93,644710,1919085,632419,21330623,876033,3942366,4276977,0,330904,99136043,11010016,482275,73630,134748,0,179633.34,93401,232543,6460,0,2267,22139,1115048,29854.02,305740,89554,0,10726,0,0,102873,0,1392256,0,92165,0,0,13324,14206,0,0,296504,0,34982202.69,0,299327,0,0,0
"PAN",6874965.85,921950.55,7196150.61,16093237.86,2128592.13,10916329.81,1799319.05,23790032.07,94912509.2,44292391.43,18652.98,6579518.4,117343581.71,34553855.75,99394034.63,33869048.35,15786982.2,7506944.39,8369740.45,0,19495625.68,166013451.13,3566027.2,21559676.62,31743534.16,1948614.97,0,46342039.37,31670010.26,118269.36,137235.7,917655.9,26383418.72,197510.22,182133.76,316314.09,117628488.85,0,0,218108.62,1832884.1,122251647.02,5488250.37,98947687.41,0,28322806.54,2096292.46,2286003.61,7746809.69,1096112.19,290731.99,3247705.8,116606893.24,2129027.99,43865329.44,94784.17,2171457.67,8485129.58,4801974.14,336710441.05,278835899.4,65001.12,1656054.79,0,1414386.44,0,854385.03,210799.08,4383059.96,9110332.99,6318807.34,16441.37,1224839,991733.22,0,0,48195890.56,56384.88,976461.94,3556903.89,1596777.48,292182.29,31279589.89,0,11948.42,3662.09,18139,109889.18,64179.25,12832244.23,0,52857.32,1359948.63,41902567.41,9498679.16,54555.4,2031783.19,43868.63,1580039.69,91738.53,0,495152.32,0,0,19984483.13,3260,0,62800,0,3549555,7778223.78,0,0,0,0,2616.88,675397.66,0,0,0,0,0,0,0,0,636147.31,196581.68,0,0,0,0,0,32634,0,0,0,2628290.41,0,0,0,12069062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325153,0,0,0,0,0,0,0
"PER",4693708.79,19104411.68,1882240.46,221596654.62,249653.96,556192391.5,443077279.6,150111695.69,11066036.66,3207430.16,1761777.11,7474598.75,243838912.31,15229336.32,86396665.71,193567134.11,4492218.41,98897690.97,590879297.21,14384,5251333.68,25629883.08,332526.83,24670489.21,35563012.66,3715874.54,27851299.35,143184263.92,2689489.19,16608004.73,0,2189.74,142686833.78,2029769.49,1758491.05,2279373.45,170103610.17,3511.48,0,22538320.25,1062066.34,2180058.08,137320357.24,51182034.57,47575999.99,0,45327726.6,8291273.11,17531412.04,930549.9,1803061.58,5420632.94,7490139.37,6768337.57,9181727.25,77119746.56,17713664.24,13969556.87,4508351.99,1910725860.99,120490911.39,4335124.42,14018973.01,18308.27,39373366.31,0,0,1086600.68,94046477.23,132361293.68,261470065.59,2196738.26,12759306.19,324296.51,51971,11087,4815637.34,1618134.36,5518767.33,42342591.58,134734.57,239765.53,351870777.08,0,39501.67,866096.26,4316941.55,375546.59,347539.8,2338792.62,8598494.53,236200.16,8965847.87,20359015.17,3698488.01,527404.88,227479.83,74176.02,27756272.53,53529.6,155285.91,0,0,25185199,0,0,11885,4523433,0,4083427,6962993.66,114712,0,3268536,1131.14,1143054.46,316101.9,0,8861,2225806,44693.79,0,143955,1793871,57186,5010362.36,236688,102124,0,94804.46,313147.62,0,28070,0,1035778,0,287440.88,131300,76012,0,13220311,0,931274,0,0,0,967289,1088831,498222,0,23400,0,0,0,0,54615,0,0,323774,504205,0,0,0,0,0,0,29990,0,0,341007,0,0,0,0,0,0,0,104121,7824641,0,0,0,0,0,0,0
"PHL",56114639.11,2076555.59,1069909.02,131352558.5,4337340.08,76994348.52,1376021207.25,5314869.29,5754719.94,799932.62,2410428.31,17337825.24,1786778142.52,45910058.08,384773.54,161081057.56,73519917.43,487076134.66,1663260136.25,0,11418827.77,891229.84,10422,3001148633.69,160216482.38,246510143.48,857766.63,267959611.59,4593048.85,604410.81,3218100.47,0,1821418916.46,6215414.76,9543652.67,2113239.99,250291662.32,2326,314079.58,1705370686.78,4680404.71,16243.91,1296051527.2,27612480.17,26767358.51,3643420.82,0,59385671.44,15067027.37,1751952.65,87683,3378501926,88284.43,12903507.7,67779987.61,1059390491.88,574780.9,31757369.23,3277880.61,12553746677.19,3956494.15,79485581.61,46812109.86,33385.33,373059731.29,27826.46,391188,1393339.4,479796.61,543438476.64,36240822.92,18264.97,4630637.76,2220378.89,0,0,1009644.92,1638139.51,198843308.36,78701289.26,1456790.68,1588032.31,6954382142.59,672271.08,22217,145814.45,357263,1607278.58,1584457.15,34015195.3,2774366.49,10024513.41,4896998.16,10600246.93,49476333.63,6709791.19,1661891,1193944.84,26532056.63,47086,12054758.74,3404,27392,78865510,0,769486,181094,5920187,327589,2815241,56366198.11,9305582,60310,533004,22650,227742.91,135508.21,10169591,727677,0,167494.31,31024,7762,679379,156519,920375.35,32986,826674,0,68358,1209152.73,39596.23,903836,0,15139362,3983474,211497,27552,1500,45032,1238158,0,115416,0,2345,45688,67359,7587170,1695204,0,10500,0,0,258596,6922573,12690,1365717,0,15086,815174,0,0,0,1298979,0,15315406,32070,524847,0,483782,2406029,0,234888,0,0,88137,0,11113,551468,0,0,0,0,0,0,0
"POL",678261398.28,89817264.93,2059000,88447106.45,638681.37,227670604.54,119728311.39,15255783.81,2277730.08,2608201.68,44745926.02,1153705978.08,10895603153.31,850490173.7,3268082.71,528584726.45,280764431.4,1712486583.33,1420131213.46,513029.85,189018004.18,2690617.05,9455,52799830.47,19702646.77,111754554.97,19610227.55,1944580046.25,2067023.91,61715711.62,7222,16949.73,61043652.47,9288566.56,1693773.18,284852139.03,70021954.25,4970451.75,57958,27609337.53,42350357.44,150716.64,1465220809.12,400140907.81,29261062.21,3770548.56,5839699.88,0,195494213.04,228790.09,9169354.86,158867092.08,216223.5,402268511.04,957593265.74,48846214.68,2277514.85,171054816.43,5214558.88,1156426564.68,35360493.52,18844012.44,19407591.72,106720.72,29811649.23,30604934.37,1129092.72,239863740.97,402723.69,173561658.82,11390141.39,6298516.7,58034058.32,85775781.95,4732085.06,37478.82,4035895.52,97091352.4,606037527.17,53158628.7,34933718.42,5685813.93,86609685.07,1255038.31,3901651.28,163446439.47,763999.86,12189903.34,185815.51,4469693.87,1018980.05,2264856.93,193181275.62,850108508.870001,83019035.99,158050245.19,16250360.18,1588774.08,31159371.78,674156.39,1384271.76,964093.9,399000,30537000,2007747.13,26498000,2178000,79089000,0,478000,146682580.6,5052000,14411000,44058000,23216608.19,215517.05,19932262.46,0,199000,1909000,1604122.06,0,731000,12211000,761808000,36113728.83,877000.69,0,1749207.17,765563.38,0,747203.59,755000,960000,5838000,458000,879309.44,0,75000,2237000,3073000,1870000,5658000,0,428000,0,75369000,20840000,0,8704000,405000,197000,6191119.61,31957000,0,2993000,0,0,543000,0,0,543000,0,0,0,0,0,141000,0,0,0,0,54000,0,1412000,83000,0,53000,618000,57000,7389000,7958000,0,81000,0,0
"PRT",300812189.79,17093278.73,486959,186176589.4,2148062.79,313802528.3,57817640.23,5083986.67,2235866.89,12093261.06,21785482.32,58611337.68,4433262548.38,329368900.73,1601748.44,4202291859.91,171352482.62,2915592515.19,2737250967.19,1157373.37,105731700.36,1782301.99,36870,80876365.05,2386073.22,134587790.26,11232599.34,1012667073.04,1125033.64,524204.93,4397240.65,24105.55,23836570.41,16993194.49,1496707.17,10421522.07,58983359.28,20971,4670160.59,12877345.3,13257842.46,338295.24,916928336.4,360471978.92,7122356.74,5485391.87,7762336.32,158949118.46,0,3849930.55,1155530.07,52415603.12,5959626.12,15615678.02,400066161.22,36476545.17,2779298.24,114154111,7467707.85,1585569239.77,16946716.8,3743630.77,83433109.13,151794.48,104863293.34,738146.01,1549716.7,1449385.17,438740.03,159914836,59901490.6,1923233.21,41513660.8,5866883.82,1403758.6,766660.78,348739.58,4110954.23,131272124.12,25436786.66,20274669.31,16579375.44,142739908.57,1913130.38,2252774.76,3693601.69,526621.14,8590667.69,6936316.31,17949221.5,864834.45,4839168.58,21899926.44,22821913.6,64291031.06,12140597.27,33899801.17,412318.73,52545890.63,1305741.01,14550139.93,525984.17,4941116,20435315,351774.72,230105,3928454,15658773,828049,472279,90924840,6997817,1277974,99507102,2395338.2,1403403.26,1114314.77,280070,63457330,20614,10637479.47,57874,226224,6082868,2304445,1871551.19,162901.22,13099,3646936.3,1781659.03,48026.64,611368.45,340078323,158361,731055,3093249,0,733018,2342044,82491,6893220,896538,6116009,4862422,49408,0,241874,1141410,0,287507,307828,5077481,70380,22163,615775,557401,0,0,834444,493975,319704.22,39335,0,177428,24957982,0,0,14632,65680,6687921,12803,234061,886475,10488,97192,0,2741950,149716,157993,0,175793.45,1684624,0,0,0,0
"PRY",128836.16,50441.05,9963,368110295.36,0,2983727.2,6675680.39,2373107.59,43949.39,0,7707,14977.9,10360374.81,582008.96,1633956.13,50047096.38,270942.01,10555873.76,4334302.36,0,699025.12,428506.73,0,5399668.17,174550.39,451543.44,9274089.8,38004423.91,43580.64,3121.89,43597,0,347207.12,12384.73,13492.81,12070.21,1258806.25,0,0,1363569.26,109955.27,148187.35,61469783.87,253075.1,631820.27,21129780.04,4639329.04,184281,1002926.84,0,0,101196.26,321658.13,311404.04,61830,1284531.04,130671.77,1417505.11,121660960.92,46744056.24,23744224.15,7317,694369.36,0,66254.73,0,35731.98,0,21876881.53,871888.69,62654052.53,0,0,168120.3,0,0,55513.78,0,60447.48,1114616.85,123481.72,0,4958126.84,0,0,0,0,0,0,128817.89,0,0,11987.96,276525.56,811737.63,21725,16799,0,111121513.12,2408.7,67164.74,0,0,0,0,0,10500,0,0,0,236964.39,0,0,0,0,86821.04,0,0,0,40586,29453.1,0,0,84000,0,9349.32,0,0,0,0,0,0,133512,0,532269,0,0,0,0,0,56342,0,0,0,0,0,0,0,0,64542,0,0,0,0,0,0,0,0,13050,1296000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129527,0,0,0,37840,0,0,0,0,0,0,0
"SDN",344934.24,6660321.98,0,641134.83,5857.75,322355.16,961064764.19,117185.06,0,31361,474436.24,647027.66,46020826.77,1611,576236,6470621.2,524230.88,29236043.73,94173148.13,15833423.04,19908712.68,250446.46,0,7224184.56,19846403.3,841855.53,172894,113087718,0,59179.05,0,0,127649216.01,16680994.61,26361.09,4444.47,10264764.79,0,0,17691501.31,468750.83,0,16293675.91,845150.58,0,0,113655.19,5934863.91,3127221.8,0,0,69210892.12,6911.5,227369.84,3997754.47,9428674.55,0,6130784.48,67419.68,1752555.5,5065.96,83433.54,11011024,4633,49073.59,0,0,58217.17,0,4805559.9,0,0,261599.54,4542.58,0,0,0,362591.39,146922.14,11617760.04,128039.78,21923989.72,283522510.02,1018088.02,31646.04,0,28578,19864466,128791.8,0,2785106.65,2087723.67,168303.32,2163120.86,125440557.4,147014.28,4602341.75,345961,58700.09,0,0,0,0,44894165,0,0,0,41742658,0,0,0,711198,146168,179213,21831.63,90906.08,481311.71,0,0,140981,64479,2683453,0,20723838,57441,253400.93,3018,0,2092.23,1049,0,549547.62,0,0,7633778,5594,0,0,0,8641760,13640,1459050,0,0,19103,0,0,3653851,0,0,0,1329,0,0,0,0,488106,0,0,0,2622.43,793797,0,0,0,0,0,0,0,0,0,0,995628,0,0,0,0,0,3740906,0,0,0,0,0,0,0
"SGP",107689411.26,2713700.96,164207,361954321.7,920533.09,264614896.32,4913113413.22,48270124.02,10945181.36,4742337.05,12374571.85,96801761.97,3590173182.45,138179789.2,4175629.51,483413365.39,159439879.81,2282596663.2,2947925283.87,4896542.89,45205739.86,4890101.06,2807823.18,9598109044.46999,3629215031.69,1910573559.55,183380112.74,478620052.27,3014962.09,2574349.44,208461446.48,52268.69,3872176419.84,22713742.9,481667944.02,5396194.57,579636575.01,11680842.17,772617.07,14177240508.69,167208234.12,645665.54,2427578492.56,84204569.46,51056528.12,17930689.73,2646799355.45,157965860.64,35455043.13,8615381.18,18547704.09,0,2627103.1,21611851.43,138762514.35,3722775478.05,4647444.99,175703096.99,11219868.97,20779605802.54,70351703.5,2767608353.08,462891980.35,3074733.19,2297317222.87,13543054.44,6052292.18,2118941.25,912197.92,826470162.62,33244683.17,2648148.41,8632612.06,7378234.06,360022.67,1245134,371535.87,8797686.76,515109794.18,1553168603.14,3778506.76,13827487.79,7043805323.15,61963135.58,389082.05,2994197.18,3465420.84,1007047131.59,58527684.38,261232905.99,42880092,24288438.53,8795321.95,58547005.82,227220692.45,14266304.38,12878959.73,8472871.62,134246775.8,3560559.26,74424021.69,3203228.27,6114556,926136722,578891.44,85010,12242846,131682581,1219995,410198,251819928.5,70817761,5350515,45658871,65345.17,23106092.63,615551.25,425956063,3062486,42991685,4495356.41,7208829,902481,19828755,4260730,1849756.24,408525.95,50437310,2441591.49,299864.02,101034199.83,9745048.8,25567801,47328,763998682,21529318,102683.55,3939175,9524610,12815929,6758032,6394177,13495891,1379272,8025189,29765842,167363149,363936342,216145743,0,324487,81651,1726343,4046688,27805736,6566827,1610861,63278,1752130,99637,207231,1268003,0,9164810,175620,187043092,260327,8296458,42420797,78776440,6221935,882842,0,0,433140,276743,1827539,1161402,48653,0,7217,0,0,0,403517,0
"SLV",5215429.38,13975,860375,381445.31,973477.99,3544438.08,586814.16,1089912.9,97168580.84,1011958.62,200599,49959064.83,97559076.13,744017.53,1332658.33,7636470.92,1088644.36,14209834.98,23096803.14,0,31276.37,311872697.54,105948.54,1046900.17,38501.64,526494.79,0,4834707.11,1911356.67,2957954.46,39849.2,5116,995142.62,43450.98,0,1319.74,18365422.23,0,0,336543.1,120704.21,117997896.59,4958971.27,916186.63,44511802.7,243546.37,22744,928067.42,928430.34,190041.56,88991.92,69556.66,0,250712.56,337091.9,226931.35,1064580.12,90612.57,114869.19,784448154.64,1602735.76,9996,56654.67,0,566095.11,0,0,6338628.42,112582.44,91913491.34,2438445.48,24863,81601,11915.84,0,0,223886739.75,737015.66,76399.17,361836,9968.79,38740,16127038.94,7128,0,16480.59,46640,0,2347.33,109494.94,0,47996,110669.16,17365914.24,5813422.54,139288.54,1733,0,103454.09,0,0,0,0,0,0,0,0,0,0,676741,30120.74,1500,0,8657273,0,3119,4759.6,0,0,0,0,0,0,0,0,0,0,18894,0,0,0,0,0,0,1500,0,7164338.94,0,0,0,11644925,0,0,0,0,0,0,0,0,0,0,0,0,10168,0,0,0,0,0,97608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569009,0,0,0,0,0,0,0
"SVK",906072732.19,41243001.36,774859,6887796.07,35751.13,202920455.31,20839306.95,3967948.8,1653500.84,7220819.16,4682310.4,1926779034.61,3155799682.86,69885038.83,1398143.74,117419618.83,63323618.06,566688632.190001,236229078.67,0,31034651.1,1767906.96,33965.62,7031031.58,23493833.95,16773579.27,10814114.05,1077645952.98,1053048.51,15034189.98,0,32641,9330060.06,6776172.85,1086554.43,17319994.12,23068435.84,58908.46,537490,3816111.71,1729964,185361,283752663.54,43313430.9,1554297.53,2078764.75,2748232.43,720435199.6,17686550.82,961511.38,1581805.89,18673929.04,254798.43,0,73920753.89,5539437.01,955455.06,52665929.68,815254.94,242835372.8,1398760.19,3349092.57,11568157.57,526502.61,9854718.46,425936.74,63238,12194751.58,73594.74,20390191.76,874976.81,604060,1771876.37,7163920,428116.69,87448,239028,66030814.81,564978213.46,40919254.31,3034423.27,2801396.79,104419873.51,149266.32,512282.93,22088155.87,154597,1711601,75245,2161001.53,1059802.76,411045.64,117703418.14,113580920.23,6640689.11,130645412.98,4860967.74,155819,15306311.38,48663.73,3560,99814,32264,8964298,570011.37,15134923,116713,30778695,303802,169740,12624640.31,838407,380116,1763827,6369275.19,25760,6002543.4,3575441,107526,71214,1105,0,5166,6508430,146965884,33623742.08,367232.78,164076,0,19806,0,1913947,7998823,2211,590529,91926,372744,0,813720,0,1927110,1905928,947498,0,0,0,0,822035,0,0,21033,670029,1203992.67,4894840,103352,616978,0,0,30770,0,70046,113462,0,4473,0,0,0,0,0,18165,0,18466,0,0,76711,0,0,0,77427,0,0,0,16548,0,0,0
