"","ARG","AUS","AUT","BEL","BGR","BHR","BRA","CAN","CHE","CHN","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","HKG","HUN","IND","IRL","IRN","IRQ","ITA","JPN","KHM","LBN","MYS","NLD","NOR","NZL","PAK","PHL","POL","SAU","SEN","SGP","SUN","SWE","SYR","TUR","USA","YUG","CAF","CIV","COG","GAB","GRC","ISR","JOR","LKA","MAR","MEX","NGA","PAN","PER","PRT","THA","VEN","LBY","MLI","MMR","AFG","AGO","ALB","BEN","BHS","BMU","BOL","BRB","CHL","CMR","COD","COL","CRI","CUB","CYP","DDR","DOM","DZA","ECU","ETH","GHA","GLP","GMB","GTM","GUF","GUY","HND","HTI","IDN","ISL","JAM","KEN","KIR","KOR","KWT","LBR","MDG","MLT","MNG","MOZ","MRT","MUS","NCL","NIC","OMN","PNG","PRY","ROU","SDN","SLE","SLV","SOM","SUR","TGO","TTO","TUN","TZA","UGA","URY","VNM","WSM","ZAF","ZMB","BFA","DJI","FJI","GIN","GNB","GNQ","LAO","NER","NPL","PRK","QAT","TCD","YMD","BDI","SPM","MWI","ZWE","RWA","BLZ","GIB","KNA","MAC","ARE","SYC","GRL"
"JOR",0,10000,0,11000,227000,22000,0,9000,3000,0,847000,64000,2000,4000,14000,0,68000,3357000,4000,0,2287000,6000,14000,2057000,875000,536000,0,3410000,0,15000,0,1000,95000,0,0,2492000,0,0,0,2000,2286000,1096000,184000,2891000,0,0,0,0,3000,0,0,197000,0,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,1000,0,0,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2720000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,37000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",191000,18270000,1835000,1655000,0,393000,0,12405000,3286000,25601000,896000,16725000,1744000,4441000,2238000,227000,5924000,116153000,1228000,259000,13759000,2413000,4258000,20781000,9077000,9619000,5000,712000,1222000,4689000,303000,7945000,7636000,84000,6570000,4221000,1000,857000,21204000,4501000,3347000,21000,36133000,1340000,9000,1000,2000,0,236000,62000,826000,0,826000,2063000,56000,16000,796000,373000,155000,44000,2882000,0,1526000,0,0,0,0,0,0,175000,0,1506000,1000,0,83000,0,0,29000,2640000,0,7000,671000,674000,8000,0,0,0,0,1000,47000,0,0,10000,0,104000,0,5000,1833000,0,56000,136000,0,126000,0,56000,0,0,0,0,2000,349000,143000,0,17000,0,0,0,0,1794000,94000,0,459000,59000,11000,19199000,120000,0,272000,13000,0,0,0,1000,1000,0,0,0,11000,1650000,0,0,0,0,0,0,0,0,0,0,0,0
"MAR",19000,48000,5008000,18475000,1206000,7000,5000,1073000,3741000,12291000,9012000,60524000,4242000,2006000,22040000,3365000,231535000,29361000,1000,3432000,1140000,4233000,49000,61000,18280000,5090000,0,410000,253000,15901000,2583000,13000,30000,2000,8243000,21000,2779000,195000,5420000,7048000,33000,254000,7041000,5314000,169000,5140000,634000,845000,852000,0,124000,791000,0,4000,664000,3000,133000,4808000,99000,55000,299000,759000,0,0,0,2000,345000,0,0,26000,0,142000,818000,478000,0,28000,11145000,47000,1748000,30000,6932000,11000,27000,1273000,583000,28000,2000,48000,67000,11000,2000,4000,5000,0,2000,4000,0,18000,106000,729000,0,0,6000,133000,0,388000,34000,6000,0,4000,28000,5000,275000,56000,23000,0,294000,0,434000,36000,0,70000,32000,0,2075000,4000,221000,3000,0,220000,0,16000,17000,105000,0,2000,0,153000,6000,0,1000,0,0,1000,1000,506000,46000,3000,0,0,0
"MEX",8498000,4913000,2487000,5353000,0,0,10024000,21834000,7249000,0,282000,52009000,3996000,575000,8155000,596000,26662000,23281000,2901000,0,40000,194000,3000,3000,31541000,144239000,0,320000,617000,8456000,418000,1140000,60000,2030000,17087000,501000,0,939000,70000,2178000,16000,85000,607296000,3419000,1000,1000,27000,0,327000,2020000,22000,3000,34000,0,9000,2585000,2763000,1796000,475000,13790000,0,81000,1000,0,0,0,0,7259000,5000,325000,0,16400000,0,22000,5240000,1856000,2491000,5000,0,455000,0,875000,2000,4000,51000,0,4807000,0,1439000,1009000,85000,0,9000,81000,0,0,1016000,5000,481000,0,47000,0,0,0,0,238000,1950000,0,0,44000,0,0,0,2781000,0,12000,0,73000,321000,0,0,1226000,318000,0,2110000,39000,0,0,0,0,0,0,11000,0,0,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NGA",1000,1575000,1575000,15653000,55000,0,8000,10419000,15482000,1642000,193000,89819000,7548000,3170000,5056000,191000,33533000,246918000,1796000,3000,2746000,3899000,14000,1066000,21423000,7352000,0,869000,2000,40327000,3354000,287000,15000,0,6172000,13000,110000,156000,4527000,3989000,51000,4000,35225000,1220000,0,77000,15000,12000,715000,222000,3000,7000,938000,0,0,2000,4000,4944000,0,1483000,1000,2000,18183000,0,335000,0,1374000,0,0,0,0,0,1329000,233000,0,0,0,12000,579000,0,0,4000,21000,11797000,3000,34000,0,0,0,0,0,0,14000,0,125000,0,0,0,123000,44000,7000,0,18000,120000,0,0,0,65000,0,0,0,65000,8e+05,0,0,0,259000,0,30000,21000,12000,0,4000,0,55000,44000,43000,1000,0,8000,7000,162000,0,1052000,0,0,0,775000,1000,0,0,0,0,0,0,0,0,0,0,0,0
"PAN",1758000,31000,171000,939000,0,0,518000,13963000,337000,0,0,5479000,181000,0,294000,30000,454000,4181000,758000,0,20000,2000,0,0,1440000,11035000,0,0,0,1602000,113000,0,16000,133000,0,0,0,0,0,48000,0,75000,41542000,135000,0,54000,0,0,3000,52000,0,0,5000,9586000,0,981000,633000,23000,23000,1421000,45000,0,0,0,0,0,0,0,0,1009000,0,3038000,0,0,560000,580000,0,0,0,2000,0,116000,0,0,170000,0,23000,0,0,194000,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,78000,0,0,44000,0,0,0,3213000,0,0,0,0,0,0,0,1000,74000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PER",16200000,481000,4903000,28389000,190000,0,13491000,7208000,15542000,0,1326000,124498000,5295000,0,5174000,2721000,31506000,63312000,330000,1776000,5423000,1474000,24000,40000,34169000,99170000,0,260000,0,34369000,1413000,166000,2000,1125000,5125000,1000,0,0,0,5297000,97000,0,196591000,4531000,0,0,0,0,371000,627000,7000,1000,1000,4636000,0,240000,0,643000,0,5435000,0,0,0,0,0,0,0,72000,3000,1488000,1000,31787000,0,0,3759000,7000,0,9000,3578000,136000,0,739000,0,1000,6000,0,5000,0,14000,2000,7000,0,0,55000,0,0,13000,0,2000,10000,204000,0,2000,0,0,0,11000,0,0,27000,619000,0,0,57000,0,3000,0,24000,2218000,0,0,2979000,0,0,780000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,6000,2000,143000,0,0,0
"PRT",2122000,3362000,5436000,15996000,797000,20000,1582000,8706000,10591000,176000,1834000,43353000,11546000,193000,18363000,3220000,27473000,72551000,321000,776000,456000,2093000,397000,1146000,16892000,5940000,2000,1238000,488000,11771000,5047000,964000,2376000,970000,1376000,539000,0,376000,1000,19109000,889000,998000,58530000,17000,313000,46000,418000,31000,3028000,3801000,702000,209000,4436000,1224000,3036000,57000,459000,0,452000,2912000,31000,18000,644000,0,73722000,1000,1000,0,0,238000,0,199000,14000,1576000,260000,99000,16000,1390000,519000,398000,276000,301000,6000,0,37000,21000,134000,0,0,24000,23000,1679000,191000,0,90000,0,6000,279000,15000,124000,322000,0,42304000,0,0,22000,90000,0,0,19000,1525000,969000,19000,55000,2000,39000,22000,1088000,154000,32000,0,193000,4946000,0,5483000,1057000,0,64000,0,1000,11714000,94000,1000,0,0,0,0,83000,151000,0,0,0,0,0,0,0,0,0,0,0,0
"THA",68000,1140000,1968000,9056000,0,240000,2450000,539000,976000,0,1620000,39636000,2156000,86000,4099000,184000,11409000,17513000,46787000,0,3502000,309000,269000,2923000,14873000,130612000,3000,254000,102518000,21687000,911000,503000,2e+05,14008000,1025000,7628000,3638000,42490000,2000,1995000,0,2000,24653000,272000,0,0,0,0,245000,225000,27000,4794000,87000,14000,0,37000,71000,1927000,0,12000,7000,0,1132000,0,0,0,0,0,9000,1000,0,1000,15000,0,3000,0,0,3000,0,0,0,102000,89000,121000,0,0,204000,0,0,0,0,48281000,40000,0,266000,0,22000,513000,0,257000,11000,0,0,0,2386000,0,0,67000,0,0,152000,174000,0,0,2561000,0,0,1000,58000,0,0,0,4040000,0,2478000,762000,0,772000,568000,0,0,0,7119000,0,0,0,0,0,4391000,0,0,0,0,0,0,0,0,0,0,0,0
"VEN",29249000,6845000,118000,23519000,0,0,92358000,250326000,1203000,0,50000,125649000,11524000,202000,37232000,2113000,55664000,200543000,68000,0,0,1000,10000,0,23496000,27870000,32000,34000,281000,32122000,11913000,5318000,0,323000,2000,0,1458000,954000,0,70496000,0,91000,957502000,2163000,310000,4646000,828000,755000,8000,22000,14000,0,241000,2093000,8182000,33030000,4839000,1638000,0,0,375000,791000,0,0,247000,0,377000,8384000,542000,31000,3664000,6114000,1281000,1316000,1640000,1563000,946000,0,0,3114000,1000,1725000,0,486000,549000,16000,3350000,16000,82000,343000,65000,247000,0,12182000,11000,0,575000,0,995000,0,0,0,0,189000,0,0,3494000,0,0,301000,0,0,2669000,9390000,4000,741000,446000,64141000,78000,0,0,9415000,42000,0,1069000,0,653000,0,0,60000,412000,0,5000,210000,0,0,0,65000,0,0,0,0,0,0,0,7524000,392000,0,0,0,1802000
"LBY",0,8000,0,21783000,0,0,0,0,9288000,0,22000,247492000,3232000,12587000,32475000,7000,45256000,178134000,0,0,0,2000,17000,0,73447000,85000,0,89000,0,53051000,13911000,0,5000,0,0,0,0,5000,679000,559000,12000,47000,28554000,268000,0,0,0,0,32000,0,1000,0,2654000,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,615000,0,0,5203000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363000,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,683000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,103000,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLI",0,7000,0,44000,0,0,0,0,19000,1964000,1127000,196000,92000,57000,15000,0,2556000,221000,0,0,0,0,4000,9000,14000,149000,0,0,0,3000,0,0,0,0,26000,0,435000,0,3032000,0,0,1000,34000,1109000,2000,6000,0,0,1000,28000,0,0,261000,19000,1000,0,0,157000,0,109000,2000,0,0,0,0,0,18000,0,0,0,0,0,2000,0,0,0,560000,0,0,0,68000,0,0,4617000,0,0,0,0,26000,0,0,2000,0,0,0,0,0,8000,233000,0,0,0,0,7000,0,0,0,0,0,0,0,0,103000,0,0,0,4000,0,0,0,0,0,7000,0,0,0,1945000,0,0,4000,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,82000,63000,1362000,0,443000,0,255000,573000,16739000,4804000,8665000,7640000,118000,394000,314000,2044000,25566000,2618000,0,15131000,267000,3000,20000,2820000,17208000,0,1000,9214000,2829000,1581000,11000,13340000,10661000,3380000,325000,0,7428000,16795000,4684000,0,0,778000,3536000,0,4000,0,0,9000,707000,9000,42468000,2000,0,0,0,13000,6000,283000,0,0,0,0,0,0,0,324000,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,190000,0,0,0,0,0,33486000,63000,0,0,0,0,0,0,0,0,0,15000,0,5102000,0,0,678000,0,0,0,10000,0,0,0,0,0,0,30000,0,0,0,0,0,76000,0,0,0,1000,0,0,0,3000,0,0,0,0,0,22000,0,0,0,0,0,0,0,0,4000,966000,3e+05,0
"AFG",0,5000,739000,21000,0,7000,0,0,2053000,169000,3025000,13464000,199000,40000,2000,81000,863000,10777000,4000,0,11001000,0,297000,1000,209000,6000,0,442000,0,19000,18000,1000,6810000,0,1090000,0,7000,113000,22488000,546000,16000,2000,10278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO",1000,71000,1763000,4614000,0,0,0,1200000,1844000,0,0,23739000,467000,0,4851000,847000,5750000,6562000,1000,0,0,5000,0,0,2862000,1542000,0,0,0,27833000,692000,11000,9000,1000,0,0,0,0,0,872000,0,0,55466000,16000,4000,188000,1123000,10000,713000,0,7000,496000,120000,4000,102000,34000,1000,67427000,30000,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,47000,175000,17000,0,0,0,0,3000,0,0,84000,0,0,0,25000,1264000,5000,0,0,0,0,0,0,1574000,5000,0,0,0,5000,0,0,326000,0,0,0,0,0,0,7000,0,0,98000,1776000,0,0,0,0,298000,0,0,0,108000,6000,0,0,0,0,0,3000,2000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,275000,0,0,0,0,2000,0,0,919000,481000,0,1000,0,11753000,446000,0,0,0,0,0,0,9000,146000,0,0,0,515000,0,1000,2000,0,51000,0,33000,0,0,109000,0,0,2000,0,0,127000,7000,33000,0,0,0,0,228000,0,351000,0,0,0,0,0,0,142000,0,0,0,0,0,0,0,0,0,0,38000,0,9000,0,0,0,0,0,1000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901000,0,2000,0,0,0,0,0,0,0,60000,0,0,64000,0,20000,0,368000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,213000,114000,0,0,0,381000,29000,0,0,0,0,0,0,0,0,568000,0,0,0,207000,0,0,0,10000,0,0,0,0,0,0,104000,0,0,0,0,0,0,18000,0,0,20452000,0,0,0,0,0,0,0,0,0,0,1563000,0,0,19000,0,0,2594000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMU",148000,7000,0,0,0,0,0,175000,0,0,0,1014000,0,0,177000,321000,150000,7697000,1000,0,0,12000,0,0,131000,13461000,0,0,0,297000,22000,42000,1000,0,0,0,0,0,0,0,0,0,1093000,0,0,0,0,0,0,0,0,0,0,233000,0,0,133000,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,2155000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",1278000,1000,63000,1707000,0,0,72000,268000,40000,0,0,4728000,47000,0,365000,55000,1262000,42846000,0,0,475000,9000,0,0,497000,5719000,0,0,0,2702000,0,4000,0,0,0,0,0,0,0,29000,0,0,28732000,0,0,0,0,0,10000,1000,0,0,0,2000,0,0,81000,3000,0,36000,0,0,2000,0,0,0,0,0,0,0,0,421000,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,26000,0,0,0,0,0,3561000,0,0,0,0,0,0,0,0,0,20737000,2000,0,0,4233000,0,0,0,0,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,0,0,3469000,0,0,601000,144000,224000,0,0,0,0,0,0,0,0,1000,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77000,0,0,0,0,0,0,43000,0,0,0,124000,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",22889000,464000,1873000,15739000,0,0,24923000,1623000,1409000,0,561000,104243000,2094000,40000,11144000,971000,21854000,83917000,5000,1000,329000,402000,20000,0,19947000,95251000,0,177000,0,7651000,285000,317000,13000,1000,1401000,0,0,0,0,25096000,0,0,222314000,1717000,0,0,0,0,120000,13000,13000,5000,1000,2427000,8000,407000,5009000,155000,0,1515000,0,0,0,0,0,0,0,0,0,1775000,0,0,0,0,1538000,28000,686000,0,1000,24000,1000,1234000,0,0,0,0,20000,2000,0,7000,24000,3000,5000,130000,0,0,0,0,776000,7000,0,0,1000,0,0,27000,29000,0,0,16000,0,0,0,20000,0,0,0,33000,0,0,0,1905000,157000,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,88000,318000,4304000,0,0,0,39000,798000,0,177000,1.8e+07,1110000,145000,1619000,1000,91553000,11030000,0,113000,0,78000,0,0,7308000,1020000,0,14000,28000,18722000,174000,0,0,0,295000,0,41000,75000,0,371000,0,0,10620000,0,321000,74000,340000,1333000,10000,86000,0,0,798000,3000,513000,0,0,17000,0,0,0,38000,0,0,0,0,47000,0,0,5000,0,0,0,6000,0,0,0,0,0,0,811000,0,0,1000,20000,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,13000,0,0,0,26000,0,13000,0,0,0,0,0,0,7000,0,1000,0,122000,0,56000,0,0,0,2000,0,0,0,0,0,0,64000,0,97000,0,3000,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",16000,526000,311000,200453000,0,0,0,1768000,2813000,0,0,37030000,350000,0,5495000,214000,34715000,7657000,194000,0,3552000,113000,33000,0,37207000,7351000,0,0,0,10749000,199000,143000,242000,0,0,0,7000,0,0,227000,0,0,48773000,1984000,462000,7000,255000,0,1704000,219000,9000,0,64000,0,826000,0,0,4000,19000,0,13000,3000,0,0,0,0,0,0,0,0,0,0,1000,0,22000,0,0,0,0,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82000,8000,0,0,0,0,0,0,0,0,0,73000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367000,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",3156000,472000,1924000,12714000,0,0,27000,13774000,5805000,0,326000,78998000,3351000,1000,20452000,9311000,5876000,10259000,7000,510000,36000,248000,9000,6000,4055000,4898000,0,0,0,20073000,3452000,60000,1000,4000,2105000,0,0,164000,0,18391000,1000,0,278731000,2051000,0,0,0,0,4000,32000,0,0,223000,272000,3000,3910000,3150000,5000,2000,2182000,39000,0,0,0,0,0,0,101000,125000,64000,114000,436000,8000,0,0,1870000,1000,0,5028000,333000,50000,3913000,0,0,41000,0,949000,0,0,559000,21000,0,0,30000,0,281000,21000,7000,0,26000,1000,0,0,0,0,0,595000,0,0,24000,0,0,0,277000,0,2000,0,31873000,250000,0,0,487000,68000,0,458000,0,0,0,0,5000,4000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,33000,1418000,1589000,0,0,5000,7736000,3079000,0,0,18689000,267000,0,667000,2021000,1397000,875000,0,0,0,42000,0,0,1919000,1125000,0,0,0,1802000,78000,26000,7000,0,0,0,0,0,0,1994000,0,0,54003000,0,0,0,0,0,7000,0,0,0,0,26000,0,738000,146000,0,0,24000,0,0,0,0,0,0,0,0,0,5000,0,6000,0,0,470000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,1699000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,7208000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,113000,80000,757000,0,0,3000,3205000,7598000,0,0,846000,146000,0,65550000,14914000,3402000,25520000,1000,0,1000,292000,4116000,0,18621000,53448000,4000,0,8000,7627000,524000,3000,0,0,0,0,3000,4000,0,8516000,0,0,4621000,7232000,14000,1000,63000,0,14000,11000,3000,3260000,47986000,22000,0,0,0,0,0,2000,12000,0,0,0,0,0,0,0,0,0,0,61000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,38000,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,35000,252000,687000,0,0,0,44000,179000,0,0,8907000,531000,0,4485000,697000,1782000,28593000,21000,0,5000,438000,6000,0,4458000,619000,0,0,292000,1814000,465000,472000,48000,0,0,0,0,344000,0,457000,0,7000,1193000,713000,0,0,0,0,148000,729000,88000,6000,3000,1000,18000,0,0,11000,625000,95000,267000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161000,222000,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDR",791000,3271000,21377000,22891000,0,0,11876000,1360000,6290000,0,0,0,19986000,0,4138000,15066000,14231000,28965000,759000,0,18042000,3860000,2250000,0,14792000,3274000,101000,0,814000,29559000,9834000,449000,1368000,0,0,0,18000,1042000,0,20632000,0,8081000,6707000,72652000,0,134000,16000,55000,6113000,7000,3464000,2178000,1678000,220000,3961000,57000,0,1509000,0,1028000,5000,24000,356000,0,0,0,1000,0,0,75000,0,82000,378000,0,4250000,0,0,0,0,0,0,355000,0,4012000,0,275000,0,0,0,91000,0,0,2424000,0,0,0,0,0,0,128000,0,0,0,0,0,0,0,0,0,0,0,1138000,1124000,0,0,0,0,0,1831000,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,140000,0,0,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,16000,1361000,2962000,0,0,0,4713000,3770000,0,0,5311000,394000,0,3266000,2257000,6644000,9685000,0,0,0,2000,761000,0,9510000,759000,4000,0,1000,1832000,2174000,4958000,0,0,0,0,1000,8000,0,1249000,0,0,124409000,5000,0,13000,1000,0,12000,0,0,0,418000,22000,0,57000,3000,3219000,0,525000,0,0,0,0,0,0,0,0,0,0,0,2199000,0,0,216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,1967000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",104000,95000,214000,1457000,0,0,3979000,56000,5309000,0,0,66327000,2158000,0,8884000,163000,609921000,23580000,57000,0,1000,1562000,0,0,15062000,84000,1000,0,0,8104000,949000,0,0,2000,0,0,3149000,0,0,869000,0,0,5342000,3605000,119000,2727000,226000,254000,699000,0,149000,0,9246000,0,1915000,0,0,1684000,0,1000,250000,295000,0,0,0,0,299000,0,0,0,0,0,533000,0,0,0,0,0,0,0,0,1000,0,8000,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,1115000,0,0,0,4000,0,0,0,0,0,0,0,5000,0,0,0,0,197000,0,3921000,0,0,0,149000,0,0,0,221000,0,0,0,0,0,0,345000,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",1911000,84000,4181000,4252000,0,0,119000,8651000,2870000,0,0,42898000,1030000,0,1136000,425000,6530000,2559000,25000,0,0,15000,2000,0,3664000,23376000,0,4000,0,2553000,1929000,9000,4000,0,45000,0,0,0,0,4556000,17000,0,87012000,0,0,0,0,0,287000,21000,0,0,47000,40000,0,866000,3831000,11000,0,69000,0,0,0,0,0,0,0,2000,0,1e+05,0,3805000,0,0,6299000,101000,0,0,0,3000,0,0,0,111000,0,0,64000,0,0,4000,1000,0,155000,3000,0,0,0,0,0,0,0,0,0,0,0,14000,47000,0,0,27000,0,0,0,65000,0,0,0,0,0,0,0,22000,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,89000,216000,939000,0,0,0,131000,729000,0,0,5258000,83000,0,443000,203000,3337000,3506000,10000,0,4000,10000,291000,0,7474000,4292000,0,0,0,2130000,1078000,84000,51000,0,0,0,3000,0,0,953000,0,0,53193000,3897000,0,0,0,0,1727000,1335000,138000,4660000,1000,0,3000,0,0,3000,2000,5000,56000,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955000,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",24000,6654000,4856000,8983000,2080000,0,0,7363000,5953000,2811000,52000,42938000,2913000,1339000,2347000,652000,5387000,50834000,25000,0,1272000,2391000,0,0,19246000,13911000,0,56000,97000,15028000,6319000,2538000,1000,4000,6093000,0,1000,0,17224000,4004000,0,0,77832000,3880000,1000,54000,6000,4000,1715000,1006000,39000,0,83000,0,583000,0,14000,0,0,21000,4000,435000,0,0,0,0,2000,0,0,0,0,0,41000,0,0,0,0,19000,2209000,0,0,0,0,0,0,53000,0,0,0,0,0,0,2000,0,7000,0,0,0,13000,0,3000,0,326000,0,0,0,0,0,0,0,0,2000,218000,0,0,0,1092000,0,0,0,0,85000,0,0,0,0,1925000,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0
"GLP",0,12000,5000,85000,0,0,0,243000,105000,0,0,171000,39000,0,14000,0,75781000,120000,0,0,0,0,0,0,17000,17000,1000,0,0,0,0,0,0,0,0,0,0,0,0,32000,0,0,8412000,0,0,0,0,0,0,0,0,0,219000,9000,5000,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
