"","ARE","ARG","AUS","AUT","BHS","BOL","BRA","BRB","CAN","CHE","CHL","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","DOM","ECU","ESP","EST","ETH","FIN","FJI","FRA","GBR","GHA","GRC","GTM","GUY","HKG","HND","HTI","HUN","IDN","IND","IRL","IRN","ISR","ITA","JAM","JPN","KHM","KOR","LBN","LKA","LTU","MEX","MLT","MYS","NIC","NLD","NOR","NZL","PAK","PAN","PER","PHL","POL","PRT","PRY","ROU","RUS","SAU","SDN","SGP","SLV","SUR","SVK","SVN","SWE","THA","TTO","TUR","TZA","UKR","URY","USA","VEN","VNM","ZAF","AZE","BFA","BGD","BGR","BHR","BIH","BLR","BLZ","CMR","DZA","GAB","GEO","HRV","ISL","KAZ","KEN","KGZ","LVA","MAR","MDA","MDG","MKD","MLI","MOZ","MUS","NCL","NER","OMN","QAT","SEN","SRB","SYR","TLS","TUN","UGA","ZWE","ALB","ARM","CIV","MWI","RWA","TGO","ZMB","AGO","ASM","ATA","COG","EGY","GIN","IRQ","JOR","KIR","KNA","KWT","LBY","MAC","MRT","PRK","SLE","SYC","TKM","YUG","ABW","AFG","BDI","BEN","BMU","CAF","COD","DJI","ERI","GMB","GNQ","GRL","GUM","LAO","LBR","MMR","MNG","NGA","NPL","PNG","PSE","SOM","TCD","TJK","UZB","WSM","GIB","GNB","MNP","FLK","FSM","MHL","PLW","SHN","ATF","SGS","SMR","TKL","VAT","HMD","SPM"
"TTO",465350.87,15172355.78,4831213.58,248747.38,92817809.23,120670.27,92929556.38,437948630.350001,153141637.61,1165044.74,10130528.91,17510386.81,162785503.9,11512651.47,23231743.98,1119,6786471.06,16396327.02,183131.6,123340782,14600391.6,97275602.67,0,0,76129.09,4296.55,366060204.87,107086470.85,3083250.09,1027269.15,74472046.85,272813889.55,338894.07,87724226.69,4283330,54209375,396119,5050689.18,699848.41,291077,12600,19483838.9,731061700.519999,3391784.25,0,829051.58,0,139620,0,196031493.55,30037,7799,14053522.36,46840750.22,6527381.15,225528.18,103512.66,29374883.79,31622436.33,12828,1738503.76,1813367.91,99549,17218.11,2233.01,174777.1,0,1708047.45,11361891.63,225271451,25789,127561.28,5625856.94,1554632.44,0,84778,0,1361143,55017.33,6746106290.23,30482730,118368.88,509249.83,5289,2578.71,1895290.23,29935.26,19692,0,1500,8956182.86,0,1667173,0,0,1117,0,0,78811,0,0,0,0,15271.61,0,0,0,0,0,0,11560,3749128,6296394.17,0,0,0,3919.95,0,0,39056,0,0,0,0,13855,1928,5531,0,0,16719,84549,21612,0,0,0,38447745,3801,0,14270.68,0,66706,0,0,0,47796,7377601.33,4599,0,0,71863414,0,17916,0,0,0,295019,0,0,0,0,1375,7937,159136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5554402,0,0,0,0,0,0
"TUR",1636325137.61,35482154.6,264805679.41,871988285.64,31898232,756350.32,115136990.24,1918650.35,511519483.36,571319594.05,35109408.18,603803123.460001,26874811.45,5074842.9,5469639.59,571379812.82,465806729.69,9796064457.81001,814612651.100001,5890348,19112464.08,3435002658.9,83970372.39,138964881.22,372479628.14,721906.07,4212439858.86,6233923861.55,39833935.29,1197647339.85,9868009.62,3140269.27,135981783.11,5473597.59,4609823,419046065.32,74501963,268910777.03,472910719.47,1016375191.22,1300819598.49,5407693591.55,23930969.1,265918593.23,502045.43,137309325.58,215513669.81,47827336.46,109534650.49,217829254.29,274050200.71,77515936.18,3903555.51,2379016451.71,396395434.14,65957701.16,211962203.42,79010292.02,15750143.05,30428961,1149154811.31,440897901.39,1248995.55,1941393380.75,2199348461.55,1197812660.33,145066487,109739844.49,2984317.5,2965970,170055622.33,249749607.49,801923827.69,90882874.37,5568640.9,0,23822231.15,813662507,4793943.31,5240703034.73,38258888,56227578.33,329519945.99,509658436.21,3999670.45,98053076.23,1108754691.65,50353424.64,194330431.25,74124438.12,298465.99,19816621.94,818238217.669999,5552257.31,304507995.79,239874285.87,39137403.66,438775287.64,30084050.87,71006086.1199999,56175244.73,410429465.21,93215824.7200001,11070184.9,125149543.8,11007776.27,6720610.74,7807476.1,3745371.65,4859754.66,59987173.45,122860693.62,35271292.93,209216889.19,558078457.93,339065.16,351159191.01,6590479.06,712903.67,203343194.26,52086690.39,37838212.15,3459123.17,719926.3,6031861.88,1876305.97,26825357,9445,0,15923729,638785148,14009638.51,2748591370,286711344,0,404275,209872912,383888863,3336916.64,10043617,467306,5324033,3998160,178910757,257644442,940043.68,111151767,2017686,5171957,75414,600976,2149719,7125801,11603394,10315871,4868685,196884,331394,0,45250333,447185,3380054.28,96588565,4467487,738514,9386517,2205546,994402,46396064,150557440,7879,40728162,182832,759478,0,0,116400493,35456,0,0,0,0,0,0,0,0
"TZA",95542425.96,25306,4389411.03,1595624.6,0,0,476935.87,59457,126818944.3,142123058.23,49000,229457983.98,728027.03,2917,161974.41,1660042.37,4003291.88,74292056.72,2004779.85,0,25799,22006399.26,0,3033050.51,1190820.2,0,30049264.63,171250136.3,150736.76,11136506.34,0,0,22392615.64,0,0,2037178.47,7016952,105437940.56,300233.21,51653,7262235.79,35950650.6,11151,80140233.16,0,1952848.26,66925.11,146445.41,504307.55,1779380.06,101326.59,34402797.09,7157,96625981.99,6868721.01,509828.51,13820586.03,26421,0,380027,6317891.45,14605599.79,0,2897435.07,14810319.68,32118279.16,566840,22949194.38,0,38898,3035077.02,199552,5240035.65,27082650.59,31322.24,9754258.31,0,84186,0,37889274.91,1275,4965454.96,319354241.85,0,16476,5648447.99,1088360.61,336867.11,28000,12320.43,0,366611.3,5355113.02,155982.22,0,276108.64,477933.39,548764.03,70918555.25,0,1029,1616247.97,0,2369758.92,0,88619,9932292.09,2698793.62,0,194811,3285454.22,356263.78,324517.35,989399.89,95257.13,3225283,64547.27,42602773.15,7440667.07,0,8265.08,37067,34316465.53,9488301.88,471720.99,68365602.16,1417393,0,0,8916604,8279736,532185,0,0,12146,1392,152817,0,6684,16117,0,193147,38103,0,12657,0,0,12626128,129116,0,0,62231097,8289,230229,163583,0,0,0,0,0,36364,0,1705832,0,198182,0,1274849,0,0,0,0,17107485,0,0,0,0,0,0,1791227,0,0,0,15172,0,0,0
"UKR",399293249.43,28254231.38,16204019.17,216347241.37,0,2366407.18,129930135.83,566428.41,224999177.3,37581977.1,77919663.09,719358110.97,52553852.42,16132140.87,26160168.62,53885781.76,622056393.48,1254815050.28,130514837.96,0,48032735.27,761939587.57,117560370.69,63773931.65,30745744.87,88768.89,297739036.15,136716026.67,31131051.76,177644035.13,11291313.37,79843.68,8466792.73,4380205.98,0,457781674.11,0,786757406.15,10178530.67,529780164.04,148085288.04,2178337385.45,1097731.84,136884775.28,72459.59,260554059.98,122727751.99,7672292.71,179980452.19,201899879.66,7170630.02,78684756.22,10114629.2,303848315.26,60941371.71,4598523.06,239844508.65,4762076.39,60197765.01,0,946275799.37,19191246.95,113399.69,486115115.41,7526269240.68001,437138254.61,0,522350542.37,5526979.94,0,433830870.12,41054227.55,40563677.42,183480265.17,10259226.67,2446465713.24,14605494.84,0,113992.18,1133844832.18,0,179836614.17,39574795.49,219664750.96,0,70734016.72,613397400.01,7268611.09,52387316.39,860398735.54,4821.03,22478516.37,543585252,1000628.94,200420492,74803023.76,907773.95,820343854.72,19696934.38,39527805.22,169139657.19,201228597.73,457484848.06,295066.52,67053182.26,24839096.69,4932868.43,295484.41,310071.45,910312.89,55566754.21,14358137.23,50591633.94,251480665.33,761305603.43,0,200431875.99,5207209.61,79263.98,69076538.89,65538152.08,9980422.88,606043,843318.09,6996974.87,18340,0,0,0,0,0,26023803.85,0,0,0,0,0,0,1912180.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19436802.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URY",6305171.09,453831644.26,2404505.24,1802156.56,1588173,5080525.49,471295745.72,2703686.41,91073616.91,34366278.24,91708326.19,172616674.69,28240551.66,4994202.72,35569610.44,1025630.08,2797543.37,150064631.36,5253608.89,3640752,43141847.99,142290784.93,1264946.33,0,9284136.99,119138.59,35903690.49,94308479.62,3686907.53,1564848.07,7292327.69,172304,22942479.53,2650467.84,2639444,563642.48,1306978,5382387.66,711559.22,84086875.12,48660976.5,103432470.64,7003711.55,70935055.12,1127435.55,29546948.95,1085266.35,0,1865059.95,231377547.75,1060257.9,32163411.77,1309033.05,58005013.57,28062649.98,410432.99,2978268.9,17862564.16,40576451.39,7849315,25259452.27,12171260.62,58949943.15,6758707.81,41037242.07,15086625.46,0,13373237.02,5151945.61,204433,509851.06,279613.52,21513973.04,90098195.81,11010612.58,18870839.2,25320,1696113,0,843255648.890001,33485531,14226309.05,26592067.72,23193.87,7934,1776920.94,2000568.79,3988.58,1398151.17,1110981.89,290127.97,5396481.47,18734368.8,1698094.11,125043,3851248.53,164314.03,176953.92,207569.87,0,65741.06,40067740.22,293782.08,0,592559.48,110741.73,699240.28,351866.43,10362.28,0,87545,24603.62,15776471.01,166599.88,299564.03,0,2707458.08,179965.39,77639.81,325448.14,2033689.28,836293.52,0,48686.58,150879.34,145060,792858,0,0,775133,28299553,123164,0,9432527,0,61262,1397790,234495,1157541.55,684662,84430,7020,86959,0,143212,875240,22974,0,149582,0,0,0,0,0,0,810031,0,0,0,303865,0,0,13621947,0,0,0,0,0,0,0,0,41263,0,20144,0,0,0,0,0,0,0,0,0,0,0,0
"USA",7156762659.77,4483371715.05,15937305522.7,3577652531.92,1804617569.83,326415277.99,12764363646.9,572773029.26,180102003360.97,9989888714.33,5132699149.91001,42746745548.08,6152902591.11999,3783413776.39,485194086.32,108071487.28,1787760344.5,43061211222.75,1976210362.71,4506210651,1865705376.06,8660546229.33001,229178302.83,670034122.72,2409840169.36,60487917.3699999,26332312509.34,37582037690.43,378869659.92,1961803322.06,3445248377.13,239955456.97,15721129152.47,2323796553,589025248,1181216210.84,2959391748,7911838332.66,9466813258.18,143248601.4,6657945712.43,12977381835.1,1933570278.72,57775992455.55,75809032.15,29232724325.76,562866728.440001,224509849.36,471635546.11,115569686824.37,207219193.43,10299092891.7,528820522.92,22773480583.44,2715165841.06,2787058957.27,1512968782.43,1686129652.17,2199683463.15,6752656033,2099308633.3,1290497473.39,228279456,1089519272.68,4389730941.81,7502755392.31,100275174,21402503788.38,2411919781.41,226364016,381734592.99,404189730.33,3789500244.05,8182718454.76999,1481244044.85,5024392904.15,113907068.96,516157796,299386759.63,0,6271692227,1273380086.53,4383050351.01,177139623.52,37853416.33,405446699.78,437226769.51,368082373.84,123806279.84,199993195.27,192455513.3,143869487.74,1372163218.52,106388401.93,189598187.51,422430302.74,487764449.93,1140861742.31,623681080.26,71000085.13,122070931.86,680117907.209999,49404916.0199999,46296278.12,57060574.02,78833893.69,94541032.85,72129306.7,64958343.97,88820525.05,569701163.94,1210721794.18,189109020.19,272467102.15,226851450.75,3599867.11,350832581.61,80470323.5,43995985.15,42586225.52,110124342.18,145584058.35,36578988.17,17919542.9,30618654.28,44874270.77,912535794,0,0,100141676,3028745698,130598127.7,1336266212,612376193,2297716.75,82187458,1858839975,82414089,177892714.35,84482171,5757048,33900924,20402401,214738753,116916522,629407753.61,253908151,7125841,67783467,429732574,12925802,59436548,46513145,29023977,30325605,246425889,5646787.68,0,9534627,64302202,5316298,45213391.27,1590045845,21721762,52300298,3952113,8173872,52353940,12964047,45657123,13403809,117132992,1988271,0,8648694,21214286,83680879,10329155,2682034,262293,0,0,74844151,0,145820,889900
"VEN",1813752.47,34062201.05,1776192.31,1573536.43,591815.67,36960202.3,235561605.76,5196047.01,1381488956.68,8603788.37,126331574.52,1107453643.35,1168178313.65,424266236.57,1871827013.29,0,4772244.11,534440282.91,113440120.64,0,427832059.71,906158225.71,76109.16,61316.28,206132.83,0,397006632.3,642293972.33,25185.72,23599368.96,109364637.39,7840499.08,17847214.17,97122567.85,0,125000,0,8734689.27,335884.17,2834791.63,1709863.86,292295057.77,243929113.75,282402595.14,0,192029455.52,23012605.03,17559.43,3453157.62,745649922.16,0,14436459.31,159666380.71,668794363.18,5690301.32,460189.02,1550466.54,43154057.11,487806649.97,0,8844235.79,12253329.6,5347906.32,11117022.97,48829512.86,8686620.81,0,216865149.98,205413368.02,0,2047200.65,80555.91,207189154.38,2420230.21,317308949.25,50029921.27,41342.15,0,222102451.85,32146186924.91,0,39936,3267021,149858,0,47809.79,15648021.04,15487.91,153232.51,19800,196070.41,52698.74,2028927,69183,9852,5473576.38,26706761.99,122959,69002.8,0,4849,13834790.21,0,0,0,0,17073.04,9383.91,58574.83,36753.75,0,17930956.83,14859345.36,2660979.65,0,0,5052532.89,50732.29,0,0,2887,69163817.39,16637.37,0,0,84512.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10398081.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VNM",108172699.55,18670597.84,2621257176.76,183282297.37,1051912,1042481.74,52182958.25,516230.37,458975691.98,171033810.02,47326833.62,2827560914.23,15323185.73,2405336.08,91849465.66,5700826.94,97426028.14,1691804497.07,135145567.93,4362331,15735059.86,687198698.32,11369787.84,9171951.13,68170230.25,1619635.7,1181434004.91,1364726110.94,52006954.8,77309484.34,3906627.7,306809.07,544164372.29,2246154.99,255051,29584378.82,468807427,137127968.6,66026682.05,73611665.41,42451829.56,623621272.25,802876.08,4625178646.91,474827992.52,797024144.89,14604158.96,20405124.4,12113248.02,258515154.01,2846219.79,1064330012.45,2108170.73,549282017.67,102621196.31,75258290.18,28303484.29,42643688.73,17736451.99,828935414,181888514.99,23368402.4,2156126.16,34847399.85,228405143.6,50945824.95,6188175,1868864884.72,2056011.54,527379,24717235.19,20085937.36,153860798.86,1145362884.15,2284420.54,117511016.3,12249831.73,39183153,2097032.94,6963560050.31,7170863,0,84058955.23,1340432.38,695751,24157582.87,19305459.12,23433168.1,5400698.96,3108766.91,4838651,35705758.47,40514836.91,7993500.24,3259471.23,20760975.11,5704906.94,4221836.19,21804284.37,224335.56,4206828.61,16447254.76,3595591.22,7626186.04,1534937.17,15072075.4,33824844.96,2956469.86,12697879.79,22781835.58,3183124.89,8632737.26,84281038.07,17265950.81,11140079.39,16477252.14,4421018.25,11826505.39,780616.55,1537416.22,1494595.12,86842288.82,854502.07,2050306.35,6157653.21,1754614.73,76187628,4588118,0,16865287,45087529,6740305.08,100999980,10685051,156024.46,0,11804251,1697143,7641015.18,74743,1424238,7943802,0,319449,339186,87416,1249772,728600,2091556,311983,49738,673323,565256,0,5437320,0,43808,1904837,66711613,21236307,11971571,3817517.84,17110277,1619301,10190384,0,1131662,0,196364,201461,46480,10369,0,18630,18730,32250,0,89752,38367,0,6768,0,23304,0,0,0
"ZAF",824801262.079999,113343548.91,1433892380.2,292078873.18,2290430.09,3606859.57,377926199.7,2226209.71,632977445.19,1045388203.54,83356716.09,2542462854.06,47049319.73,1953201.71,1059786.65,12330751.6,126879421.15,4009737492.12,204758332.89,1910142,4374806.07,1830436843.81,14711867.89,42522175.4,82118862.75,5514403.11,1375507562.33,9368136522.86999,267882234.08,59992708.7099999,6048098.68,991434.8,729699957.449999,1671549.09,577309,16709782.3,238670779,2548186984.96,183645371.67,144599634.48,806806574.45,3142088724.76,12205844.77,5003513438.86,1297434.96,1162316215.53,11485055.4,34444037.11,2948068.81,204378704.68,3302501.1,314732251.64,7447642.35,2238817020.75,439947167.73,196361871.21,209953255.96,19429122.79,29746334.83,62418203,171610511.58,313511479.39,2288145.88,27088484.4,127090494.87,536619390.66,66294373,473627942.91,1063158.51,155187,9314533.61,27091003.1,289177266.05,568416017.89,4294747.99,1230558538.69,464274003.86,37296220,7530764.05,6810906788.56,16729515,128623297.02,0,9042975.62,13361763.15,25036635.2,11782773.2,22678345.2,3999740.76,3254533.91,695036.63,44239409.7,73264751.26,29231225.37,3579917.36,38773769.4,12111221.49,8241251.87,643550179.72,3683155.68,1942608.33,376906568.13,3574975.01,117053138.15,1104538.51,73301301.14,959539304.040001,338696869.67,2509900.2,12388678.14,27458654.42,37567830.04,60667077.56,9296628.36,6117986,32387,10636074.39,155303262.62,664917714.04,1680102.88,1094054.43,54958223.51,361540123.78,23769339.65,12617425.29,1173710578.63,723928977,58851,470547,72495886,38497222,37452052.48,11548760,25396401,2456,150236,30489717,6302645,20647672.9,21411028,7292827,21928539,93028928,59046,1240806,2932838.41,8071725,5669623,12905494,389305,1426497,287343193,5650338,3913238,6093248,12393962,94482,128357,2803867,7153839,2635227,903462.99,528932378,2081192,1271889,0,741510,5237567,125252,2611534,1534495,7893056,545767,28618,29241,0,493838,0,16786269,0,0,27311,897757,0,27208,0
"AZE",17989240.2,120093,22772,120488938.96,0,0,1250,3386,425409.63,11071144.92,0,97126994.59,1020,1915,425807.7,1850676.36,526240366.57,363811517.24,61939.01,0,0,77121631.56,1448213.91,0,7353825.92,0,419435883.31,10912765.33,0,89681404.64,0,0,12651330,0,0,112000,0,8213010.45,15381,208615083.06,195253732.42,1247160170.61,15632,677689.16,0,588479,9225462.13,14158,6510130.58,29477,18258428.47,239068,0,6720879.29,1990836.03,5056,1556521.62,32040,0,0,9538329.57,8545687,0,117361524.48,290888402.58,288297.54,106000,123094381,0,0,1145701.66,3609613.73,346382.56,33658,0,289454451.87,15121,35786298,0,55579651.32,0,342833.83,161688,0,0,806765.5,85768588.23,10678,13565.72,1699921.24,0,0,1597983,49938.54,232499804.2,176906711,0,22478048.15,0,1851929.99,2966173.58,47858,3722558.81,0,0,0,13071.34,0,2262,0,0,19668.04,0,21554534.97,287564,0,50436,4327.3,1092,2136058.57,0,0,0,22899,0,116141.64,0,0,0,0,38885551,683651,10371549,0,0,0,0,393604,0,0,0,0,0,273570906,0,0,11677232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59800,989508,0,0,0,0,0,78936974,2840243,0,5903790,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFA",115189,32426,3768,1555655.63,0,0,28166.33,0,381384.05,30857784.64,0,155468191.38,4112.63,1951,0,21633,116626.34,2680154.76,325388,0,0,2508719.41,0,24391.69,422882.93,0,13058360.42,3032999.47,55160505.03,396865.88,0,2565.97,0,0,19437,0,0,2267435.48,3992.49,0,1725,8853592.29,0,8366768.36,0,2801165.42,28151.87,0,0,2804,0,0,0,4496584.39,1402.65,0,2837023.33,0,949979.32,2450,261048.01,6061227.89,0,6398,1424,0,0,7396564,0,0,69277.48,65912.86,148057.82,23226714.27,0,259993.31,9600,0,0,1252609.96,0,3212508.41,165470,0,0,4688817.28,87376.36,0,0,0,0,2018,0,7945,0,92618.19,0,0,1801,0,0,5453511.78,0,589989.92,0,9931372.07,0,364179.17,0,10971427.61,0,0,305255.48,38752.51,5897,0,1106704.43,0,9465,0,0,32534232.21,0,1820.74,136070820.4,0,3691,0,0,0,82351,148583,0,0,0,0,0,14302,0,73470,0,0,0,0,0,0,0,0,2690415,0,29993,0,0,0,5490,0,0,0,0,0,0,0,597467,0,0,0,0,22644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",40173556.12,2049425.79,37012415.23,147527441.97,0,319582.26,10080765.26,91975,415575724.59,69837741.77,2479604.53,92211023.05,675573.18,648330.41,206294.85,2033151.12,35164804.27,1525778832.29,100499854.26,63913,139249.06,460731335.88,4846807.12,1260785.21,52441138.93,59007.16,800195016.77,1235225126.48,3748571.64,20432280.16,297923.37,79976.3,127527709.35,989588.13,1324,7104406.12,26547459,126052789.38,53514559.04,52997632.45,0,403761518.2,969405.39,174728340.4,965964.36,47765108.19,4036694.24,14806983.21,230004.22,43084525.04,1314700.53,25718259.54,412372.55,310028015.73,64307698.31,4483035.78,74558518.98,1843224,11932153.83,3549312,47734549.87,12200854.57,12880,6520610.81,20560464.4,36298272.15,32644030,117760160.84,616152.55,59972,9363532.34,13547107.34,157868761.15,43726991.91,333675.19,83974618.71,699836.05,5873541,1165865.12,3010984824.83,692593,40619387.1,12285843.44,335023.44,132627.53,0,3094403.49,4586868.61,1058654,956784.18,0,1237758.91,2443291.21,286332.57,171633,10388953.06,2630074.57,1803503.05,2662552.76,104886.9,578912.6,3319098.61,1850012.36,257541.9,515295.91,53709.28,2066188.73,349889.9,1219283,202285.57,1463373.52,6275007.68,768946.23,2358368.56,12141609.67,99767,1994711.06,1637164.67,120249.07,9161,0,22469264.06,0,332917.64,1436453.58,14394.89,66802,44199,0,2590950,12054777,391690.01,35377,1830889,65481.51,0,11555074,364499,233875.53,28044,92855,68146,0,0,22978,0,896020,87778,349573,0,0,0,702742,0,484167,0,0,11314,55230,339687,2910655,430997.43,7230485,856046,1482410,0,147674,0,0,212890,0,0,208188,0,0,0,23447,0,0,0,0,0,33212,8070,0,0
"BGR",63083118.69,5963546.77,19181870.07,274310247.82,1947440.26,73423.42,59827122.42,41533.29,83648697.11,81339105.98,3725587.26,82559483.31,7695605.2,1464525.99,1816036.67,100745465.56,83549766.6599999,1249220725.08,42735487.14,1239803,599231.6,427084786.78,9984963.32,1331820.1,21928748.34,40739.53,617439239.969999,304262303.32,2868902.29,841511571.139999,1679163.52,313040.14,5835479.46,1982160.83,20427,98822451.27,13243986,26140128.6,16770361.13,39911263.04,63914818.52,1503208501.92,418794.93,38161113.69,300697,28674363.18,56365856.83,3263614.09,19337842.7,40567395.51,65868205.94,8475067.15,52560.94,164456039.85,27803873.61,1726173.78,7858329.4,6993939.5,27877453.22,11016901,158098583.7,29886317.53,776696.81,423126885.91,190879923.4,40660324.87,15591889,177147460.67,1095955.7,6116,47331378.38,59656526.06,58696015.11,15738449.61,185041.71,1231637369.83,1248003.94,80717747,854132.09,451573759.76,729527,6690416.06,26520851.47,12536410.35,83432.71,1392954.25,0,2768033.78,71320166.1800001,20182882.47,382398,930249.43,52720628.28,190118.73,64100350.27,166919949.81,1451705.57,21423841.42,11918018.44,1093670.4,8896404.9,11088557.18,27479836.8,68296.33,262035847.19,172373.98,177869.93,243615.77,266340.83,1204969.4,1227505.34,1616148.3,1708674.62,196597953.87,21850488.9,0,33932432.32,773122.86,239919.25,82689826.8800001,15879848.96,1999739.98,62391.46,67950.68,3637008.17,228227.39,527733,0,0,350277,67189980,413824.82,20766995,9825266,0,0,15016493,22415831,127895.03,3916308,3048348,0,0,769547,263878459,0,512605,24870,138728,0,4175,18309,14853,27322,2122793,2480,0,0,0,8736352,68719,1948436.7,7129107,231216,0,0,0,976952,571680,2516098,0,36929180,0,0,0,0,19651644,0,0,0,0,121799,0,0,0,0
"BHR",304176705.92,4105672.22,91166249.6,2125199.4,0,0,0,0,6371594.42,22874849.44,0,74864727.04,190803.91,14967.19,0,716102.69,666795.15,38822027.05,2164964.44,0,0,68309623.58,115120,173770.21,8239996,0,66323549.91,157872227.21,384935.13,1817416.84,0,0,45323495.28,0,0,5000,31809342,218012192.24,1795067.18,72025490.13,0,65694721.04,1123,346557493.37,55045.29,319403733.24,30330204.08,3784076.05,17595,392215.73,151266.96,108182036.01,0,99124783.36,12353146.54,12048980.95,65020743.09,0,187412.29,6740339,6722197.03,20482366.35,2795,276278,1691467.15,738326696.49,1663635,139484531.6,0,0,73406.93,387725.51,817347.39,129435236.21,0,40006836.22,473490531.32,640108,0,446311139.63,0,8802213.04,49381067.49,196634.49,31162,1651735.88,30310,0,122577,453222,0,63830,20825251.23,8691360.88,0,213096.09,7533190.43,366261,109594357.11,0,0,33164786.62,0,204350587.15,0,136982.42,0,153088148.16,0,12334706.2,147060311.88,124587980.13,32322.93,20611.03,14494084.86,0,12113731.49,19016827.16,0,20097.32,0,138121.95,40871,1639631.62,708082.01,269459.1,0,0,0,0,13182186,566449,3769197,14731909,0,78311,81438410,20770709,0,58773,252478,0,14558,0,0,0,31800,0,0,0,0,0,208660,0,0,0,0,0,0,0,42167,0,1231485,152776,0,185689,3989,0,0,0,0,0,0,0,2612,0,0,0,0,0,0,0,0,0,0,0
"BIH",1616915.87,462618,8061597.75,129344009.63,55275,0,24213,0,12242921.4,33577023.09,67718.35,97716622.64,519280.9,5619,0,1929096,37946910.52,300793535.66,2796562.38,0,0,18487388.95,38335,163774.1,876708.44,0,71736176.03,47392963.17,0,12817169.19,10773,0,119320.36,939281,4939,179020609.41,0,183255.88,1664682.28,2197312.2,1722705.34,411205479.99,0,1495172.97,11881,272072,208931.06,11138.03,39881855.07,519373.11,13807,597908.08,4070,33373005.9,3579846.28,112391.16,170102.4,3568,22776,0,43473670.82,3288990.9,0,35677943.42,4691945.04,600693.96,862737,89803,4010.35,0,9082011.99,251363668.93,58053788.04,2191,0,17029426.33,0,2778566,8488,139454567.37,0,14649.09,1980691.42,0,0,22857,6917035.75,55946.01,0,41652.35,0,0,9019959.17,0,1360665,482693160.82,121724.94,2356111,37005.27,2964,70728.48,275059.94,787570.05,0,24024211.61,0,96191.3,6198.73,3099,0,717641,201713.52,0,272479020.58,733242.22,0,646814.67,0,9747,4488458.37,394693,0,0,0,1235,0,0,0,0,320528,5873200,0,971318,1007531,0,0,266054,8622956,85548,0,0,100960,633523,0,370813033,0,52610,0,0,0,0,0,0,0,0,0,0,0,0,130445,0,0,0,0,0,0,0,0,0,0,0,2121817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",7612089.05,3400865.5,8038640.96,25172396.73,0,2139.33,170378996.35,0,16404439.05,5233131.66,3269924.11,446186188.48,811799.1,1341300,12748160.61,16763608.98,62882445.82,731295786.969999,70944527.87,95800,0,19559327.97,108795174.29,2002107.48,32143847.5,0,281832281.34,1128343750.89,354485.98,12877374.74,1358378.44,0,11760331.66,0,0,135656552.59,24223200,204346201,7039173.83,33210212.38,1862479.7,162217224.45,2070,6814503.61,1065318,10857184.26,11758199.49,5005700,353217548.1,8229409.87,43993.12,16459496.25,2140827.43,2414000481.5,42167946.46,265066.44,57940168.5,5144800,4655599.47,4943800,857535956.1,16788022.51,1000,63328693.17,5473341900,3466800,2939000,8089543.83,2343900,0,49182561.34,5701452.07,273178263.89,3527915.48,0,48621021.9,826100,907332400,2144599.23,266440219.06,15587700,43931489.51,3149605.9,27673163.57,1691200,9665709,25556896.42,454200,13421171.41,0,0,946400,6014398.3,0,7224654.18,21568168.26,4191142.98,187028029.67,402625,9242369.74,329093162.17,319057.89,103516883.1,128340.5,206043.65,0,25300,4400,4295,59000,3000,0,258800,34518072.97,28075269.16,0,1005987.69,0,131936.68,11418698.94,13364288.61,6199161.06,172174,0,5510.75,49200,2049000,0,0,736000,29605000,5165030.02,77300,8894700,0,0,88900,4339400,0,0,5675600,582000,8700,43849000,35124100,0,11721900,22700,0,0,0,112800,0,1866900,0,0,0,0,0,0,14800,8318947.73,3750400,141200,0,0,0,0,8586400,42057500,0,5900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
