"","AUS","AUT","BEL","BGR","BHR","BMU","BRA","CAN","CHE","CHN","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","GTM","HKG","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JPN","KEN","KOR","KWT","LBN","LKA","MAR","MLI","MRT","MYS","NER","NLD","NOR","NZL","PAK","PHL","POL","PRT","ROU","SAU","SGP","SUN","SWE","SYR","THA","TUR","TZA","USA","VEN","YUG","ZMB","ARG","CHL","COD","COG","COL","LBR","MLT","MUS","MWI","NGA","PAN","SEN","TTO","ETH","HND","LBY","NIC","PER","JOR","SDN","AGO","BDI","BFA","BGD","BHS","BLZ","BOL","BRB","CIV","CMR","CRI","CYP","DDR","DJI","DOM","DZA","ECU","GHA","GIB","GIN","GLP","GMB","GUF","GUY","HTI","JAM","KHM","KIR","KNA","MDG","MEX","MOZ","NCL","PNG","PRY","QAT","SLE","SLV","SUR","TUN","UGA","URY","VNM","ZAF","AFG","ALB","ARE","BEN","CAF","CUB","FJI","FLK","GAB","LAO","MAC","MMR","MNG","NPL","OMN","PRK","RWA","SOM","SYC","TCD","TGO","WSM","YMD","ZWE","GNB","SPM","GNQ","SHN","GRL"
"GUF",0,0,335000,0,0,0,17000,0,4000,0,0,849000,0,0,17000,44000,817000,260000,2000,0,4000,0,0,77000,1000,0,0,0,0,387000,289000,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,3842000,1000,0,0,0,0,50000,0,62000,0,0,0,0,3000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,321000,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
"GUY",455000,162000,706000,0,0,47000,574000,16100000,5000,2025000,0,3614000,1053000,0,1551000,13000,3689000,50508000,9000,0,8000,0,0,45000,3868000,0,108000,0,101000,3927000,10426000,0,0,190000,0,0,378000,0,0,0,0,543000,1057000,137000,0,0,0,0,0,0,0,8747000,808000,0,173000,0,0,40059000,4e+05,456000,0,718000,131000,0,0,62000,0,1000,0,0,0,10000,0,7259000,0,4000,0,0,51000,0,0,0,0,0,0,3000,20000,0,3088000,0,0,0,1000,0,0,81000,0,4000,0,0,0,885000,0,1000,0,0,5943000,0,0,2407000,0,1135000,0,0,0,0,0,0,0,337000,0,0,0,0,0,0,0,0,6000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",2000,36000,3923000,0,0,16000,0,1716000,2026000,0,0,494000,517000,0,102000,5000,5507000,184000,0,16000,1000,0,0,0,0,0,0,0,0,3043000,464000,0,0,0,0,0,97000,0,0,0,0,1554000,472000,0,0,0,0,0,0,0,0,0,155000,0,0,0,0,0,53000,0,0,0,0,12000,0,0,0,0,0,0,0,22000,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47000,1000,0,0,0,0,0,237000,0,0,0,0,0,142000,0,1000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",996000,275000,458000,0,13000,1054000,33000,19849000,183000,0,0,2181000,157000,0,6462000,285000,399000,96633000,0,293000,20000,0,0,0,221000,27000,1000,4391000,2000,190000,2151000,0,3000,4000,0,0,4000,0,0,0,0,510000,37156000,1866000,0,1000,0,9000,0,0,0,0,12411000,0,0,0,0,0,1577000,0,23000,5000,5000,0,0,0,0,14000,0,5000,0,462000,0,9074000,0,4e+05,0,178000,52000,0,0,0,0,0,0,0,0,4000,2988000,2000,3000,521000,0,0,0,508000,0,0,1621000,0,0,552000,0,23000,3772000,0,0,0,0,0,0,36000,0,0,11000,0,0,0,275000,0,0,0,0,0,0,0,0,0,0,0,0,39000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0
"KHM",162000,0,12000,0,12000,0,0,1000,68000,0,0,138000,25000,0,7000,1000,344000,57000,3000,0,1985000,0,9000,0,0,1000,0,0,7000,3000,1881000,0,3000,2000,0,0,0,0,0,78000,0,11000,0,0,17000,4000,0,0,0,0,1086000,0,24000,0,212000,0,0,1000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,116000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,18000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIR",2993000,0,8000,0,20000,0,0,0,0,0,0,2095000,0,0,0,0,3372000,606000,0,0,1e+05,0,0,0,73000,0,0,0,0,0,7396000,0,0,0,0,0,0,0,0,0,0,64000,0,7794000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KNA",211000,0,155000,0,0,29000,0,5572000,214000,0,0,1228000,9000,0,0,835000,687000,28519000,0,0,0,0,0,0,0,0,0,0,0,298000,4000,0,0,0,0,2426000,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,93000,0,0,0,0,0,0,0,0,0,0,0,1603000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,14000,0,0,0,0,0,0,0,0,0,0,0,70000,0,0,776000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164000,0,0,0,0,1238000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129000,0,0,0,0,0,0,0,0,0
"MDG",356000,202000,617000,20000,16000,0,5000,549000,573000,0,4000,7084000,309000,0,870000,151000,66832000,3027000,1262000,5000,323000,87000,5257000,227000,4000,4000,5000,0,13000,3854000,11643000,4000,0,212000,249000,0,509000,4000,2000,33000,569000,2752000,84000,19000,122000,37000,1e+06,287000,591000,0,9403000,2201000,302000,0,11000,0,14000,33542000,59000,155000,3000,0,1000,4000,1000,35000,0,7000,1294000,1000,75000,0,460000,6000,5000,2000,54000,0,53000,49000,0,0,0,0,0,0,0,13000,0,2968000,35000,4000,0,0,208000,1000,1119000,4000,0,0,0,417000,0,50000,0,0,0,0,0,0,0,1000,0,441000,56000,0,0,2000,0,0,17000,0,0,0,0,0,0,0,5000,6000,0,9000,0,29000,0,0,0,0,0,0,0,3000,0,0,9000,0,0,0,0,0,0,0,0,0
"MEX",3855000,3287000,7660000,0,7000,52000,43847000,53473000,7734000,17426000,64000,55845000,1192000,424000,26484000,1510000,22726000,17145000,175000,12618000,2630000,351000,851000,1074000,343000,410000,13847000,5000,780000,29187000,201823000,0,245000,208000,143000,3000,757000,0,0,266000,0,14209000,581000,1581000,5000,760000,1634000,4893000,2000,45000,1717000,111000,5443000,15000,2160000,59000,1000,1296973000,34022000,6148000,7000,19118000,25717000,131000,0,18618000,24000,6000,0,0,75000,6158000,0,440000,4000,3904000,401000,4329000,14643000,31000,0,0,0,0,0,1676000,304000,369000,192000,34000,1000,9483000,17000,1599000,0,3503000,2680000,3989000,65000,0,0,51000,0,1000,279000,984000,890000,0,0,18000,17000,0,0,75000,305000,720000,0,26000,5963000,292000,39000,0,2058000,154000,761000,0,0,0,0,5000,11760000,14000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,11000,0,0,0,0,0,0,0
"MOZ",2275000,3054000,14080000,0,5000,1000,34000,3870000,1698000,0,0,13316000,2054000,1190000,6167000,41000,8179000,28181000,145000,0,1246000,0,282000,19920000,1059000,7207000,979000,0,0,14661000,31335000,331000,455000,0,2002000,2547000,2065000,0,0,916000,0,18018000,1340000,425000,0,421000,0,70119000,0,0,1973000,0,1728000,0,70000,0,0,0,54000,32000,857000,83000,0,715000,0,35000,0,15000,3000,2480000,1000,0,0,39000,0,0,0,0,277000,851000,0,0,0,0,0,0,0,0,26000,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCL",606000,1887000,148000,0,0,0,0,9272000,18000,0,0,12996000,0,0,252000,3000,112008000,3000,0,0,48000,0,0,0,0,0,0,0,0,5984000,58523000,0,0,0,0,0,0,0,0,0,0,1000,0,67000,0,0,0,1000,0,0,0,0,5463000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,92000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNG",26483000,545000,208000,0,0,1000,0,657000,13000,0,0,45731000,91000,0,2683000,83000,2015000,16825000,0,0,7000,0,13000,0,26000,4000,0,0,0,205000,66093000,0,142000,0,0,0,0,0,0,5000,0,505000,7000,926000,0,0,383000,0,0,0,435000,0,41000,0,0,0,0,10690000,39000,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139000,0,0,267000,0,16000,0,0,0,0,0,0,0,0,0,6000,104000,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRY",31000,368000,5013000,0,0,5000,6253000,1407000,3417000,0,0,20031000,576000,2000,4781000,195000,6873000,11755000,1267000,0,4000,0,0,0,2000,35000,0,0,16000,1923000,1577000,0,0,21000,62000,0,19000,3000,1000,0,0,6740000,180000,0,11000,21000,19000,128000,0,0,0,0,26000,0,6000,0,0,15299000,30000,307000,7000,19807000,2574000,0,43000,728000,0,7000,294000,0,0,1000,44000,0,0,0,0,0,312000,0,0,0,0,21000,0,0,0,153000,115000,78000,11000,0,0,0,0,0,326000,279000,8000,0,0,0,0,0,0,0,0,0,0,1039000,480000,1179000,0,0,3000,0,0,0,2000,0,451000,0,622000,0,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QAT",7637000,9124000,7771000,0,692000,0,4649000,647000,0,0,0,25231000,0,53000,2027000,0,63178000,98034000,57000,0,0,0,0,36000,0,352000,0,0,0,38287000,4721000,0,0,59000,0,0,0,6000,0,0,70000,88800000,0,0,0,0,0,0,0,0,0,0,10049000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10307000,0,0,0,0,0,0,0,0,0,653000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLE",9000,5000,222000,0,0,1000,0,3246000,1000,2000,0,12369000,658000,290000,1548000,14000,316000,3200000,140000,0,3000,0,0,31000,306000,0,0,0,132000,986000,12099000,0,0,4000,180000,0,491000,8000,0,693000,2000,9971000,5000,0,0,0,1000,3000,0,0,198000,1397000,27000,0,0,0,34000,6641000,0,466000,2000,921000,0,18000,0,0,426000,0,0,0,73000,0,128000,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,4000,12000,2000,21000,0,0,0,0,0,28000,0,55000,2000,376000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0
"SLV",3000,2101000,1075000,0,0,12000,0,3779000,4037000,0,109000,58718000,2705000,0,430000,2405000,4192000,3081000,412000,45772000,1000,0,0,0,10000,7000,0,32000,0,647000,40858000,10000,2000,0,1000,0,1226000,0,0,1603000,0,2937000,1368000,0,0,12000,1666000,0,946000,0,0,3787000,194000,0,0,0,0,44469000,128000,2479000,6000,3000,429000,0,0,3000,0,3000,0,0,0,1749000,0,25000,0,0,14000,16607000,25000,43000,0,0,0,0,0,0,0,14000,34000,5000,0,22806000,0,0,0,159000,0,32000,0,0,0,12000,0,2000,3000,30000,140000,0,0,0,0,670000,0,0,0,15000,0,0,0,38000,0,0,0,10000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUR",0,1088000,705000,0,0,148000,105000,5375000,5785000,0,0,24913000,50000,0,0,23000,2726000,3741000,52000,0,0,0,1000,0,173000,0,0,995000,145000,9854000,4055000,0,0,0,0,0,165000,0,0,0,0,18754000,7980000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,126000,0,0,6637000,0,0,0,0,0,0,0,0,0,5000,0,655000,0,0,0,0,61000,0,0,0,0,0,0,0,0,0,396000,0,0,0,0,0,0,451000,0,0,0,0,0,1932000,0,994000,176000,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58000,0,0,0,0,0,0,0,0,0
"TUN",1000,1491000,4177000,3155000,0,0,2929000,19000,5737000,916000,2511000,34444000,640000,337000,7282000,370000,67740000,5857000,3924000,0,0,317000,314000,0,93000,390000,26000,254000,0,100872000,102000,0,0,88000,352000,0,1620000,2000,8000,5000,10000,2163000,1040000,0,520000,0,7795000,14440000,1498000,36000,0,8864000,1918000,0,79000,2348000,0,11368000,0,2165000,64000,0,0,68000,624000,0,1000,136000,0,0,120000,0,270000,0,4000,0,16407000,0,1000,0,0,0,0,101000,0,0,0,0,0,1110000,532000,0,0,368000,0,0,3499000,0,2636000,0,0,6000,0,0,0,0,0,259000,0,0,87000,0,0,0,0,0,0,0,72000,0,0,0,654000,8000,0,0,0,0,114000,105000,0,0,0,508000,0,0,2336000,0,0,0,0,0,1000,0,11000,56000,0,0,0,0,0,0,0,0
"UGA",5709000,1396000,639000,0,1000,0,0,4523000,1772000,6317000,618000,17051000,237000,2e+05,5608000,945000,10203000,43500000,666000,0,6261000,4276000,886000,2044000,1015000,15000,16000,35000,283000,4392000,25926000,0,274000,2000,9000,0,0,0,0,331000,0,1970000,289000,1329000,28000,0,10990000,1666000,1246000,0,1532000,818000,4378000,77000,454000,0,0,56048000,0,1348000,17000,1000,0,458000,0,0,6000,3000,1000,6000,4000,0,0,0,685000,0,286000,0,0,10000,2629000,0,83000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,23000,0,0,11000,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545000,226000,2000,0,0,0,482000,0,0,0,0,0,0
"URY",1000,7516000,6028000,0,0,0,12587000,502000,4385000,0,0,25001000,1416000,2012000,25221000,338000,25521000,15715000,4522000,14000,6764000,0,11000,56000,30000,502000,0,0,2942000,15777000,3800000,0,0,0,0,0,44000,0,0,0,0,11435000,247000,0,0,6000,0,6583000,0,0,0,0,755000,0,0,0,0,0,146000,938000,17000,5602000,7485000,0,0,2877000,0,0,0,0,0,66000,0,0,0,2000,0,14000,702000,189000,0,0,0,0,0,0,0,306000,0,0,0,9000,0,0,0,1000,0,64000,0,0,0,2000,0,0,0,0,0,0,0,0,0,3115000,0,0,0,1228000,0,0,12000,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VNM",15000,148000,760000,0,17000,0,0,10000,126000,0,0,940000,17000,0,570000,0,6075000,288000,3000,0,6745000,0,398000,0,0,4000,1000,1000,1000,185000,16374000,0,2205000,0,0,0,13000,0,0,528000,0,213000,4000,0,18000,582000,0,41000,0,0,3987000,0,49000,0,121000,0,0,555000,6000,113000,0,0,0,0,0,0,0,0,9000,0,0,0,10000,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,5000,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,1921000,0,0,10000,0,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,79000,0,329000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0
"ZAF",23436000,27632000,132665000,0,1470000,18000,7812000,59534000,15418000,0,0,271119000,7767000,924000,68835000,17935000,106199000,544291000,15235000,75000,33690000,0,2000,315000,9130000,18431000,1194000,433000,11594000,107611000,438754000,588000,8434000,1272000,1176000,3247000,0,0,13000,0,1000,41174000,18563000,6339000,67000,128000,0,7867000,0,0,0,0,23157000,0,5685000,621000,106000,0,1701000,2544000,90019000,5587000,3924000,12648000,162000,736000,3000,215000,9495000,16579000,0,239000,0,0,0,44000,0,26000,678000,3893000,0,0,0,0,0,0,0,596000,0,0,0,9000,0,0,0,57000,0,185000,308000,0,0,4000,0,0,0,0,0,5000,0,0,0,3289000,0,0,62000,4000,0,0,158000,0,0,51000,0,0,0,0,0,0,0,0,0,134000,0,0,7000,0,0,0,0,0,0,0,0,0,56000,15000,6000,0,0,0,0,0,0,0
"AFG",83000,421000,132000,96000,2000,5000,0,116000,3138000,1074000,2823000,20527000,707000,11000,113000,83000,3156000,25950000,3707000,1000,1000,0,1000,14784000,3000,928000,464000,1000,13000,1403000,307000,0,0,21000,779000,607000,3000,0,7000,0,0,867000,172000,4000,14592000,65000,3e+05,312000,0,122000,152000,36124000,903000,30000,0,3000,0,2492000,4000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",1000,1465000,36000,0,0,0,0,0,90000,0,0,751000,4000,543000,24000,9000,738000,30000,1579000,3000,0,0,0,0,0,41000,6000,0,0,7575000,77000,0,0,0,0,0,0,0,0,0,0,388000,3000,0,6000,13000,0,0,0,0,0,0,4000,0,0,0,0,0,0,5439000,0,0,0,5000,0,11000,0,0,0,0,0,0,13000,0,3000,1000,155000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",7486000,0,8973000,0,2505000,0,7266000,27333000,0,0,0,144699000,0,0,30293000,12000,166917000,134249000,0,0,407000,0,0,171000,624000,8320000,1000,0,0,22772000,225854000,0,69000,314000,0,1237000,0,0,0,0,0,48850000,0,0,2062000,0,0,0,0,0,2641000,0,17299000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,903000,0,0,0,3000,22000,588000,170000,0,8099000,259000,0,35000,0,19063000,837000,1014000,0,0,0,0,0,0,0,0,0,97000,1028000,1870000,0,0,0,589000,0,291000,18000,1000,0,472000,2429000,0,0,0,16000,0,190000,0,0,0,4000,96000,0,0,0,0,887000,0,0,0,0,0,7000,39000,0,23000,0,0,0,442000,0,760000,0,0,0,0,0,0,0,0,0,0,49000,0,0,0,0,0,50000,5000,0,0,163000,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,2000,0,0,10000,0,0,0,1000,0,0,0,0,0,0,0,0,89000,0,0,0,0,0,0,0,0,0,0,4000,766000,0,0,0,0,0,3000,0,0
"CAF",13000,89000,3031000,0,0,0,0,0,183000,0,0,926000,139000,0,22565000,12000,20542000,186000,0,0,0,0,0,0,0,0,0,0,5600000,1014000,235000,0,13000,0,0,0,221000,0,0,0,9000,99000,0,19000,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,18000,1386000,0,0,0,119000,0,0,0,0,2000,0,0,0,1000,0,0,0,0,0,115000,0,26000,0,0,0,0,0,0,0,0,39000,320000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882000,0,0,0,0,0,0,0,0,0
"CUB",216000,185000,2580000,0,6000,22000,0,11186000,3311000,0,0,4251000,404000,101000,49834000,3693000,11660000,12581000,46000,0,144000,0,20000,0,807000,3869000,7558000,5000,0,14407000,145373000,0,0,112000,5513000,0,9674000,0,0,22130000,0,9895000,1289000,1000,0,0,0,7000,0,0,2596000,0,12075000,0,0,0,0,0,2000,5563000,0,0,9972000,2000,1000,0,11000,26000,0,0,0,0,761000,0,0,0,195000,0,1000,3000,0,0,0,0,0,0,0,0,4000,4000,2000,0,0,0,0,0,0,0,0,0,0,1289000,1000,2000,0,0,0,0,0,0,0,23000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0
"FJI",11487000,0,2000,0,20000,2000,0,7007000,109000,0,0,944000,146000,0,151000,2451000,38000,27043000,6000,0,112000,0,0,13000,61000,0,0,3000,0,143000,5478000,0,0,0,0,0,0,0,0,0,0,54000,817000,14905000,0,0,0,0,0,0,59000,0,214000,0,0,0,0,15585000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648000,0,0,13000,0,468000,41000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,686000,0,0,0,0,0,0,0
"FLK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275000,1454000,0,0,0,0,0,0,135000,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,871000,7436000,0,0,0,4701000,1517000,969000,0,0,23233000,423000,0,0,9000,120660000,6257000,7052000,0,0,0,0,0,3000,0,0,0,2008000,5158000,7837000,0,0,0,959000,0,1942000,6000,1902000,0,73000,13992000,3192000,6000,0,1000,0,102000,0,0,0,0,1141000,0,0,0,0,0,0,849000,3000,0,0,2000,0,0,73000,0,7000,0,0,0,3197000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864000,12259000,0,0,0,0,0,0,0,0,0,0,210000,8000,23000,0,0,0,0,0,0,243000,0,0,0,0,0,0,220000,0,0,4000,0,0,0,0,0,0,0,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772000,52000,0,0,0,0,0,0,0,0
"LAO",0,1000,8000,0,0,0,0,0,1000,0,0,15000,43000,0,0,0,29000,5000,19000,0,159000,0,2000,0,0,0,0,2000,8000,64000,294000,0,0,0,0,0,0,0,0,2403000,0,1000,0,0,0,0,0,0,0,0,182000,0,0,0,3856000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAC",36000,133000,2086000,0,10000,0,18000,0,441000,0,0,13463000,2028000,0,814000,54000,13966000,123000,0,0,21368000,0,0,0,1000,1000,0,4000,0,3679000,2129000,0,7000,0,0,0,0,0,0,0,0,1320000,376000,6000,28000,0,0,6879000,0,0,0,0,1573000,0,150000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",283000,614000,5548000,0,1137000,0,496000,9000,1011000,1030000,0,6569000,5820000,16000,854000,134000,1371000,14737000,103000,0,5260000,0,388000,2566000,295000,5000,1258000,26000,8000,2028000,23826000,0,0,1069000,98000,19966000,619000,0,0,7216000,0,2810000,947000,42000,2727000,1836000,0,0,0,0,10824000,3241000,2700000,0,444000,0,0,195000,0,1914000,67000,0,0,0,0,0,0,1000,5548000,0,237000,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,13000,2000,0,0,0,175000,0,0,0,0,0,0,0,0,702000,0,0,0,0,34000,0,0,1523000,190000,0,0,0,0,0,22000,0,0,0,0,0,25000,156000,0,0,0,1000,0,0,110000,0,0,0,0,0,0,74000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNG",31000,0,113000,0,0,0,0,0,276000,0,0,378000,4000,0,0,0,597000,319000,0,0,0,0,0,0,41000,0,0,0,0,117000,574000,0,0,0,0,0,0,0,0,0,0,58000,0,7000,0,0,0,0,0,0,0,0,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,0,0,0,0,0,0,0,0,0
"NPL",72000,3000,4476000,0,18000,0,0,0,88000,0,0,2172000,6000,1000,0,4000,2944000,503000,91000,0,140000,0,0,14475000,0,103000,0,0,37000,312000,1137000,0,17000,0,0,0,359000,0,0,0,0,30000,0,0,388000,0,0,0,0,0,930000,0,3000,0,1000,0,0,0,0,189000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
