"","ARG","AUT","BHS","BOL","BRA","CAN","CHE","CHL","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","ECU","ESP","EST","FIN","FRA","GBR","GRC","GTM","HKG","HND","IND","IRL","ISR","ITA","JAM","KEN","KHM","KOR","LBN","LKA","MAC","MEX","MNG","MYS","NLD","NOR","NZL","PAK","PAN","PER","POL","PRT","PRY","ROU","RUS","SLV","SVK","SVN","SWE","THA","TTO","TUR","URY","USA","ZAF","ZMB","ALB","AUS","AZE","BFA","BGD","BGR","BHR","BIH","BLR","DZA","ETH","FJI","GAB","HRV","HUN","IRN","JOR","JPN","KAZ","KGZ","LTU","LVA","MAR","MDG","MKD","MLI","MLT","MOZ","MUS","NCL","NIC","OMN","SAU","SEN","SGP","TGO","TLS","TUN","UGA","ZWE","CIV","MDA","MWI","NER","VNM","AFG","ARE","CMR","EGY","GEO","GHA","GIB","IDN","ISL","KIR","KWT","LBR","LBY","MMR","PHL","PNG","PRK","QAT","SDN","SLE","SYC","SYR","TKL","TKM","TZA","UKR","VEN","YUG","ARM","ABW","AGO","BDI","BEN","BLZ","BRB","CAF","COD","COG","DJI","DOM","ERI","GIN","GMB","GNB","GNQ","GRL","GUY","HTI","IRQ","KNA","LAO","MHL","MNP","MRT","NGA","NPL","PSE","RWA","SOM","SUR","TCD","TJK","UZB","ASM","ATA","BMU","FLK","FSM","GUM","PLW","SHN","SPM","WSM","ATF","SGS","SMR","VAT","HMD","UMI"
"JAM",34186.8,1444406.85,2423654.17,0,158707,267674124.02,2769064.15,34784.24,183540766.72,1580068.49,399741.53,3422394.19,2052.22,356684.91,105094697.13,185379.7,315901.03,21354254.95,230838.66,6416650.82,58794703.03,159281048.2,3528,1306113.73,438797.2,1400327.73,3764951.57,1113243.01,192297,13919273.4,0,11352.96,0,541819.06,87160.77,0,19894.95,7075387.88,0,208561.54,138092017.68,92823457.79,2659833.76,116438.31,7463473,591710.01,5475545.2,1104,0,1415.88,735324.25,305985.27,23442326.48,41902.41,35914124.56,854209.14,18045469.08,258306.32,14224.47,354311617.7,9189388,6732,0,1131143.8,3200.18,9382,9368,49731.61,7880.21,0,14528.61,0,2340205.36,23516.87,0,72631.35,1233564.17,5154211,0,35915525.14,15289.93,0,4596.42,10753.72,1238.73,170004,4592.38,13990.89,28113.26,1133,36754.77,1535,20745,0,154922.54,0,795864.44,58507.59,13888,2342,67629,8614,49103.7,0,0,1243,171571.58,0,17866,0,0,0,12283,0,0,67494.16,0,0,0,0,0,12493,0,93645,0,0,0,0,0,0,0,0,0,218919,0,0,375821,0,0,0,3477087,11436465,0,0,0,0,4780895,0,28000,0,0,0,0,3828073,707514,0,1835485,0,0,0,0,13478,0,0,0,0,1582473,0,0,0,0,0,664383,0,0,9600,0,0,0,0,0,0,0,0,0,0
"KEN",182081.2,4236964.25,167959,0,358482.17,11402008.41,23946025.43,506975.75,18813256.13,13367208.38,107143,0,744122.45,1056591.03,88604873.1,4130398.4,1008197.6,27621978.09,168668.8,9366258.06,89169933.97,364070443.9,5476990.21,101895.3,42435618.4,1503673.88,61423411.12,12888757.7,11909439.14,66482082.58,586775,0,3174,2938272.68,2094684.36,5250917.45,552170.8,3005985.44,0,7073734.37,257634402.02,7727813.94,1371794.54,152295876.52,151865,8952.42,11786520.54,9571577.82,1948,1751871.35,17509019,650734.83,412488.36,351901.93,15155855.98,20257194.78,181130.56,2318966.27,8317,294019898.46,61573722.64,35877331.49,221606.7,9858204.58,86370.35,1091403.01,1322775.86,933155.58,2931158.68,97770,96719.18,480292.35,29286618.56,32878.66,76971.91,184235.77,185443.25,1468526.64,622540.71,33659126.06,13281643.7,331398,7347.53,822252,1164108.52,6458633.93,8000,3101518.81,42867.85,6712131.75,9035798.19,12615.76,16881,860943.39,20464449.88,1492672.73,5344225.6,114419.79,0,127047.77,426714480.350001,3333665.67,2101781.93,71262,18261312.47,1989736,4865747.89,36616901,30077929,1774934,84216028,635246,2628829,0,6028345,636701.15,15980,247646,910091,19596,0,4928246,367530.1,34358,234455,54012373,391825,3040335,422449,9106,0,213538881,930747,122009,42820,14230,0,1485536,39358172,284545,0,7576,13108,24113,572606,7031573,279139,2493448,1174117,143093,1846,107210,0,448370,0,8297,14477,104715,0,0,220774,15276651,120481,0,81783662,40384984,304301,102847,0,1228,0,0,0,13664,0,0,23562,0,0,0,0,0,0,0,0,54432
"KHM",592015,28837594.01,0,0,655810.14,128212723.06,17989060.87,642590.95,39158456.74,188355.43,43076,10473,162516.48,5285778.52,394357602.72,4687568.39,103861.03,57208123.73,830545,5102986.72,144099097.36,362151740.85,6164438.4,16728.92,622362832.78,0,363170.09,20922580.79,101477.94,18372555.28,4827,0,0,30630627.18,522740.47,1206408.97,112912.66,5670890.82,8256,11560753.22,43456191.8,9550498.53,812411.69,1021529.94,434091,741239,4485437.18,701341,63755,250516.86,4934259.45,0,677099.31,891734,16711852.98,30927399.1,0,3936643.25,16033,1936290390.18,831814.48,0,85751.81,5326316.51,0,0,423973.85,106667,6376,58456,164100,95472,0,0,0,454574.26,209472,104261,2239,118965020.08,9362,0,1318,19130,19945.94,443551.6,0,62519,95385.07,179070.04,29753,191020,128718,0,769798.56,5837,55897975.21,0,0,29585,44575.22,1241,461615.53,5775,0,0,131159900.62,0,1584871,33175,119640,1052,0,0,1526152,444159.61,0,7661,0,0,316207,2034772,0,105678,7422,9981,156561,0,0,0,0,10730,339107,26328,0,0,53313,4516,20191,0,0,0,0,0,0,2144,0,0,0,0,0,0,13646,0,0,0,0,387168,0,0,58792,0,1582,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,12789,0,0,0,0,0,0,0
"KOR",307410467.27,810082030.32,998326453.24,13850110.16,1773669929.65,4406661201.42,602801948.12,813605130.97,51316920847.79,522856822.44,131446756.02,54163119.9,1098258906.36,512035013.18,8670109055.57,1296626140.6,351736401.9,3237412640.41,104105894.93,770108031.709999,3628968185.34,5541880401.23,2214809049.67,259680598.47,15859382470.97,137293082.94,3842315357.76,1129638677.67,877369611.62,3955799760.88,21486312.62,55364024.81,150386134.26,0,109580171.96,256181663.5,72055622.09,4779284864.53,74687239.09,4884270314.73,2848931852.33,436878291.27,664323452.09,541779691.100001,1263729292,294765717.91,983247591.26,314876720.64,33299762.76,356562928.95,2388604883.45,74605681.06,597929448.05,121357391.61,905673499.02,3496984451.99001,27210619.24,2671634882.44,36212125.63,46133168467.36,1060919408.11,18590446.77,8102801.8,3581925225.19,29838113.41,2491249.72,550573799.949999,122486709.48,97988480.56,60490773.57,48309105.8,409209079.18,41803509.53,28044891.36,3130945.12,159812773.98,908817534.57,2324804779.58,422389338.82,21528528309.64,286129203.73,54767374.69,92818235.4,37581232.98,217199349.09,21456232.51,22670676.8,3291679.75,520593310.1,13931565.3,33706001.81,24984898.7,109983595.98,217874010.4,1997935726.87,15767013.07,6623563054.59,22503255.35,485257,101078615.49,12086772.67,13295461.61,39677735.28,13235148.64,8078511.39,4540578.56,3306045844.81,77168285,2586748277,15236525,538234570,5533092,75275138,1737939,3677159224,34449354.41,469992,418877214,1708053913,447061258,161857854,3377380730,14513867.66,0,225892509,99789905,1700044,3773371,356045273,243846,14128695,26197473,493177324,229865798,17867816,3235267.78,11488727,1814090017,659057,12512249,14487999,23355887,445635,2651044,14040040,7950509,73831290,2951515,6069934,1280961,135918,483618,1200,3415159,11685454,125438155,225725,8971925,607003607,90635438,2100234,680114128,23090924,3242626,462217,1320797,3770666,132689,4941369,358914362,2942252,0,646421205,9878,7342496,132620940,6188573,78273,0,4787139,1224,0,149387,53709,6765,0
"LBN",228585.75,1204456.52,0,2717.89,9291964.3,8767728.26,335518361.23,292772.65,13505500.6,253982.87,3836.28,27000,26876784.68,1031823.15,27587181.9,3147910.68,88220.81,18282607.85,533617.53,428785.84,43054896.08,25134494.95,36131203.56,13160.29,11383315.56,31206.32,24862374.29,1877864.78,4000,26812022.51,71084.03,130493.08,150922,10808997.36,0,1748862.59,0,280863.76,0,2165676.77,19466430.55,1592171.99,198696.34,4831520.36,234000,3512.95,6710462.13,2002722.93,46935.48,3490229.55,3702565.93,0,253330.3,91816.52,9552304.92,5771828.93,8021.51,195288256.59,255808.87,69685527.5,2103967.73,997121.42,102714.79,7526702.03,356473.12,8243120.72,34827.23,966015.3,14807830.21,329371.95,165798.93,41800021.56,1104752.23,0,4379958.5,39588,3657005.24,125762052.43,73716732.62,6734654.07,4027005.83,10526,319225.57,112634.57,8539282.77,35101.9,6796,1358262.53,7978569.09,641019.65,67742.27,32679.55,0,9700905.57,125212348.7,6133761.49,2047790.82,1846295.44,0,6848846.88,199588.57,594333.77,6755190.27,25748.82,2458.21,377712.9,62587.12,383000,134870000,1153000,39467000,472000,7150000,0,522000,55473.39,0,67247000,13199000,13115000,0,14000,0,21000,30183000,8492000,5257000,0,145105000,0,269000,1039000,1261000,677000,36000,9278270.54,22000,11121000,42000,1687000,1000,258000,3447000,2068000,6784000,289000,164000,131000,6060000,1767000,0,2904000,0,0,18000,255273000,0,7000,0,0,1481000,16751000,22000,0,3000,0,33000,8000,0,0,1000,0,0,0,0,0,0,0,0,0,0,57000,0,0,0,0
"LKA",5700651.99,21046105.62,72226.56,1332622.94,7378589.9,85254982.95,47039769.4,13786248.02,22823225.81,4218882.29,213481.26,25569.03,3444636.34,11814318.2,336280928.85,14240531.09,2783215.84,63787363.16,2685196.7,11177862.33,147050856.84,872742265.04,6352768.14,1397910.66,83795937.77,915652,432309640.3,24505682.04,44107304.32,185967646.52,1016176.29,5534279.47,450291.57,34728608.2,6969075.78,0,1016024.87,51571857.92,387878.61,10397319.55,123641584.1,11192017.01,14543187.9,43921843.89,2307817,4806667.17,26055738.67,6902848.58,184231.11,2019304.43,153206969.13,931844.28,2113481.04,2599437.62,30103515.5,16893105.85,1756663.3,42432624.27,848254.12,2041555650.02,12757749.59,214776.76,7536,60786436.05,4922676.41,50060.09,13490797.9,1072453.55,8775125.56,263727.66,2675543.59,536790.39,673632.72,1819546.45,0,3949056.68,2880825.91,53564092.94,27211733.64,209039842.76,3052020.23,1796015.35,3151487.45,1459121.91,2849348.16,3608857.81,1164533.28,1593292.74,445094.82,23446,4627411.87,156933.26,532621.72,5278107.52,35461233.34,327379.96,95334724.93,258102.62,8421,9593044.63,265666.45,133010.19,703996.48,842995.26,115998.89,222758.04,8108220.5,1273956,117156130,0,12356692,869110,1691284,60043,7507410,1395722.56,0,9994757,137158,2853953,209353,2700386,193559.5,0,1871949,286399,259944,168151,65712732,0,166999,1650106,26688301,264531,0,361514.32,157563,1069750,0,20787,226945,21383,0,0,155006,8545,0,9745,616547,449907,0,0,25826,73780,16991,10816666,116997,0,0,0,267168,785717,271191,222742,30487,0,126156,0,50556,3298075,76451,6784,16736,0,0,25839,24970,1270,0,29547,0,0,6253,0,0,0
"MAC",32091.47,11718707.46,0,4795,9501718.2,60750761.46,6085040.79,181038.36,404196363.87,159812,7045.33,2885,520429.94,7255622.79,272942325.67,32260497.99,75041,27016788.05,1568382.52,7484518.13,112039839.41,181582915.22,12836786.02,0,263623072.98,0,127187,8429411.95,418432.22,110920276.46,0,0,3228182.63,6881446.4,614911.87,84429.64,0,12285130.36,0,14713718.61,56158768.95,13061651.81,2139639.92,1174796.46,628177,301060.38,5896429.03,2766070.83,0,302756.9,367469.01,0,587572.14,1145323.92,9572110.42,7670117.04,0,5375468.04,16648.44,1496294919.8,1662034.61,0,28965.37,6170502.9,0,0,1038291.34,217931,44664,45957.53,20600,0,0,29841,0,1454569.17,930954.69,0,188069,33121643.78,3800,0,1630,335851.75,76440,0,10095,0,34905.83,0,136972,91887,70636,62145.7,1168200.19,0,12226728.37,0,10495,50469.72,4984,7425,0,9136,0,0,9582045.73,0,1359698,0,9611,0,0,0,123562,456980,0,40021,0,0,0,12064851,8205,194169,124338,0,0,0,0,0,0,0,6462,15435,48759,0,0,576955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21167,0,1385,0,0,0,0,0,0,0,0,41419,0,0,20057,0,0,0,0,0,0,349279,0,0,0
"MEX",737661715.74,112221195.96,32954034.33,37363869.81,699609487.34,8289212906.82,538042445.2,653931341.34,1248676372.77,891822140.62,408370575.22,216066761.62,3995839.68,96762867.76,2073593271.98,68903722.25,318405711.79,2195644085.23,5992372.45,56661478.5,729807420.45,1209592432.98,25430877.24,652226188.489999,286558780.62,217053543.2,484438126.14,209132329.6,67329102.71,366951909.01,119260081.64,553536.49,386645.32,384615363.79,10744448.76,1976711.06,23592909.76,0,191775.26,111809823.24,597190643.24,46366724.8,65677048.55,10749118.34,352703384,276985224.74,105640960.64,183803458.44,17245850.92,31671099.23,55579575.99,375537793.07,25410225.76,17684514.89,95844987.59,140851410.72,40392170.95,111383604.93,312203835.15,154041365346.35,105118844.96,11698,781615.37,463493974.13,1890006.8,188202.99,2509958.87,9298034.19,3086081.2,589944.8,4575448.66,89803919.98,924989.84,225741.69,71685,14346854.32,67073566.45,36819029.39,6796235.43,1598655585.41,23687978.1,191679.16,4832944.6,1312500.12,6657981.93,134121.99,795534.29,112015.73,1739752.72,16300,211179067.83,1235721.88,162770998.06,1979972.63,181287474.89,216612.1,416287094.71,87537.43,0,5572505.47,52399.66,0,1292567.78,277935.42,98327.41,225866.71,12275357.74,19600115,43419444,77789,8419162,91531602,631225,848214,14239499,3234620.3,0,1583446,5298,469677,1000,12634045,7663,6956947,121056,1546496,105702,0,7594227,0,0,51728,989870,608776486,290133,162031,1398515593,116073,39256,162434,56843282,5431575,2691713,0,2512,0,429048115,0,242518,31036,0,0,1202016,1066522,9686182,1675762,937597,0,23157,0,151460,2476803,0,0,0,0,4900409,4868,0,15088,0,0,362603714,0,167940,148463,0,0,0,0,0,0,0,0,0,0
"MNG",784957.46,584501.69,0,0,9712.08,39660260.03,3231386.71,17053,443711840.29,35135,19452,0,0,58562.53,15255547.48,12389,0,147327.05,6175.42,87300.1,17244222.84,140008206.15,177211,0,11169359.62,11730,763602.54,32112.33,13328,11613830.17,0,4613,17684,10556993.34,211945.29,20104,4141,11400688,0,153280.53,3604386.22,207247.54,49515.27,208235.67,0,1047884.61,80125.95,1780,0,36854.02,27584773.37,0,130060,237194.43,111538.22,8924,0,714749.93,13631,269235178.31,28548,0,0,254544.58,0,0,146260.9,2751.76,0,1054,0,118394,0,0,0,4540,255742.75,8600,0,21123977.86,863977.82,14249.08,0,0,64338,0,0,0,0,0,0,162510.25,0,0,552000,0,19983710.55,0,0,0,0,0,0,239747,0,1412,8162,0,161435,0,106000,0,0,0,0,0,0,653549,0,0,0,15600,863328.58,170547,225400,0,0,0,184000,0,0,0,3280958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167525,0,0,0,0,0,0,3665123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",136244971.43,263409758.02,83820,1752556.37,515687772.88,1876871518.18,236528018.69,146926719.68,12534868148.47,84815795.33,34404408.96,9364287.19,20934417.31,530573422.04,4158678487.03,247157316.2,40583887.96,820038785.960001,50810234.68,352507057.93,1950702757.32,3646144358.64,132216145.1,12683012.88,7103019277.69,23116394.01,3110149205.89,565203837.89,32095948.52,862687118.27,9722455.76,27340625.47,107904303.62,5347724415.18,74755841.33,336332046.18,24611071.72,2885885160.66,6217364.49,0,4295601409.71,181108487.04,561622566.31,652233355.12,69487142,104344276.46,410013216.75,94931042.52,11795459.25,121618914.91,520563742.63,13097202.05,128323348.04,44397583.09,220922851.39,5791867305.44,10629893.13,644939422.89,4807465.7,27801338165.57,607203067.76,3656424.28,2261846.27,4099862273.06,113779216.04,2421020.01,382973899.84,35306774.5,55024261.13,2031861.59,18492101.36,188530212.98,21807009.95,25497896.56,1504445.44,43967429.79,623737417.29,353198587.56,205280676.34,12769381101.67,23684323.14,955986.11,30089957.5,6778925.88,48984001.79,24395529.84,5435260.46,2136447.97,100693214.89,13107259.25,87475644.4,8801523.05,9475706.61,96427273.72,557394565.16,10175079.79,22868246400.59,57939962.13,690019.3,49535483.85,64562022.8,13742389.84,11299975.79,2546879.95,3091428.38,7690705.7,1227006686.67,3328780,1533934034,6480301,363247918,35040665,54887390,27661,2996810010,9676963.41,321588,105197621,5536137,30075397,146028285,1921064240,41107129.71,19844847,41100174,38384330,4915827,4081391,148783054,595703,619967,22422839,74850091,16609636,6961121,1500424.03,365626,21613665,49291,11797185,1111824,2016058,2639126,4838387,6475462,13028721,10827304,693050,4833586,14970475,17122,280515,0,1130035,35427991,59998724,35728,2416845,98226,342226,21824393,53783606,6725309,130875,126401,4147524,1094942,50720,251165,3492626,493268,5400,80676,0,705070,2275498,276426,3526,0,1182286,0,0,0,0,0,0
"NLD",195818418.97,3543289959.21,24051839.8,11495702.86,690860097.929999,1231643763.54,5550040029.44,260042198.81,3005775682.24,154863881.99,141774745.99,69237496.42,205796339.68,2057442647.2,50301835007.0999,4408955378.17001,82707619.06,11162090495.52,195747360.53,2166693171.24,20458979403.1,32276617487.46,2966162396.04,61665979.15,1480790931.88,25549613.89,844080012.84,2650376216.22,1487982685.01,19447337400.22,44765750.68,123581441.31,2365926.27,2407737867.78,194482944.6,58343408.49,15303005.52,754045030.98,2072599.86,832606885.430001,0,2297031197.83,208168540.08,242817839.19,35812602,54221698.01,3249765077.16,2608528636.06,6860443.36,691710610.97,2767670106.02,11007467.84,480216357.46,378713772.74,6512949602.42,701301870.66,88974278.8,2227688314.64,16525900.06,12249013615.69,752656926.590001,13442859.91,21138240.12,957455353.95,189015730.35,17375319.82,119967222.05,282987434.02,92184202.6,66853165.74,134971495.22,328932653.51,79010209.63,3960825.49,60350998.18,318426481.69,2872760805.72,728564956.58,160085171.39,2259740485.64,225376450.92,14992349.37,492894517.44,237025772.7,429153853.47,10157352.12,44801748.46,22991475.92,135408616.33,12887481.02,19781884.16,13759851.31,13349540.39,215092353.26,1153745827.97,77745072.38,1628441195.9,46941986.75,1500170.35,272153091.23,35719862.19,20042919.09,118588911.22,27124934.81,6192652.92,22293051.55,205039691.16,13191164,1551844683,71256998,513586539,24011081,189190137,41651177,463144533,233277167.93,1244,285233344,30098459,136247490,4884330,423288589,7630551.73,10990362,135479871,117889561,23456204,5486464,128226795,320977,16643540,55301417,655916441,125864247,271290700,11321587.01,134696068,161540031,7370022,41800482,6293895,10582283,3364040,33763586,36922345,18099147,44768887,6292636,63136782,23355452,3655152,22948622,993617,13699999,16509179,96064366,379448,834789,470265,220205,36471996,1041658180,3038088,6264034,8079172,1059970,121029587,12217041,4303326,34176631,330929,1754178,31301528,80865,65937,461560,2488,58472,410551,19905,690475,13685,69746689,1593691,0,0
"NOR",25471393.92,192639608.7,59573601.89,3018216.7,342163910.69,3391295030.41,252393409,70253030.36,1143960334.02,17221276.78,6546913.66,1296616.64,14505079.67,398323400.53,11599560297.41,3072936283.62,35132664.91,2107051050.87,81409045.76,1223099549.59,7727875461.95,16143205973.01,128489634.26,33511575.41,322681345.1,2337982.52,320332092.69,1143236411.8,76231893.86,2255114670.59,16532440.6,12736387.13,1749143.08,811807763.060001,13359510.44,8683775.41,1736679.42,133504100.46,720907.41,70619484.33,7006389163.84999,0,24216926.85,15691541.42,156368553,25792161.06,1243585816,641476663.56,854468.39,87566766.3399999,519266183.75,9482420.3,41839846.54,20908006.59,7304941702.37,115340497.34,8280129,649130954.92,4723736.83,6388945310.96,64623429.77,1015778.82,932986.16,171192614.48,104696542.46,316878.7,26714545.24,8697042.42,7195654.88,4052904.51,25896237.81,5505714.85,4675302.46,3461579.08,3209452.78,60763460.86,53445745.06,94590047.1,6433850.13,1190246554.33,19507778.07,367982.56,116202008.71,89752101.61,42454357.26,711356.76,736363,308801.08,9391122.09,767086.07,780318.65,2229103.01,5465406.87,11928727.62,209238408.18,1499041.34,402059855.94,719152.35,0,5475222.5,4324378.56,1008503.59,35359121.62,2623451.89,767210.93,560930.63,22834116.28,3340353,136201581,1976136,23670061,293772,14668867,2101646,18683936,340715086.45,0,6613577,28400193,4862036,23066,13782185,3669051.85,5258,5028183,5040837,341295,833123,4425801,0,1735904,3309917,119246205,15800843,4587105,258981.71,42623,35198986,150752,1180655,11686260,1179255,1026,5514339,4637132,478032,24725191,880155,353881,100967,34006,10339106,14335461.89,11098,428805,3606489,0,236985,35793218,1111,17885784,35485723,297150,0,63845,529902,163300,980907,51311,736176,0,0,406075,23015,0,329274,0,0,0,0,0,0,0,0,0,0
"NZL",15089511.33,39752245.86,1458023.26,2894796.7,34698985.47,407453939.849999,87577869.84,39679903.8,1371382889.68,11284156.39,1900242,53652816.57,12091694.5,7456012.55,626042412.06,160457117.02,2167953.82,187763514.72,2897742.21,24256247.07,353252942.69,1016631991.2,43341418.15,23886544.85,381661793.91,5213802.23,159659320.69,59851668.4,38231906.99,310226766.02,19696494.93,2501655.57,667169.62,836901102.949999,8151768.2,94226879.9,4804071.5,298606364.46,1937206.97,362561723.1,246917914.8,23233864.81,0,22840641.01,16284243,26928297.47,19868554.13,24820307.37,202661.49,12614807.55,64836158.95,14006524.02,4042701.27,4577894.83,39459193.41,252745638.37,16529867.44,21010785.81,4548488.2,3032604255.79,111191311.43,616825.19,219244.77,3971038241.94,9690818.4,2183732.49,23007913.08,1201903.84,12989867.34,125775.92,1204972.96,76733635.72,346085.71,266760880.19,753621.13,5023656,5520925.25,77334582.65,23102043.2,2417863685.6,2743613.33,13251,2137086.38,2798184.45,13167257.83,1805838.26,237820.32,145476.75,5407826.67,701906.89,20439695.71,87394187.5799999,1274838.33,63895820.98,233920375.54,1548159.45,272531943.82,94872.57,10410,2086586.28,309610.88,349116.24,3355782.71,443043.65,1068631.22,3884725.03,112191258.79,504936,90130070,200258,61222582,11127542,5176210,285530,272046559,1990767.64,3748446,22583336,320550,2644569,3751415,330959891,62580341.04,0,5561695,3281632,247532,691129,10554465,0,0,2456111,1114498,76568545,228259,1068528.78,114036,4340867,115775,2693712,145365,13138454,0,2048697,913983,55645,13741224,887176,594327,634327,0,264537,52081,4588940,555664,157824,120395,768017,1605127,1335554,428411,44818469,5898606,0,38089,12067,31697,2715,97166,9185,26759936,0,2741652,360297,1460882,6046992,998938,12508,0,64837034,0,0,0,0,0,0
"PAK",34074298.83,68937829,2131264,268980.43,8329193.64,198941434.29,47059591.64,56507764.32,437325193.28,14466794.74,2113137.58,4167696.32,8346428.06,29118560.29,839250640.889999,63462171.45,3559293.24,411734602.47,18236535.44,37262928.38,558616732.27,1104097617.74,117092807.76,11984315.62,673576703.69,11307444.66,172791607.95,55415166.82,6274659.35,607266014.13,1352421.71,51711874.92,19700972.89,306378144.81,23476428.76,114162357.79,1569610.8,105200611.05,138012.46,70828485.62,336425483.26,49643556.64,48506582.66,0,11881143,6575175.24,69800272.47,131069459.69,3852933.04,14180551.74,30504230.2,6203548.08,12527240.11,8369741.62,90255678.93,77561600.83,5257002.24,296254726.85,4456116.68,3192648604.23,100560513.52,4096022.27,142933.56,140760631.98,2625096.91,300857.04,166984348.09,3875762.84,53122776.61,1759516.56,3176738.94,7778422.69,6202184.75,2102697.51,674424.89,9447903.45,24748760.91,111846658.52,35363202.66,200956912.74,5099247.67,1556207.69,21090974.74,1306816.83,21828980.02,22273846.08,2218350.04,581625.3,3766232.23,15076854.32,49111285.56,652043.3,7709250.83,64654933.81,232089261.23,8710260.68,61345607.69,11741242.69,313853,28609494.94,14403353.14,3585037.27,3731019.89,379268.22,1243676.64,10986237.3,38950512.44,464552520,1056356323,8234900,48225001,879610,3867697,340877,57209207,2553050.84,0,75808196,5437109,2406914,2440626,29125093,206732.71,6405397,37448786,15971696,1771781,202366,24432238,8294,943116,13766229,14132469,10169852,555119,814949.3,81996,9352699,360177,2693425,429383,81032,75591,219504,9861021,2211056,3988724,769939,9040643,5391872,3029019,724464,12904,610060,3771475,4411477,84237,124708,0,0,2000983,304141962,3035122,0,810825,3770838,595762,2710923,340336,3053350,0,0,17952,138595,0,0,105053,101639,0,68949,0,0,0,0,0,58869
"PAN",354560,11919253.01,5501588.5,5867352.4,24123767.88,33332836.99,28329708.61,33609541.15,15042726.45,30835229.89,106901309.14,41873207.93,27643.51,19228777.26,164389292.5,34378566.33,79902110.89,45685298.41,5132884.74,6793248.57,13730234.76,21534586,36372667.08,399559373.22,16917476.03,98448532.57,90625717.36,1469887.54,3179964.64,58818732.64,47620726.64,101170,90534.4,276202068.6,0,43543.73,1698,52325292.23,0,522157.79,21257188.92,27219452.48,747626.59,211862.1,0,18179702.66,137998084,12685168.12,1241681.4,281924.51,2225461.1,132870292.92,8496025.07,92567.84,29516986.83,25223817.67,4891789.92,30588446.61,1523931.89,333955680.48,5282831,0,261905.47,224512.33,16328.68,0,359248,675367.95,0,375098.04,234780.71,1657724,58592,12148,1182,1525865.3,2436671.8,36279,52387.66,93923502.71,8943.36,23891.43,6490367.26,73952.21,6324892.46,27867.39,180999.8,0,30523.09,261547,134587.54,35626,17876782.51,0,9646800.08,0,11300546.08,0,0,180962.62,0,85485.34,594259.23,0,11357.54,0,21168918.15,0,75369,0,0,60000,0,0,489940,2614675.89,0,0,0,0,0,0,11675.8,0,0,0,0,0,0,0,0,0,0,2146252,0,50822379.62,777911,20654,0,0,165501,210969,0,0,0,0,9769275,0,0,0,0,0,0,148730,2660112,0,0,0,0,0,0,4345,0,16800,0,0,63244,0,0,0,0,0,98546,0,0,0,0,0,0,0,0,0,0,0,0,0
"PER",38907977.67,7512034.13,3304512.7,133531042.71,359286236.61,337718909.16,293661347.1,719591802.929999,1258634014.56,263890234.73,13099037.85,3096021.35,1181346.8,8354790.59,433395331.83,23257853.19,221751682.82,430789274.15,1092659.56,84479242.33,127627985.39,1194497091.99,7032267.65,64041217,32098572.07,13162824.16,57339040.6,3486745.92,5481223.84,298215716.31,3995715.36,2033569.2,33172,210549325.29,1864690.54,1634367.55,144444.58,233476477.46,0,14037533.67,408544142.02,34105362.15,10053348.64,4679244.9,173170653,0,8016103.22,6535658.47,655906.98,10224818.59,25256527.01,24324197.73,3178091.25,740937.28,30166746.25,34333562.15,13173941.98,40936741.25,9863356.55,3770673210.51,6300830.3,462399.05,32732,51556782.25,36841,909638.01,1633075.23,70529634.92,174786.52,1551576.64,1418834.89,18302748.78,69777.18,0,73073.5,2947165.99,2080590.82,8071234.16,1040072.79,559113045.24,28639754.43,2504913,8227218.94,64031.97,3022860.26,1199078,67554.87,2765097,232773.17,0,690235.96,1172377.1,14652464.37,0,5664705.39,6302148.77,12546525.16,222433,16922,124310.63,0,0,487887.79,80586.82,0,7863.92,20831765.85,84810,1262621,1012233,3152684,195203,156562,0,21850396,315342.73,0,900638,398528,186460,0,8943347,188691,2907613,29267,951709,0,0,1214683,71739,0,302673,736471,196063075,868824,0,1603505,4865413,25500,99750,702410,413218,0,0,1218494,0,19719792,0,604445,671573,15120,0,24200,1727018,17215466,0,559707,0,0,35120,3608570,2195044,234294,0,0,0,379841,0,0,0,30298,0,39964,0,0,11345,0,0,0,129754,0,0,0,1250,0,0
