"","ARG","AUT","BGR","BHR","BHS","BLZ","BRA","CAN","CHE","CHL","CHN","CIV","COL","CRI","CUW","CYP","CZE","DEU","DNK","DOM","ECU","ESP","EST","FIN","FRA","GBR","GRC","GTM","GUY","HKG","HRV","HUN","IND","IRL","ISL","ISR","ITA","JAM","JOR","JPN","KHM","KOR","KWT","LKA","MAR","MEX","MLT","MNG","MOZ","MYS","NIC","NLD","NOR","NZL","PAK","PAN","PER","POL","PRT","PRY","PSE","ROU","RUS","RWA","SAU","SDN","SGP","SLV","SUR","SVK","SVN","SWE","THA","TUR","UKR","URY","USA","VEN","ZAF","AGO","ARM","AUS","AZE","BEN","BFA","BIH","BLR","BMU","DZA","EGY","ETH","GEO","KAZ","KGZ","LTU","LVA","MDA","MDG","MKD","MUS","NPL","OMN","QAT","SEN","SRB","SYC","TGO","TUN","ZMB","ZWE","AFG","ALB","ARE","ASM","BDI","BGD","BOL","CAF","CMR","COD","COG","CUB","DJI","ERI","GAB","GHA","GIB","GIN","GMB","GNB","GNQ","HND","HTI","IDN","IRQ","KEN","KNA","LAO","LBN","LBR","LBY","MAC","MHL","MLI","MMR","MNE","MRT","MWI","NCL","NER","NGA","PHL","PNG","PRK","SYR","TKL","TLS","TTO","TZA","UGA","VNM","IRN","SLE","SMR","FJI","GRL","WSM","ABW","BRB","SOM","SSD","TCD","TKM","UZB","TJK","ATF","FLK","FSM","GUM","KIR","MNP","PLW","SHN","BES","BLM","SPM"
"TUR",185890054.76,1379599651.26,1655596102.32,244967709.570001,8515100.71,10937841.61,574715480.39,887550118.940001,6100995411,249038189.81,2557676841.23001,120638507.31,235314564.97,59898483.99,4672189,16968233.96,1095249809.27,14866925128.56,1042922234.08,66128181.6699999,55886690.71,5198619301.87,126824704.96,406865044.16,6886465823.33,12087232440.93,1487066573.06,30253652.91,12156221.9,364738939.12,247095687.87,786218192.240001,909710151.1,534383350.74,143989567.13,2494373636,7316421279.99,24572666.03,872285431.779999,536294193.509999,15854378.73,749259940.820001,572918427.530001,63590609.53,1504071380.68,538257069.520001,213200899.44,29371202.22,54536696.36,414916225.31,5268032.94,3014161109.17,701383038.69,128089885.63,283865976.58,140747025.22,231224725.02,2756596123.23,505000400.04,24419670.35,260692635.59,2563845751.26,3790907469.91,39155992.84,3299261415.06,444075008.46,576552057.77,5911056.63,16574572,575039873.07,529090788.16,1224453201.43,221955364.689999,0,970999572.179999,53127106.61,7420366206.52,18576145,588125883.21,260709844.33,133672560.55,613124027.33,1778213968.22,81951027.34,29829638.55,360890813.11,405937337.09,1117679.82,2009039040.71,3290348838.12,488313835.059999,1331238318.96,754941167.249999,239274806.44,176871534.37,96456068.47,278121336.55,57418759.66,322632927.14,39146731.01,84975632.88,273466203.35,520182127.179999,164111301.88,638833837.340001,9159934.23,45720828.39,866779225.599999,56229414.58,4006110.9,161425716,339100275.82,4603462783,296685,3300663.48,196630897,23756036.94,780495,96662473.1299999,32085316,126286869,10049552,96646908,13856896,66085992,218505247,18203330,71026857.72,15927880,5406800,45670881,8331050,22574353,191686308,8548051682,128659135,2888019,1431785,720977769,69630262,1418066432,7707765.25,67321646,30264936,30639087,48190775.09,85330785,4232225,10479121.42,32199617.11,313753791,99948166,2567704,4652842,1382045119,0,26257,35326106,103369541.6,25962142.53,183814527.72,3621946532,44761819.03,12737,1831760.74,1520172.1,455858.19,633960,4127695,70573028,0,17414299,1849772667,487398893,162502868,109393,0,0,1184208,97191,40519,665009.24,0,0,0,6213
"UKR",22737861.72,380849862.78,456181553.58,3241624.67,92154,3618362.05,49311780.11,56708419.52,158761204.53,3421450.63,2474779216.98,24267582.35,31241657.65,9771067.64,0,66345231.14,582067610.149999,1456932897.06,151202375.06,13464917.01,2502713.41,1068576611.02,72843107.44,55050243.73,536532269.34,375484158.33,157754056.73,7350878.3,436889.61,23658873.65,27753913.7,1103236394.08,1544228872.93,66555446.64,848708.12,608942484.8,1996354714.41,17576,166784266.49,247171503.27,870376.66,403544858.75,14668239.84,5407737.3,225681817.9,163944301.54,12645054.85,32411830,13218233.51,174436128.34,279841.04,921550713.959999,34204522.13,9683383.97,120116127.5,9897118.09,5062200.91,1999682911.5,325673053.92,953058.15,33264267.76,597693398.85,4979921358.02001,1751741.81,807096628.76,107685159.02,11768779.3,1018382.76,115432,503925762.5,25514284.53,77832047.39,339039307.87,2851700165.01,0,444308.46,656243267.2,152429,68058374,6172919.96,114158019.42,16376815.54,344518904.22,3629229.86,11382025.49,13978426.47,884729309.77,20572.89,278873728.36,2729601962.19,168413105.94,424862018.4,810385613.990001,75807247.03,238380485.14,170772039.46,524424899.67,646171.76,21388721.89,4311249.97,10106355.58,29064383.5,44136816.01,60653539.13,122654129.09,329967.4,6115506.35,399329371.21,7332687,7811978.88,8978509,25366873.86,287072803,0,1973461.67,206942935,694377.85,897197.62,10788063,9159018,2170035,36364396,59774300,0,1770127,37448255,11367,13705164.79,2300672,17915,9909846,10194,0,182948139,472480510,49890824,390167,1616047,300107390,4169516,182658429,0,660378,6060334,12055500,3648320.07,23534245,2652401.88,275435.33,3428018.84,116331157,107359713,1727,33738277,132791257,0,0,342916,24543703.43,23589839.71,103128545.65,533538580,2249643.76,3642366,41420.58,115848.98,0,84117,15465,626794,22289380,2159010,170261708,174460455,29960312,0,0,0,0,0,0,74312,0,0,0,0
"URY",403871567.76,94254679.56,6705445.48,167246.75,447827.3,1847124.11,1156060377.4,122637601.35,100855420.18,136849023.09,1564428980.74,2966398.09,63033244.26,17746729.02,3699337,754687.91,9977396.52,276303958.47,10440178.43,16139441.03,16185371.74,107260142.62,859373.72,38549430.06,115087829.85,92572577.24,3171774.58,70123996.93,3001484.4,71122376.33,611997.78,5185082.49,21952569.21,6482656.54,43975.84,145018562.85,281241503.49,2310675.68,13424819.75,58056742.22,578671.47,76189351.28,3767159.26,189321.15,20578061.67,335772109.82,310242.62,14925.75,1814012,26711105.11,12519937.81,311407764.37,36130870.61,5843624.53,3362431.09,8644020.96,128861949.16,42682921.7,72451530.53,119102439.73,256366.51,5410452.34,99247678.19,0,15772917.22,1167361.57,15363679.33,27136417.82,39208,983861.9,1068616.32,14003537.11,69349070.96,173136241.23,4663375.09,0,583559142.1,206955324,33417662.7,5352354.79,18430.79,5005928.73,213542.7,8237196.96,108337,21029.11,2572416.39,42190.86,106272551.57,72768384.62,102422.11,2007197.15,2484492.02,0,1738642.57,467599.55,645797.95,53697.65,2381182.54,863711.6,678545.08,1666255.73,1443813.62,578854.96,746621.25,0,145472.86,762127.19,324162.74,274531.46,281383,170193,10827610,0,0,3297564,38475144.12,0,1538985.21,0,4545857,20586915,0,0,4430895,348826,76667,783500.05,201173,1593482,1059466,1905315,228577,7704891,79463994,475847,0,0,2691578,1074634,164185,0,263543,56845,1775794,157588.03,579015,0,0,1074,24957137,16136776,0,0,210984,0,0,13530686,38155.95,198783.63,62302474.34,25365901,24787852.38,0,0,75689.44,6454,1477703.46,4080443,0,0,0,0,0,37421,0,0,0,0,0,0,0,14000,0,0,0
"USA",7794660962.91001,5263261812.04001,282923983.19,1165948953.54,2293708276.58,347128049.33,26399185651.2801,228454121128.96,20374883488.89,11682078515.44,126921994508.97,404709789.09,15420760792.61,6038878573.16001,465206493,73247021.94,2932561098.92,60842634906.8101,2120319566.18,6901096969.05,4991316738.24,13356920960.98,321399412.28,1942211003.55,34550056165.77,44738663226.6999,671693711.88,6412274211.79001,421383352.59,31773741825.2,336638844.879999,1851673930.82,20245873109.36,11843140826.79,411925718.52,8630255728.58,15595994151.86,1752434437.2,1157166103.01,62490513803.54,436197221.38,42546426444.62,2837974558.39,471010129.53,2224351722.11,193445410415.47,216428094.9,113461325.45,238629652.62,12960437991.41,1128216029.86,36025257486.64,4718609126.18001,4128601715.8,1955449401.84,5523200526.35001,7755595432.27001,4589525714.05,989475791.4,826707443.22,46316586.37,749000642.660001,9804664211.12999,42511480.81,18379291838.92,81662158.66,30151390171.98,3912305349.76999,409318512,708284462.339999,631826369.450001,3696699259.94001,12082711449.42,10349490999.03,1292261802.83,876967187.379999,0,8069364642,5498962700.53,1198737245.12,107115925.89,23235924665.95,392307805.66,605969089.34,156360842.07,221686401.46,333861725.62,610768881.2,2384671513.59,4599142225.15998,855258344.4,293454329.01,1261768333.79,112091727.85,512683940.05,124746823.08,49509698.84,121019655.05,94774295.67,100702638.13,77119429.7500001,1644451426.12,2943510522.87,192697429.53,264319567.61,23541953.85,239130081.18,643434750.47,138264196.84,68899243.67,394984048,60925088.94,17435952791,0,11186390.38,823215213,1009582559.38,73484395.64,240259810.01,127158707,223587999,176084918,135030734,3328650,198990469,848789627,1490607307,127632772.45,37193081,2141551,150969120,4793065487,714965276,5390391721,1551901447,281825374,131176024,22796162,1222631321,125449923,214041236,266538744.08,71451908,69058017,125867407,20280906.49,122533639,60206357.92,118127148.93,130398012.68,3239180412,7508018678,177585149,804206,3362772,148475,2569033,2223003008,308635719.22,93843604.62,7282405055.39999,282172808,86898941.47,1314055,63828094.66,8371288.87,37073349.4300001,1007131047.55,533929885,44433723,15763725,54018061,78459379,81180654,17674368,7090405,2141997,33893588,0,3666571,0,54631422.41,3620546,0,0,208490
"VEN",5971778.97,671697.11,5662,978376.53,863607.52,48800.31,629800266.51,77954544.76,887728585.17,20762427.22,6291963836.18,14721502.35,277309427.35,62702306.78,0,6484531.39,1745772.11,140606268.49,78611.05,290311867.82,18020844.58,835218221.82,234538.22,110794.67,99089983.33,292374400.94,10877758.49,22385088.19,33495701.1,11859407.54,11697.05,20468.86,6062917248.1,432130.63,42533938.96,10830530.34,137658330.59,328891630.1,24022693.63,105085846.59,0,19438716.97,262671.78,141954.95,116867263.51,102669683.8,6826,0,14287,419231479.12,51671925.1,146177741.41,8348962.2,138871.09,146434.71,22696494.3,27015038.37,22474124.6,60857045.02,3078927.69,93266.65,2091011.81,1849021.33,0,431467,115986.05,1646895338.76,115310071.7,0,231130.08,766093.44,318938071.62,4052933.4,93751172.63,199958.7,115146005.05,14912583096.62,0,276289,3904.22,27950.59,1737600.73,7107206.58,0,194837.13,18137.63,366989.15,0,434749,37676034.44,18102,0,1241.92,0,0,0,7302,6978074.63,9882.99,1437,0,88673.76,128028.75,203489.6,5671.49,0,130523.81,2349358.57,236508.28,0,0,0,0,0,202755.67,0,3084451.44,0,1657087.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5010.64,0,1396.1,8667.53,434125.84,0,0,0,0,0,0,0,0,3459,2642037.16,3959808.39,0,0,0,5030.1,0,0,14621403.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",177234560.47,164897329.43,13750403.35,35599151.59,8094778.49,1806838.77,640563464.25,954646081.44,3013923959.03,89000274.78,12187652334.85,98978875.26,39846932.45,6387087.84,3909352,6372374.22,224590001.13,5461310621.39001,99335330.05,11070930.58,34338555.91,1361028208.92,20245661.72,271988843.84,1097715999.16,5843069776.77999,58332164.63,3513452.7,2685817.83,3922325778.72,13980535.67,76610388.77,7243993867.96999,111246127.35,19899583.01,740969597.770001,2190037541.16,4246158.17,42143623.42,4566507593.6,9382359.95,1533975735.65,184529632.99,103495480.31,678865440.14,212262154.46,44030067.63,2183318.18,2305589710.08,589584587.8,3200819.78,1794218945.36,432390704.93,108573575.19,671501869.02,41848744.07,54780766.2,215855567.64,188036726.18,12841634.41,311734.96,76968773.16,469195054.24,53553997.95,1079168897.61,55419711.91,858886068.68,1915905.56,1900149,27089028.24,43596445.37,184546099.18,873923038.42,764392312.49,158492297.18,23243143.06,7268399990.71,5136366,0,848581598.090001,10989319.29,865453286.370001,6728718.11,36639189.56,61375318.62,6571011.48,114845252.19,2909678.29,151147959.41,174823292.85,240428463.62,14803694.37,22863111.59,2077830.52,104997361.3,2055885.04,4442572.77,142796585.92,185697669.47,340789107.38,25474752.46,48205664.63,89041686.97,144229328.88,8790268.86,82474869,114290389.62,27159111.9,2619145793.35999,2295553414.04999,714284,2249962.18,1474049951,8986,18036515.78,76574970,30923810.5,3970716.28,87144231.87,896071123,72330823,1436406,34863023,18312676,36852009,288616455,22283031,26594195.08,2755071,669590,6509387,953042,744543,165876719,24015169,604723291,6436,226014,18225443,28140249,2350126,4440228.88,25750143,59260412,1353501,1782191.28,9743326,441962070.85,1543182.01,11620155.77,644440493,64204293,11690428,1147991,6360316,563903,111664,3086691,569060129.25,257743680.43,254071131.29,9975375,29995889.96,0,12918958.15,534626.68,266552.38,142315,1344943,9939072,76043,2253748,85946,70358,8729,0,295719,0,0,120539,1467,0,14469404,0,0,8646
"AGO",25089.08,18733564.62,0,0,0,0,29667760.39,739831472.24,115752984,55069818.73,14408723988.6,14547897.92,155662.33,2934,82592455,0,4795,76016868.25,33713737.29,45646.95,0,2271707449.64,0,41480486.65,1592256864.51,939527740.45,0,0,0,69452378.26,0,0,2836483278.37,37313.93,0,55301708,972841517.88,0,0,257770932.6,2000,131717474.77,174700.35,33775.84,33465.53,596708.39,0,0,1011397.92,93734138.75,4508.89,663011144.08,27710420.27,1341,570000.25,388928979,397854.97,3466863.72,1169698247.44,0,0,41770878.18,19221.94,35598,0,0,212133997.34,5847,0,8837.4,23474.45,1215599.26,103859755.81,444547.46,41059,1010,2442190472.54,0,1242710942.71,0,0,33375756.44,0,7780786.23,243472.67,0,17686.71,0,1544017,0,2268.4,0,0,0,0,0,0,0,0,83630.74,104251.46,0,14214,17155463.61,44137.87,16104,755395.39,10185,371531.67,0,0,0,656426673,0,3896,0,0,45081.22,13907191.83,560941,0,0,0,0,0,1211110,0,66118.17,0,0,0,0,0,566502836,0,0,0,0,83946,0,0,0,10640267,0,0,0,0,0,0,3575,0,0,0,0,0,0,0,0,8240,0,4878938.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",16109,2814388.02,33149842.18,4749,0,6484653,116343.96,211900528.16,36016849.6,20647.18,172284954.17,0,21992,23764.76,0,0,2533989.89,145689541.18,184427,0,6000,3033210.74,273929.5,567767.44,12115925.67,1791722.53,538047.24,0,0,9501190.37,94112.03,980921.67,13893844.28,65522.34,0,4822897.36,48430943.43,0,1998786.42,13973598.55,0,3651579.03,379506.23,85244,0,344435.93,7914.06,94645.14,0,3110614.08,0,47399626.9,464110,68647.13,55090.09,15907,113757.6,16859524.06,32662.68,0,9380,32607916.79,230318435.92,126387,1689953.24,0,4043583,0,0,869847.18,1687653.16,501495.66,697489.67,2366666.6,7515775.26,1456,58306055.82,0,96343,1631,0,350610,3243902,109109,0,14239,6023809.01,0,250300,119877,0,158931224.5,5395181.93,349331.48,2444924.82,2051513.86,600864.04,0,0,0,1000,37734,80397.94,0,1060823.26,0,0,1884,0,0,220000,0,11060680,0,12757,18000,23795.77,0,47265,5000,0,0,0,0,374242,0,0,0,0,0,0,0,0,0,130688809,0,0,0,1542390,0,205427,0,0,0,0,34501,0,0,0,2699,0,70065,0,0,25432735,0,0,0,7452.63,0,130156,77935455,0,0,0,0,0,0,0,0,0,0,17010790,2531359,386705,0,0,0,0,0,0,0,0,0,0,0
"AUS",255740261.85,88058440.64,157560614.86,737995502.39,2489208.71,155447.89,1097460059.6,1432456965.1,775028758.459999,256538106.17,62861303177.65,22878692.72,50566246.04,8580607.58,770982,2860952.3,143073447.78,1879026235.28,125517733.12,13718641.63,18818001.65,536206143.54,8677940.52,107554560.29,1048787452.15,2832945688.87999,12252189.49,12809469.96,7547480.4,4487102206.55999,3599562.88,47411286.94,10241323680.19,96530822.45,16149443.41,200713741.65,561125746.93,27172062.69,215308153.99,31042418004.73,50967376.74,14829652372.27,583208104.86,273152517.44,27068364.94,526462298.9,36878002.98,12761777.69,104935660.06,4745523608.12001,6803193.75,1382331544.6,103473336.47,4373938000.39999,550641822.43,44121369.8,131302992.53,298606539.51,38861741.06,4048684.41,5342286.15,40963289.09,539615392.81,4057078.12,1696094678.31,67545310.4,3321678267.55,25039813.78,2278465,52592792.84,43005671.63,241032067.24,3902054052.33,578755359.07,138113752.66,11171089.73,10262796645.1,23322761,917279570.459999,7918292.15,4158770.28,0,9765547.39,1380430.3,19955214.42,2121062.23,8789616.73,688086.87,19375723.06,498830598.3,12160251.23,4912028.76,65997531.32,3668671.69,7143589.66,2445945.67,706825.73,12664227.29,1738883.34,117641906.25,38845642.67,285248758.87,522553414.81,19918712.07,4859155.32,9992762.38,3210859.99,11347499.47,52769706.37,1905135.51,1384477,1769674.4,1571845472,6915808,871254.29,519063086,4542933.74,1474968.56,5041753.86,5085327,3269876,519578,1476395,6032202,3492585,42189688,2032853,3656922.49,37508,0,4225533,734125,494025,3550597873,27735010,53359227,501807,18509699,33538398,1384900,3575876,40327485.3,2210865,10177035,107637099,292335.89,3852723,16130897.23,294627894.6,1167799.63,185650198,1147679256,1140199691,0,645366,0,18407311,15522187,114838372.21,9304713.21,2627490321.15,67524898,3703831.96,0,323807737.88,258418.71,38086269.95,0,2701103,216184,254779,628215,563978,884783,28617,29979,9921934,1936814,8337845,12742359,2133253,3591619.27,266002,0,0,0
"AZE",43232.19,410379570.97,82966.81,49961.74,0,0,213891.76,319723550.53,227632903.64,17931.81,190191673.78,0,20505,0,0,8672.54,959905366.48,1499664674.87,473756.48,0,0,854345826.36,278228.96,770704.84,1170431337.76,38533689.16,328570232.67,0,0,2682206.1,361597175.26,68283.06,680961476.22,28588752.99,415811.04,608643309.72,4328852846.53,0,0,2248937.91,0,3397023.6,53092,0,58427.6,121360,51296735.89,311152.11,10753.34,755914.63,0,16577985.39,673704639.11,55355.14,519631.16,0,4186,10576866.09,425952113.12,0,0,96301141.37,425076858.7,10876.96,1155400,130084.53,302704.4,0,0,2096239.27,874255.51,920852.71,345496219.27,396981110.64,63168335.33,0,170184747.23,56786,349644,710457.43,478463,453130,0,0,4014.05,56267,4903316.32,0,16098184,779629.89,755477.64,328792347,18891823.17,6426563.25,32348824.18,792825.42,397979.96,0,19312.25,6050,65939,0,700106.51,3062150.14,5267463.63,0,0,281848715.89,37648.1,1137.2,189368417,0,3860674,0,0,0,0,0,3930,0,578908,5800,0,0,98536,90787,0,169191,0,0,0,0,0,1065516497,69915973,30290,0,0,0,0,906020,0,0,0,0,15615.02,0,0,6133.86,2534,10555,108524,8152,0,0,0,0,15331,11798,0,222415,138992660,0,0,0,0,0,0,0,0,0,0,13090792,61667169,2340468,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,28384.76,2490,0,0,15408,0,40837.73,41391283.42,0,70512555.3,10301823.5,3683601.88,3522,0,0,226159.67,1624480.35,13528281,0,27648.65,4132299.43,0,3525.41,19363201.05,1636473.26,529389.15,0,0,925019.65,0,0,265772658.84,0,0,0,7513341.43,0,0,1008708.64,59982.31,10290561.44,5636.37,2490,2570381.86,5175,0,0,91480,10310300.83,0,12236319.4,37731,16889.66,7680234.16,0,0,109519,3522692.25,40685,0,0,85716.65,7890,1005709.74,9995.04,49974110.25,0,0,0,103498.32,76521.86,6406738.52,3059832.77,6374.06,0,8466462.4,0,3461318,696232.26,0,5498,0,0,4567384.13,0,18425.32,0,77221,16926511.73,0,0,0,0,243938,0,20694.24,13418.37,0,1326126.28,16565.35,0,53782.26,3797093.8,0,0,11600077.07,1248356.12,0,436645,0,4250840,2203106,0,0,46550551,0,416064.01,2523449.62,206363,412828,0,35043,0,1053088,9403733,0,1121409.15,12643,5135,206666,0,2944,23426945,0,0,0,0,83180,423262,7222,0,0,407251,0,1091,89867,0,330772,67954229.49,39211264,0,0,2579378,1712,0,0,0,243037,421018,91535060.65,4108,48372816.28,0,0,0,0,0,0,0,0,7941461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFA",0,1662060.74,6208390,2615424.1,0,0,35480.05,37809439.82,2077798246.67,8552.46,49050345.42,72105259.84,2897388.55,1859,0,0,60662.99,20987996.76,15131704.33,0,9295,7013208.19,3454.71,135660.86,20468986.88,30589736.86,9820685.39,0,0,334535.29,0,22587,478058735.91,68378.3,30647.81,267111,5838808.65,0,351260.68,39776587.88,0,6831931.44,3512.49,0,1440971.61,85125.43,0,0,49614.44,7181706.21,0,11058932.87,120768.76,4612.07,9810192.93,0,90613.38,889577.67,2293669.82,0,236566.11,1278,52065.59,18992,0,30611.14,178797181.61,0,0,385014.34,181885.75,309785.14,33398987.81,46605979.94,19856.42,2871.2,1973741,0,85053261.55,30019.74,1320,76621.61,1772204,7257856.26,0,16460,0,0,95093.72,17535185.05,28876,137433,0,0,0,89676.55,0,44370,0,1024853.93,0,0,0,5899650.38,333346,0,34748672.17,135672.55,0,0,0,0,11535874,0,13577.85,3449,0,9303,152939.47,223202,266959,0,2991,58188,24505,52123506,0,2150371.21,3544,0,0,0,68075,6356293,0,0,0,0,580474,436178,53292,0,0,28185016,0,0,2114934,0,0,25507049.03,396128,0,0,636816,63440,0,0,0,0,0,66367893.05,0,1836922,0,0,0,0,0,0,0,0,381216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",390139.64,467097597.31,32785784.9,635898.25,0,0,5968594.94,18420353.24,105425001.16,1843063.37,46097273.1,97045,1246504.16,91950.59,31249,1021186.79,84165389.11,788836765.06,8794336.95,18979.72,59621.09,66926549.52,3062787.71,5056415.14,99866973.2499999,42576040.95,11086709.59,0,14479,1566557.3,546353319.659999,124635173.47,4243016.97,1866137.1,312310.87,1283642.53,755824109.79,0,3407912.53,6865011.33,0,12122149.38,3547178.76,440362.77,9681360.72,9447190.3,138045.04,127500.74,60741.62,3285434.98,38968.43,90923571.02,17000358.98,1341846.57,119314.11,5784,815949.1,62613122.47,2278741.29,3153,39544,71291156.03,65429400.95,26154,21004369.54,3316723.01,4553885.67,1301,103763,81468349.04,441714699.34,43790538.2,2358341.61,234529985.67,11103270.03,574302.35,76980139.04,0,2609260.84,1044650,207733.16,6482763.37,611261.31,8770,4128.49,0,51199702.32,0,23704126.87,24230416.46,596538.66,463935.19,965847.96,34247.03,991342.82,548885.93,1900326.8,15303,63959300.49,20189,1604,395787,1711390.24,358641.81,439011019.97,813558,72410,864003.59,1010,6201.7,53248,19428197.09,16511078,0,24005,0,70099,0,160939.99,81562,8372,0,0,0,0,39792,0,1059.61,6305,0,835280,0,0,88478,384046,0,153155,0,773731,971201,1393100,41234.54,0,0,0,144582727.8,1130,1668,30433.19,191199.82,143718,1540481,0,0,330205,0,0,0,694132.65,52581,1098759,938602,12364,55588,1281,3250,0,0,0,0,0,0,724406,0,23304,0,0,0,0,0,0,24924,20127,0,0,0
"BLR",10176781.86,25275685.95,47966778.31,166970.39,0,0,525731679.26,19453660.67,22205963.82,962142.85,804792304.37,23741987.06,16420751.27,3266679.7,0,3572934.05,132651357.14,1120246961.83,39958754.13,1186493.04,5782831.33,26995892.09,78481178.5,33723678.56,71242802.5,2948077880.37,16191637.93,9198600,257200,8041066.02,4645965.8,77002319.67,321512995.11,27578628.03,6307250.83,19666658.37,135129811,0,6471606.31,22118927.18,2129816.47,44482940.23,4100526.83,41271530.54,4591187.89,8708648.1,24350.21,24155689.05,1827325.02,126517005.82,6663414.74,1151997736.45,134175556.28,21237202.44,44191376.69,2402800,1027673.48,764456930.45,414872.5,13805764.02,0,61864347.33,10066487277.29,1229902.14,4279917.76,1093614.87,16823872.85,383331.29,0,90850723.57,9561739.44,49861628.25,60972619.48,144334786.75,2531192018.6,8870272.44,147474810.53,26544000,8696717.26,5306627.6,27304964.01,3700096.18,146765612.22,120451.45,1161958.14,6749644.15,0,0,6442172.42,164588190.09,26745761.3,21999030.75,520947761.41,56341403.68,968154646.16,594395922.069999,119068781.86,902478.88,3137916.77,621467.8,2911236.75,2500,3763113.86,14479309.96,157425576.07,0,1200,20913443.31,55886.47,1254307.85,15897600,2000,13102600,0,0,114235200,81704.02,8300,8217700,197700,607600,34653800,10100,0,1065900,2352100,0,498129.96,0,0,96100,0,0,168890600,4227400,2970100,28900,1156700,636500,450800,849700,40200,0,8349800,2734900,301566.36,176400,0,41883.1,383129.36,14972800,13959000,6000,364900,4305900,0,0,708400,676563.38,1821489.91,116812185.1,38958300,1093200,45900,1486553.36,0,0,0,241000,3200,0,202100,81865800,37476900,20836900,0,0,0,0,0,0,0,0,0,0,0
"BMU",0,78776.85,0,65962.95,34899.6,0,110540,1504730.65,881011.67,24166,6923,0,11319.98,3638,0,4447400,85905.35,555989.34,200868.39,0,0,49743011.56,0,48492.65,367610.77,2149087.57,1348,0,0,0,7644.28,54407.69,0,807386.1,0,1602669.21,8013094.98,92098.23,0,18963.14,0,0,5674,31229.92,14063,31125,13343188,2946,2661,1425,0,9470561.73,18421.08,4345135.63,21039.86,0,3980.32,5037.11,887040,0,0,0,94011.67,0,2079203,0,35329,0,0,48355.03,2477.77,1933198,3502,3776226.92,0,7479,7096889.42,0,481172,0,0,1570917.77,0,0,0,57920.96,2772.39,0,9212,2214.23,0,0,10598.37,0,0,0,0,0,0,32120701.04,0,0,0,0,0,2785.16,0,36431,467064.46,0,0,0,0,0,0,0,8101.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,13057.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",20229.84,332576619.49,14044952.35,33132.2,22624508,0,1638128780.87,658637749.8,10368761.06,6475045.79,581737222.71,20986968.64,16027407.84,0,0,20472296.5,1973434.58,1537828007.83,40040523,68119,1874,6541430454.09,28887.39,65880987.87,4503211349.99,2526323964.38,154117355.8,4677318.34,0,15916901.92,5877937.29,27575748.97,284289010.73,77539104.49,30679.47,0,3452038011.59,0,65202855.33,706025187.25,92698.71,824253450.24,1480054.24,18460.66,694376939.18,10703662.88,114088990.19,0,43174.51,52278509.5,0,1910336312.56,59259196.19,19553.62,264849.74,16124339,0,46384701.25,947740114.2,0,0,6547958.94,8919527.94,3739,10921049.17,76585,244564997.49,0,0,508547.41,35552309.36,11305665.66,130302204.96,2229700400.89,16583257.19,20909716.4,2742323667.34,0,8154267.48,1047226.52,2514,2227710.6,68796.57,1129568.58,9231367.32,433546.6,5509855.57,0,0,503435186.98,866062.03,561762,46877.98,4601.72,72802579.42,0,0,10251.05,3213092.93,140139.99,108008.07,280057.57,1766027.05,9896932.2,1044204,45055,10517785.35,1536501716.67,0,0,0,6406369.73,5908452,0,0,601149,0,0,1780360.5,0,101495,154633876,0,0,3916,1888480,0,2944497.71,287155,0,44440,0,0,272149788,3372553,2608126,2973733,0,15484964,21662845,22513599,0,71567932,809481,0,661254.02,57054125,2572.84,29455.69,8587461.33,442108,2409459,0,0,12674091,0,0,52064,4283647.51,417162.46,2439762.94,2451,1021714.57,2964,0,19766.62,0,0,0,0,28864,194293,0,0,49117,0,0,0,0,0,0,0,0,0,0,0
