"","AUT","BGR","BHS","BLR","BOL","BRA","BRB","CAN","CHE","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","ECU","ESP","FIN","FRA","GBR","GRC","GTM","GUY","HKG","HND","HRV","IDN","IRL","IRN","ISR","ITA","JAM","KHM","KNA","KOR","LBN","LTU","MEX","MYS","NGA","NIC","NLD","NOR","NZL","PAN","PER","PHL","PNG","PRT","PRY","ROU","RUS","RWA","SGP","SLV","SWE","THA","TTO","TUR","UGA","URY","USA","VEN","VNM","ZAF","AUS","AZE","BFA","BLZ","CHL","DZA","EST","ETH","GAB","GEO","HUN","IND","ISL","JOR","JPN","KAZ","KEN","KGZ","LKA","LVA","MDG","MLI","MOZ","OMN","POL","QAT","SAU","SEN","SVK","SVN","TUN","TZA","UKR","ARG","BEN","CIV","CMR","GIN","GMB","MDA","MKD","MLT","MUS","MWI","NER","TGO","YUG","ZMB","ARE","ASM","BGD","BHR","BIH","EGY","KWT","MAC","MAR","NCL","NPL","PRK","SYR","TKL","TKM","UZB","ZWE","ALB","ARM","MMR","MNG","MRT","SDN","SYC","AGO","CAF","COD","COG","DOM","FJI","GHA","GIB","GNB","GNQ","HTI","IRQ","LAO","LBR","LBY","MHL","MNP","PAK","SLE","SOM","SUR","TCD","TJK","WSM","AFG","ATF","BDI","BMU","DJI","ERI","FLK","FSM","GUM","KIR","PLW","PSE","SHN","TLS","ABW","GRL","UMI","HMD","SPM","ATA","SGS","SMR","VAT"
"EST",22814677.49,601530.3,2162280,19616274.9,27597,4895626.97,72905,60265681.54,27288011.24,19051184.66,218728.35,97776,134193.11,11417243.59,15475383.5,275862107.12,164554422.6,35076.96,84534305.83,1103491390.79,86575811.84,204891061.45,5244818.66,351340.62,36627,6768433.63,17216,2310633.66,1891375.81,23725429.41,434561.62,1892397.44,47883204.78,279643.45,851572,0,23187088,455858.39,104173847.04,10125710.37,5781325.48,2224073,0,137891540.09,116355730.02,473553.93,8833565,2633812.7,1262438.38,0,6927853.23,0,3872196.38,294409135.12,48842,56928920.43,833581,599581368.98,8688136.44,25790.23,7451241.71,0,508866.73,220242714.38,965747.26,441543.63,1337486.43,1431521.31,267110.16,0,329028,4792603.17,3177022.23,0,0,0,882931.05,28009661.13,2134471.37,33105748.98,6039,39102639.75,5368177.01,274423,183992.82,871822.75,224830263.66,0,0,0,121519.43,43625443.97,15304,3742468.55,18395,2544257.25,1675377.87,121974,0,117407936.46,917406.08,378949,943787,963855,0,0,3212747.61,153690.67,13027844.92,101423,62874.01,97856,2308987,286461.6,0,729222,0,616288,251901,3316,9690560,238297,0,3259752,6472.01,4802,924447,1237494,0,1087760,3211741,0,3352,355905.37,10403,0,595011,426837.08,5294,118710,0,428377,0,0,10455,975377,41862,0,0,0,1850404,0,4458934,93258,1709377,0,2486416,0,0,4794,46724,293657,0,0,0,0,143635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",1334774.52,173843.42,0,0,0,290836.85,73615,4191059.47,9315685.37,4935604.32,3838.77,1249.15,3502,75118.19,831088.17,36390472.28,798214.87,0,5182776.71,1714766.21,15787206.3,17640542.61,3550925.2,26412.11,0,1555684.85,23010.88,81732.31,5086930.2,110413.93,0,14658958.98,63767012.08,0,0,0,852370.8,414538.15,84228.51,12574655.67,3862515.49,691001.71,0,5480964.34,399961.53,228310.13,838739,0,10411.38,0,720931.34,0,3284046.26,362743.83,14536.51,2178491.25,0,1625812.93,10639054.29,0,548861.37,30813.18,0,31072049.19,0,8455.71,1970509.38,1081752.88,9047.78,0,0,0,1626571.43,1471.46,0,1645,0,198084.9,21971782.69,11797747.13,1771358.04,42502964.88,0,1496241.64,0,111359.49,21513.46,0,23653,0,14615,829015.52,84484.65,36588193,47447,326272.37,178966.52,91829.05,526739.35,18974.24,8157,1681,17805.66,0,0,0,0,1113.6,25582.07,17979.36,2134,15775,1072.84,83161.7,10310.88,6439956,0,362077,0,0,2581474,0,28522,1655101,12151.28,60048,0,0,0,0,0,0,58729,0,70012,0,0,610966.05,0,0,0,0,0,2885.59,0,14132,0,0,0,0,0,0,0,0,0,0,2117879,0,13410553,0,0,0,0,0,0,0,0,69386503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",853417.21,69047.3,0,8213.93,0,135841,0,1293782.65,96473051.64,196985963.7,41300.88,0,0,545235.67,30756.65,9502468.9,332443.7,82949,50136513.71,155635.2,362720982.65,4306334.85,12275739.45,21265.39,0,21726947.15,2612197.02,21404.23,33234.33,3328980.17,0,1993248.58,34460140.42,0,0,1550,116831989.89,229143.53,1307.36,2649822.54,1258077.77,7168296.8,0,21653295.95,8167479.13,12354.93,0,38857.79,2664023.62,0,50894845.72,0,0,33768,0,5690600.77,0,62438.1,732660.58,58697366.09,6494493.38,0,0,1516251704.05,0,1078,63645972.49,79791.84,0,32125.54,1450,19319.13,3203631.65,0,5260,0,0,174663.98,9912506.45,50149198,0,10161676.91,6103.08,0,0,0,0,278916.44,272607.03,0,55084,1114677.87,0,17214.18,4187439.49,50889.23,43147,1669649.08,206797.44,0,61537,222460.18,2109447.2,4697115.91,12022621.14,194082.78,0,0,0,12807,4571,8446,400944.68,0,0,49897,0,0,83780,2998,15148,27965,0,9362699,90104.37,0,1253629,0,0,0,0,0,0,0,0,0,539961,0,0,3123129,1109834.61,7763260,11919826,0,0,212427,0,0,0,0,0,0,96396,0,0,0,29715,324674,0,0,163322,0,0,16115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEO",1310061.2,1127658.11,533581,1946753.07,0,650387.12,1019,4777549.35,15545041.71,2051491.79,35411,0,0,83663.15,903698.84,21188615.18,650606.32,10374,99203702.65,73965.27,53297436.4,24741133.81,10447091.48,376881,1187,569239.17,0,4426.16,602197.19,3348383.62,7824259.42,786885.33,17685175.67,0,0,0,3111827.2,86646,3086890.59,102223.77,331679.55,0,5031,3382483.63,49845,12869.65,0,3893.3,16491,439869.05,89714,0,725145.69,80439084.42,0,499822.55,0,395279.02,3086135.43,32627.53,98193361.49,0,4315050.01,34651684.56,208379.56,783757.79,257636,23479,10187312.83,0,0,0,1881918,336089.93,10200,0,0,325904.13,4852094.46,16380,99410,10370686.78,5470983.19,0,19953.58,1100,580353.98,0,0,23197,168132.75,839762.13,0,178957.45,0,187868.65,3000,0,12877.82,12194651.31,3346140.33,0,0,0,28861,6000,149716.84,0,6713326.03,0,15111.06,0,0,143291.4,200483.97,1251831,0,0,0,3000,0,0,0,0,0,0,0,532414,0,28873885,1140535,0,193693.51,14930973.79,0,315860,0,0,0,0,0,0,0,0,0,99540,463738,0,0,0,66000,0,0,14815,0,0,0,0,0,0,0,323504,15671,14771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",2346861421.68,90177100.36,609455.95,28569811.81,402522.36,98414091.52,133951.67,88660864.29,383635024.93,135944259.58,8878267.35,436249.46,1421907.66,12803283.64,616696874.91,10702339225.87,145027324.57,1062489.46,738642181.95,182750843.58,1818007398.48,1093864771.84,103200775.41,719915.06,15641.28,33360260.86,469000,232963001.85,9510689.74,358409261.68,54074671.69,82665150.7499999,1740643069.16,1341735.01,121584.92,10492,84590899.74,25588215.69,61129685.3,143165560.28,58490813.14,9148584.45,132423,1260723075.03,102316251.18,8430571.01,1101491.78,3837772.9,63174995.58,0,113172518.24,152211.87,656104945.12,489631275.270001,56248.63,167224986,340761.33,283327363.86,21859251.19,701504.36,212792982.06,562211.74,2550808.34,2161942551.41,4036393.61,18020531.36,46265857.15,48867835.02,4746638.85,207681.98,91375.12,8515331.19,16429878.52,41504984.27,8514377.5,514161.64,5249139.64,0,27181851.83,4996355.49,9045553.74,363016687.3,32636994.34,1752428.2,1643309.91,1335809.18,34240049.11,410739.45,572959.9,391794.71,2175498.92,763746586.37,3187197.62,56224916.74,586051.91,397628221.420001,375661178.56,29502364.16,407055.09,198580367.69,22687582.41,371897.87,1777407,529767.03,233033.07,64523.88,20661314.23,27247548.15,6955530.14,1416772.48,122000,264933.31,33450.14,182531821.75,58523.63,32453000,4000,4023000,1222000,209492000,26491000,14830000,178144.26,9780000,1070738.15,59000,477000,32097408.34,0,1468000,5745000,66000,14802983.69,1957427.24,396205.32,1611118.9,840933,365379.73,1183027.88,345000,20000,62000,6000,516000,19000,742000,454000,3000,0,233000,3545000,41000,478000,4921000,1776000,0,7424000,938000,6000,26000,44000,1398000,0,5000,0,46000,535000,30000,366000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000,19000
"IND",186317331.64,23048180.17,681492.51,13965116.29,4252350.12,538605980.35,2277083.92,702697945.56,353106632.3,1482480490.59,89876085.87,12059154.55,10605086.26,39599497.86,90362149.5599999,2275285193.91,205828778.38,17589172,879076784.290001,101712803.81,1354702410.98,2648602197.14,164040412.01,18445650.09,3635754.78,848592379.61,8605154.83,24237094.87,543820894.129999,136479461.81,524556218.19,222714974.34,1525215518.76,9692175.24,12796864.17,142342.29,1065832043.21,62970979.49,21734342.32,406290013.85,783999119.53,498298888.54,8623665.15,846156815.74,102510651.29,84487547.5,75149001.8,52745025.12,302436649.8,11392425.07,186641411.32,10239705.05,31592916.37,718396490.28,8181807.73,1042812795.97,4836350.17,220344227.14,525860831.4,19589149.04,384055469.97,73401052.25,31006414.04,7880677270.1,71552632.82,265385871.64,294326243.78,421861438.96,21345816.63,8227640.96,257212.96,92827229.7,45637622.2,10357301.86,109536147.24,13754780.16,4588629.88,74877612.8499999,0,15350107.46,91073479.3800001,1795267800.4,60600671.87,188721377.94,8294598.82,638706782.38,7192525.96,20737620.63,29565285.96,32916012.94,242485722.67,171651210.44,92574047.19,812333792.510001,27902675.46,28895859.12,40459366.35,57832470.41,97739877.4499999,118439791.32,170401497.48,42563381.97,38880922.16,14992852.29,18582901.4,14725051.04,5305605.17,3526760.25,15836971.35,173789436.79,38978907.11,36535729.8,46050710.5,18692147.81,26987143.01,2154342935,710065,1043575168,78150439,1060177,307884690,197488431,3665972.13,49411129,2384616.96,186611222,170249711,116484230.53,75922,4046519,6694060,11075758.7,4757701.22,5744578.48,91768124.2800001,1904501.53,17208273.69,158395192.46,7744529.02,24565113,733963,3522763,37628252,12714144.22,12165988,63741115,333542,9109393,434969,6508140,158994126,4866690,6968667,8309047,0,0,164134989,13117223,10506941,1124357,4596718,1685972,559474,20591200,0,3185156,468484,15300275,0,0,0,775444,122627,0,0,159449,1306827,0,515707,0,0,7247,0,0,0,0
"ISL",4701724.49,421897.36,0,2041810.49,0,1912933.95,22976.59,39080342.89,102018115.15,12676704.33,197152.68,1366,11252.53,300257.28,1217663.42,352137567.5,122647205.77,125828,116816395.17,16512556.68,100438841.99,396533217.54,7487903.66,19345,2262,882256.26,12414.43,1281685.02,442330.77,5034740.69,0,9044366.49,28854900.28,318978.28,2963.26,6520.05,7187818.32,52170.97,5952828.95,1684119.44,371170.69,23913204.57,0,291083663.81,108319027.32,1419853.29,204245.04,118979,131938.02,123334.79,109937474.67,0,435633.97,8028075.27,105782.71,371776.86,1668,26042779.67,6680277.07,126314.05,1879998.66,78799.85,147555.74,223402736.01,33078,6530619.89,9566071.25,3569984.06,7922,0,75581.6,4769228.18,5306826,4317595.13,3442607.82,32528.31,29542,444042.44,1272851.04,0,27066,91499633.14,249082.51,1467164.44,0,21192,7865936.02,39938.38,11501.45,1528,51376.66,26940000.59,26273,1296433.61,3028,452470.47,502620.97,26983.86,113096.18,3103351.39,826520.87,85550.78,247903,237345.67,0,48516.22,93766.54,61506.8,531660.07,14410.91,0,0,31532.81,469017.84,51510,156100,0,10692,122959,89051,531186,52300,0,3070516,57136.73,0,0,0,0,0,0,0,8634.18,94347.17,0,0,0,11944.56,0,0,0,0,0,0,0,0,0,0,1256,0,0,0,0,0,0,0,0,0,5534,0,0,0,0,0,0,0,0,0,0,14075,0,0,0,0,0,0,0,0,8280398.34,0,0,12786,0,0,0,0
"JOR",729215,4519716.67,0,123000,0,4432060.6,7955,2882394.85,8759084.31,43415773.53,64007.27,0,7200,1031290.4,188962.61,34240352.06,549495.78,242605.32,11346627.8,6154885.84,7230424.27,22141929.27,4798540.43,89535.07,8781.57,5019996.18,3955.58,49675,24439999.27,3725014.83,8391669.3,73638998.16,10225192.91,103751,1511,0,10367516.08,44321093.65,1783863.27,1086273.05,22029091.59,11049161.69,9903.49,13112032.15,60411.13,135511.53,577155,746151.21,12789395.32,0,4172000.77,0,2503611.07,1440582.07,31133.6,2126652.14,38563.51,1419314.28,7506083.82,83288.31,15958367.46,129945.52,21940.95,420058429.91,180656.36,3531875.77,1418929.73,3953868.7,37541.76,58735.17,5000,420893,44129597.37,0,7975431.84,33884.27,14175,120658.06,162812487.53,28209,0,55158135.11,334904.06,2392044.03,4079.46,1496704.3,0,2115,1517098.73,0,11780386.23,3299312.46,23930948.64,172878879.86,940316.01,1305480.51,57214.47,10026411.11,445261.77,3120751.86,154799,3180.59,21000,1134,13173,7599,0,1574,272121.97,41849.52,0,172808,0,120561.57,100680.45,86452554,0,664066,18331666,166498,21166583,34878376,0,3392188,0,14489,0,45454141.16,0,0,2803,14888,900460,0,0,12681.83,32457.2,34443669.16,0,32573,0,0,0,300085,0,700844,0,11627,0,0,511421842,0,0,30302904,0,0,9901327,0,498914,0,32652,0,0,0,0,16964,0,785888,2957747,0,0,0,0,0,27890773,0,0,0,0,0,0,0,0,0,0,0
"JPN",1472195610.05,77426461.29,156915659.19,23221817.29,56446785.02,3081507323.65,43067491.18,8381250908.07,1937821657.61,33573497567.43,574089728.13,239001602.43,80397532.74,439400085.85,651341960.099999,18869267946.13,689338049.01,240182386.08,3782205980.25,1396698337.01,9370696621.26001,13239818819.35,875107767.5,282602755.39,21024518.66,21129382617.59,49188491.71,138582976.38,5446690982.41,1652033365.87,932630470.99,995473811.91,5598572395.04999,174577209.99,69261358.24,4547855.25,24124481751,226602976.53,120840631.18,6581308231.79,11067342714.21,469931095.92,71528590.73,8409385637.5,1195498464.21,1451118777.94,4750599314.99,423760983.85,7490479322.36,106341381.08,739738444.28,95519786.03,125905313.24,838598475.77,14426368.86,14414874016.24,124389865.22,1439812286.31,12697329192.31,142805336.95,1271167435.43,69170115.6,55252201.94,122779317341.71,763532553.7,1796645973.66,1066689461.04,7868544600.01,90041153.76,23525705.39,31676351.15,533760317.46,205624779.36,208351364.03,74555854.13,56643668.8,5834742.89,1488342272.51,1819908938.41,73374170.92,178214620.76,0,142888936.82,192263022.94,5606484.75,357593357.76,6241647.11,38187398.11,33761168.51,14387924.41,889888493.29,909025979.01,558912694.95,3568854853.22,51426821.59,213492705.39,144299007.99,150045652.38,144684278.37,143340256.74,760945525.17,13900029.75,51082403.08,79135380.96,22261819.93,6118734.91,7933564.22,20639034.07,330029550.36,82854612.9599999,19093604.41,12926275.45,26703507.77,51542271.76,34223882.27,2424237809,0,422507561,160052515,1296227,511078400,648663421,129593781.96,94370522,30116805.78,18305096,1047474834,217579388.44,705167,32251509,17789907,19204174.49,10964338.66,3009275.7,256509314.21,55696594.68,19726791.74,69892985.36,10072949.03,27273568,8164565.66,4804601,6441248,273603733.01,24274212,48218199,27423539,1249726,977988,18809428,186945856,10117316,605858344,63859115,88868490,30480663,485705166,5420381,199798,21144657,2015683,476706,27989374.3,43249684,0,1145209,219547318,11202494,5651922,35886,8496294,0,1733486,6151219,0,13258,0,0,489720.38,121690890,0,7723403,0,0,0,0
"KAZ",59374152.04,4235946.51,0,7186305.85,0,2584333.82,0,2570068.38,348608109.23,686179602.31,66083.69,0,348454.7,232533,91118808.45,679258437.79,635429.03,0,47210660.88,115265144.42,260288264.18,308553980.74,123464301.91,177200,0,4434022.33,0,773393.37,2833555.53,3038030.51,270080809.33,3641078.93,582971240.38,14700,0,0,81677897.22,361897.7,12374737.05,3678531.26,1533138.46,1658000,23243.32,127237397.52,6018490.48,1478310.86,12015800,7129296.17,2361272.35,0,5825677.11,0,138095938.37,1743599757.31,86800,25977088.05,4785,26786963.07,5015660.46,390119.47,131653570.36,0,0,359140775.82,44900,12570586.61,157000,896591.38,94034513.59,0,0,800924.86,4550221,15516593.6,599100,0,5200965.16,10957822.81,13360167.89,0,4326067.95,99328960.8,0,0,74433749.82,281200,8660838.12,0,0,0,729143.44,151417816.56,1315338.96,60159373.89,0,18376068.18,6895896.57,1406839.03,56500,523542836.59,6121347.54,0,0,38300,44500,0,3798915,293243.23,276800,0,0,101900,0,9797308.54,0,330273200,0,3110900,0,0,4077900,171500,0,304300,0,0,0,8365500,6300,14155800,150149600,0,0,2159055.51,0,13800165.41,0,0,0,249800,0,0,13500,0,0,13600,0,0,0,0,0,45000,0,0,0,0,488400,0,0,0,0,61178800,0,18178300,0,0,1221211600,0,0,0,0,0,0,0,0,5400,0,0,0,0,0,0,0,0,0,0
"KEN",3673305.54,126819.37,1197,0,13408.74,760416.06,1006.3,6543092.35,13514055.24,7267781.09,139945.18,140298.6,476858.21,598593.33,894648.99,85695858.11,5502242.39,87106.68,12269954.54,6990144.87,62792516.34,291465836.66,4016356.11,19959,0,31272525.68,0,33658.52,6198924.84,10814358.9,4695016.71,24355444.88,43897774.6,6554,0,1378.47,894669.66,1833965.77,22779.66,5165916.73,8258963.5,10527486.04,2546948,154751652.31,4149217.77,1067511.56,48410,11076.36,2936674.91,0,4940514.05,0,166499.43,2981056.61,27481563.87,18158226.46,50831.68,7527799.26,15831796.96,1704,3250435.31,258738880.04,64525,127450170.54,936789.89,1761876.5,12429209.86,10519227.35,0,212078.13,0,462465.09,3593979.07,169483.59,28849820.69,0,3171,693268.44,38654367.28,55090.3,1275430.85,23569401.5,0,0,0,2984556.53,8374,8474851.52,1720082.65,1549455.67,462337.74,9004534.29,340461.71,8977764.22,264174.12,293996,218752.93,2329011.61,105161606.01,223049.58,419305.88,380468.47,1457001.56,517262.32,114254,14659,0,57902.45,461772.24,4015995.42,5875220.07,113732,126929.09,0,5980381.19,39083087,0,319492,378535,10816,89451173,401780,39093.42,259578,18092.27,0,73015,443192,0,0,0,2067820.36,12733,0,178560,0,61147,30584519.95,2853421.51,374101,74020,32585120,0,228431.17,0,769630,0,0,5248978,0,0,0,12386,7887,0,0,112540997,461137,21822076,0,3055,0,0,35890760,0,7344230,0,6914737,5745870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",1614735.08,225983.85,0,3382432.6,0,23390,0,658576.72,123736618.28,21597294.61,0,0,0,0,2161746.87,95310295.9,3742,0,583347.55,221357.16,1110391.35,11416620.71,0,0,0,0,0,56524.45,244408.36,6178,10011040.73,87590.95,2370607.68,0,0,0,866141.72,305835.72,824665.22,39833.9,76909.67,0,0,1179568.93,0,0,0,0,0,0,0,0,1376495.34,65672584.28,0,0,15003.62,3735577.87,95464.23,0,15060476.03,0,0,3777621.44,0,0,159171,100319.29,1944370.13,0,0,0,0,658545.92,0,0,187379.83,1148211.82,876859.68,0,0,468092.48,28529782.36,0,0,0,2321539.31,0,0,0,0,470776.99,0,128144.39,0,359368.24,171029.16,0,0,2970354.12,10632.24,0,0,0,0,0,378881.13,0,0,0,0,0,0,106201.89,1688,538078,0,0,0,0,17050,0,0,0,0,0,1399,222650,0,836412,10069960,0,6927,59674.66,0,1194434.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34948,0,0,0,0,0,45864,0,0,0,0,4605151,0,1301538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",21123462.39,444634,220257.65,1419230,1011067.78,3384811.11,846205.91,76492894.11,24657109.78,8178788.01,3062511.53,291340.8,100740.1,3392300.09,5663335.29,244783040.67,10675732.85,1820255.81,49542559.96,6426393.14,134491186.07,603992090.43,4407804.58,1391544.72,184154.12,53457828.81,295387.88,2067638.81,7021122.45,20332883.1,28039650.95,30611992.87,78262327.4,1025211.3,174552.03,15935.49,43928115.11,4068373.69,3929982.11,39106389.27,7115334.58,1817737.64,385368.56,113476095.85,9883421.87,9194065.15999999,2916861.34,4173386.64,5644112.83,619061.47,6089694.79,105690.94,789860.19,101074267.38,69766.73,47720660.16,1010053.23,17961761.56,31193868.86,525704.14,13817697.36,75204.85,1083636.8,2080147297.63,524900.44,3323836.53,10306679.66,46182135.01,8384649.08,29611.4,197251.94,13845386.9,540770.99,1543765.08,934424.61,140173.14,74746.65,4397205.36,83264185.31,524697.83,22844888.19,207845656.39,2761572.64,1682876.67,2663243.95,0,1149997.02,913284.81,187906.93,4455,6563557.16,15386681.26,1659712.26,33474789.58,119474.44,1501513.75,1787125.54,12156815.86,223383.54,28058082.74,4300918.68,0,605904.1,306542.31,700767.14,247820,557037.53,792202.5,439934.15,2437296.64,43705.45,10247.8,512673,1080106.62,105249,143526592,6226,10030028,1705503,0,13608311,8705546,851922.51,972655,162583.54,330462,15278,55756141.53,0,59038,2585367,54166.94,0,136037.76,591499.63,56212.74,106294.05,34952.01,1114303.42,330242,0,72679,45368,383719,1054706,144161,2808,28303,0,0,19059868,0,451266,37019255,0,0,24850461,138481,0,129062,25761,25014,30266.43,55970,0,44265,29381,251075,0,0,129948,39327,10945,0,298704,0,38061,0,8369,0,0,0,0,0,10807,22802
"LVA",17359270.37,602049.96,29656,35742033.28,0,215859099.17,1551.69,12173033.75,8380606.42,5670684.14,9293,3552567.51,53107,1065543.94,14472499.16,394360847.56,164618759.4,3298924.7,26045998.69,57571019.56,150475577.26,367320806.71,11445434.41,3095854.55,0,4480380.37,562854,170603.37,0,26148530.73,14448076.66,2455194.82,45522834.25,38502.14,16167,0,980481.89,174087.36,107306665.19,1064235.22,8036706.13,4645588,4140182.62,92525379.4,59222019.16,252481.74,1978733,17405776.23,0,0,17744745.54,8611,421100.67,130719188.91,0,145361.7,81574,349401694.24,349969.3,60326.18,3054799.12,2426,1138500.53,150014115.99,0,196723.89,2482484.36,1659510.04,642051.44,0,310017,11776764.28,402004,96990060.05,0,0,4474646.84,4473833.85,1366050.84,8310863.63,260714.58,13438146.15,11612176.89,10002,836170.16,240159.31,0,0,5335,0,23089,40760047.23,5903.56,1772755.98,16182,10952286.17,2628738.02,38963.02,345792,38985270.54,6050058.3,8259,0,3718,16552,117197,1797213.68,16895.61,301680.56,25870,0,0,0,329958.95,0,60390,0,4156,33479,70219,12501747,6098,0,1022512,18226.28,0,0,0,0,508000,5931166,3980,17100,698924.02,2163,260038.57,5393,130761,405452,2872,0,0,0,0,0,16488,581852,0,0,0,0,0,242645,0,1325,0,10701,0,0,0,0,10144,0,193513,0,0,21496,0,48169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDG",3118395.4,121062.93,0,0,0,164473.49,7989.33,5224514.95,2052623.96,8701535.26,19956.54,0,1561,410412.63,489183.16,62225764.95,4040956.12,53303.86,30874908.27,1148184.24,380268455,40461783.76,452233.93,0,0,11890263.23,57906,110923.11,15152050.11,1615781.16,2842,335089.58,28873305.81,27022.85,0,0,1346756.88,292707.77,7344.79,2203176.54,1550850.72,1193132.6,0,19183693.64,1734470.9,44939.5,411530,0,7191.62,150489,3651576.4,0,93705.24,270697.64,51133.96,72860234.84,0,7892375.93,7092175.98,15207.18,211744.85,0,18041.4,265864027.36,82296,71422,20493336.01,1792538.18,0,2578,0,110426.62,126763.93,125114.62,9915.65,112905.85,0,390519.05,1438754.41,24922.62,6869.86,31106226.56,0,887033.7,0,220407.72,65695.42,0,116595.07,150532,0,980836.64,27908.95,285400.59,76989.01,141715.48,128099.84,2275133.65,926420.82,553835.63,204298.16,8718,372046.59,83198,12916.59,30945,0,0,58100.27,36344073.59,12862,0,13913.32,41995.84,0,586804,0,11610,1283387,0,250296,0,2485,827516,85090.09,0,23374,7357,0,0,0,26520,0,0,0,0,0,174485,932293.38,0,0,0,15170,273786,0,0,69680,0,0,0,0,8755,1576,11469,0,0,41878,6978,0,0,0,0,0,0,0,0,0,4120,0,0,0,0,0,0,0,0,1023,0,0,0,0,0,0,0,0,0
"MLI",214325.22,1208,0,0,5897,7976315.73,9580.24,1830648.95,213980688.01,1144926.31,0,0,0,0,4386043.39,8593125.86,378737.39,0,7832709.34,62050.26,64919781.3,6091390.53,86525,529514.12,0,269524.48,0,21417,5647391.25,494963,0,1000,10529149.59,0,0,0,7037715.76,97706.02,467899.33,36049333.07,4159981.8,3412363,0,1812385.65,265540.1,0,0,1037197.34,981173.14,491600.88,3315357.32,0,12451,2126,4421.65,21490,0,43757.84,29128926.97,0,3945,67429.37,0,14186118.31,926600.12,3388418.04,215140920.03,521658,0,3635956.24,0,0,806565,132278.62,537834.91,4750.95,0,152321.49,3872245.05,12438.81,0,669950.39,0,3017284.46,0,0,109560,0,0,0,1807,876854.28,0,64569.26,17468869,3352,58579.66,1160647.15,3315.04,75570,0,68487.73,53297927.55,0,5094295.82,15003,0,2234,0,2980584.35,0,1606949.1,65177.41,220056.35,73119.57,0,0,0,0,0,0,0,0,1102215,0,0,5281809,12614,0,0,0,0,0,0,3577,0,2006503,11348.01,0,8449,0,5090,21759,0,0,3387057,0,175321,0,0,0,0,0,0,0,0,0,0,0,0,57423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOZ",42605804.41,0,0,0,1062,810914.43,40192,1065403.25,298871.64,94701.48,17504,10300,134573.81,19862,301206.62,54821531.09,285814.28,0,45990114.26,20046,17389832.92,10303190.45,0,0,0,9014505.55,1325.58,157307.4,103995.22,100477.27,0,0,34087415.68,5018,0,0,553867.38,16849.85,571221.18,0,520986.43,423349.27,0,53247649.21,65272.88,15881,0,0,1593117.82,0,44813304.46,0,239988.16,6309452.51,0,2248524.95,0,44969.37,827616.66,0,263169.11,2387,0,7873414.45,0,3281302.25,44997945.2,16984.45,0,1687.36,0,0,0,0,33521.29,0,0,310852.24,13237958.74,0,0,22383381.85,52942.69,1352071.96,0,0,0,115033.48,0,0,93557.35,215086.13,1753.77,178065.48,0,11417,6488,0,520803.94,856028.87,2213737,86398.18,0,0,66400,0,0,16402.25,0,792913.35,16904108.32,0,0,0,4608977.72,532139,0,0,0,76881,0,0,0,0,0,0,0,0,0,0,0,2496676.29,0,0,0,0,0,646758,8072.05,493989,0,124876,78507,0,0,0,0,0,0,0,0,0,0,0,0,3932,158136,0,26026,0,0,0,3706.64,0,0,0,0,0,0,0,0,0,0,82088,0,0,0,0,0,0,0,0,0,0,0,71478
"OMN",114201.91,62669,0,110700,0,37482,2253.43,2696296.68,2247489.92,1436382756.53,14551,0,24278,1346304.36,7995.12,15748622.34,3764071.3,0,107774608.24,80157,10821318.31,76758956.19,5691231.92,12266.24,29940,26381218.79,0,37581.1,1986267.35,1981337.37,457502677.08,0,11880885.9,0,0,0,2048605263.37,8413356.17,0,213619.95,319823736.56,3090840.13,0,8839947.6,525357.99,114018053.36,0,7700,228229906.29,0,1111784.03,0,5942935.72,1417012.39,813359.29,507570069.15,0,371272.89,1138663070.82,0,279145.14,569466.9,0,423743520.24,233991.41,145157,42437309.82,1246693.5,1042844.09,0,0,350195.7,14861358,1050,3821752.82,42727,2506,11613.3,12813727.93,1277,52475202.65,2110408071.94,5254574.58,29370162.89,13576,5418539.79,0,17473.25,33582.51,76536.67,0,622608.83,29814658.76,251030735.48,1153337.29,51505.99,0,3949927.16,11812128.12,560072,31513,94407,81580.26,370999,20473,0,18390,3397,161623.45,1282313.83,0,66578,174198,1241394,29838458.55,796375158,0,343991,15135074,0,4760774,25178904,0,640011,0,24997,0,9020629.57,0,872069,352702,0,0,149095.4,0,0,732216,16020324.2,0,2328880,0,0,478472,0,51989,393259,0,0,0,0,20733829,0,465899,18115412,0,0,5621293,971819,10618409,19622,332469,121737,0,1213263,0,746114,0,2156235,666827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
