"","ARG","AUT","BGD","BHS","BRA","CAN","CHE","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","ECU","ESP","EST","FIN","FRA","GBR","GRC","GTM","HKG","HND","IND","IRL","IRN","ISR","ITA","KOR","LBN","LKA","MEX","MWI","MYS","NLD","NOR","NZL","PAK","PAN","PER","PRT","PRY","SLV","SWE","THA","TUR","UGA","URY","USA","ZAF","AUS","BGR","BHR","BIH","BLR","CHL","DZA","FJI","HRV","HUN","JOR","JPN","KEN","KGZ","LTU","LVA","MAR","MDG","MKD","MLT","MOZ","MUS","NPL","OMN","PNG","POL","ROU","RUS","SAU","SEN","SGP","SVK","SVN","TUN","ALB","CIV","ZMB","AGO","ARE","ARM","ASM","BOL","BRB","CAF","EGY","GEO","GMB","IDN","IRQ","ISL","KAZ","KIR","KWT","LBR","LBY","MDA","MLI","MNG","NCL","NER","PHL","PRK","SDN","SLE","SOM","SUR","SYR","TJK","TKM","UKR","VEN","YUG","GRL","MAC","NIC","ABW","AFG","AZE","BEN","BFA","BLZ","CMR","COD","COG","DJI","DOM","ETH","GAB","GHA","GIN","GNB","GNQ","GUY","HTI","JAM","KHM","KNA","MMR","MNP","MRT","NGA","PSE","QAT","SYC","TCD","TGO","TLS","TTO","TZA","UZB","VNM","GIB","ATA","ATF","BDI","BMU","ERI","FLK","FSM","GUM","LAO","MHL","PLW","RWA","SHN","TKL","WSM","ZWE","SGS","SPM","HMD","SMR","UMI","VAT"
"ISR",47756852.67,81577438.2499999,1000,362881.22,342822967.85,446477100.63,294575972.05,780240693.98,80467789.95,50263524.69,19806164.52,163577865.39,75942708.09,1319190969.99,79175683.67,25527154.37,584618014.910001,6356989.36,99525478.79,951113046.61,1234603112.33,237744500.01,16884701.32,1049388584.47,7020812.09,720210956.18,122693008.09,0,0,911637731.08,364021635.85,773000,56492273.15,317498750.38,186880.34,236620000,1140231371.11,69268405.55,37129292.09,469000,8911466.6,16162527.15,57619027.85,2390310.5,23133534.59,93204048.07,494841747.38,468169966.06,14004831.23,8140058.21,12601689272.03,204450871.92,325560468.98,26866848.39,10000,1922978.3,12445965.08,62961441.29,520000,174826.42,18436678.88,87670463.16,180666159.78,743646313.54,35346576.85,317362.99,12853281.21,14494229.07,6626000,2445365.2,4675949.32,6645608.34,148856.1,14100861.37,4865160.27,154000,1162786,127435224.74,140296846.08,242997005.13,915000,2712418.72,369949490.55,21385267.21,39763768.57,226000,1420716.12,16432457.48,1460120.57,0,855000,123821306.26,0,2570561.37,2996000,46000,20723000,2196000,81000,7956000,455000,6591646.32,16054000,0,68000,13000,0,1433000,27000,1015733.51,764920.65,534860.79,137227000,27000,0,86000,0,15000,0,227000,6682000,67928000,24778000,12495000,22275.2,4770998.66,4096783.92,2316000,30000,2470000,2898000,1637000,213000,2341000,995000,468000,1847000,11483000,10853000,179000,7426000,242000,12000,61000,35000,3577000,4987000,1000,0,1952000,0,154000,26053000,0,254000,172000,41000,308000,0,2113000,4031000,6097000,16638000,2888000,0,0,6000,653000,1167000,6000,0,0,94000,0,0,2768000,0,0,0,4830000,0,0,0,0,0,0
"ITA",481353467.41,6610846376.88,136987129.41,603261017.69,1833848469.39,3055977338.91,10472914193.35,4513786475.2,297797509.42,122976136.57,311180211.05,466618338,2815861287.04,37788371408.01,2285430921.29,133342623.2,19789845427.3,249515268.61,1512377712.5,34844945946.37,20035853879.88,5705697859.31,84368586.24,2972455116.29,29188624.55,1188101643.13,1462326495.89,2227137609.37,1412178913.43,0,2376277904.66,721561265.89,142226837.48,2232064604.11,5372029.42,952930657.909999,6442516735.9,1462190421.44,434281111.24,350586930.86,589448453.04,192126999.19,3157300013.35,18418135.83,58408357.81,2793931000.64,788173794.49,5410052020.45999,29081943.93,59354498.78,25218769629.44,1133037673.16,2663171897.89,1122575053.53,137129995.17,400753805.68,261666207.35,398474214.34,1419235547.54,3228155.04,2620694448.67,3329265486.22,365032535.84,5218891109.82,87068602.88,9856400.25,441899838.91,241788020.41,1034962802.5,39179331.86,104794721.84,837747709.700001,30565008.2,80859488.4499999,12064940.76,215441304.95,3125423.57,5575470928.12001,4406018734.88,3913200985.46,1906708642.43,108632186.92,1613337917.47,1265106967.17,2528849093.81,2215367097.76,627861020.24,117682205.73,7211630.17,103783272,2139697188,53482012.1999999,271408,25346103.85,23020760,1874831,1333774748,62620638,12681259,438020632,162539146,132218740.95,231373211,112340,501611089,33447241,1545891568,109600677,21393677,5309147.01,51392692.63,15038117.23,270117131,27757368,83173069,18979127,4651196,8602138,525242176,7254442,56573482,974084555,286006524,865919008,4450379.25,31370758.29,12524516.28,8202804,19734329,120133414,51790838,24471216,1628964,91725329,26218236,72941567,16173291,105093595,97050456,32673363,127710989,52837483,11453468,56555082,59742386,7233173,13462241,8586314,33310074,5488804,5168099,33092457,729174856,2228977,288902261,40846417,7763961,58347264,499616,83179834,50182204,43875116,366781223,112414585,0,0,3894294,10075250,41814874,1658799,178099,14826638,1461448,38931728,0,2951601,2753084,678789,162862,10579285,0,5201931,1245,0,0,13284804
"KOR",211266428.72,544419739.68,574086415.67,909395662,1111775500.4,3464144814.85,460492939.74,36488757771.63,344414169.45,103517050.71,48950020.36,331238901.38,337565365.29,6180604043.73,675220668.38,250000688,2423401716.98,72313307.66,515199368.76,2311335544.5,4399546114.09,2390983510.4,233686436.35,12925735151.61,127227435.16,2996581074.81,873459023.51,1799828785.23,610305819.57,3099477466.44,0,83258929.34,263036063.37,3611873742.49,4522722.4,4036855857.45,2406716327.5,663103632.19,492288052.7,435020978.92,1234431380.08,266307200.11,262192556.54,26498741.56,76583752.48,630109155.29,2710209385.19,1455989506.26,7246711.47,47952767.77,36964009435.31,642494764.06,3528370905.11,81946766.39,86293094.81,17528191.67,23098514.75,544171147.1,250260071.91,15145590.06,152276828.7,865662918.21,262407823.45,17515112467.35,42971615.44,34907659.01,108779697.31,26896633.59,158804680.37,15249144.94,14760510.46,247429838.91,9047701.17,29644176.77,47648621.8,1312371306.92,8937161.38,588650225.24,247618849.4,1669645480.94,1553789432.2,14685485.74,5104940572.19,160774508.21,100549161.12,68039425.93,5473304.25,37651711.75,11128337.24,24738578,2207400865,3669723.69,3223491,16903729.84,33076037,629563,425382518,3776094,989729,3376868825,35604721,27484008.9,217084329,132359,293571599,1525661491,135855670,1844592,2466222,85082094.23,18024092.47,4984453.76,2973699276,0,86826636,2036270,979487,2859098,273842074,4297581,36438292,357533192,106946591,26725050,1928686.38,81551575.44,76879946.81,9486055,124591708,10960968,14526022,1114205,3766608,9663496,1661169,11103341,8281115,81496575,18846399,2759033,70513188,8120714,11600,278802,1839009,17517488,12001619,105513917,152719,183904461,88694463,3538708,598609512,1462162,356999294,614999,617730,18527822,522287,19411834,30917654,246996444,2560850616,601425,0,0,837571,163407418,1589723,80073,6783446,88142481,7884978,961715764,3556067,373637,6805,279894,4100094,8005655,0,0,37716,20922,0,11551
"LBN",118354.14,1221910.32,40526.73,0,7135715.25,8472992.62,523192294.66,7938977.94,599557.47,5866.37,0,19543660.12,1347868.5,25571627.45,3632828.7,35918.72,19959399.07,82050.83,259580.03,31677847.43,24201732.4,9860999.77,5427.2,13630799.89,503165.89,12883955.86,2665368.98,50872398.09,1000,41618920.8,6888921.79,0,1062391,301675.23,149947.6,1095903.1,17841924.16,4620100.16,284357.69,948949.48,155878,16248.82,803357.49,160756.48,27174,6564649.58,1668157.65,102008847.3,179233.16,8237.18,86556590.08,835666.62,8481336.08,2689728.73,14308956.8,129168.12,123121.44,657751.8,41459122.86,132377.8,371888.98,352813.52,58037138.09,5316128.3,37412,107317,62932.48,1279,6784293.23,19408.04,0,14097566.26,248729.74,1950343.16,0,6784711.07,0,656145.43,2386511.73,2388495.07,121697171.99,4112875.29,782332.17,93942.61,604037.77,4000937.42,8717252.1,5575749.94,451062.91,7536477,104099672,6209281.5,0,0,12067,2215539,27828434,754827,6114575,851889,121709570,28568.77,148539,0,50697360,5553407,4211191,253867,444312,13252,24746,212876,140811,0,5812575,4033295,11272,5007,99354644,0,14037,1156403,447093,21350,0,0,0,18947,27037,290378,836597,5112793,0,1467511,776533,4201061,503096,158549,249026,2654812,5176431,3953603,76687,837233,42664,244730,46764,0,0,0,0,776230,17596283,0,15215740,0,18339,1387934,0,0,592123,0,185432,0,0,7625,0,5172,790309,0,0,0,3803,0,0,0,19501,1724,0,64219,0,0,0,0,0,0
"LKA",3765198.74,18840490.32,12803573.37,54684.96,3588935.05,73383328.43,31305361.14,21979101.23,3152292.25,205430.56,44511.81,5164545.63,6914159.55,265285259.8,11683317.33,1913534.44,47237229.11,1992384.07,9127779.66,134721652.87,720170494.69,5679640.86,2126341.89,122303004.18,576849.95,217448192.29,19312573.48,35521911.31,43480831.55,130987232.25,35188579.66,7419544.52,0,49550327.5,51728.89,12229560.1,101853722.41,10249413.68,13452034.16,41074386.97,1475032.78,4417266.73,6599728.95,226099.46,772243.14,24693215.55,10035408.22,32629083.18,696496.3,855864.92,1916743552.08,14543065.04,63252799.39,1481794.22,5214722.13,123682.58,1867705.74,10807846.85,443729.34,3981006.41,2476316.98,7513960.41,23753494.02,209237411.57,3545953.56,1612333.08,3423771.46,1402340.92,1683531.23,8142427.39,1126025.28,802337.04,253218.96,4589045.94,3003985.98,11954484.74,210365,17954150.35,1370665.05,136630798.23,34802879.03,338086.06,63709755.14,2062717.69,2340305.67,8710094.13,99139,647887.55,883829.03,813989,106663562,315795.41,150215,731210.94,92976,0,10984437,664203,401223,7734256,8721190,869062.5,2130223,0,9946513,737450,34009341,759030,329657,160116.41,97414.21,7967.76,5857326,27377,150942,152927,39025,75901,62537396,77505,154374,25934143,64293,0,58446.2,1156217.31,393978.38,362483,473302,4091842,13074,0,141891,0,112583,14510,226133,0,403167,0,964045,1778563,34226,0,15565,155029,589534,115368,2286,236075,0,198881,885679,0,1034370,111502,0,364023,0,378664,723221,2718464,8356103,0,0,0,22629,52098,0,0,0,13674,128840,0,2912,21485,0,0,85942,90507,0,0,0,21629,0,0
"MEX",275780844.47,105523866.43,1939472.75,15167589.78,569203921.29,7148058732.56,202300013.61,1338704443.72,740697814.13,379763217.12,212760841.55,5322868.22,66971037.96,1781447617.52,69987475.98,259668969.94,1652810814.15,4122174.9,43600633.69,633310702.66,986745348.89,28987846.11,587184561.79,207324923.64,191718925.1,518025053.6,235259576.51,48146669.39,65671303.28,347611755.07,321252966.57,10255045.66,2453670.43,0,2566,114100958.96,695934646.52,44808875.21,51276060.25,12171531.01,272576776.45,278356620.07,160059502.91,11264845.33,326469359.67,40786170.05,154743405.65,100594959.93,321717.24,24875704.82,135458832323.74,81853630.43,369286570.34,13274617.57,3467483.45,771651.19,3481751.84,616685060.84,112569332.67,221873.85,8024982.98,123743466.97,7450915.45,1557170075.57,649336.7,142039.28,5825169.49,936530.55,12640336.23,914666.44,314581.24,2346079.97,1461.43,521360.47,140098.75,1091509.82,287383,96667693.95,25559601.09,76919544.97,142064225.06,330727.83,272735399.32,14737869.53,17455532.15,6760638.98,360102.4,37939499.38,1425830.38,1416884,37083590,81563,0,33827415.27,2944854,1458109,16945548,132001,92825,25241744,3196589,2112118.09,1239131,0,3161609,2307433,96861,10914,97198,148969.62,754175.38,362095.95,19916239,6828485,336427,0,0,2761603,11536419,0,0,4722010,420431961,779941,37704.75,1355100.38,146820262.39,783815691,129322,384842,540072,0,58741592,43625,1551,3562,0,376393028,89652,17151,910271,82154,0,27485,1947386,9557670,91908277,0,373314,66647,0,4168,4159369,0,3965243,32220,10500,140814,0,19857417,1674736,0,6397393,266701,0,22279,0,6965315,4220,0,0,249073,0,883105,0,0,0,0,0,81187,0,0,0,0,0,0
"MWI",2430635.25,10917217.25,5033,0,2492433.58,1165243.3,7965946.71,103343.25,0,256573.21,0,7619.02,6083518.3,65286985.15,3172326.65,53428.91,9115386.81,0,610510.68,10903291.43,37207212.83,5244639.26,119478,445681.64,0,3805717.51,1180436.78,216520,26005.71,11996760.16,752328.45,0,0,5409623.16,0,2113542.82,27518095.41,250019.97,3373834.66,1448227.56,0,0,26648233.65,0,0,343944.12,14057.01,11207949.35,298329.43,0,87768259.63,71171176.42,6845712.66,108869.8,5283.37,960882.55,0,0,1478851,224668.52,5143771.87,4680063.22,2514755.02,26624123.64,15033539.03,38630.63,743240.53,130711.62,1868795.27,2565295.94,214760.62,7006.4,20745343.05,345386.73,0,0,0,4756146.41,2553868.12,20694927.96,210672.56,201941.12,389695,1217883.78,887600.15,421358.45,0,56086.4,10069819.85,0,108049,0,0,0,0,0,23228312,180965,25741,109386,0,360166,141258,0,0,32937,14072,0,39768,0,0,214758,3950772,0,2814,106919,0,0,0,0,0,2289659,0,5976,0,138080,0,0,0,0,0,0,0,2034,5007,5120392,0,195584,0,0,0,0,0,0,0,36096,0,73606,0,0,0,28610,111367,0,0,21162,0,0,0,0,624720,0,2034,0,0,0,0,1153439,0,0,0,0,0,0,0,1027,0,402997,0,6609307,0,0,18312,0,0,0
"MYS",92585155.42,289539788.92,384751480.18,286584,431031155.08,1536909606.51,232283738.75,12008738087.4,60882920.02,11367202.32,9924053.47,18999052.79,599078822.7,3668782423.21,206669902.92,38515528.88,631702467.38,53978725.48,268768512.27,2091240129.65,3144988467.59,119045363.95,8368061.93,5419350455.42,9956832.51,2608962157.37,495004626.68,355275928.92,24940630.93,738824021.919999,3963084957.17,56090020.53,288957660.11,2351249464.75,2572358.63,0,4046374385.43,173710355.94,427496212.86,626432209.69,56165293.84,57490773.77,82669867.39,8322819.63,11404547.57,219067389.39,4764115423.13,407101061.71,38205979.73,4683847.55,24872393059.84,437716797.59,2787007934.34,23001748.59,51883016.28,1961392.81,5597335.14,84172754.63,155044224.54,22523274.34,43165148.12,689556034.2,87287263.44,11615967277.71,18945619.11,422613.78,40766769.28,6035024.16,40098424.8,17951174.26,3279097.19,81450906.21,25522066.13,77412442.32,54441125.42,53359995.41,44226103.22,311638172.95,86433277.97,305366142.9,470698342.34,8194631.32,19758371946.61,90318757.16,37859108.88,37204130.68,665369.18,20988570.85,3337711.11,13948148,1095616264,859063.82,0,1584772.6,1023247,30000,453372238,87543260,8690195,2070198941,12513262,8760762.58,30066482,274147,87511850,2851060,20039286,158150,135140,6125946.95,4458079.43,4403804.85,1421475541,6736703,40918449,1942470,3395580,510673,154061918,54035,384449,40562605,14261298,5320289,322563.28,30075005.52,5585197.02,493847,1801781,78480022,21782886,320121,482794,4689381,2854035,1177659,12496174,7472423,5738484,334121,46386479,3090404,150591,127254,525287,20818411,3169606,61952490,4978,137135197,133753,14007786,89380303,0,33645132,2942331,32223,35199383,361200,2579276,26109317,1183910,814831655,12721,0,0,0,225673,228598,23504,994554,0,2225606,85804,226973,29430,0,324353,592043,6255930,0,0,0,0,2463163,0
"NLD",123144889.64,3157966490.5,69809509.36,18037924.82,574119808.22,1201953429.66,4773956334.5,1974897221.62,124803175.4,166785644.75,74807781.61,124651831.1,1260824837.05,42453372013.38,3768658892.85,63895208.14,8566685231.27001,121121484.22,1709973810.15,18168225386.26,25337390828.3099,2352579363.89,38179555.96,1288554328.92,21465941.81,586004885.17,2342501195.18,477881746.96,1208619219.47,15914307256.84,1944723551.56,238462339.38,55936264.71,594545590.39,4904750.77,558744984.98,0,1831017081.26,179733560.57,234760246.33,67834037.96,53747276.07,2184725429.53,5655456.25,14188009.26,5309614290.07,648842097.09,1729601374.36,27292211.15,17025883.53,10585862020.07,632947660.7,795168916.55,241110732.18,71120770.32,47315027.88,109521564.66,191090703.91,251135941.58,2290201.86,288851496.7,1090309186.01,137241007.35,2087377510.35,106061614.12,11416764.32,263928776.22,170743706.19,358674226.55,14849876.82,39873621.04,96742559.9899999,10977107.88,28981920.14,5065430,158836067.95,7866486.92,2568364871.55,505312915.82,2284202180.52,985630815.269999,71350536.8000001,1082425105.47,399392056.97,284564983.960001,250628558.71,14572041.47,118878942.49,12954324.76,475111450,1211718004,11725953.21,0,7911978.37,11712917,1632069,371584905,17682488,24226619,404125752,37299072,197067763.82,138777229,53158,215334350,11556836,142550370,34824370,20355121,7456018.55,12393627.26,15701392.9,239875452,13128978,73797360,25862062,947801,104631427,122809396,2540287,12111048,474968886,93383413,194300540,5413990.51,11237622.07,10504694.97,106747616,8247443,56585379,53698997,15475868,5042125,63452971,37319432,31721949,17321702,56184993,61324377,43557039,130458516,41559656,4159922,20401489,15081129,15484916,28638783,1219248,382286,5139392,3393,34576681,808759424,4578404,90556942,5997842,13701272,79487593,769097,38203875,40257821,33186650,113715909,95992698,394729,3170275,2021141,54006636,7858378,143640,48634,709154,1791549,489733,0,6537339,35062,147033,6786,15940703,0,375500,0,63808146,0,1333482
"NOR",14568697.65,124730720.76,14644595.71,31096026.1,269433701.5,2733682738,221554340.89,948900007.529999,12855997.41,1718709.76,1174366.94,14531787.04,392100974.62,9860724096.41999,2578178015.43,5743625.53,1601401227.3,64463782.65,1117626764.62,5994733409.48001,11998088036.47,159657036.95,29583026.97,164166117.21,3034994.54,226435674.4,614478188.580001,30693013.84,83736249.86,2329722647.2,555768889.22,7455070.19,5899578.57,102375704.16,2939281.35,61001103.57,5396207121,0,50542283.97,12240354.29,43203927.82,11185035.88,608383933.06,51424.36,763601.78,6272633649.76999,99684978.11,536286314.15,2253550.47,3404102.97,5767084619.59,67857997.79,145215866.7,8646699.38,5974040.25,1746834.33,26158426.3,36048262.8,8409310.21,126152.43,71146189.22,66629995.73,7482481.46,1176685078.52,5592169.43,1330385.23,121471402.51,94182979.59,22755851.43,263868.37,893290.36,10557737.12,374649.02,421756.8,1226049.98,4223012,164837.76,1195853554.35,56049661.27,381957956.02,74422447.22,955373.82,709217940.87,29187798.97,24391476.76,5319460.17,371620.32,6300293.88,1223565.91,46526741,117003578,15840.83,0,2091415.24,15072666,0,22542526,7119843,231492,16601013,575473,195776245.15,8418842,0,6279806,116766717,1874913,982253,141901,380526.81,2435289.77,405889.6,11627398,0,1830334,460089,119991,441128,5150044,46307,244980,107042154,12268821,5585300,71599168.72,995221.69,621996.29,125520,2690132,28182476,879503,18264,94373,1145613,3282144,4503031,597154,17167618,2920668,1855373,7204350,64095,1562,64339600,59377,1605869,15172502,84613,188769,21967,0,810739,52846174,0,7188956,625017,98523,542766,0,1711128,2360282,518915,6235292,24952058,0,34450,23104,89177,1117951,7855,0,0,133534,169740754,0,136677,0,0,16980,221829,0,0,0,0,531150,0
"NZL",8354988.67,32083062.85,14695646.35,552002,28214814.69,379907553.77,74997140.1599999,977684244.879999,3333476.58,3001961.72,40792118.19,7724369.85,11722700.76,535249951.33,108034126.36,4347818.6,134523150.84,9611760.76,20356203.07,327115444.33,853369763.319999,42989649.54,22893049.55,328131952.62,10951917.91,129326281.31,30668446.98,72777577.38,8217872.9,295239698.98,648069457.86,5463583.3,83006352.74,266645068.96,686171.93,338838741.48,242347725.23,32014529.29,0,19077623.85,23883291.7,20921018.79,33593378.08,247049.19,12456247.98,35900914.57,209344186.24,19005791.67,426620.72,5265899.14,2423816854.39,82148043.08,3391723890.65,651040.73,11282386.48,154287.37,324726.41,21453301.44,51651405.38,210111485.1,3547988.78,9700285.22,45087424.94,1973900772.68,2310028.38,49535.1,7937565.35,3211087.58,11238944.36,788056.58,191070.14,9387962.6,679464.29,21674021.74,32833418.46,30043976.51,105934397.81,19351903.03,1659318.1,59733004.44,169654746.61,4849547.06,211918205.98,3225760.52,4817587.8,3079049.92,345399.56,1931380.37,240586.36,1731321,55725137,86623,24195170,1583245.47,11371343,0,67098071,3985405,628261,222963148,3282,1514560.93,38135,4021053,28573375,15992,1714767,0,14057,951984.52,67871256.15,344007.3,284481971,0,1284915,313076,11289,54862,5218869,0,83471,356732,75169315,95045,213079.15,8330479.16,2293983.11,131459,690035,2559422,1485197,11228,127950,114018,1331684,635876,14402,12462898,27477,265824,5019788,677601,0,39080,4005292,190262,11333739,408951,134465,3796548,726530,1684536,22656935,0,4683860,1441178,112370,299318,65282,12136726,1295076,322307,92114090,138208,0,0,39275,1973814,131626,260058,1238789,4381120,244344,869554,198050,2290,0,0,46253622,347455,0,0,0,0,0,0
"PAK",20955963.51,60793854.06,142810452.94,1903023,5785880.06,206928559.15,37319341.08,409112088.73,12168061.4,1510413,3095779.17,9221172.96,23991575.23,735071127.120001,55004099.47,1943997.72,364327850.19,20891529.37,31250354.55,483823320.84,901422268.75,88929146.3500001,5620840.96,490978198.82,10362368.13,83785284.62,44630882.72,110126672.76,8270702.77,480969074.8,252280263.46,17720886.16,67111694.52,86143938.55,1883213.37,77606471.26,262562627.54,47267755.16,39543352.59,0,10438660.2,14330589.36,92337813.07,1740936.17,4362122.49,76140270.41,95560245.41,244311453.52,19102820.62,2647373.67,2824890602.56,70356327.08,128819449.87,3085208.48,50839549.71,962685.95,2174787.59,58121801.12,9034283.01,1641166.09,7021462.83,29321350.13,34253172.42,162427219.28,100030405.34,3166323.48,9425618.03,1575124.57,20602156.69,24214992.05,727313.15,5086783.67,16011911.52,45042794.8,6715734.32,81401974.92,347929.89,47581140.06,9350671.89,22848378.24,258663583.36,4676504.79,89918566.71,10231778.14,4697331.19,27509568.71,291468.7,950142.89,4020637.82,7969709,1119452877,149905.32,0,382318.38,153409,57175,41076361,144546,2553179,47386742,3608770,1795906.02,10033813,1568,76867728,1479533,2662027,253265,1070052,72418,688490.06,6335589.2,23139692,1415016,11543859,251609,4371503,144780,21174257,234227,1620835,7445213,3562176,847482,221820.77,2041218.85,10402371.53,28450,408166869,1087409,3975609,121153,145436,4298531,127664,3688313,4576867,1699728,2348604,208215,5070505,308287,371888,465368,572856,4141035,762639,6005565,0,5341346,0,3144811,88978384,0,34342032,534180,328211,6417227,246068,406932,21245767,3293718,19633111,120691,0,0,79762,5419,341329,878592,0,4468,72116,0,147387,709858,0,0,10695,2181639,0,0,0,0,0,0
"PAN",338533.14,11197955.82,28199,5460507.51,6516442.28,92274994.94,30496563.84,26280753.63,25848577.83,120533781.19,36080319.94,128967.74,10320570.18,166328547.26,23666436.23,74790848.06,46141438.44,1867126.89,4826648.03,19179175.16,9928550.3,31476959.81,325014066.31,17740070.68,116426960.37,9906066.58,599336.63,0,10093055.69,63418202.79,167624547,56066,92449.6,42979624.88,333199.74,11871163.63,14348005.54,13028056.36,53175.51,845960,0,44300084.54,14253005.26,573766.18,117031648.72,49896061.63,63966260.86,18622372.69,30418.59,723531.75,302859931.76,1541358,197719.57,729348.67,0,240747.6,227769.69,60328337.47,6792643,40798.07,1299856.5,4331248.69,301192.13,105708419.77,0,0,5660136,249347.09,4105111.42,512677.44,212125.81,406864.27,71448,810784.88,0,0,3946,64429328.29,365032.91,3656089.99,113797.02,10288,5258762.77,3618489.34,43203.44,0,957844.07,4123513.72,0,118875,0,12040412.42,0,4091789.15,122058,0,0,0,0,0,0,1542969.24,0,0,0,0,71630,0,0,0,1201.27,0,0,0,0,0,0,414490,336987,0,0,0,2062657,0,94089.47,0,17142695.81,771706,0,0,0,0,145097,0,0,0,0,8262276,0,0,0,0,0,0,250620,1782448,3279353,0,0,0,0,0,2000,0,0,0,0,0,0,2491222,0,0,4952,0,0,0,0,70305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2850,0
"PER",21901421.39,3572170.56,2365320.93,6166205,232590166.29,145495958.48,681312894.68,681143628.77,192178660.06,10460194.06,2957193.23,608728.48,6270356.76,300999710.37,12772870.34,160744355.73,309414210.63,1079800.42,30534182.19,101450527.66,1181299578.51,19898235.3,26475918.65,34634675.65,9347421.59,20295712.56,2472417.88,13946250.59,5014038.39,194957006.75,187435818.54,1968219.1,2105180.84,111945067.61,14707,6259684.2,183510645.2,19363646.27,4080823.89,1508899.99,149290804.18,0,9214223.04,456661.24,11445058.6,26782518.5,29975695.35,21083202.45,0,9817506.32,2464940685.75,5195787.08,59813779.06,44954553.69,225978.49,158826.31,1378767.13,432198123.34,14262657.94,14490,3281341.41,3283902.4,788956.37,397394498.09,1450175.12,0,7198317.08,3392186.02,788314.68,714698.18,67540.8,193950.95,18753,777817.37,494953.81,0,118573,2757922.6,3805836.18,14572287.36,10171305.43,3761224.68,16728998.46,4113486.91,938183.13,171134.93,0,169306.87,723846,724859,3023240,35117.47,48119,106510672.13,123282,0,2996962,112325,307341,22660262,0,191973.65,4901,17050,664613,79025,16963,3601,1359946,0,410511.37,0,11050126,1357220,722040,43271,0,309318,1049418,0,0,1194818,108997787,750909,9817.79,724562.38,4875235.58,1223721,0,0,10008,321433,271639,808026,16181,0,0,16592460,0,42110,600049,876301,0,9669,1354591,14457661,892061,0,62015,0,222177,701336,980418,0,5174,25920,0,87154,0,14350515,71984,0,10645908,0,0,0,65086,37375,0,0,69622,1077,33077,0,0,0,0,0,476801,0,0,0,0,0,0,0
"PRT",36619485.9,481086133.19,1956149.61,426173.18,152187087.43,237080869.46,363181638.52,202039957.48,8218843.12,10198753.37,5031729.67,22137875.9,126728603.05,5011817358.84,339182977.6,4000318.18,6838659741.94,11732653.48,177377837.16,4038961460.45,3269632610.58,135878061.06,3037567.32,68572700.19,973550.4,23093767.68,209960758.53,26343398.47,79096885.67,1474980444.42,47066683.47,20251018.36,2718459.28,118887165.72,872644.99,33016596.28,1171329336.55,325690849.95,20308184.86,9503375.33,4376693.17,6307281.82,0,523094.18,2302464.56,376731837.14,22874820.1,190668689.44,360744.16,2653215.58,2029258856.76,88475313.3900001,153880821.1,31354341.61,7276279.12,4200760.07,2559433.79,55789502.6,54650506.19,39117.76,18740205.16,142014741.45,15604261.13,160947206.57,19782815.05,195909.49,18836246.2,10008365.24,175924712.21,1790885.84,719870.61,23742212.77,64841822.33,7311501.11,40596.38,772125.47,79757,241625408.98,90362766.43,59063384.52,89966193.82,14451793.12,266820182.64,53828315.05,22588498.46,63806886.91,1620303.35,8562834.72,58088.91,734905935,29413047,897004.68,1003853,310022.8,717604,102480,22155949,1072770,506869,4546118,356398,13794114.8,627097,0,25985735,308138,2891048,5158174,1062261,10559,2291459.24,618909.64,9272295,102636,3095121,271663,122732,105750,9461781,0,35211,9446895,7182924,4102117,1708257.46,12931496.69,857242,119789,310289,523640,1790431,1516707,80813,4289531,1512180,3590975,117085,3926194,3796224,20224147,4328453,1936396,19052620,691825,38403,1239247,1398623,390622,0,51313,497841,2898131,19111876,318338,2065207,205250,4238793,918839,5375372,2446157,335055,70478,3571505,15725792,16133,1976,1222458,576392,99942,7724,4702,298702,0,6121,0,114329,164680,0,83942,1032865,0,7411,0,11448398,0,0
"PRY",249527267.66,426747.11,506906.99,22822,435141887.86,5041710.64,35121583.62,19948341.67,59570820.84,561113.54,107642.67,514509.8,139994.39,8614924.43,294791.42,26684009.76,53644258.52,0,205974.43,12261163.94,2278858.78,1590461.44,1699419.44,10028515.17,234410,665438.13,141211.7,22751.51,2208830.55,50465430.97,918091.05,3031122.95,0,3509019.17,0,333803.9,14015150.69,1009218.36,87627.43,219005.12,745421.72,22190026.94,4514887.73,0,108665.91,105773.89,7032982.03,3856610.57,0,270012849.5,57826188.93,1321949.78,181324.75,153513,0,0,0,40034409.11,3923,0,304525.67,13470.49,47866,6008483.75,42038,0,22843,0,18455004.67,34312.57,0,0,11820.56,0,0,0,0,326522.87,74669.4,2464015.49,6397670.35,194148.88,2810355.11,139222,9957.3,57104,2562522.55,0,0,4227838,379734,0,2684,14563400.73,0,0,114258,850000,0,2447432,0,101099.02,0,0,0,0,36825,26879,0,2182,0,0,377795,20748,0,32504,0,10769,247100,99903,0,1350,6641634,0,0,28454.66,230840.87,1897946,0,0,0,0,38250,0,0,29370,140938,858429,0,78154,157691,0,0,31457,0,0,10209,0,0,0,0,355415,323867,529630,0,0,0,0,0,166500,0,0,85659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
