"","AUS","AUT","BEL","BGR","BHR","CAN","CHE","CHN","CSK","DEU","DNK","ESP","FRA","GBR","HKG","HUN","IND","IRL","IRN","IRQ","ITA","JPN","KEN","LBN","MMR","MYS","NLD","NOR","PAK","PHL","POL","PRT","SGP","SUN","SWE","SYR","THA","TUR","USA","VEN","YUG","ARG","BRA","CIV","COD","COG","ECU","GAB","GHA","GRC","ISR","JAM","MAR","MEX","NGA","PER","SEN","TCD","BFA","CMR","LKA","AGO","BHS","BMU","BOL","CHL","COL","CRI","CUB","CYP","DDR","DJI","DOM","DZA","EGY","ETH","FIN","GNQ","GTM","GUY","HND","HTI","IDN","ISL","JOR","KOR","KWT","LBR","LBY","MDG","MLT","MOZ","MRT","NIC","NZL","PAN","PNG","PRY","QAT","ROU","SAU","SDN","SLE","SLV","SUR","TGO","TTO","TUN","TZA","URY","VNM","YMD","ZAF","ZMB","AFG","KHM","LAO","NCL","WSM","BEN","CAF","MLI","NER","ALB","BDI","GIN","GMB","GNB","KIR","MNG","NPL","OMN","PRK","SOM","BRB","GLP","GUF","FJI","MUS","UGA","SPM","GIB","ARE","BLZ","MAC","GRL","KNA"
"JAM",238000,0,824000,0,0,37104000,8781000,0,216000,1416000,248000,14000,230000,51788000,39000,0,3000,120000,0,0,132000,456000,8000,0,0,14000,1445000,10870000,2000,0,265000,14000,0,468000,2518000,22000,0,1000,100213000,2000,18000,0,1926000,0,1000,0,0,0,1000,0,2000,0,0,10000,0,50000,641000,0,0,0,0,1000,752000,112000,0,3000,440000,2000,24000,3000,0,0,30000,1000,0,0,114000,0,0,228000,0,9000,0,2000,0,0,0,1000,2000,0,3000,0,0,0,541000,22000,0,0,0,0,1000,1000,0,0,158000,0,2164000,0,1000,1000,0,0,2000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309000,2000,0,9000,0,0,0,0,0,0,0,0,0
"MAR",22000,1877000,14915000,752000,0,456000,2739000,4179000,5740000,52082000,3943000,15175000,185231000,33894000,63000,1736000,1291000,3598000,31000,4000,14750000,5117000,87000,52000,1000,289000,10676000,2241000,83000,0,6027000,4249000,170000,4713000,5498000,49000,66000,245000,10579000,121000,1693000,3000,357000,4052000,136000,1246000,0,843000,2422000,1954000,0,0,0,136000,521000,104000,3399000,117000,281000,1332000,723000,40000,0,0,29000,0,0,61000,5593000,17000,529000,25000,37000,16208000,904000,55000,1378000,0,0,0,8000,3000,1000,0,34000,0,15000,124000,1479000,1198000,0,0,111000,9000,3000,16000,0,1000,3000,0,41000,32000,74000,45000,3000,283000,0,590000,0,63000,91000,0,3936000,8000,0,4000,11000,222000,0,350000,199000,251000,157000,0,0,1153000,0,0,53000,0,0,0,0,5000,0,717000,67000,0,0,0,21000,864000,2000,97000,2000,0,0
"MEX",1952000,28000,6259000,0,0,22832000,10428000,0,447000,64077000,3549000,15896000,31953000,20025000,3060000,152000,426000,404000,9000,7000,26615000,127782000,0,56000,5000,428000,10971000,1247000,96000,3974000,5000,3602000,6e+05,5561000,2897000,6000,520000,32000,538992000,5502000,36000,1653000,10345000,651000,0,4000,609000,0,0,125000,1473000,433000,41000,0,25000,1659000,512000,0,0,212000,0,1000,283000,3000,157000,2815000,1643000,1341000,785000,0,0,0,140000,234000,6000,1000,92000,0,3621000,10000,847000,64000,7845000,3000,39000,2082000,41000,253000,4000,354000,0,1000,0,1462000,865000,1148000,0,6000,0,0,15000,0,0,2030000,3000,0,62000,22000,0,519000,30000,0,2161000,85000,0,0,28000,122000,0,0,0,0,0,0,0,1000,0,0,0,125000,0,30000,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0
"NGA",696000,4000,13438000,0,0,5349000,15719000,8000,1228000,72800000,5833000,5370000,17434000,204571000,818000,0,949000,2810000,3000,1312000,19959000,5220000,22000,594000,0,19000,44561000,2701000,23000,0,3043000,830000,179000,2000,3482000,2000,0,4000,47713000,2136000,68000,13000,1000,225000,163000,10000,5000,13000,1293000,396000,183000,4000,4174000,10000,0,0,98000,1252000,9000,433000,1000,0,0,0,0,0,1000,0,0,14000,39000,0,0,3000,64000,9000,191000,118000,0,0,0,0,0,11000,0,0,0,98000,25000,0,1000,9000,0,0,28000,0,0,0,0,0,6000,30000,515000,0,0,146000,0,10000,18000,0,0,6000,79000,21000,0,0,0,0,0,587000,9000,3000,2103000,0,0,34000,29000,0,0,0,0,6000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
"PER",0,743000,28650000,0,0,3009000,9972000,3000,14000,109019000,4557000,4249000,21972000,66125000,41000,411000,223000,958000,382000,3000,17151000,58371000,0,240000,1000,58000,24601000,3461000,0,240000,1631000,143000,112000,0,4526000,201000,3000,0,178169000,2134000,442000,10644000,13507000,0,1000,0,365000,0,1000,382000,1029000,31000,27000,2044000,0,0,2000,0,0,0,0,0,34000,5000,1589000,23993000,860000,21000,0,0,0,0,84000,0,50000,0,642000,0,89000,6000,2000,2000,381000,0,0,15000,10000,0,0,0,21000,0,0,10000,1969000,197000,0,7000,0,0,3000,0,0,2000,6000,0,18000,0,3000,1446000,0,0,779000,3000,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,1014000,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0
"SEN",0,0,497000,0,0,1000,27000,0,0,2191000,341000,232000,126841000,1617000,0,0,8000,11000,7000,0,482000,1629000,0,1e+05,0,0,879000,3497000,15000,0,0,313000,0,0,998000,0,0,0,39477000,0,0,28000,0,0,2000,376000,0,362000,452000,118000,1000,0,70000,28000,42000,0,0,350000,2042000,2114000,0,6000,0,0,0,122000,0,0,0,0,0,9000,0,2800000,0,0,0,0,0,0,0,0,0,0,3000,0,0,48000,0,389000,0,0,0,0,97000,0,0,0,0,0,0,0,25000,0,0,704000,0,5000,0,405000,0,0,135000,0,0,4000,0,8000,0,2439000,321000,2000,1536000,0,0,945000,16000,14000,0,0,0,0,0,0,0,30000,2000,0,0,0,0,0,0,0,0,0,0
"TCD",0,1000,2394000,0,0,0,0,0,0,519000,0,104000,11297000,1033000,0,0,0,0,0,0,133000,0,0,4000,0,0,4000,0,0,0,0,933000,0,0,0,0,0,0,9000,0,0,0,0,3000,125000,0,0,0,0,1000,0,0,297000,0,2316000,0,409000,0,0,195000,0,57000,0,0,0,0,0,0,0,0,0,0,0,166000,0,0,0,54000,0,0,0,0,0,0,0,0,0,0,55000,2000,0,0,0,0,0,0,0,0,0,0,0,142000,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFA",0,0,109000,0,0,0,4000,0,0,9000,177000,18000,681000,1000,0,0,0,0,0,0,140000,50000,0,1000,0,0,27000,0,0,0,0,7000,0,0,380000,0,0,0,2000,2000,0,0,0,1756000,0,1000,0,0,9496000,0,1000,0,0,0,0,0,106000,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,62000,0,0,0,0,0,0,0,0,0,0,0,1000,0,191000,35000,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,2685000,10000,0,37000,513000,0,205000,11874000,445000,367000,70231000,18710000,0,164000,0,12000,0,0,6971000,464000,0,21000,11000,70000,14274000,161000,0,0,18000,5000,0,1000,634000,11000,0,17000,6798000,0,5000,0,0,17000,5000,166000,0,965000,0,39000,31000,0,705000,0,113000,0,34000,381000,3000,1579000,0,0,0,0,0,0,0,0,0,0,91000,0,0,3308000,25000,1000,0,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,79000,0,0,0,0,94000,0,0,0,0,0,0,28000,123000,3000,2000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",18757000,10000,1271000,1254000,210000,13791000,3005000,27971000,494000,15095000,1662000,1021000,5160000,117628000,1326000,50000,15359000,2315000,2229000,18889000,7130000,7258000,132000,744000,2037000,796000,1102000,424000,5210000,293000,6714000,186000,825000,7817000,3761000,4116000,152000,1029000,32934000,30000,161000,205000,0,269000,0,42000,769000,0,6000,201000,44000,9000,455000,1388000,1000,399000,3000,10000,0,0,0,0,0,0,115000,3673000,164000,0,0,34000,1671000,114000,0,4000,1846000,518000,83000,0,0,1000,0,0,1000,6000,1017000,40000,839000,0,2390000,52000,158000,138000,0,0,8165000,3000,0,5000,0,1866000,3653000,45000,2000,0,0,0,57000,3936000,1000,438000,0,1862000,16351000,333000,0,3000,1000,0,5000,0,36000,0,0,45000,0,0,0,0,0,0,0,12000,0,2000,0,0,0,30000,50000,2000,0,0,0,0,0,0,0
"AGO",0,0,2755000,0,0,114000,1441000,0,0,14620000,825000,2126000,3501000,3046000,8000,0,45000,2000,0,0,4316000,1914000,0,0,0,3000,11976000,1078000,1000,54000,0,29968000,0,0,570000,0,11000,0,38714000,2000,0,7000,0,159000,0,404000,2000,5000,7000,557000,259000,3000,589000,0,23000,5000,348000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,22000,0,0,203000,14000,0,0,0,0,0,0,987000,85000,0,0,1000,0,0,0,49000,0,0,0,0,0,0,33000,0,0,0,0,0,55000,0,0,0,10187000,1000,0,1000,0,0,0,0,0,0,84000,0,0,4000,0,469000,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMU",0,0,0,0,0,128000,0,0,0,0,0,0,404000,1103000,6000,0,0,22000,0,0,325000,13000,0,0,0,1000,130000,688000,0,0,0,0,0,0,0,0,0,0,6365000,18000,0,0,343000,0,0,0,0,0,0,0,0,158000,0,209000,0,99000,0,0,0,0,0,0,0,0,0,726000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,769000,0,0,894000,46000,0,15000,5108000,61000,140000,475000,35158000,0,0,383000,0,0,0,263000,1708000,0,0,0,0,26000,0,0,0,0,0,0,0,40000,0,0,0,11095000,15000,0,2038000,521000,0,0,0,3000,0,0,0,2000,0,18000,1000,0,240000,0,0,0,0,0,0,0,0,0,169000,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,1000,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",127000,19000,8853000,0,0,1043000,4457000,0,644000,108418000,1011000,7648000,12767000,80691000,0,3000,794000,365000,0,0,23060000,60812000,0,1e+05,0,0,4765000,212000,12000,0,605000,230000,0,385000,20868000,0,0,0,203424000,1550000,0,15085000,15566000,39000,0,4000,648000,0,0,156000,9000,238000,1000,599000,0,3457000,17000,0,0,0,5000,0,0,0,4309000,0,208000,46000,6165000,0,0,0,12000,0,8000,0,73000,0,22000,0,2000,28000,0,0,1000,0,0,0,0,0,0,0,0,16000,64000,335000,0,7000,0,0,0,0,0,46000,0,0,0,5000,0,1060000,240000,0,8000,0,0,0,0,0,0,0,0,10000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",854000,26000,5464000,0,0,14626000,4664000,13000,1064000,74222000,2725000,6756000,3722000,21121000,19000,601000,0,165000,0,0,3374000,2922000,0,0,1000,0,24074000,2040000,0,0,0,3000,0,0,13142000,32000,12000,15000,274294000,1089000,2009000,776000,43000,12000,0,0,1938000,0,0,4000,71000,731000,169000,160000,22000,4699000,0,0,0,0,0,0,0,0,29000,330000,0,629000,0,0,1738000,0,216000,112000,6000,0,5559000,0,339000,0,542000,3000,22000,0,0,892000,0,0,0,29000,0,0,0,371000,59000,294000,0,4000,0,0,0,0,0,276000,48000,0,12757000,71000,0,98000,5000,0,580000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101000,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,1188000,0,0,5846000,2521000,0,0,21269000,245000,537000,578000,1183000,0,0,0,55000,0,0,1660000,903000,0,0,0,0,1470000,62000,0,2000,0,0,0,0,1499000,0,0,0,39944000,14000,48000,1000,0,0,0,0,14000,0,0,9000,1000,4000,0,13000,0,1545000,0,0,0,0,0,0,0,0,6000,142000,1108000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,1412000,0,0,2618000,3072000,0,0,5785000,120000,8517000,2306000,19921000,11000,0,0,292000,0,0,204000,35809000,0,0,0,18000,3582000,360000,2000,0,0,0,35000,0,4171000,0,0,0,15685000,92000,4993000,11000,2000,0,0,0,3000,0,0,4960000,13000,1000,22408000,19000,0,0,40000,0,0,0,1559000,0,0,0,1000,4851000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95000,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,4590000,0,0,0,0,0,0,0,11000,0,0,0,5000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,744000,0,0,141000,184000,0,0,9708000,1021000,2203000,2143000,33466000,8000,0,2000,343000,0,0,3886000,58000,0,0,0,248000,902000,198000,4000,0,0,2000,313000,0,1122000,0,279000,10000,802000,71000,56000,0,0,0,0,0,0,0,90000,148000,314000,0,2000,0,28000,0,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,96000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDR",0,0,17278000,0,0,819000,4865000,0,0,0,16778000,2037000,8543000,18489000,1185000,0,8454000,1878000,0,0,11416000,4705000,0,0,188000,428000,17576000,7203000,1000,0,0,265000,763000,0,17175000,0,16000,4273000,3004000,215000,36347000,624000,8600000,38000,0,7000,114000,16000,2424000,3960000,39000,18000,1012000,105000,4431000,0,0,9000,17000,94000,817000,0,0,0,310000,89000,1814000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532000,0,0,0,0,7000,88000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000,0,0,0,0,0,0,0,1000,0,0,0,1000,0,243000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,0,1000,0,0,0,0,0,0,51000,24000,19000,20000,11000,0,0,25000,0,0,0,8000,5000,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,572000,0,0,3000,0,0,0,0,0,0,0,0,48000,0,1000,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,2444000,0,0,1787000,2690000,0,0,12561000,1160000,4868000,278000,1415000,0,0,0,91000,0,0,1945000,1266000,0,0,0,1000,3115000,1061000,0,0,0,18000,0,0,2807000,0,0,0,154426000,213000,5000,0,0,28000,0,0,0,0,0,3000,0,19000,296000,11000,0,7000,12000,0,0,10000,0,0,0,0,0,488000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,265000,0,0,0,0,0,0,0,0,0,0,0,53000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,2476000,0,0,475000,2835000,0,0,63585000,207000,2702000,657587000,27251000,0,0,3000,222000,0,0,27143000,536000,0,0,0,3000,5039000,340000,14000,0,0,2033000,0,0,937000,0,0,14000,5313000,6000,337000,5000,350000,1194000,0,420000,0,89000,39000,159000,0,0,3045000,0,73000,4000,1297000,412000,169000,686000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,3000,1542000,0,0,88000,0,0,0,0,0,0,0,0,0,0,0,0,264000,0,1097000,0,0,0,0,0,0,0,48000,15000,0,0,331000,172000,655000,547000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGY",0,0,4919000,0,0,281000,3977000,0,0,23650000,2397000,9870000,13600000,29900000,15000,0,18694000,524000,0,0,42435000,10644000,0,0,1309000,727000,7311000,975000,514000,19000,0,823000,780000,0,2612000,0,141000,204000,23051000,211000,12103000,0,37000,1000,0,0,0,0,881000,2460000,0,14000,1115000,144000,848000,0,106000,85000,0,0,3102000,0,0,0,0,146000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,82000,0,0,1774000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,213000,0,0,0,0,0,0,0,1000,0,0,0,196000,2000,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",64000,0,497000,0,80000,5000,977000,11000,416000,3301000,89000,1e+05,3073000,4737000,1000,65000,16000,14000,167000,0,10368000,4328000,87000,824000,1735000,88000,1746000,1279000,0,0,0,0,0,795000,930000,365000,0,0,29460000,2000,2429000,1000,0,0,0,0,0,0,0,1901000,1475000,0,15000,0,3000,0,0,0,0,0,2996000,0,0,0,0,0,4000,0,0,4000,0,2746000,0,0,327000,0,72000,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,117000,0,0,0,0,0,3398000,831000,0,0,0,0,0,6000,3000,0,0,4929000,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187000,0,0,0,0,124000,0,0,0,0,0,0,0,0
"FIN",0,0,40035000,0,0,1810000,7861000,0,0,148311000,42530000,6769000,57182000,248470000,1859000,0,5098000,10599000,0,0,35214000,2159000,0,0,604000,1281000,68885000,15605000,548000,476000,0,846000,963000,0,57255000,0,1466000,6935000,59857000,1580000,3385000,10091000,21994000,7000,0,11000,307000,2000,203000,8663000,13031000,233000,1701000,2931000,1103000,2185000,346000,3000,9000,23000,1280000,0,0,0,274000,826000,6522000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800000,0,570000,0,0,25000,55000,0,0,0,0,0,23000,0,54000,0,0,0,0,0,0,0,11000,0,926000,0,0,0,0,0,0,0,78000,3000,0,0,2000,1000,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",0,0,0,0,0,0,0,0,0,197000,6000,0,2000,561000,0,0,0,9000,0,0,21000,0,0,0,0,0,134000,0,0,0,0,0,0,0,18000,0,0,0,15000,0,19000,0,0,0,0,3000,0,29000,0,0,0,4000,0,0,31000,0,1000,0,0,168000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38000,0,0,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,2688000,0,0,1677000,3749000,0,0,24465000,967000,637000,586000,1446000,188000,0,0,11000,0,0,1630000,13666000,0,0,0,0,3677000,3301000,0,0,0,520000,0,0,5061000,0,0,0,66704000,17000,0,0,0,0,0,0,2000,0,0,0,16000,4000,7000,74000,0,12000,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",0,0,522000,0,0,21833000,1285000,0,0,1477000,32000,0,1572000,18153000,0,0,0,55000,0,0,772000,1903000,0,0,0,5000,267000,4732000,3000,0,0,0,0,0,1041000,0,0,0,21034000,166000,89000,208000,0,0,0,0,0,0,4000,16000,0,2450000,0,0,0,36000,0,0,0,0,0,0,0,0,0,16000,202000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",0,0,218000,0,0,7114000,954000,0,0,7996000,184000,74000,66000,753000,0,0,0,17000,0,0,973000,562000,0,0,0,0,1162000,106000,0,0,0,0,0,0,431000,0,0,0,34585000,1110000,8000,0,0,0,0,0,0,0,0,1000,0,1555000,0,22000,0,333000,0,0,0,0,0,0,0,0,0,1000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,269000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",0,0,3105000,0,0,527000,1448000,0,0,1290000,761000,31000,4492000,75000,0,0,0,0,0,0,5359000,2666000,0,0,0,0,301000,622000,0,0,0,653000,0,0,159000,0,0,0,23566000,70000,0,5000,0,2000,0,0,0,0,0,3000,0,820000,73000,54000,0,1000,0,0,0,0,0,0,0,0,1000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",30609000,48000,6275000,90000,0,232000,3169000,34413000,4449000,38566000,16846000,1007000,7870000,29637000,25030000,1031000,3834000,1073000,610000,0,18547000,122492000,8000,59000,142000,107144000,4643000,2010000,285000,24509000,3628000,653000,262712000,34871000,2291000,132000,39047000,0,135269000,3170000,5566000,8000,0,1000,0,3000,18000,0,114000,283000,24000,54000,413000,657000,60000,129000,173000,30000,3000,7000,1322000,0,0,0,1000,243000,1785000,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,736000,0,80000,8000,141000,4000,329000,0,0,801000,150000,0,2000,0,1313000,0,6000,0,0,0,0,0,163000,0,0,5320000,1009000,856000,3000,0,5985000,3414000,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISL",30000,0,305000,0,0,1105000,166000,0,1428000,11536000,3007000,1732000,821000,16095000,0,9000,0,636000,0,0,3839000,3000,0,2000,2000,0,1222000,3404000,1000,0,687000,1269000,0,10335000,6517000,0,0,2000,12643000,227000,38000,3000,1166000,0,0,0,1000,1000,1000,1079000,408000,0,0,4000,6016000,0,6000,0,0,21000,0,0,0,0,0,15000,0,0,0,0,764000,0,0,0,0,0,1959000,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,127000,0,0,0,341000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,1000,3000,0,0,19000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,18000,0,0,1000,128000,0,0,39000,0,0,153000,1279000,1000,0,1886000,13000,0,0,169000,234000,0,0,15000,0,142000,1000,158000,0,0,0,0,0,3000,0,5000,0,73000,6000,1728000,0,0,0,0,0,0,0,0,1000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,4000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",129000,0,260000,0,0,92000,126000,0,0,522000,122000,0,782000,1785000,5039000,0,3000,2000,0,0,1663000,28502000,0,0,88000,1275000,47000,77000,25000,280000,0,0,823000,0,354000,0,898000,1000,10724000,0,0,0,1000,1000,0,0,0,0,0,1000,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,49000,0,0,24000,69000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",0,0,20809000,0,0,9373000,1280000,0,0,39017000,5401000,18193000,149635000,450115000,0,0,499000,0,0,0,175438000,262465000,0,0,0,0,117952000,0,430000,2699000,0,186000,40273000,0,2596000,0,0,38000,86783000,7000,0,938000,25568000,306000,0,2000,0,0,0,1514000,0,0,56000,0,0,0,0,0,4000,0,363000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",0,0,4549000,0,0,38000,126000,0,0,14819000,15000,292000,762000,11839000,1000,0,0,0,0,0,8293000,2615000,0,0,0,0,5475000,14352000,0,0,0,0,0,0,2000,0,0,0,31346000,51000,985000,0,0,3000,0,0,0,0,4000,0,2752000,0,5000,0,24000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2000,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
