"","AUS","AUT","BEL","BGR","BHR","BMU","BRA","CAN","CHE","CHN","COG","CSK","DEU","DNK","ESP","FIN","FRA","GBR","GRC","HKG","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JOR","JPN","KNA","KOR","KWT","LBN","LBY","LKA","MEX","MMR","MWI","MYS","NGA","NLD","NOR","NZL","PAK","PER","PHL","POL","PRT","PRY","ROU","SAU","SGP","SUN","SWE","SYR","THA","TUN","TUR","USA","VEN","YUG","ZAF","ZMB","ARG","CIV","COD","COL","CRI","CUB","DOM","GAB","GHA","GNB","MAC","MAR","MDG","MOZ","MUS","PAN","SEN","SLV","SUR","TTO","YMD","EGY","ETH","MLT","HND","AGO","ALB","ARE","BDI","BFA","BGD","BHS","BLZ","BOL","BRB","CAF","CHL","CMR","CYP","DDR","DZA","ECU","FJI","GIB","GLP","GMB","GTM","GUF","GUY","HTI","JAM","KEN","LBR","MLI","MRT","NCL","NER","NIC","PNG","PRK","SDN","SLE","SOM","TGO","TZA","URY","VNM","AFG","BEN","DJI","FLK","GIN","KHM","KIR","LAO","MNG","NPL","OMN","QAT","RWA","SYC","TCD","UGA","WSM","ZWE","GNQ","SPM","GRL","SHN"
"PRT",8047000,33020000,52158000,805000,65000,263000,21715000,25802000,54630000,61000,6000,2335000,155654000,65506000,44511000,35199000,102317000,385567000,5610000,3200000,870000,147000,1000,11592000,743000,3451000,1180000,3253000,60902000,280000,31509000,0,1045000,1000,3785000,0,256000,2288000,62000,545000,2339000,537000,44050000,35206000,2095000,3887000,1436000,1569000,3267000,0,78000,2631000,79000,1493000,619000,123401000,2000,947000,117000,854000,181588000,6588000,531000,7765000,184000,2368000,137000,4203000,678000,266000,267000,379000,16000,31000,45823000,1064000,8014000,1000,92589000,184000,208000,2000,150000,316000,1097000,18000,1000,11000,1079000,220000,142917000,0,0,0,0,0,555000,0,244000,105000,129000,314000,1000,1077000,335000,0,610000,44000,539000,301000,4000,536000,38000,0,22000,122000,41000,1000,2000,1000,56000,1000,121000,50000,0,251000,8000,2000,0,0,1e+05,494000,1000,0,13000,0,0,0,0,13000,0,0,23000,0,0,6000,34000,0,0,0,0,2000,0,0
"PRY",167000,1110000,5514000,0,0,0,23077000,997000,7258000,0,40000,0,33170000,2810000,4938000,42000,12559000,8997000,90000,316000,0,0,0,57000,8000,0,0,4000,8046000,0,3090000,1000,0,0,20000,0,0,1492000,0,0,0,0,11511000,386000,2000,0,567000,5000,0,2820000,0,0,0,33000,0,148000,0,0,768000,0,16879000,32000,303000,102000,0,20753000,108000,0,463000,0,0,0,0,0,0,0,384000,181000,0,0,2000,86000,1000,0,19000,0,17000,0,92000,0,0,0,0,0,0,0,0,3000,0,91000,7000,1367000,112000,13000,0,655000,434000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",3109000,52374000,13443000,0,230000,3000,5688000,14991000,20757000,0,45000,0,326190000,9619000,33646000,13763000,123530000,76884000,35620000,21000,0,1682000,13428000,2938000,46449000,5480000,63000,40745000,207265000,3493000,27794000,0,0,8272000,24533000,52770000,0,72000,11000,24000,380000,3463000,48366000,1973000,379000,5122000,2006000,350000,0,1213000,8000,0,0,674000,0,30611000,0,621000,2059000,7782000,0,141000,111635000,0,1051000,1983000,1837000,1866000,3619000,914000,0,0,0,276000,0,0,4786000,9000,0,52000,13000,259000,0,0,112000,0,41480000,193000,2908000,30000,0,0,0,0,172000,0,0,0,0,6000,161000,19461000,102000,0,0,0,204000,0,0,2000,261000,44000,0,1000,0,0,288000,43000,0,0,3000,5000,17000,26000,0,8374000,202000,813000,8000,853000,0,0,102000,19000,0,0,0,0,0,0,0,0,0,0,0,0,48000,22000,1000,0,0,0,0,0
"SAU",40163000,11290000,367876000,0,217183000,0,385858000,60378000,14125000,0,23000,0,730587000,94485000,502443000,19931000,805181000,789317000,95655000,24766000,0,1214000,1689000,18103000,110000,24000,0,0,891479000,10788000,1388356000,0,154181000,4039000,20136000,57000,0,0,0,29000,37444000,50000,866153000,1859000,9269000,44557000,0,113017000,0,57750000,0,0,0,155690000,0,29598000,0,48231000,11874000,84132000,0,0,2121000,0,823000,67106000,0,4556000,5000,0,0,0,0,0,0,0,0,3880000,0,0,13511000,1000,0,0,186363000,0,562000,327000,0,0,0,0,0,0,0,0,0,0,0,21000,0,26280000,2000,0,0,0,0,72000,0,1399000,0,5000,0,1000,0,0,8799000,11640000,0,0,257000,0,0,1345000,0,493000,4000,919000,1000,6982000,0,438000,1000,133000,0,0,0,0,0,0,0,0,0,0,0,0,37000,0,0,0,0,0,0,0
"SGP",62379000,2058000,12917000,5106000,4743000,0,17855000,41106000,6631000,52037000,0,2619000,86945000,13323000,3478000,1460000,55916000,208283000,1381000,185900000,135000,132493000,4223000,1300000,7497000,3995000,40000,3895000,23635000,828000,223365000,0,7434000,5913000,1383000,1218000,15211000,6855000,3951000,599000,191015000,3335000,36475000,2968000,14290000,17471000,115000,9094000,18056000,273000,3000,24403000,14476000,0,71354000,8761000,436000,29387000,380000,8739000,614134000,968000,7536000,0,1700000,15170000,513000,284000,1012000,1000,2548000,141000,0,2127000,0,14000,327000,393000,4317000,2792000,79000,0,8000,0,2535000,3603000,1486000,2192000,802000,0,576000,1e+05,15864000,0,0,15955000,0,0,0,0,0,8000,0,3302000,813000,2201000,13000,8183000,0,34000,23000,41000,3000,456000,0,0,2217000,332000,0,0,1838000,0,53000,11813000,7075000,309000,1565000,1189000,0,1279000,1858000,79760000,1466000,0,0,0,0,9551000,0,1577000,0,764000,0,0,0,0,0,353000,140000,0,0,0,0,0
"SUN",4908000,133923000,178623000,0,27000,3000,12513000,22980000,64082000,0,656000,0,623961000,94327000,50867000,512973000,434026000,363339000,44617000,22341000,0,2554000,119859000,8065000,209585000,79010000,20911000,0,441350000,2253000,1076231000,0,40000,11350000,17107000,22152000,0,636000,2882000,0,6963000,8645000,126669000,46587000,2210000,12339000,229000,978000,0,24000,2000,0,0,8762000,0,207600000,0,2418000,7944000,125914000,0,2711000,431256000,0,694000,7010000,4642000,140000,994000,298000,0,0,0,6212000,0,0,42970000,13000,0,81000,174000,2475000,0,0,9000,0,64701000,2321000,1816000,7000,0,0,0,0,190000,0,0,0,0,5000,16000,15151000,1924000,0,0,0,389000,12000,0,18000,309000,176000,22000,183000,0,0,771000,248000,0,0,11000,71000,47000,43000,0,26242000,1251000,10137000,1951000,305000,0,0,18538000,2243000,0,0,0,0,0,11000,0,0,0,0,0,0,33000,971000,11000,0,0,0,0,0
"SWE",132692000,207633000,414131000,18540000,836000,292000,160859000,166192000,348830000,50242000,120000,41928000,1.443e+09,1221668000,266091000,748829000,712841000,1792210000,39712000,20021000,37450000,8180000,29387000,68808000,52260000,16381000,24977000,50785000,372978000,3148000,168477000,0,15275000,8659000,16488000,19722000,3467000,66463000,645000,705000,37132000,23015000,468767000,1071100000,18775000,7037000,17562000,11191000,154526000,139044000,2037000,38351000,24423000,32898000,117351000,0,5127000,23052000,8592000,24608000,738861000,32458000,62754000,75026000,17483000,41301000,4180000,11102000,22834000,7833000,12547000,3284000,330000,5322000,0,18000,26741000,654000,3268000,447000,2011000,2086000,3638000,489000,1622000,224000,11443000,3622000,1574000,2716000,8961000,701000,4319000,355000,58000,4430000,1208000,3e+05,4884000,479000,35000,13079000,1218000,11811000,88880000,28328000,6435000,1616000,192000,699000,604000,2605000,43000,835000,211000,2800000,13367000,10256000,72000,413000,299000,246000,636000,1171000,596000,2277000,672000,295000,129000,9918000,3272000,1286000,668000,796000,73000,10000,832000,53000,1495000,30000,23000,184000,898000,634000,61000,1657000,57000,1062000,34000,3000,0,0,0,0
"SYR",273000,22000,2790000,0,197000,8000,18000,21000,1774000,0,0,0,24448000,2117000,2183000,261000,19880000,1826000,47870000,187000,0,20000,2000,28000,355000,5131000,2000,0,69186000,23881000,4177000,0,145000,5527000,21192000,7369000,0,0,0,0,1000,146000,9981000,9000,74000,0,0,0,0,841000,0,0,0,97000,0,391000,0,0,514000,3711000,0,23000,2719000,0,0,0,0,1000,0,0,0,0,0,0,0,0,731000,1000,0,0,0,13000,0,0,7000,0,7484000,0,58000,0,0,0,0,0,0,0,0,0,0,41000,0,0,2000,0,0,0,11000,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,1000,0,0,488000,0,2000,0,0,0,8000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THA",11884000,5576000,19149000,0,1174000,33000,1603000,4124000,10255000,0,0,34000,83426000,5108000,7094000,841000,30493000,28344000,461000,106352000,0,43126000,1571000,911000,2480000,2662000,83000,1302000,15872000,966000,394160000,13000,16770000,3176000,796000,32000,5829000,60000,198000,0,109301000,0,82590000,1235000,2034000,5508000,1000,11487000,2263000,1869000,2000,948000,19936000,126541000,3300000,4698000,0,3462000,399000,1261000,145003000,67000,679000,3635000,252000,53000,3985000,763000,0,26000,0,0,0,489000,31000,148000,377000,359000,708000,98000,3000,12924000,99000,0,19000,23000,322000,1086000,1000,0,554000,0,0,0,0,6386000,0,0,0,23000,3000,531000,2171000,155000,0,99000,1000,166000,13000,0,307000,201000,0,1212000,0,135000,378000,11000,0,0,27000,1000,595000,79000,0,1340000,15000,649000,255000,258000,0,17922000,237000,656000,412000,0,0,19170000,0,30715000,0,13000,0,0,0,0,4000,1594000,4000,0,0,0,0,0
"TUN",63000,1808000,8341000,5195000,0,0,5420000,49000,2942000,1346000,1467000,3854000,19356000,482000,3849000,376000,114440000,8728000,12265000,0,1976000,1467000,0,1440000,7000,22000,469000,0,76083000,0,94000,0,0,4000,227000,20860000,0,0,1970000,0,8000,16000,8861000,1304000,0,30000,14000,0,4866000,284000,0,1188000,14000,0,8055000,1198000,593000,0,0,1612000,57021000,2000,1244000,0,62000,0,1390000,89000,0,0,0,0,462000,68000,0,0,1862000,259000,0,0,0,577000,0,0,0,0,73000,0,351000,0,0,0,0,0,264000,0,0,0,0,0,306000,475000,754000,0,1524000,6039000,0,0,0,21000,0,0,0,0,0,0,0,0,27000,0,65000,9000,0,0,0,0,0,0,68000,0,657000,0,4000,140000,0,0,0,0,0,0,0,0,0,0,0,0,34000,0,0,0,0,0,0,0
"TUR",2666000,29701000,36110000,6839000,17000,2000,2337000,3899000,33707000,30595000,6000,10805000,261805000,28488000,20720000,2774000,90359000,57347000,20433000,8435000,10570000,58000,255000,3787000,15232000,19108000,71000,16227000,163974000,2277000,28401000,0,2758000,7257000,21288000,11869000,9000,4000,0,0,1806000,5157000,41217000,9836000,143000,5312000,2000,806000,6381000,27156000,3000,9610000,1456000,1679000,50391000,23200000,23501000,1664000,8881000,0,130811000,401000,15664000,276000,4000,264000,204000,371000,8000,1000,117000,3000,0,1674000,0,0,1705000,1000,0,3000,29000,49000,0,0,8000,0,16796000,58000,467000,5000,15000,437000,0,0,42000,0,0,0,0,8000,1000,20000,29000,4611000,6904000,345000,29000,1000,0,0,2000,8000,0,1000,13000,0,9000,2000,0,0,2000,0,0,5000,0,69000,12000,0,0,0,0,0,33000,4000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0
"USA",1529525000,218399000,1237998000,6474000,44246000,55332000,2004345000,16511770000,741115000,689116000,7924000,71888000,4397535000,519200000,1546988000,198986000,3103500000,3881961000,288886000,718671000,32801000,436447000,560190000,192374000,477507000,49939000,24361000,549452000,2301057000,34140000,9279805000,32204000,1202001000,146927000,146766000,95557000,21829000,2625311000,5520000,3235000,209263000,191105000,2110774000,380339000,263519000,250211000,307552000,506492000,349367000,251236000,19889000,116514000,398438000,763947000,1199075000,705611000,20696000,290719000,56587000,178225000,553622000,1037833000,197952000,746545000,47944000,480681000,62029000,49985000,420353000,159259000,29000,226113000,18527000,69883000,1639000,2400000,116260000,15322000,32246000,4722000,173913000,26834000,108378000,43251000,130183000,2613000,114581000,18140000,14386000,106658000,51560000,221000,120683000,2011000,2633000,126880000,198987000,11780000,41491000,35773000,4410000,183822000,30159000,19366000,28015000,160315000,133922000,9160000,512000,19544000,788000,134574000,5469000,42581000,75512000,265560000,47932000,53831000,5574000,9165000,31862000,6474000,111982000,26759000,0,35571000,13796000,2628000,4387000,13844000,24334000,304481000,6118000,5143000,2304000,0,10449000,87888000,510000,2936000,31000,1444000,8925000,19300000,1225000,268000,3253000,3105000,878000,585000,288000,172000,2115000,0
"VEN",31000,307000,42517000,0,0,2555000,77971000,522323000,3015000,0,128000,0,117278000,7275000,39408000,7850000,54098000,143806000,608000,536000,1000,1000,29000,1211000,1406000,0,427000,963000,56397000,0,28326000,3358000,36000,2000,5000,277000,0,90541000,0,0,12000,429000,13576000,533000,2000,0,20150000,69000,59000,1271000,122000,0,0,5000,0,42433000,0,4000,0,0,2177700000,0,2673000,624000,0,22999000,1272000,933000,6766000,22926000,726000,27057000,0,43000,0,0,30000,0,0,7000,33874000,428000,18983000,1332000,41350000,0,0,0,0,20726000,572000,0,0,0,348000,0,13892000,0,13000,6507000,0,12897000,42000,0,2681000,0,7050000,0,1546000,10769000,0,22779000,128000,309000,70000,48972000,0,438000,0,0,0,2219000,16947000,1000,0,0,0,0,1879000,76000,20000,0,309000,1104000,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,6618000,0
"YUG",2626000,73959000,36464000,46994000,101000,3000,23102000,12287000,40006000,50373000,12000,134005000,698329000,23844000,19827000,10621000,158995000,58262000,47961000,731000,56819000,2970000,10584000,1400000,20830000,5343000,66000,16133000,496871000,917000,26484000,0,198000,2544000,8177000,35731000,195000,2052000,2990000,57000,345000,1249000,46403000,35900000,173000,9406000,128000,66000,133485000,14975000,4000,77861000,4818000,1073000,432574000,60004000,4439000,810000,6604000,16810000,246196000,957000,0,0,7487000,639000,63000,697000,2998000,210000,2151000,75000,2000,4148000,0,0,5866000,7000,4000,5000,12000,190000,1000,1000,55000,38000,5664000,404000,1936000,25000,36000,7606000,0,0,155000,6207000,0,0,8000,12000,349000,1551000,94000,2422000,86602000,1675000,41000,5000,0,11000,31000,33000,10000,1000,14000,0,4354000,521000,0,1000,2000,0,24000,12000,2063000,5329000,84000,25000,21000,1249000,0,502000,23000,36000,37000,0,806000,0,0,21000,156000,0,20000,2530000,0,0,6000,4190000,0,0,0,0,0,0
"ZAF",40063000,39366000,195992000,0,1717000,20000,16821000,86790000,24233000,0,190000,0,414539000,18932000,75164000,11859000,164552000,668581000,30236000,51576000,0,460000,245000,9962000,35196000,1313000,354000,32414000,162023000,4662000,565148000,0,16821000,1082000,2523000,488000,0,22406000,129000,25933000,8000,533000,45537000,29634000,7039000,267000,1344000,523000,0,14031000,10000,0,0,0,0,27479000,0,10196000,0,612000,0,13901000,3126000,0,70559000,5978000,0,15864000,1816000,64000,0,0,0,1273000,0,19000,0,0,0,14661000,71000,4000,71000,0,1000,0,788000,1000,195000,80000,31397000,0,0,0,0,0,0,0,0,0,125000,3934000,0,0,0,0,264000,236000,0,7000,2000,134000,0,0,0,0,775000,2000,0,0,264000,6000,62000,123000,0,0,0,0,0,4000,0,239000,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,54000,25000,47000,0,0,0,0,0
"ZMB",511000,9536000,5971000,0,0,0,58934000,360000,7715000,20739000,455000,66000,90163000,490000,15047000,636000,114961000,196338000,11657000,634000,0,1363000,45443000,2223000,297000,438000,0,3677000,117951000,71000,292138000,0,19000,42000,2494000,0,0,0,0,6609000,2630000,17000,2801000,24000,1000,1250000,0,103000,411000,1891000,0,0,0,1871000,0,10155000,0,64543000,329000,426000,5651000,0,30345000,2998000,0,644000,0,4303000,0,0,0,0,0,41000,0,0,1491000,0,671000,55000,83000,0,0,0,17000,0,5006000,438000,0,0,851000,0,0,6000,0,0,0,0,0,0,77000,2000,0,0,96000,0,0,0,0,0,1000,0,0,78000,0,0,2004000,0,0,0,0,0,0,0,0,1000,0,3000,0,4511000,0,3114000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289000,0,525000,0,0,0,0
"ARG",3152000,10824000,111262000,543000,1000,5000,343588000,14460000,55469000,16286000,5000,17257000,389467000,23461000,150157000,4324000,217575000,257080000,31627000,6442000,2568000,104000,69909000,13421000,23493000,7245000,21000,44044000,516383000,1572000,168456000,9000,658000,213000,5802000,36000,4523000,30251000,0,10000,531000,247000,128279000,5684000,212000,4348000,27379000,1695000,24705000,40210000,29814000,3117000,354000,2399000,83090000,12262000,9e+05,191000,2821000,303000,268145000,35176000,7836000,12089000,641000,0,94000,3124000,18665000,2421000,12040000,1255000,0,70000,0,0,11115000,71000,256000,6000,2176000,1639000,620000,191000,768000,4000,84000,15000,569000,729000,717000,111000,4000,102000,15000,46224000,45000,5000,32992000,2617000,8000,166090000,46000,1980000,3506000,14070000,6109000,8000,10000,1155000,2000,1504000,6000,3000,112000,118000,87000,34000,1033000,645000,183000,1000,993000,18000,36226000,17000,33000,0,1000,31000,55736000,10989000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",366000,7894000,24176000,453000,16000,0,11000,820000,8453000,0,644000,97000,159883000,3396000,55663000,585000,279783000,37181000,9252000,492000,9931000,0,170000,2618000,54000,0,10000,1904000,126488000,44000,24515000,0,301000,32000,1666000,89000,0,163000,0,2000,32000,1303000,48096000,370000,0,56000,15000,160000,3145000,1151000,0,605000,583000,10000,4544000,2258000,292000,0,1975000,73000,94496000,0,10658000,0,128000,39000,0,5e+05,22000,0,0,0,1151000,2440000,0,0,15292000,743000,67000,14000,432000,14944000,0,0,0,0,460000,0,715000,15000,79000,0,0,12000,10184000,0,0,0,0,0,132000,0,1379000,277000,121000,13794000,15000,0,56000,253000,14000,0,17000,0,0,0,48000,1553000,14337000,94000,423000,3151000,0,50000,0,16000,270000,11000,963000,0,89000,0,0,2329000,0,0,186000,0,0,0,0,0,15000,0,9000,0,292000,0,0,0,0,0,0,0
"COD",273000,387000,580245000,6000,0,0,15406000,6528000,2570000,79000,241000,8000,76202000,166000,15606000,178000,80627000,17317000,6099000,355000,0,0,9913000,98000,11000,0,0,1000,163423000,0,81438000,0,0,0,1579000,0,0,19000,0,1000,3000,3308000,30035000,23000,141000,1000,0,0,3000,493000,0,1000,0,298000,18000,170000,5000,0,69000,6000,22272000,0,0,888000,325000,41000,686000,0,0,0,0,0,13000,88000,149000,0,462000,0,8000,1000,0,2000,0,0,0,0,11000,0,0,1000,394000,0,0,855000,36000,0,0,0,0,3000,1230000,0,3000,22000,94000,25000,0,0,0,29000,0,0,0,0,3000,0,1524000,3000,4000,3000,4000,24000,0,0,0,59000,14000,0,1000,86587000,0,1000,0,3000,5000,0,0,0,0,0,0,0,0,0,848000,0,376000,75000,0,5000,1000,0,0,0
"COL",362000,5109000,8970000,63000,0,59000,6381000,32636000,12456000,2000,0,3587000,157745000,10730000,54361000,25937000,20962000,10341000,79000,6329000,2331000,7000,29000,5203000,36000,2000,9000,611000,27904000,0,56466000,653000,1907000,0,137000,825000,0,4178000,0,0,2486000,8000,40199000,5979000,52000,0,38959000,40000,7131000,1116000,169000,0,0,833000,17273000,31767000,0,64000,440000,0,445720000,13062000,858000,989000,9000,13061000,22000,6000,0,4792000,15000,4527000,0,4000,1000,0,1427000,105000,0,0,8546000,1000,2778000,166000,681000,0,236000,1000,11000,2100000,29000,15000,0,0,2000,0,4957000,0,2940000,436000,9000,8371000,25000,0,5465000,1394000,24608000,7000,0,5726000,0,2288000,190000,141000,1409000,867000,8000,29000,0,0,1000,14000,2514000,0,28000,1000,0,0,0,6000,392000,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0
"CRI",89000,6418000,8559000,1000,0,0,20000,12778000,14460000,0,0,2e+05,59961000,2726000,3947000,12348000,8021000,1875000,328000,86000,65000,0,0,111000,40000,49000,154000,0,28936000,279000,2797000,0,286000,467000,46000,1496000,0,1152000,0,0,2000,4000,9863000,6349000,15000,1000,3890000,62000,12000,0,0,0,757000,0,8857000,12209000,1390000,0,0,0,115102000,180000,3030000,291000,0,4000,0,0,1082000,0,0,262000,0,0,0,0,2514000,0,0,0,11526000,0,17515000,0,18000,0,0,0,70000,6858000,0,20000,0,0,0,0,3000,123000,48000,0,0,8000,0,0,448000,4000,249000,0,0,1000,0,16909000,0,1000,26000,203000,0,0,0,0,0,0,27672000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,8000,0,0
"CUB",195000,529000,4314000,0,3000,20000,0,16608000,3672000,0,1000,0,4175000,608000,55384000,4816000,11959000,32464000,52000,229000,0,0,0,127000,13000,0,7000,0,19844000,80000,182492000,0,0,161000,576000,26000,0,272000,0,1000,3518000,0,18116000,2976000,2979000,0,2000,0,0,445000,0,0,0,2341000,0,10989000,0,10000,39000,93000,0,1000,5236000,0,0,1000,9000,0,0,0,0,0,0,0,0,0,9755000,0,0,0,2e+05,295000,0,0,2000,0,13000,0,14000,2152000,16000,0,0,0,0,0,0,0,0,12000,1000,34959000,4000,0,0,0,0,4000,0,1875000,2000,0,0,304000,0,0,0,0,0,0,0,0,0,1000,0,2000,228000,0,2000,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",37000,368000,12577000,0,0,20000,81000,8053000,1154000,0,0,0,12399000,312000,15944000,645000,13677000,11553000,108000,6000,0,0,0,39000,0,3203000,8000,0,6794000,0,9696000,0,0,0,0,21000,0,6000,0,0,5213000,0,2659000,1334000,8636000,0,0,498000,0,83000,0,0,0,10000,0,9811000,0,0,0,0,0,574000,0,0,0,0,0,0,312000,0,0,0,0,0,0,0,16249000,0,0,0,0,0,10000,0,450000,0,0,0,0,38000,8000,0,0,0,0,0,0,0,0,18000,0,12000,201000,0,0,0,0,0,0,737000,0,13000,0,254000,0,0,0,0,0,0,0,0,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,990000,6212000,0,0,0,825000,2418000,1379000,0,0,0,43458000,471000,0,22000,154638000,25129000,10713000,0,0,0,1000,2000,71000,0,0,1896000,6812000,0,8876000,0,0,0,2597000,0,0,87000,0,0,0,0,25901000,3035000,0,0,0,0,0,0,0,0,0,0,0,1466000,0,0,0,0,0,0,1374000,0,167000,0,1920000,23000,0,0,0,0,0,0,0,0,3340000,160000,0,20000,0,4253000,0,0,0,0,0,0,0,0,53000,0,0,0,0,0,0,0,0,0,0,0,14424000,0,0,0,0,0,0,176000,9000,0,8000,0,0,0,0,4000,0,0,150000,56000,0,0,0,0,154000,0,99000,0,0,0,0,70000,0,0,0,0,0,0,0,0,0,0,0,0,2213000,0,0,0,0,0,0,0
"GHA",7375000,7255000,4802000,0,4000,0,533000,6559000,10578000,6292000,1000,6991000,60438000,2837000,20285000,1787000,7230000,114436000,4794000,1846000,2376000,160000,2148000,10231000,309000,0,26000,199000,26395000,0,77925000,0,596000,0,589000,0,0,7000,0,2000,3754000,982000,31049000,6818000,3738000,18000,0,2082000,17726000,0,0,0,0,4777000,33272000,10205000,0,131000,0,124000,81905000,0,9469000,1000,6000,5650000,212000,9000,0,0,0,0,0,0,0,0,31000,0,0,0,129000,13000,0,0,11000,0,998000,10000,675000,0,2000,0,0,0,2062000,0,22000,0,0,0,0,0,3000,183000,156000,119000,0,0,0,0,84000,0,0,0,0,107000,937000,278000,89000,0,0,68000,0,0,0,0,82000,0,1440000,0,0,0,0,281000,0,0,0,0,0,0,0,0,0,0,0,0,0,66000,0,0,0,0,0,0
"GNB",0,972000,733000,0,12000,0,0,18000,0,0,0,0,1400000,424000,0,0,624000,46000,133000,0,0,0,0,319000,0,0,0,0,403000,0,14000,0,32000,0,0,0,0,0,0,0,0,9000,2649000,0,0,22000,0,0,0,9808000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359000,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,168000,0,0,0,0,0,0,0,0,0,139000,0,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144000,0,0,0,0,0,0,0
"MAC",617000,232000,3188000,0,7000,5000,69000,731000,682000,0,0,0,19790000,1035000,612000,145000,21886000,1159000,21000,23002000,0,993000,0,1000,12000,0,30000,0,5941000,0,4553000,0,17000,0,25000,5000,0,8000,0,13000,22000,12000,1737000,182000,8000,1000,0,0,0,12227000,0,0,0,157000,0,4004000,0,70000,0,0,15129000,20000,0,390000,4000,0,0,0,0,0,0,0,0,0,592000,0,50000,0,2483000,11000,0,0,0,0,0,0,0,0,0,0,6542000,0,0,0,0,0,0,0,0,0,7000,0,1000,7000,0,0,0,2000,0,0,0,0,0,0,0,3000,0,0,0,0,6000,0,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0
"MAR",729000,4124000,50185000,1179000,8000,4000,6838000,1799000,9651000,25644000,85000,4422000,111617000,7062000,56156000,4081000,376829000,56524000,6288000,185000,6006000,1195000,7944000,8258000,129000,343000,51000,0,67565000,272000,27193000,1000,1012000,226000,2352000,452000,523000,4966000,0,0,488000,2257000,39571000,7972000,19000,104000,13000,2333000,17539000,6427000,0,8312000,871000,3251000,26877000,13282000,931000,255000,2722000,502000,12193000,51000,27886000,0,11000,892000,2056000,3545000,1000,56000,2017000,19000,101000,2307000,146000,0,0,1618000,0,349000,5000,2027000,101000,2000,136000,32000,563000,1000,1137000,20000,35000,820000,0,0,95000,0,0,6000,89000,0,60000,3181000,819000,615000,3592000,27852000,0,56000,1181000,506000,57000,0,118000,68000,3000,18000,137000,376000,121000,369000,225000,74000,15000,4000,0,0,47000,0,74000,41000,156000,387000,0,511000,24000,0,679000,0,25000,10000,0,0,0,0,0,0,248000,0,0,0,0,3000,0,0
"MDG",358000,537000,792000,0,19000,0,18000,584000,1407000,492000,2000,56000,9855000,464000,1202000,206000,83002000,4707000,1704000,18000,0,12918000,343000,7000,4000,0,1000,0,5829000,2000,13823000,0,6000,71000,97000,73000,0,1000,0,1000,45000,80000,3456000,80000,142000,360000,32000,2000,294000,655000,0,597000,43000,10407000,216000,325000,0,27000,334000,8000,35421000,65000,250000,0,0,7000,4074000,9000,9000,7000,0,0,4000,0,0,0,488000,0,0,784000,0,526000,0,0,8000,0,0,15000,57000,2000,3000,0,0,0,0,0,0,0,0,0,1000,0,351000,13000,0,965000,4000,0,0,655000,0,12000,9000,0,270000,0,32000,1000,0,0,666000,915000,0,0,0,0,2000,209000,0,10000,0,0,0,16000,53000,0,0,0,0,0,0,0,0,0,1000,0,9000,0,0,0,0,0,0,0
"MOZ",2666000,3317000,13024000,0,20000,0,2161000,4343000,2463000,0,0,0,25928000,4634000,8706000,81000,11613000,20160000,390000,4337000,0,475000,12549000,2531000,3521000,4e+05,0,0,21437000,2156000,24307000,0,60000,0,662000,0,0,2000,0,3866000,1027000,109000,25543000,3592000,352000,0,176000,335000,0,91330000,0,0,0,10798000,0,2336000,0,23000,0,0,0,13651000,1000,0,323000,5000,0,1358000,343000,8000,0,0,0,0,0,0,287000,0,0,24000,0,0,0,0,54000,0,0,0,23000,0,8092000,0,0,0,0,0,0,0,0,2000,0,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
