"","AUT","BEL","BGD","BRA","CAN","CHE","CIV","CSK","CYP","DEU","DNK","ESP","FIN","FRA","GBR","GRC","GUF","HKG","IDN","IRL","ISL","ITA","JPN","LKA","MLT","NCL","NLD","NOR","NZL","PAK","POL","PRT","SGP","SWE","THA","TUR","USA","YUG","DZA","GLP","HUN","TTO","URY","HND","COL","OMN","SYC","BMU","ISR","PAN","GRL","AFG","AGO","ALB","ARE","ARG","AUS","BDI","BEN","BFA","BGR","BHR","BHS","BLZ","BOL","BRB","CAF","CHL","CHN","CMR","COD","COG","CRI","CUB","DDR","DJI","DOM","ECU","EGY","ETH","FJI","FLK","GAB","GHA","GIB","GIN","GMB","GNB","GNQ","GTM","GUY","HTI","IND","IRN","IRQ","JAM","JOR","KEN","KHM","KIR","KNA","KOR","KWT","LAO","LBN","LBR","LBY","MAC","MAR","MDG","MEX","MLI","MMR","MNG","MOZ","MRT","MUS","MWI","MYS","NER","NGA","NIC","NPL","PER","PHL","PNG","PRK","PRY","QAT","ROU","RWA","SAU","SDN","SEN","SLE","SLV","SOM","SUN","SUR","SYR","TCD","TGO","TUN","TZA","UGA","VEN","VNM","WSM","YMD","ZAF","ZMB","ZWE","SHN","SPM"
"BFA",19000,52000,0,0,0,116000,1e+06,0,0,1156000,10393000,162000,0,11146000,597000,451000,0,178000,0,0,0,3991000,7023000,14000,0,0,487000,1000,0,0,0,19000,0,1075000,0,0,0,94000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",26010000,23906000,20734000,0,4576000,11929000,293000,120205000,2470000,160227000,4180000,42575000,4976000,67719000,18728000,65277000,3000,109000,4613000,908000,123000,99372000,19547000,52000,2890000,7000,15390000,964000,55000,21436000,73787000,975000,2611000,15161000,6361000,151293000,35151000,102316000,40696000,15000,444000,0,293000,3000,549000,0,0,12000,12642000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",3000,27964000,256000,0,425000,65000,31000,0,25000,5891000,21000,156000,0,24719000,56736000,0,0,15599000,0,39000,0,8121000,416198000,8895000,2000,6995000,2406000,5000,19333000,6933000,0,97000,236354000,6000,18263000,105000,17613000,0,0,0,0,0,0,0,0,5849000,12476000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",117000,4793000,30000,0,41037000,1652000,0,0,0,13168000,943000,4070000,0,24177000,36391000,133000,2000,6605000,6e+05,2145000,0,50567000,14242000,2000,1000,1000,22494000,10998000,2241000,2e+05,0,638000,0,4203000,5000,0,1733881000,671000,0,614000,0,7331000,81000,47000,9854000,0,7000,313000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",97000,713000,0,0,7106000,56000,0,0,0,326000,41000,22000,0,2599000,17527000,50000,0,41000,0,72000,0,134000,380000,0,0,0,10000,29000,0,1000,0,0,0,1000,0,0,28505000,0,0,1098000,0,8604000,0,64000,11000,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",8648000,11775000,0,0,13432000,1459000,0,0,0,47374000,31000,7427000,254000,46976000,21981000,60000,0,14000,0,3000,0,1739000,8696000,0,0,0,1898000,139000,2000,0,0,1755000,0,1018000,148000,4086000,170958000,4127000,0,0,0,0,220000,3000,4088000,0,0,0,252000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",54000,215000,0,0,6598000,434000,121000,0,0,1470000,385000,27000,20000,1982000,17988000,0,170000,12000,0,115000,0,81000,197000,1000,17000,0,101000,9000,87000,0,0,2000,0,117000,0,0,204065000,0,0,523000,0,47442000,0,2000,237000,0,0,260000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",148000,32753000,4000,0,0,851000,143000,0,15000,7124000,7000,4664000,0,34547000,1365000,54000,12000,0,24000,0,0,7425000,12716000,0,0,0,446000,0,2000,2000,0,253000,0,0,0,0,3558000,1313000,0,641000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",15384000,84507000,0,0,108175000,8295000,13000,0,0,474850000,1706000,76411000,17312000,212925000,162912000,8994000,10000,5447000,18417000,1246000,105000,197188000,500313000,1000,62000,0,58308000,1978000,743000,2008000,0,6300000,5633000,47962000,3716000,36068000,975920000,30445000,0,113000,0,137000,6416000,90000,55565000,86000,0,0,4071000,3658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",31720000,112879000,78919000,0,199395000,75051000,10782000,24878000,3343000,753887000,95853000,84269000,35234000,432303000,347100000,26475000,572000,5860147000,204018000,13734000,1838000,415059000,5087358000,41029000,3443000,1601000,176120000,28887000,34995000,146596000,81857000,7130000,826793000,78614000,265178000,7200000,2442538000,21692000,177042000,2739000,0,13461000,643000,1631000,1643000,10835000,2388000,32000,541000,2053000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",4801000,46535000,0,0,1047000,8059000,4704000,0,33000,198494000,3479000,37717000,736000,432380000,79421000,4891000,4000,1070000,0,447000,0,58925000,34978000,4000,918000,166000,337482000,39000,50000,0,0,5525000,0,4287000,2676000,0,534370000,6207000,11047000,413000,0,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",3137000,374153000,0,0,13802000,2792000,437000,0,154000,152684000,1165000,16924000,11371000,94196000,16397000,2784000,0,6000,0,1986000,0,103500000,95128000,0,0,0,20886000,9000,51000,1468000,0,11288000,0,730000,3477000,1636000,377512000,6796000,753000,58000,0,86000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",65000,41771000,0,0,0,1344000,2559000,0,18000,68471000,2153000,27887000,8000,29786000,6566000,1849000,0,0,0,237000,0,64119000,6300000,0,15000,0,3821000,129000,0,0,0,8621000,0,625000,0,0,859291000,0,1373000,0,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",17611000,6257000,0,0,30854000,22075000,5000,0,52000,88571000,5446000,7786000,30777000,17354000,24084000,34000,17000,591000,0,548000,1212000,45384000,7068000,0,16000,3000,25361000,8680000,239000,7000,0,134000,0,18795000,1344000,24000,448840000,0,0,341000,0,1095000,13000,34095000,1584000,863000,0,134000,758000,36032000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",2016000,12943000,0,0,45666000,5591000,17000,23239000,781000,28959000,1233000,93966000,14877000,57323000,21236000,105000,22000,425000,0,180000,0,37095000,92120000,2000,31000,0,90355000,58000,7000,0,7877000,6467000,260000,268000,13000,36000,0,4357000,74397000,713000,0,257000,0,0,5807000,0,8000,196000,0,347000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDR",151610000,129238000,1470000,0,8207000,43705000,1805000,267867000,2670000,0,177462000,110845000,79251000,275793000,251191000,46344000,84000,6643000,8990000,7793000,2679000,118200000,30798000,862000,522000,182000,229994000,228723000,951000,2691000,198324000,20837000,20029000,416735000,17087000,41504000,59700000,419397000,102572000,580000,253000,861000,18756000,251000,18230000,0,0,94000,0,9000,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI",0,94000,0,0,0,48000,0,0,0,1000,16000,0,0,868000,279000,128000,0,286000,0,0,0,7256000,0,60000,0,2000,0,1000,0,26000,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,1454000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",637000,26158000,0,0,15767000,1065000,0,0,0,6686000,1770000,23055000,4252000,11691000,10098000,0,0,0,0,19000,0,7130000,15215000,4000,0,0,2526000,21000,3000,13000,0,16000,13000,3853000,0,0,845474000,0,0,662000,0,3652000,382000,691000,1298000,0,0,7000,0,293000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",2514000,7257000,0,0,50330000,4378000,16642000,0,0,48200000,902000,26158000,3885000,12821000,16616000,517000,0,721000,87000,7700000,0,20462000,25931000,0,235000,1000,11332000,124000,10068000,53000,0,1542000,181000,474000,4000,27000,1517171000,6411000,2589000,11103000,0,24687000,2e+05,807000,160057000,0,0,0,9526000,110276000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGY",49273000,36861000,5970000,0,80103000,29370000,5388000,0,6172000,297626000,11906000,227093000,2380000,525718000,120249000,6103000,10000,129000,3979000,2521000,0,1579943000,257225000,1203000,30000,2000,85966000,16455000,36000,923000,9242000,39681000,34394000,10413000,1421000,47153000,323865000,33863000,1066000,32000,0,17000,0,0,17000,752000,2000,0,2291000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",5009000,6924000,0,0,1662000,3365000,1000,0,12000,64693000,4558000,2145000,4041000,35720000,12758000,1782000,3000,61000,48000,391000,0,27557000,30970000,90000,15000,0,4329000,340000,106000,0,0,298000,5694000,461000,0,84000,93758000,4628000,3669000,75000,0,0,0,0,0,0,0,0,784000,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FJI",1000,264000,0,0,4890000,2000,1000,0,0,178000,52000,25000,2000,12043000,73346000,26000,0,1046000,0,153000,0,1516000,12452000,0,0,476000,1095000,1000,54744000,9000,0,0,10597000,137000,53000,0,30453000,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLK",29000,32000,0,0,2000,0,0,0,0,21000,0,84000,0,322000,6093000,0,0,0,0,0,0,20000,882000,0,0,0,228000,0,0,113000,0,0,0,0,39000,0,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",348000,21151000,0,0,2393000,503000,41166000,0,292000,45969000,195000,172109000,0,345051000,99819000,12292000,88000,16000,0,1000,0,80937000,9510000,233000,0,0,71813000,20242000,0,0,0,4688000,0,3601000,0,0,684990000,5646000,2595000,1176000,0,0,16000,0,0,0,0,0,9666000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",3240000,10590000,5000,0,2575000,15539000,337000,0,424000,60493000,950000,17002000,758000,16170000,85922000,4613000,0,572000,937000,5941000,31000,2614000,65221000,0,2024000,0,18582000,9196000,6127000,32000,0,218000,6786000,3827000,10577000,6276000,124879000,355000,0,0,0,2000,0,0,0,0,0,0,158000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIB",0,356000,0,0,0,56000,19000,0,0,7000,14000,15748000,0,45000,6427000,34000,0,1000,0,6000,0,950000,11000,711000,24000,0,315000,0,0,4000,0,3000,0,63000,14000,1174000,1046000,0,0,3000,0,83000,0,0,0,0,0,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIN",2496000,842000,0,0,15656000,1405000,12000,0,0,42201000,441000,65560000,0,48020000,880000,0,0,6000,0,24658000,0,34671000,218000,0,0,0,1200000,14000,0,294000,0,129000,0,2000,0,0,138353000,19587000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMB",3000,9085000,802000,0,29000,6891000,0,0,0,680000,0,394000,0,4977000,5729000,118000,0,1033000,0,0,0,7346000,0,0,0,0,83000,0,0,0,0,4387000,0,0,0,0,0,1668000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNB",230000,52000,0,0,12000,231000,118000,0,0,2273000,0,956000,155000,1252000,644000,91000,0,954000,0,13000,0,1385000,8000,0,0,0,1734000,0,0,183000,0,8140000,0,3000,0,16000,1033000,0,1281000,6000,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNQ",11000,25000,2000,0,0,164000,0,0,0,7050000,1000,6251000,0,1398000,20000,32000,0,1000,0,0,0,2696000,4000,0,0,0,6014000,0,0,10000,0,0,0,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",6739000,7078000,68000,0,16892000,23056000,1000,0,0,47788000,1927000,3872000,18887000,9320000,14798000,0,0,237000,224000,18000,122000,49276000,55488000,41000,184000,0,24909000,5604000,85000,781000,0,6556000,0,8716000,0,840000,404946000,2996000,0,627000,0,1616000,6000,58577000,120000,825000,0,16000,153000,15859000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",129000,878000,0,0,15590000,20000,0,0,0,11731000,374000,3498000,74000,12514000,64889000,0,0,36000,0,42000,0,3930000,14760000,0,4000,0,595000,2531000,317000,11000,0,667000,0,613000,0,0,73641000,12000,0,768000,0,26053000,0,0,0,0,8000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HTI",163000,9378000,0,0,8725000,542000,1000,0,0,17370000,886000,782000,1261000,22300000,2493000,6000,11000,188000,0,17000,0,19017000,2081000,0,0,1000,3986000,92000,19000,0,0,36000,0,139000,0,0,350103000,0,0,585000,0,161000,0,0,0,0,0,4000,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",34194000,259593000,61101000,0,82045000,67050000,2335000,2289000,1462000,486125000,65447000,59006000,8381000,228439000,553084000,11086000,38000,160834000,55129000,18629000,1050000,183237000,1130806000,115225000,597000,245000,165387000,13583000,21507000,7052000,35605000,16096000,347086000,36267000,62380000,5800000,2323017000,18376000,6314000,477000,0,5416000,1531000,173000,513000,45720000,2047000,140000,24085000,264000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",19904000,91538000,231000,0,427364000,42550000,10200000,0,1595000,614052000,29578000,1788786000,129307000,967684000,152393000,101724000,1000,414000,578000,88000,63000,2635539000,4231434000,187492000,56000,10000,1496737000,11210000,22431000,98923000,0,328256000,571797000,142872000,56000,2066544000,1162199000,340373000,1453000,3000,0,4000,78036000,0,6000,34000,0,2000,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRQ",396000,345999000,222000,0,728000,2487000,5599000,202000,79410000,357043000,605000,517457000,81000,503960000,45066000,472030000,1000,11000,1111000,407000,38000,1186399000,141065000,2151000,52000,11000,128249000,101000,1751000,457000,0,170907000,3852000,124000,8000,1616926000,60434000,706808000,3000,10000,0,16000,0,3000,0,117000,1000,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
