"","AUS","AUT","BEL","BGR","BHR","BOL","CAN","CHE","CHN","CIV","CMR","COL","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","HKG","HUN","IND","IRL","IRN","IRQ","ITA","JPN","KOR","LBN","LBY","LKA","MDG","MLT","MWI","MYS","NLD","NOR","PAK","PHL","POL","PRT","SAU","SGP","SUN","SWE","SYR","TTO","USA","YUG","ARG","BRA","COG","GAB","IDN","ISR","NGA","NZL","PAN","SEN","THA","VNM","GTM","TUR","VEN","MMR","SDN","AGO","ALB","BEN","BHS","BMU","BRB","CAF","CHL","COD","CRI","CYP","DDR","DJI","DOM","DZA","ECU","GHA","GIN","GLP","GUF","GUY","HND","HTI","ISL","JAM","JOR","KEN","KHM","KIR","KWT","LAO","LBR","MAR","MEX","MLI","MOZ","MUS","NCL","NIC","OMN","PER","PNG","PRK","PRY","QAT","ROU","SLE","SLV","SOM","SUR","TGO","TUN","TZA","UGA","URY","ZAF","ZMB","AFG","BDI","CUB","ETH","FJI","GMB","GNB","MNG","MRT","NER","NPL","RWA","TCD","WSM","YMD","ZWE","BFA","GNQ","SPM","BLZ","KNA","GIB","MAC","ARE","GRL","SYC"
"JAM",452000,98000,471000,0,0,0,42532000,1322000,0,0,0,13000,0,2102000,111000,0,118000,255000,697000,63235000,0,41000,0,0,146000,4000,0,299000,882000,1000,0,0,1000,0,28000,2000,0,698000,23046000,2000,0,0,18000,0,0,0,7451000,0,3001000,150771000,0,9000,5000,0,0,0,0,0,475000,331000,0,0,0,273000,0,137000,0,0,0,0,0,0,0,1445000,0,1000,0,308000,0,0,0,0,0,0,3660000,0,295000,0,0,237000,0,11000,0,0,0,0,0,0,1000,0,0,22000,0,0,0,0,234000,0,153000,0,0,0,0,0,0,273000,0,0,1000,0,0,0,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,3000,0,0,0,0,0,0,1000,0,0,0,136000,3000,289000,2000,0,60000,475000,0,2000,0,6737000,39000,224000,0,111000,167000,37000,5734000,21000,57000,0,0,0,2000,98000,0,0,0,0,14000,14259000,10000,0,0,0,1000,66000,4477000,0,0,0,0,0,0,0,0,0,0,1000,0,0,1412000,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568000,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",1818000,1164000,1927000,0,0,0,5200000,2497000,0,3000,4000,1000,0,20842000,845000,1158000,975000,3419000,3694000,61676000,574000,1678000,0,5640000,989000,547000,0,4835000,4948000,0,67000,452000,419000,685000,19000,440000,796000,5251000,547000,1009000,7000,0,7000,1493000,1262000,0,6311000,0,16000,15632000,1801000,133000,5000,0,0,0,791000,287000,490000,0,511000,839000,1000,1000,341000,154000,17000,458000,0,0,0,0,0,48000,2000,0,0,0,0,0,0,0,0,0,118000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",37000,6000,219000,695000,0,0,1000,291000,1303000,35000,6000,0,413000,1262000,8000,0,268000,21000,9755000,1560000,0,9609000,0,4000,0,3000,0,2632000,7335000,0,0,0,0,1000,0,0,331000,1036000,0,0,29000,0,0,0,5521000,0,7000,0,0,2441000,331000,0,0,0,77000,9000,2000,0,0,76000,4562000,0,469000,0,0,11000,0,0,0,0,352000,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,71000,0,0,0,0,0,0,0,0,729000,0,0,4000,256000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,152000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540000
"KIR",31418000,0,18000,0,0,0,1000,0,0,2000,0,0,0,2243000,0,0,8000,236000,5884000,4544000,5000,68000,0,0,96000,0,0,281000,10945000,0,0,0,0,0,0,0,0,12000,1134000,0,0,0,0,0,325000,0,0,0,0,12587000,0,0,0,0,0,0,0,0,15211000,0,0,0,0,0,0,491000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39000,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",42934000,0,59278000,0,0,0,5617000,10055000,0,53000,2000,0,0,46588000,48427000,2295000,33055000,0,131727000,412730000,10000,1105000,0,1154000,0,6880000,0,293791000,488418000,48832000,903000,1000,3733000,1197000,0,0,17490000,160524000,7000,1704000,25314000,0,206000,10290000,113662000,0,6937000,0,0,29649000,0,6333000,18751000,79000,1000,0,0,0,28935000,0,0,7609000,0,0,175000,0,0,474000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,53000,0,0,0,0,0,0,0,0,0
"LAO",1000,0,0,0,0,0,0,5000,0,0,0,0,0,3000,16000,0,0,0,25000,4000,0,82000,0,1000,0,0,0,7000,7000,0,0,0,0,0,0,0,1901000,0,0,0,1000,0,0,0,47000,0,0,0,0,188000,0,0,0,0,0,0,0,0,0,0,0,1532000,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",9000,16000,28042000,0,0,0,860000,139000,0,47000,1000,0,0,69963000,501000,5000,988000,4000,15648000,20861000,8267000,0,0,0,0,0,0,20796000,39228000,433000,0,0,0,0,0,0,0,14127000,2035000,0,0,0,9000,0,0,0,4875000,0,0,60338000,463000,0,53000,12000,0,0,1564000,388000,0,0,0,0,0,0,0,17000,0,0,0,0,5000,0,0,0,0,56000,0,0,0,0,0,0,0,0,48000,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAR",702000,1303000,21956000,0,0,79000,413000,3235000,0,2261000,760000,0,0,49383000,4821000,164000,24960000,2531000,202927000,37654000,4799000,5000,0,3541000,5870000,826000,0,39584000,12011000,0,1531000,727000,1214000,793000,1431000,0,407000,13701000,4864000,43000,269000,0,5226000,230000,539000,0,10612000,0,93000,8604000,3545000,1e+05,596000,553000,769000,52000,0,454000,26000,7000,1981000,480000,1054000,0,38000,92000,7000,0,0,0,315000,0,0,0,368000,297000,0,57000,0,0,0,0,0,4000,650000,0,962000,46000,0,11000,0,17000,0,0,0,0,0,0,54000,0,0,52000,65000,0,0,0,6000,0,3000,0,0,0,0,0,0,69000,0,0,136000,1427000,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,150000,0,0,98000,0,0,0,120000,0,0,0,0,0,0,0,0,0
"MEX",5096000,2247000,6610000,1000,0,985000,59261000,9745000,0,0,0,24384000,156000,78021000,1567000,1000,11719000,1464000,28786000,34858000,212000,3669000,120000,386000,234000,5000,13000,54565000,215567000,2963000,690000,277000,5000,0,474000,0,568000,10643000,368000,2000,4099000,998000,4498000,1000,1397000,10000,2501000,13000,373000,1029313000,1149000,21543000,20999000,0,4000,11000,410000,14000,460000,2526000,113000,611000,60000,9017000,92000,20920000,0,11000,0,0,0,7261000,208000,131000,0,21174000,0,4274000,4000,1012000,0,1078000,59000,1236000,1000,2000,43000,0,314000,2332000,191000,0,324000,3000,0,0,0,10000,10000,303000,25000,0,1000,0,0,53000,2209000,0,6491000,0,0,293000,0,59000,0,3160000,0,32000,0,47000,0,0,1555000,185000,5000,0,0,28000,6000,7000,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0
"MLI",0,0,18000,7000,0,0,0,29000,0,184000,1000,0,46000,95000,288000,54000,99000,0,4372000,556000,25000,0,1000,0,0,0,0,438000,2505000,0,4000,1000,0,1000,0,0,0,166000,0,0,0,0,79000,14000,0,411000,70000,0,0,13000,1271000,0,0,0,0,0,0,1000,0,0,614000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,224000,0,4419000,83000,0,0,0,0,0,0,0,0,0,0,0,0,0,212000,17000,2000,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000,19000,0,0,0,0,0,0,1052000,0,0,0,0,0,0,0,0,0
"MOZ",175000,2352000,8203000,0,0,0,838000,773000,0,0,0,0,0,6750000,1165000,983000,5374000,447000,5078000,9647000,189000,346000,0,23866000,539000,222000,0,8727000,20094000,0,2000,0,0,0,6000,723000,1221000,5734000,567000,7000,39000,0,61137000,22000,1559000,0,970000,0,9000,16122000,0,14000,124000,0,0,0,339000,11000,66000,0,0,262000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",120000,9000,115000,0,0,0,13069000,162000,0,0,0,0,0,168000,0,0,0,0,166000,52172000,0,25000,0,59000,89000,0,0,214000,64000,0,0,0,0,188000,0,0,572000,351000,0,0,0,0,2000,0,3000,0,0,0,0,6787000,0,0,0,0,0,0,0,0,78000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCL",573000,267000,555000,0,0,0,2630000,11000,0,0,0,0,0,5949000,78000,0,197000,2000,51991000,9000,0,0,0,0,0,0,0,1657000,72931000,0,0,0,0,6000,0,0,0,189000,0,0,0,0,1000,0,0,0,405000,0,0,4663000,0,0,0,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIC",15000,693000,2665000,0,0,4000,1806000,790000,0,0,0,12000,0,19948000,2826000,0,350000,43000,1025000,2392000,0,1189000,0,0,415000,0,0,3794000,32579000,0,0,0,0,0,0,0,0,2664000,80000,1000,113000,0,1397000,0,182000,0,319000,0,0,55556000,0,6000,15000,0,0,0,0,0,0,854000,0,135000,0,4593000,0,481000,0,0,0,0,0,0,0,0,0,0,0,13550000,0,0,0,39000,0,11000,0,0,487000,1000,0,6400000,342000,0,512000,0,0,0,0,0,0,0,241000,84000,1000,0,0,0,0,0,23000,0,0,0,0,0,0,6259000,0,0,0,0,0,0,0,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OMN",17731000,0,6978000,0,0,0,13803000,0,0,0,0,0,0,107574000,21060000,14000,0,0,108276000,97497000,0,520000,0,105000,6000,1599000,0,5703000,64063000,0,0,0,0,0,0,0,0,34760000,0,12142000,0,0,0,61000,215000,0,48865000,0,0,0,0,419000,738000,0,0,0,0,0,0,0,0,10890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
"PER",1308000,7434000,38005000,0,0,2203000,2622000,13257000,2000,0,0,7271000,1382000,134422000,3410000,0,24730000,3095000,34099000,33362000,856000,335000,4749000,3372000,3035000,110000,91000,27169000,210710000,2627000,280000,2000,110000,0,165000,2000,685000,40280000,1257000,1000,1814000,11924000,1798000,43000,2573000,0,7286000,21000,1526000,313236000,7066000,14143000,8362000,0,0,0,2320000,0,46000,169000,0,26000,0,349000,75000,5558000,0,284000,0,0,0,77000,0,4000,0,9634000,0,242000,3000,5793000,0,8000,0,2039000,1000,0,13000,0,6000,101000,2000,102000,46000,103000,1000,0,0,339000,0,1000,0,10946000,0,0,0,3000,87000,0,0,0,0,34000,0,243000,0,418000,0,0,0,0,0,0,821000,403000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365000,0,0,0,0,0,0,0,0,0,0,0,0
"PNG",31351000,1096000,0,0,0,0,0,0,0,0,0,0,0,0,142000,0,0,0,0,16830000,0,6000,0,424000,43000,9000,0,0,8217000,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453000,0,0,0,0,7115000,0,0,0,0,0,0,0,0,513000,0,0,0,0,0,0,33000,0,0,0,0,0,0,0,0,0,41000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,29000,2871000,0,0,0,0,2104000,0,18000,162000,0,0,6127000,21000,795000,38000,8000,162000,1057000,1000,3300000,0,1000,25000,33000,0,299000,32188000,0,0,0,4000,0,0,0,0,2622000,248000,498000,0,0,0,2105000,1853000,0,12000,0,0,0,0,0,0,27000,0,340000,0,0,0,0,0,20000,0,0,0,6000,189000,29000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,1358000,0,0,12000,0,0,555000,11000,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRY",9000,171000,1549000,0,0,25000,1018000,1022000,0,24000,7000,181000,0,6854000,736000,0,2594000,77000,5395000,5095000,269000,150000,0,2000,16000,5000,0,816000,1634000,0,33000,0,0,73000,3000,0,0,2226000,45000,0,46000,10000,8000,0,0,0,80000,0,5000,12164000,0,15887000,402000,55000,0,0,10000,0,0,3000,16000,0,35000,0,0,105000,0,0,0,0,0,0,0,0,0,1807000,0,0,0,0,0,0,35000,668000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382000,0,0,0,0,7000,0,343000,0,0,0,0,0,0,0,0,0,0,104000,0,0,2099000,43000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QAT",29669000,0,11429000,0,0,0,0,0,0,0,0,0,0,6938000,0,151000,0,0,33271000,59379000,0,0,0,7706000,0,65000,0,48169000,83493000,0,85000,0,0,5071000,0,0,0,12062000,0,178000,0,0,0,777000,0,0,6934000,0,0,34458000,0,10639000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",769000,15117000,6182000,0,0,652000,6609000,7430000,0,153000,56000,1180000,0,119069000,2147000,12558000,11065000,5236000,53706000,59930000,12655000,19000,0,10143000,1408000,27399000,0,99256000,14260000,0,12755000,8321000,2509000,170000,1519000,0,129000,9154000,1081000,5515000,0,0,3142000,1945000,105000,0,10177000,0,141000,7968000,24978000,4676000,11249000,21000,10000,1000,17609000,523000,35000,24000,60000,46000,0,4000,7546000,219000,88000,2769000,0,0,368000,0,0,13000,10000,41000,0,5000,0,0,0,0,0,4000,647000,0,0,0,0,26000,0,41000,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,108000,0,0,5000,0,0,0,1000,0,0,344000,1304000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,21000,2000,0,0,10000,0,0,0,0,0,0,0,0,0
"SLE",34000,8000,669000,0,0,0,134000,75000,0,9000,0,0,0,10569000,288000,5000,6000,6000,267000,86790000,0,67000,0,1441000,322000,0,0,1157000,7955000,0,0,0,0,11000,0,1000,0,10756000,6000,0,0,0,0,0,0,0,7000,0,0,16542000,0,0,0,0,0,0,0,213000,7000,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",8000,2115000,549000,0,0,1000,1935000,1608000,0,24000,0,2000,0,54915000,2107000,0,50000,2613000,503000,408000,0,4000,407000,2000,0,41000,0,455000,19482000,4000,0,0,0,0,0,0,0,2684000,476000,11000,0,2177000,0,0,0,0,371000,0,3000,40730000,0,8000,19000,0,0,0,1000,0,1000,526000,0,0,3000,33238000,0,64000,0,273000,0,0,0,0,0,1000,0,21000,0,14233000,0,0,0,192000,0,13000,7000,0,0,0,0,12395000,14000,0,42000,0,0,0,0,0,0,0,0,78000,0,0,0,0,11853000,0,6000,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2113000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOM",0,0,545000,0,0,0,0,538000,0,0,0,0,0,186000,0,183000,12000,10000,647000,209000,482000,89000,0,30000,0,2000,0,14723000,155000,0,15000,1000,2000,0,0,0,0,4000,16000,0,0,0,0,2385000,0,0,1000,0,6000,621000,0,0,0,0,0,0,8000,4000,0,0,0,0,7000,1000,11000,5000,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUR",17000,827000,594000,0,0,0,7526000,119000,0,0,2000,2000,0,20962000,78000,0,0,11000,4234000,983000,15000,0,0,0,6000,0,0,10251000,3677000,0,0,0,0,0,0,0,0,14360000,10140000,0,0,0,0,0,0,0,0,0,333000,56179000,0,655000,550000,1000,0,0,0,0,0,1000,0,0,0,0,0,22000,0,0,0,0,0,0,0,321000,0,0,0,0,0,0,0,0,0,0,0,0,810000,797000,0,2000,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGO",0,11000,5946000,0,0,0,3000,150000,0,21000,23000,0,0,13293000,370000,0,3000,0,23381000,1328000,186000,0,0,0,7000,0,0,1904000,3562000,0,0,0,0,0,0,0,0,10367000,0,0,0,0,0,0,0,992000,0,0,0,271000,0,0,0,32000,24000,0,37000,38000,0,0,3000,0,0,0,0,0,0,0,0,0,1745000,0,0,0,19000,0,40000,0,0,0,0,0,4000,0,1e+05,1000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,113000,0,0,0,0,0,0,154000,0,0,0,0,0,0,0,0,0
"TUN",1000,905000,747000,8102000,0,0,19000,5541000,0,986000,812000,0,950000,22414000,575000,11000,1732000,177000,42190000,6801000,4360000,88000,326000,507000,1688000,652000,16000,28328000,195000,0,354000,8874000,193000,25000,218000,0,0,198000,148000,1000,0,4494000,0,14000,0,4808000,2616000,0,0,1971000,6186000,386000,82000,338000,573000,71000,0,10000,0,0,343000,2000,1234000,0,51000,1000,0,1000,0,0,204000,0,0,0,199000,0,989000,0,0,289000,0,0,4259000,0,0,0,0,0,0,0,0,0,0,0,0,635000,0,6000,0,0,577000,0,15000,0,0,0,0,0,0,0,0,0,0,430000,0,0,0,0,2000,0,0,0,255000,0,239000,0,0,0,2000,0,0,0,0,0,29000,0,0,89000,0,0,0,32000,0,0,0,0,0,0,0,0,0
"TZA",2767000,1226000,5795000,0,0,0,3541000,3856000,0,0,0,4000,0,13067000,1714000,862000,2163000,148000,4502000,57485000,574000,12834000,0,25481000,2223000,187000,0,7061000,13597000,14000,45000,0,1000,57000,1000,90000,613000,5199000,271000,380000,3000,0,30000,1143000,17114000,0,2036000,0,17000,20251000,1788000,15000,0,0,0,4051000,191000,12000,1803000,0,530000,8000,0,1000,0,163000,78000,178000,0,0,0,0,0,1000,0,0,0,5000,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGA",7567000,1420000,124000,0,0,0,6157000,1786000,0,0,0,0,0,7957000,47000,151000,1880000,192000,574000,41916000,0,8361000,0,5814000,738000,16000,0,1998000,26896000,0,0,178000,142000,0,8000,5000,0,1993000,495000,1000,0,0,0,0,0,0,2066000,0,0,42152000,1328000,14000,3000,0,0,0,1835000,3000,672000,0,0,0,0,0,0,0,0,1632000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"URY",7000,5776000,6835000,0,0,154000,287000,5859000,0,730000,0,5179000,0,18603000,1565000,104000,16357000,246000,8784000,31486000,9140000,6625000,0,114000,3e+05,180000,0,16835000,2255000,0,0,0,0,0,0,0,0,6017000,52000,0,46000,0,75000,0,12000,0,1281000,0,27000,15075000,623000,3678000,12010000,0,0,0,4434000,0,0,17000,685000,0,0,12000,98000,260000,0,0,0,0,0,0,0,37000,0,3936000,0,44000,0,0,0,0,0,96000,74000,0,67000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1631000,0,0,0,0,7000,0,2336000,0,0,980000,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",23495000,16153000,97874000,0,0,769000,42495000,9242000,0,0,0,652000,0,238621000,5248000,394000,39378000,4801000,86344000,812950000,6243000,23594000,0,291000,6375000,4039000,0,68353000,327345000,1373000,1183000,0,1804000,0,164000,10870000,4000,25407000,8849000,0,5000,0,3619000,148000,0,0,15268000,0,0,247306000,1379000,6489000,5663000,2e+05,112000,2000,5790000,88000,4142000,755000,126000,5029000,56000,93000,552000,1139000,73000,0,0,0,0,0,0,0,54000,922000,0,46000,0,0,0,0,0,228000,90000,0,5000,0,0,52000,0,205000,0,0,0,2000,0,0,2000,0,0,1535000,0,0,0,0,34000,0,1160000,0,0,7000,0,0,0,71000,0,0,2000,0,0,0,0,0,0,0,0,0,0,430000,0,0,0,0,5000,0,0,36000,137000,0,0,5000,0,0,0,0,0,0,0,0,0
"ZMB",315000,9259000,492000,0,0,0,2738000,14316000,0,0,0,0,0,131317000,455000,453000,14817000,4211000,97756000,253719000,6984000,160000,0,20500000,1133000,34000,0,99095000,288705000,295000,336000,0,0,0,0,3164000,949000,9053000,6000,37000,0,0,1742000,2000,4929000,0,27809000,0,66000,4765000,3109000,436000,11348000,137000,0,810000,591000,7000,0,0,0,191000,0,30000,4000,234000,0,3000,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,122000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135000,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",40000,162000,123000,5000,4000,7000,44000,1670000,505000,4000,4000,0,1639000,14162000,128000,5000,10000,28000,1331000,17431000,2178000,1000,0,13701000,2000,355000,23000,425000,214000,0,1526000,4000,0,228000,1000,1000,12000,46000,56000,17219000,0,77000,0,1000,114000,31163000,496000,53000,14000,7459000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,3000,1626000,0,0,0,0,0,0,0,8000,0,0,797000,29000,1000,391000,0,328000,2338000,0,0,0,0,5000,0,0,595000,48000,0,0,0,0,0,0,0,0,3000,0,0,0,0,70000,0,0,0,0,0,0,17369000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",83000,2e+05,2188000,0,0,0,7176000,1379000,0,1000,1000,0,0,2699000,431000,677000,42419000,3917000,14852000,12983000,7000,126000,0,0,510000,0,0,8281000,68044000,27000,46000,52000,3311000,32000,16000,0,1764000,6765000,744000,1000,0,0,0,32000,6000,0,2095000,0,0,15000,3032000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,1000,4000,0,0,55000,0,0,3000,2000,0,0,0,0,0,0,0,0,0,0,0,472000,1000,0,0,0,0,0,0,0,5000,0,0,0,0,0,21000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
