"","ALB","AUS","AUT","BEL","BFA","BGR","BHR","BRA","CAN","CHE","CHN","CSK","DDR","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","GTM","HKG","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JOR","JPN","KEN","KOR","KWT","LBN","LBY","LKA","MEX","MUS","MWI","MYS","NCL","NLD","NOR","NZL","PAK","POL","PRT","ROU","SAU","SGP","SLE","SUN","SWE","SYR","TCD","THA","TUN","TUR","USA","YUG","ZAF","ARG","CAF","CHL","COD","COG","DZA","GAB","GHA","MAC","MAR","MDG","MLT","NER","NGA","PHL","PRY","SEN","SLV","VEN","ZMB","AFG","COL","ETH","NIC","PER","CYP","ECU","JAM","SDN","SOM","AGO","ARE","BDI","BEN","BGD","BHS","BLZ","BMU","BOL","BRB","CIV","CMR","CRI","CUB","DOM","FJI","GIB","GIN","GLP","GMB","GUF","GUY","HND","HTI","KNA","LBR","MLI","MMR","MOZ","NPL","OMN","PAN","PNG","PRK","SHN","SUR","TGO","TTO","TZA","UGA","URY","VNM","DJI","FLK","KHM","KIR","LAO","MNG","MRT","QAT","RWA","SYC","WSM","YMD","GNB","GNQ","SPM","GRL","ZWE"
"NZL",0,260439000,3059000,29679000,0,764000,92000,860000,47762000,5297000,16151000,4603000,2668000,55662000,8250000,1846000,17753000,4604000,92324000,591194000,46840000,23000,24404000,1460000,13916000,734000,8967000,30259000,12161000,183000,125000,40677000,242000,367879000,692000,15477000,5998000,1170000,88000,1832000,3904000,3740000,1143000,38677000,16889000,17743000,7799000,0,5448000,16573000,1203000,2225000,1917000,33170000,15000,37029000,9900000,2772000,0,11567000,627000,645000,281902000,10532000,10769000,738000,0,491000,71000,0,291000,0,5942000,178000,899000,1075000,5043000,0,4806000,37282000,0,1498000,657000,2150000,854000,3000,74000,43000,377000,34262000,3099000,15000,16755000,4000,8000,8000,2322000,32000,0,1548000,641000,4000,2928000,0,5795000,53000,262000,1011000,0,2270000,32488000,233000,0,1709000,14000,325000,670000,52000,43000,21000,14000,35000,4000,2567000,595000,303000,5062000,5414000,0,0,9000,0,10961000,536000,67000,288000,354000,0,0,5000,2803000,88000,0,0,230000,0,3000,8486000,0,0,0,0,0,6000
"PAK",0,6143000,3519000,18544000,735000,1116000,5091000,296000,7725000,8451000,13459000,3438000,1893000,71543000,11980000,368000,19373000,1029000,35372000,83909000,4979000,43000,131703000,3660000,13669000,22651000,1337000,33362000,16007000,66000,70000,35828000,665000,88531000,1329000,333000,33948000,1727000,4949000,31167000,2961000,1334000,2353000,4274000,13000,18669000,3767000,937000,0,14987000,750000,9395000,43443000,12065000,297000,29618000,14192000,1370000,266000,2217000,3238000,3672000,54362000,12404000,1336000,105000,7000,79000,364000,53000,7312000,0,4272000,15000,162000,7035000,1162000,777000,2276000,5474000,16000,11143000,31000,355000,627000,7458000,82000,746000,6000,7258000,428000,74000,414000,43934000,1490000,0,39283000,173000,7000,26755000,0,0,54000,7000,184000,461000,1033000,47000,0,1460000,378000,3000,2000,4000,21000,0,36000,32000,2000,0,127000,58000,1463000,0,98000,11115000,73000,61000,1060000,0,34000,27000,120000,850000,369000,134000,19000,0,0,0,0,4000,0,33000,3815000,0,2000,95000,1606000,364000,1000,0,0,0
"POL",0,8349000,146921000,122704000,1022000,0,1565000,90928000,40120000,39824000,0,0,0,577781000,183205000,35837000,125329000,167656000,352643000,252874000,38404000,87000,4752000,0,42231000,124791000,30374000,35453000,43104000,4586000,46000,306441000,2623000,79905000,1190000,208000,23780000,0,36822000,705000,1760000,22000,1000,2912000,76000,142799000,70074000,1172000,23593000,0,9446000,0,4672000,4075000,0,0,196839000,16409000,814000,12132000,16101000,29606000,257735000,199131000,0,31565000,72000,8087000,2934000,66000,4.4e+07,34000,5521000,0,41877000,923000,1817000,61000,23974000,89000,66000,4154000,6000,5129000,56000,290000,3957000,877000,1123000,2686000,1116000,1483000,758000,15686000,18000,0,0,154000,0,0,0,0,98000,0,36000,1525000,4120000,215000,0,0,43000,0,0,84000,955000,11000,0,480000,467000,0,3120000,172000,48000,0,0,0,1139000,47000,0,0,0,1011000,239000,376000,209000,4518000,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0
"PRT",45000,13793000,32895000,65960000,3000,4965000,2395000,33791000,28176000,61063000,459000,3753000,3554000,226336000,53388000,339000,53277000,37382000,151965000,401005000,23757000,1786000,1544000,1892000,2351000,282000,13393000,1847000,4848000,2234000,9941000,72214000,445000,25466000,67000,1014000,118000,8156000,5504000,11000,2259000,186000,4757000,3016000,164000,50998000,55129000,2622000,3423000,3638000,0,6875000,714000,1675000,0,18309000,161234000,77000,14000,941000,2630000,8116000,166036000,768000,13745000,7035000,214000,182000,2301000,294000,967000,281000,0,1060000,12992000,0,1154000,181000,3516000,4671000,84000,2509000,1798000,9572000,152000,59000,883000,0,142000,3273000,3297000,631000,333000,67000,1000,68480000,0,1000,1000,14000,164000,157000,351000,1553000,86000,2148000,6000,268000,1022000,1791000,79000,547000,298000,344000,8000,14000,9000,211000,30000,0,41000,72000,8000,49578000,0,2000,4e+05,162000,4000,0,130000,23000,806000,13000,0,283000,1000,4000,0,0,0,1000,0,44000,0,0,1000,0,0,40938000,6000,0,0,0
"ROU",0,2290000,64443000,27340000,152000,0,1078000,21481000,18912000,32930000,0,0,0,402457000,32250000,143843000,106376000,10999000,174283000,78056000,29492000,87000,235000,0,32088000,39753000,2363000,166598000,35357000,54000,34548000,244056000,27595000,45619000,783000,0,9770000,0,98064000,6025000,5720000,13000,0,2075000,29000,108178000,6444000,487000,24722000,0,14561000,0,4684000,1882000,0,0,66587000,69059000,93000,1651000,12095000,59586000,147142000,115495000,0,34163000,725000,3517000,2110000,195000,36467000,103000,1060000,0,18182000,54000,3362000,19000,10205000,5680000,0,2171000,0,1173000,858000,160000,2745000,509000,4808000,7871000,1353000,174000,25000,12065000,521000,0,0,443000,0,0,0,0,1000,0,14000,849000,61000,2901000,0,0,13000,0,0,52000,202000,8000,0,42000,108000,0,278000,136000,233000,0,0,0,78000,112000,0,0,0,0,80000,1143000,45000,153000,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0
"SAU",5000,273515000,16379000,1052379000,12000,0,590677000,1127752000,734034000,46009000,34000,0,2153000,1595111000,144293000,133225000,1705879000,125865000,3047280000,1899723000,443906000,0,3808000,0,29907000,6012000,59301000,1860000,51000,0,0,2351158000,72395000,6139280000,73783000,605355000,9270000,52733000,83000,90269000,0,6000,37000,80341000,1870000,1101524000,2349000,34527000,172289000,16553000,61876000,0,0,707307000,317000,4000,212388000,2742000,27000,294944000,28542000,92518000,2988294000,0,2000,12925000,7000,90703000,14564000,0,1316000,0,4000,181000,10311000,33720000,0,3000,563000,389792000,5000,1000,0,17000,109108000,3343000,12000,43894000,0,0,1524000,0,0,4270000,1350000,0,15114000,7000,0,2000,976452000,0,0,0,74000,14604000,3000,3000,0,0,2948000,0,0,3000,0,0,0,7000,0,0,44429000,11000,0,2573000,0,2115000,145051000,6717000,0,0,0,394000,393081000,19513000,3000,0,435000,1075000,0,0,0,3000,2000,51000,5552000,0,0,0,19000,0,6000,0,0,0
"SGP",56000,169583000,5772000,17328000,0,7041000,12594000,30438000,44999000,13887000,41509000,1922000,2379000,166943000,9175000,12940000,8230000,2490000,69477000,142032000,1554000,66000,387787000,721000,343108000,5724000,3279000,33208000,10106000,132000,5517000,24303000,446000,400063000,3802000,13641000,10939000,3177000,2520000,16986000,6010000,4321000,1012000,299342000,23029000,52860000,14575000,53592000,19867000,16463000,2344000,13250000,47998000,0,0,53087000,17153000,7313000,0,64307000,395000,7411000,563986000,9259000,0,12597000,0,784000,260000,119000,5642000,93000,5666000,7000,802000,947000,936000,0,6620000,22548000,0,0,32000,3489000,2944000,4638000,3432000,3023000,79000,584000,220000,76000,438000,2801000,4661000,446000,54574000,45000,0,26899000,0,0,0,0,0,139000,0,22000,81000,481000,22477000,0,0,74000,177000,65000,0,0,299000,0,548000,0,13048000,3753000,1845000,22565000,73000,38798000,7799000,0,0,0,806000,2843000,777000,208000,78799000,0,0,3601000,0,6700000,0,0,0,0,0,2346000,2695000,0,0,0,0,0
"SLE",0,26000,229000,121000,0,0,0,0,3706000,2000,0,0,0,22341000,919000,0,199000,22000,440000,13389000,151000,0,0,0,0,208000,89000,12000,0,0,0,303000,0,14779000,0,0,0,0,0,0,199000,0,0,0,0,3364000,16000,10000,0,0,0,0,56000,0,0,0,122000,0,0,0,0,0,40609000,0,0,0,0,0,0,0,0,0,116000,0,16000,0,41000,22000,174000,0,0,24000,0,0,7000,0,0,0,0,0,0,0,36000,0,0,0,0,0,0,0,0,0,0,0,0,59000,7000,0,0,0,0,0,0,0,614000,0,0,0,0,0,994000,14000,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUN",0,5325000,312341000,299539000,1750000,0,351000,24750000,25060000,121081000,0,0,0,938324000,172406000,232885000,141842000,1272816000,771160000,521181000,102944000,42000,26770000,0,37386000,256796000,4e+07,168036000,102995000,50607000,0,879131000,5193000,1168610000,551000,2074000,5195000,0,22263000,15902000,4278000,164000,3000,5374000,41000,302068000,86157000,3433000,5e+07,0,55577000,0,3787000,7688000,0,0,528877000,54427000,212000,8814000,5429000,73565000,265922000,806560000,0,21941000,720000,43000,1739000,827000,73815000,14000,8163000,4000,73615000,134000,3117000,108000,24434000,162000,0,8045000,0,440000,189000,83417000,1535000,4500000,132000,5976000,19998000,1060000,43000,6650000,11807000,0,0,423000,0,0,0,0,6000,0,19000,22310000,3023000,1248000,0,0,8000,0,0,7000,330000,1000,0,59000,0,0,1033000,1106000,4306000,0,0,0,15000,34000,0,0,0,3617000,139000,3985000,5241000,1563000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SWE",1140000,230138000,239452000,540538000,187000,37824000,7436000,338448000,260374000,361720000,41042000,67771000,153511000,1867088000,1471664000,36846000,338823000,1211187000,942031000,1954896000,114692000,5211000,17233000,75001000,14761000,81467000,80247000,150830000,91978000,29356000,67252000,511886000,10648000,198918000,24044000,13414000,35253000,22446000,31244000,5117000,78618000,1408000,1046000,44864000,2276000,670827000,1858266000,47647000,18886000,347900000,94821000,49556000,33913000,34393000,613000,292540000,0,18831000,210000,23147000,18759000,38109000,921411000,112397000,138157000,48838000,95000,13097000,12686000,369000,95058000,226000,8350000,7000,47734000,1084000,4166000,261000,66335000,21579000,3676000,2263000,4204000,39488000,30408000,1291000,25751000,6823000,1433000,52715000,3452000,12067000,5460000,5784000,517000,7813000,21259000,850000,352000,7985000,304000,1e+05,214000,16520000,492000,5599000,1817000,8364000,44303000,4219000,1229000,268000,334000,1172000,1263000,71000,451000,1538000,408000,80000,18813000,196000,989000,3353000,305000,7785000,4414000,1450000,66775000,2000,658000,193000,3552000,19489000,2510000,5345000,31686000,191000,2000,16000,120000,83000,15000,1052000,5529000,670000,164000,76000,1058000,760000,0,0,0,1000
"SYR",0,30000,56000,35545000,0,3258000,158000,62000,1187000,188000,22739000,12613000,22044000,85617000,262000,14423000,781000,49000,146547000,10876000,169073000,2000,238000,3825000,4000,1000,180000,6409000,23659000,3000,0,322372000,20747000,3371000,0,46000,6375000,8739000,3688000,0,0,0,0,2000,0,809000,5000,21000,2000,513000,351000,20586000,192823000,77000,0,64458000,6e+05,0,0,0,66000,23356000,2294000,1258000,0,4000,0,0,47000,0,2658000,0,2000,0,1000,6000,1000,0,0,0,0,12000,0,9000,0,0,1000,0,0,0,2532000,11000,5000,521000,0,0,898000,0,0,0,0,99738000,0,0,0,4000,13000,0,714000,0,0,0,0,0,0,0,0,1000,6000,0,24000,0,0,0,17000,14000,0,0,7066000,0,0,0,1000,0,26000,0,0,0,0,0,0,0,0,0,475000,0,0,0,28000,0,0,0,0,0
"TCD",0,0,1208000,4332000,0,0,0,0,0,154000,0,0,0,7868000,104000,1000,1628000,34000,11015000,33000,735000,0,737000,0,0,0,0,3000,1000,0,0,764000,0,4301000,0,0,0,0,47000,0,0,1000,0,0,0,1e+05,0,0,2000,0,2287000,0,9000,0,2000,0,1000,0,0,0,0,0,4641000,0,0,0,116000,0,1684000,1198000,0,169000,68000,0,561000,0,0,1646000,8148000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,71000,0,0,0,0,48000,0,0,0,0,0,0,28000,383000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0
"THA",17000,22459000,7988000,30197000,23000,0,3721000,1347000,5955000,15351000,19203000,0,62000,134966000,7669000,2344000,6439000,1889000,41186000,30062000,797000,242000,146269000,14000,34654000,20798000,1046000,46807000,9546000,130000,489000,16079000,527000,723829000,3000,44802000,4423000,1326000,96000,50418000,334000,8207000,0,139455000,76000,151082000,4153000,3356000,9571000,3549000,764000,164000,14737000,171499000,0,9651000,13244000,153000,43000,0,1228000,101000,241297000,1542000,4077000,294000,39000,19000,138000,102000,339000,0,192000,559000,14880000,7576000,8000,1000,1607000,36648000,0,8772000,3000,183000,585000,645000,121000,1098000,5000,10504000,56000,11000,63000,120000,11352000,2163000,1228000,1000,98000,6071000,29000,0,63000,0,21000,912000,587000,2000,0,1000,1601000,16000,0,3000,839000,0,6000,3000,0,30000,36000,0,2574000,142000,150000,5499000,13000,211000,1000,0,1000,0,36000,6636000,132000,20000,2603000,329000,0,2983000,0,10622000,0,17000,273000,26000,1000,5000,684000,53000,0,0,2000,0
"TUN",0,40000,5671000,6696000,66000,8653000,7000,9488000,107000,20375000,6007000,12646000,1874000,116328000,252000,561000,3058000,189000,153828000,6586000,124641000,0,0,54000,11082000,0,434000,25000,2000,2076000,0,136133000,0,402000,0,0,19000,148000,44657000,0,0,0,0,114000,54000,24146000,1893000,0,20000,20356000,3000,3292000,14000,5573000,0,9024000,2024000,2730000,1000,0,0,26164000,28035000,10025000,0,0,125000,0,684000,261000,34785000,198000,0,0,393000,723000,436000,7000,70000,0,704000,466000,0,0,56000,66000,0,981000,0,0,0,0,0,0,0,0,0,0,113000,0,0,0,0,0,0,5114000,896000,0,0,0,0,0,0,80000,0,8000,0,0,0,0,0,2000,780000,0,0,0,0,0,0,0,0,22000,1000,0,0,1504000,0,0,0,0,0,0,0,5000,13000,0,0,0,0,0,0,0,0,0
"TUR",81000,3546000,40905000,33036000,5000,6867000,17000,477000,3322000,37367000,1575000,4181000,7598000,322460000,32710000,14517000,31871000,4005000,87281000,76377000,7e+05,9000,14273000,12880000,5236000,345000,5307000,55066000,23564000,73000,5315000,103714000,10039000,42328000,4000,3000,12210000,66456000,27695000,63000,4000,0,0,1699000,20000,44143000,11524000,449000,1046000,10541000,19246000,6629000,3929000,1634000,0,73641000,56559000,28163000,0,17202000,7317000,0,141296000,9120000,770000,21000,0,64000,985000,2000,10296000,0,15000,0,6951000,61000,262000,0,4181000,482000,6000,0,0,145000,1000,11000,5000,45000,0,1000,62000,1000,6000,4000,0,0,0,0,0,0,0,0,11000,0,6000,41000,51000,1000,0,1000,9000,0,0,7000,3000,0,0,0,14000,0,4000,1000,0,0,0,0,38000,1000,0,0,0,0,16000,1000,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",663000,1937691000,275228000,1941567000,10677000,29302000,91856000,3380446000,23113543000,1004209000,303634000,52893000,17179000,5448354000,623405000,756931000,2584488000,416443000,4083263000,5123507000,392549000,250670000,799559000,76049000,670005000,1407591000,271522000,2316482000,370461000,45219000,1001504000,3333669000,76348000,11610847000,67252000,1882699000,430416000,364199000,141538000,47737000,3797323000,16621000,9419000,376861000,65205000,3406977000,675103000,445271000,287171000,580092000,480517000,189279000,721426000,1276603000,8589000,1833236000,1185596000,109317000,6250000,471411000,95573000,413158000,0,417418000,1300519000,643853000,2353000,446762000,116060000,8642000,672900000,17973000,127549000,4665000,196075000,14493000,30162000,12087000,662366000,838876000,25447000,42883000,187605000,2821855000,115745000,22774000,614478000,22693000,166547000,741568000,10223000,386080000,422063000,78208000,3728000,52650000,361363000,3094000,13545000,379614000,202342000,25884000,68938000,133799000,41812000,79259000,39375000,237860000,35000,445352000,10755000,785000,24100000,28025000,1578000,3129000,88403000,170300000,77181000,39676000,104157000,5299000,29131000,17849000,3945000,72312000,248162000,41395000,2000,2000,78665000,7918000,323698000,96028000,4157000,53762000,98317000,3433000,11000,32592000,1212000,3129000,43000,14306000,49978000,2508000,443000,2854000,2711000,2526000,5000,60000,8373000,1246000
"YUG",14829000,5244000,81529000,45868000,8000,54934000,305000,7412000,18579000,38112000,12398000,244378000,189262000,836016000,15892000,54029000,14065000,8224000,118618000,52450000,25885000,126000,513000,86387000,8121000,13298000,944000,15878000,15280000,723000,13842000,340211000,1242000,19044000,3192000,3723000,6164000,11585000,52117000,1122000,2964000,124000,31000,602000,49000,61708000,16416000,650000,12064000,181742000,985000,102334000,5709000,776000,49000,1012385000,37803000,6334000,2000,1553000,11429000,17611000,263927000,0,5000,1998000,6061000,383000,716000,29000,3098000,5842000,6214000,0,7109000,67000,2374000,7000,17089000,5799000,0,131000,2000,1840000,8567000,83000,4124000,573000,11000,72000,1098000,4040000,1018000,3200000,176000,144000,0,147000,0,4301000,0,0,9000,12000,24000,159000,1e+05,318000,6032000,553000,7000,0,3943000,127000,32000,35000,7000,29000,1000,2381000,626000,2060000,2523000,142000,6000,215000,191000,713000,19397000,0,0,18000,47000,3196000,2577000,5000,1396000,24000,0,0,0,74000,156000,6000,9710000,0,0,0,2000,0,2000,0,0,0
"ZAF",0,49997000,46909000,222966000,0,0,2997000,30113000,190540000,30514000,0,0,0,569238000,13917000,7000,138639000,9692000,232036000,815531000,13473000,591000,48221000,0,492000,214000,13681000,63192000,1876000,878000,40240000,197775000,24253000,917894000,1200000,25581000,3134000,0,566000,4337000,6927000,32107000,61412000,0,4274000,71036000,46031000,13676000,341000,0,24212000,0,1878000,0,0,0,37621000,1284000,18000,13717000,0,2458000,926241000,5933000,0,9660000,108000,1109000,37022000,434000,0,0,2777000,1000,1381000,599000,3028000,0,321000,822000,45000,52000,269000,30131000,67338000,0,3843000,5000,1e+05,8336000,2000,1437000,325000,0,0,0,0,22000,0,0,0,0,28000,0,0,0,0,96000,0,0,411000,0,0,0,0,0,0,130000,0,0,1000,0,94000,0,0,0,1094000,1539000,0,0,0,0,0,0,0,707000,0,0,0,0,0,0,0,0,0,0,0,83000,0,0,0,0,0,0
"ARG",50000,3357000,8211000,89838000,64000,993000,10000,252308000,12545000,27472000,21451000,8522000,1881000,258311000,22802000,225000,188869000,10185000,107035000,118527000,14090000,1713000,11476000,2985000,4649000,48677000,6540000,24947000,9340000,59000,29725000,331319000,318000,213653000,5808000,358000,267000,6246000,99344000,2000,210908000,220000,6000,976000,222000,134069000,11066000,671000,242000,16187000,7863000,418000,28000,6903000,25000,288318000,19799000,9659000,4000,1185000,3422000,161000,226629000,5357000,7524000,0,0,107889000,5108000,39000,72336000,550000,88000,0,29996000,283000,1447000,7000,5636000,427000,36153000,1942000,1511000,42168000,987000,0,18874000,47000,1120000,27922000,691000,12863000,2098000,21000,74000,4528000,3000,3000,2000,102000,69000,3000,144000,63809000,1264000,519000,25000,1443000,156532000,484000,15000,16000,964000,187000,25000,187000,15000,699000,99000,102000,51000,391000,163000,10000,17000,9000,1541000,117000,55000,4000,43000,317000,740000,1956000,104000,46873000,54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,23000,5142000,0,570000,0,0,0,428000,0,0,0,931000,19000,198000,2627000,9000,24170000,212000,14000,0,340000,0,3000,0,0,0,0,0,5878000,5111000,0,2605000,0,619000,0,0,0,0,49000,3000,0,0,0,7000,0,68000,7000,31000,926000,342000,339000,0,0,17000,23000,0,1143000,48000,0,0,5304000,4266000,2275000,0,0,0,190000,38000,0,0,33000,0,30000,0,0,8000,880000,0,0,1000,0,19000,0,0,0,0,0,0,0,0,0,44000,0,0,0,1000,1000,0,0,0,0,0,0,0,438000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,106000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,1144000,10817000,33060000,2000,3778000,0,111988000,18768000,6064000,12553000,0,0,213741000,3496000,8225000,57131000,1945000,99914000,132627000,693000,268000,85000,0,150000,312000,347000,176000,0,8000,1000,92788000,15000,258456000,0,5713000,754000,0,5317000,0,10429000,0,0,866000,1000,48664000,1059000,366000,1000,3000,79000,4501000,0,3169000,0,0,33198000,1000,0,0,9000,7561000,156488000,33759000,1018000,159536000,0,0,0,0,9000,0,65000,0,0,0,3000,0,1000,927000,1370000,55000,1184000,25486000,0,0,29062000,0,408000,26234000,0,12018000,96000,0,0,5312000,0,0,0,0,0,0,40000,13377000,120000,53000,2000,681000,0,540000,4000,0,0,39000,0,0,0,8000,22000,0,56000,0,0,0,0,0,933000,0,0,0,0,0,226000,0,0,7889000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",58000,727000,553000,426496000,3000,4000,0,25390000,8127000,2702000,0,13000,0,74854000,576000,2027000,12914000,49000,74917000,13238000,11429000,0,1746000,0,0,11989000,461000,0,0,0,61000,156258000,0,59866000,1247000,1000,2000,11000,0,0,1034000,6000,7000,0,0,39390000,1511000,88000,0,5000,889000,4521000,0,0,9000,1127000,3529000,155000,371000,0,496000,2000,68631000,117000,649000,35000,1277000,0,0,2015000,3018000,287000,13000,0,1037000,0,59000,11000,6775000,0,0,14000,0,0,555000,0,0,1000,0,0,13000,0,24000,20000,0,250000,0,950000,22000,0,0,0,3000,0,0,261000,443000,0,0,0,0,0,4000,0,0,0,0,0,3000,0,1000,0,0,0,0,0,0,0,3000,0,0,3000,187000,115000,19000,0,0,0,0,0,0,0,0,0,0,591000,0,0,0,0,0,0,0,49000
"COG",0,0,118000,3781000,24000,42000,0,12941000,4000,967000,1000,0,15000,19606000,930000,0,148889000,178000,60558000,14995000,859000,0,73000,0,526000,810000,1000,0,0,5000,21000,41096000,0,5923000,0,107000,0,0,0,0,0,0,70000,1220000,37000,354000,112000,0,9000,52000,7339000,2000,0,0,0,1439000,293000,0,1511000,0,0,0,20529000,647000,5597000,0,1000,0,211000,51000,179000,0,2000,0,1003000,0,0,591000,87000,492000,0,3486000,0,0,0,0,0,0,0,0,1000,0,0,0,1000,593000,0,26000,1432000,0,0,0,0,0,0,3052000,2041000,0,0,0,0,3286000,234000,0,0,0,0,0,0,0,1000,85000,0,79000,0,0,0,0,0,0,0,227000,0,0,0,24000,0,0,0,0,3283000,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,2000,8607000,106561000,19000,23278000,0,77604000,1677000,13747000,33939000,21013000,774000,1026193000,2003000,5977000,120072000,39488000,750403000,193636000,13408000,0,0,10451000,0,39000,767000,147000,45000,15000,0,405288000,1000,36732000,0,0,5000,284000,36000,0,0,13000,0,23000,671000,53422000,2162000,2000,0,31799000,769000,57238000,105000,1000,0,94269000,16209000,284000,9000,0,2839000,1325000,1447760000,20274000,0,1959000,66000,0,17259000,234000,0,159000,4000,10000,2411000,247000,326000,7621000,4000,0,31041000,3950000,0,0,0,0,0,0,0,7000,102000,0,55000,0,0,68000,0,0,14864000,0,0,0,4000,1405000,1000,15004000,230000,0,1710000,0,0,0,1816000,24737000,0,57000,0,5552000,0,0,73000,405000,0,0,0,0,20000,1000,0,0,0,609000,0,0,0,0,0,0,0,0,0,4000,0,3269000,0,0,0,0,0,0,0,1105000,0,0
"GAB",0,0,580000,27696000,0,31000,0,102704000,25392000,815000,0,275000,0,107360000,644000,0,6596000,133000,247404000,8153000,10471000,0,0,79000,0,0,0,12000,0,119000,4764000,41687000,0,12723000,0,0,0,1949000,5000,0,5000,12000,0,0,92000,30408000,15183000,9000,0,420000,812000,0,10000,0,32000,1000,2570000,0,1688000,0,72000,6759000,214891000,3240000,0,452000,0,39000,5000,10690000,1179000,0,0,0,5721000,128000,0,13000,304000,0,0,5465000,0,0,599000,0,0,0,0,8186000,0,0,0,30000,0,565000,0,0,23000,0,76681000,0,0,0,0,10746000,32592000,0,80000,0,0,0,0,9548000,36000,71000,0,0,0,0,84000,0,0,12000,0,0,0,0,0,0,45062000,3000,0,0,0,3560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,18057000,11115000,7109000,2619000,2973000,0,1905000,5677000,13167000,12455000,11136000,3867000,75148000,4289000,9873000,32707000,5924000,9925000,121189000,3916000,0,1099000,15767000,2859000,5230000,13091000,1000,184000,93000,382000,19450000,0,69844000,7000,650000,3000,334000,0,0,0,0,0,1147000,0,50254000,10768000,7598000,27000,29947000,2e+05,3260000,10000,2869000,158000,55067000,14172000,581000,6000,258000,0,1145000,148470000,29123000,3000,13302000,5000,0,14000,2000,1158000,0,0,0,0,0,252000,373000,2636000,2092000,0,11000,0,0,5000,0,0,47000,0,0,8000,0,0,0,0,19000,0,0,5000,0,0,0,0,0,0,694000,39000,0,0,0,0,0,0,0,469000,0,0,0,0,0,337000,240000,0,1000,0,0,483000,0,0,0,0,1777000,1000,1000,1000,0,0,0,0,0,0,0,0,88000,0,0,0,0,0,847000,0,0,0,0
"MAC",0,4889000,1422000,4572000,0,0,9000,10000,1621000,983000,110000,0,0,26110000,1307000,0,869000,298000,37974000,5230000,84000,0,26627000,0,569000,0,7000,195000,7000,0,0,6885000,0,3153000,0,0,1000,50000,0,0,0,37000,7000,208000,34000,6410000,390000,7000,5000,0,10264000,0,26000,1545000,0,0,4999000,0,0,71000,0,0,16722000,0,306000,4000,0,0,0,0,0,0,0,0,3000,0,16000,0,5000,1000,0,1000,0,5000,0,0,1000,0,0,0,9000,0,375000,0,6000,1537000,4000,0,0,0,0,0,12000,0,0,0,0,0,0,0,2000,0,0,53000,0,0,0,0,0,0,0,0,14000,1873000,0,0,8000,6000,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104000,0,0,0,0
"MAR",5572000,2809000,7158000,114809000,163000,14166000,5000,21690000,2079000,16798000,6448000,22002000,7607000,140438000,14060000,3640000,97110000,16888000,415478000,113546000,8625000,4000,94000,7589000,796000,10988000,9472000,53000,777000,65000,0,142942000,334000,73270000,0,19000,479000,922000,1766000,0,16446000,783000,0,666000,1615000,58200000,8163000,38000,209000,108353000,23256000,31649000,5410000,7053000,171000,46037000,29500000,7794000,32000,298000,8868000,28120000,10459000,61212000,3000,110000,96000,0,3606000,124000,29140000,437000,160000,0,0,1816000,372000,49000,5827000,1824000,0,2527000,130000,22000,2000,0,37000,0,7000,1000,58000,0,12000,25000,19000,0,190000,0,292000,998000,0,9000,14000,55000,6000,4619000,9e+05,46000,4475000,1000,89000,1284000,11880000,913000,59000,114000,33000,29000,11000,0,447000,201000,0,0,0,0,3000,11000,0,0,4000,343000,117000,0,0,5222000,0,54000,0,0,136000,7000,0,973000,3000,0,4000,1000,32000,0,0,2000,0,0
