"","AUT","BHS","BOL","BRB","CHN","COL","CRI","CYP","CZE","DEU","DNK","DOM","ECU","ESP","FIN","FRA","GBR","GRC","GTM","GUY","HKG","HND","HTI","IDN","IRL","ISL","ISR","ITA","JAM","KNA","KOR","LBN","LTU","MAC","MEX","MYS","NIC","NLD","NOR","NZL","PAN","PER","PHL","PRT","SDN","SEN","SLV","SWE","THA","TTO","TUR","URY","USA","VEN","ZAF","ARG","AUS","AZE","BFA","BGD","BGR","BRA","CAN","CHE","CHL","CMR","DZA","EGY","EST","ETH","GHA","GIN","GMB","HRV","HUN","IND","IRN","JOR","JPN","LVA","MAR","MKD","MLI","MLT","NGA","OMN","POL","ROU","RUS","RWA","SGP","SVK","SVN","TZA","UKR","BDI","CIV","GAB","KEN","MWI","NER","TGO","TUN","ZMB","ARE","BIH","GEO","MDA","MUS","PAK","PRK","PRY","SAU","SLE","SYR","YUG","ALB","ARM","MDG","MNG","SYC","UGA","AFG","AGO","BEN","BHR","BLR","BLZ","BMU","CAF","COD","COG","CUB","DJI","ERI","FJI","GIB","GNB","GNQ","GRL","IRQ","KAZ","KHM","KWT","LAO","LBR","LBY","LKA","MMR","MNP","MOZ","MRT","NPL","PNG","QAT","SOM","SUR","TCD","TKM","UZB","VNM","ZWE","KGZ","TJK","ATF","FLK","FSM","KIR","MHL","NCL","PLW","UMI","WSM","ABW","SHN","SPM","TKL","TLS"
"LTU",40305188.6,2167984,1031.65,0,5266169.83,2405373.76,0,1038425.65,16649584.28,513077000.71,144464949.19,0,1217028.89,72710339.73,33730803.54,160613029.02,245112460.14,3545682.19,2681878.24,0,19877513.84,0,0,1109706.74,22285670.49,8785562.05,1651246.82,137213800.19,0,0,34028660.08,282965.94,0,0,2901917.83,19986425.59,376699,127207696.15,30277636.87,49714.56,5477985,2140361.2,4626198,11393123.8,0,0,30162.85,92662343.95,931827.46,61605.65,39980299.3,4699,103037420.89,548264.95,180189,2079101.18,880398.24,6989789.63,0,1695795,4635314.58,190998,19898871.92,19031370.9,1152918.73,312567.62,6394835,1341854.83,77097756.74,0,17000,0,0,876277.69,7424607.55,1495291.97,149101,0,16135666.82,180576527.59,446135.32,207773,50100,3023595.55,66197,23017.17,123300410.9,6357801.11,763929410.97,0,6194274.26,3087828.9,1574210.27,0,306726139.9,0,22300,16473.1,0,0,0,0,135406.79,0,231595,54899,4558659.25,11043019,0,1475194,9199,0,82499,0,0,2228990.91,0,1080135.99,0,265453.96,747197,0,11899,1120000,0,0,336835320,68498,0,0,17000,0,2050592,0,0,0,980395,0,0,31503,0,43676753,0,0,0,2098498,0,364596,0,0,0,31798,0,0,3800,0,0,0,4545384,24716604,689398,23800,4099364,6137089,0,0,0,0,0,0,0,0,0,162199,0,0,0,0
"MAC",13937618.34,0,1538,0,261097899.53,33614.35,0,171128.74,549752.18,234271331.02,32336262.16,33839,39745,20909017.92,6387079.53,165793003.93,141423775.16,2021972.66,0,0,189269381.52,0,0,257708,11245137.66,316955.81,149731.59,22112565.16,0,6166,10045002.67,560971,21600,0,3418085.8,3897558.45,289969.29,55559609.94,6886625.46,1388348.3,1427897,85038.99,4746677.29,5919488.92,1792,0,0,9926955.25,1237354.36,1602,599896.41,206328.14,1018232636.27,52800,1753225.48,740764.57,5586819.23,0,33302.41,414494.51,13911.54,2602281.63,39119279.98,5957245.77,3678166,0,0,181447,86443,0,0,0,0,14412,834178.54,241919,0,0,31004013.8,8876,0,0,0,46725,8446,6595,1516559.33,15755,251521.46,0,5729356.56,87975.95,338940.52,2979.35,129049,0,2392.78,1665,0,0,0,1741.41,21929,0,337796,0,0,0,3381399.37,48761,60371,0,13990,0,0,97644.38,0,0,0,0,0,0,0,4121,0,6261,0,0,166432,0,0,0,0,0,0,0,0,0,0,67265,0,0,15238,74439,1239114,0,0,263044,79784,1420495,0,0,0,0,181440,0,0,0,0,0,6793652,0,0,0,0,0,0,0,0,2094,0,87362,0,1191,0,0,0,0
"MEX",49064044.25,42489132.91,41646505.17,11114869.69,183626987.72,606743619.18,282145607.53,5543815.08,14313974.87,727362259.17,48290976.32,326966516,167632800.86,1097801374.85,24289846.55,540744548.77,559316282.24,29419448.37,463950253.57,2149853.29,201606221.67,130471946.73,23067278,69370562.82,77760323.83,2454001.47,31843131.88,368261017.36,94641200.1,501527.15,320932850.07,7509761,302880.7,447081.97,0,96924227.77,91834814.9199998,342382480.91,51270494.85,40799581.23,237410353.68,363444509.02,57887960.73,100729770.6,2494156.17,703248.47,251383813.71,49885936.35,180860537.49,41749970.95,59285362.89,58921800.53,84966909562.1499,581538321.67,99629965.09,508801544.02,128401573.78,479741.61,228040.54,17047400.5,6084842.59,1235217420.77,4444836124.96,112392403.03,1086270730.5,480004.65,39083546.09,43644906.21,680353.05,2789256.87,3975999.46,108152.54,632058.33,4688212.05,68307883.34,99970799.45,51621785.46,2858526.62,1290467403.93,246812.23,22219498.6,797946.63,1324548.85,1966468.83,28871817.75,7937149.13,19361600.23,7030873.98,68340319.22,0,431021713.78,5108683.78,3029880.77,7587052.2,3533580.04,0,1205461.05,336303.29,11917470.1,0,1084785.85,304023.59,4159334.09,137843.71,71433296,0,5006108,9151,2499690.63,5725321,10113928,31699373.49,132476023,0,8159902,1244598.7,8460,8550,3976574.18,0,16879.6,411133.54,84377,3220520,50140,1566134,0,38008387.97,21760277.69,523168,899739,268128,318473367,0,0,347635,19409,17747,0,13218.21,111134,0,29970,64667380,0,2771175,0,29952056,440221,0,21813,1856962,13199,46873,14191119,3021478,2030234,1865,226559,0,2035403,374970,0,0,24697,0,0,0,26920,49315,0,6805498,0,9071811,0,0,0,0
"MYS",179394131.9,13935,1124099.16,1226298.33,2227216860.16,37488396.56,2708811.64,16593179.2,73164079.94,2814683624.7,174282329.99,2230856,2691893.25,473250125.34,142740021.51,1422848090.25,3313672628.22,78482014.29,3853575.89,622478.98,3995304738.33,5006609.89,19798220,1053938016.16,355499429.09,6345444.21,808028.57,671108228.34,6025038.41,83632.68,3124055748.96,45132770.07,1549373.82,17788956.06,608799481.12,0,526213.08,2354899888.47,96596848.83,272331012.8,163831977.43,24761521.6,1062863027.75,84409961.8,25759457.71,8310175.73,7799985.38,171633104.96,2947915137.51,5043903.31,307181103.69,10991340.3,12910620143.44,18484855.27,274127812.34,184065003.02,1368132446.5,1089511.36,888333.39,278346159.14,7697889.92,637684108.53,796306242.7,122904145.12,98422205.18,3407404.79,22576854.67,250157323.13,10474999.39,9961366.44,8995888.46,3894339.2,253862.03,16618559.17,117764811.24,1142091256.53,118472284.47,141092980.9,9948792995.57999,2783808.5,23514609.88,591261.84,1064337.31,11910008.33,21920866.91,83458023.14,152114670.87,11124693.96,124492358.87,3526097.99,15212653011.84,26926537.43,20104175.1,19165674.99,24767801.91,24956,16170750.07,5003504.19,22182299.86,511584,1001852.23,336121.54,17065217.67,1816468.09,553922123,212284,2281632,30361,62890483.83,637341782,95365,8262094.67,251845616,268141,47318984,14289973.47,271874,128774.42,8385929.57,1214490.35,4078770.69,19977728.23,8762398,1979628,585222,23468924,100860,513102.38,103270,239189.91,1387881,2677650,146017,4872886,334407,15968505,101051,86564,219033,475414.28,18189726,2737346,93157327,57001697,2043686,1047728,11803714,143709879,371093330,28581,2381239,3244971,6574205,35611620,15773536,818945,575164,0,25950,10316481,290740037,3849227,56032,76190,11524,0,6854,205636.69,115606,664567,3650,1477105,374023,322351,27116,0,0,0
"NIC",2490999.54,15872,113232.72,0,34749,1739791.11,28674697.65,72544,1205812.84,62637311.09,1110583.97,6279432,102552.91,56747468.35,3299517.73,14832855.09,27287826.44,186794.48,12882233.03,0,151434.73,29475421.15,2318325,463178.61,1120743.13,8348.07,182154,7893755.83,414511.33,0,56246.45,13431.77,0,0,14737316.13,64779.74,0,6577814.16,436950.5,399155.21,2835606.62,1742385.36,162994.89,1905881.5,703006.77,0,54340757.89,1534493.94,193026.15,101641,638220.84,0,468269750.49,50314,4205555.87,33331.97,508566.4,0,0,0,1899,23036.67,4939628.24,7081504.69,9806920.27,7469,0,182615.82,83385.73,159093.34,0,0,0,1859983.53,246584.15,0,0,0,5982233.04,6251097.21,4990382.08,0,1495.35,2662.59,0,8176,773623.09,17000,5229993.74,77392.93,112988,235096.27,9486.67,0,46486.26,0,0,0,0,0,0,0,0,0,10739,0,0,0,31669.11,0,2639,0,0,0,45750,7593.5,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,759326,0,0,0,0,0,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20126,0,0,0,0,0,0,0,0,0,0,0,0,28111,0,0,0,17970,0,0,0,0
"NLD",2326453455.46,14791842.31,9254571.41,10697689.16,1000266024.5,154585077.47,38264911.21,80469945.29,670923223.66,36241888255.5,3448829651.23,50237451,63426921.78,5037182238.16,1341392939.73,13921071662.56,19380439956,1819962451.21,31173288.11,14943170.86,1705330003.67,20598465.86,18359294,587506295.54,1681661507.28,136262702.15,816568841.91,12599802820.19,39788231.83,818442.3,1239123136.94,133914935.88,191791983.57,14639358.71,314237783.49,619397980.12,4127743.38,0,1524688863.69,168464073.79,44225686.68,77306155.23,590327221.01,1635088892.9,54179086.58,47501656.46,19906039.43,5080512729.69,628310425.19,36844837.41,1491801787.71,36853856.48,6724033533.1,155507305.08,646924065.73,290792367.6,577516104.48,18436129.75,22765053.68,71267444.65,95443118.6700001,709481098.89,757859482.72,3722838030.45,140055549.55,48960059.77,249157043.01,433929909.28,118745927.29,60762741.17,207198799.07,20558835.82,23926959.98,173144176.94,593442249.53,455668221.36,380803343.14,111483918.55,1877026584.57,105338995.01,209929097.25,67366179.2,15625952.93,73034842.4699999,319626887.15,98518770.12,1588505500.33,228959769.11,1538079565.38,9503800.12,994603061.74,243855540.17,223224845.16,49373516.2,228222150.84,5418346.46,106831453.4,51186799.92,82550094.98,6615279,21043054.71,35899793.21,200831569.69,20814355.63,457260606,54769655,24307714.96,17792558,15700516.43,153888250,20677756,14544394.46,640664057,6443981,86720126,106209544.81,9088126.97,18386127.15,10919411.69,2111072.86,9798161.77,12677529.96,3243545,93371310,51888782,43102933,94554872,4949209.16,9297303.56,4254244.41,41381128,35685265,49971228,16739824,2822475,2075345,22948956,6475766,9621413,5405742.35,12581944,53587039,1683560,122788931,324603,21191502,120162966,37578433,3603534,12307,4848099,12792138,2747113,2925056,106554843,716900,74430127,5003000,2920431,43632898,40043647,33923625,3379406,4265039,0,146662,55895,116919,415374,7209097,25640,771779,6152,54704305,52305,474344,0,0
"NOR",115332347.77,14744951.88,3049196.1,4951053.45,348698037,15362401.68,13010284.6,38814697.87,132220801.21,7139024076.85,2521684535.83,16218937,3538326.58,740861456.51,1049295885.88,4419196175.16,7907277400.19001,184489265.44,6904782.32,1221766.59,160282685.81,1287039.79,166796,66304467.91,593337363.36,230840218.86,50824482.7,948019540.48,9314109.48,388229.87,279584696.49,13105403.29,43910561.83,1370340.63,56669587.57,90667191.43,50495.84,4238315947.72,0,70972577.54,105283236.59,11834801.14,18596548.48,265614194.56,1317671.7,2624776.72,1827530.71,4672789234.6,170243621.15,3338609.59,224415133.5,2619871.78,3456358621.04,28254075.26,34933655.81,19254073.3,113483145.62,3744892.62,1123522.24,20128744.15,8889759.47,262474774.99,2397121576.19,208133471.2,51506647.09,4164347.59,9455313.91,65694791.09,58886872.6,3599864.08,7912867.51,1160673.62,401681.74,27826896.91,23246896.47,77363435.75,28344310.34,41009666.95,1164831766.53,46285953.67,12409364.39,944170.87,676287.79,35363376.1,19668773.17,4242968.71,428300711.05,17262997.36,407261973.93,988952.52,203609906.62,23363986.89,32987777.1,8226618.92,21503434.68,395749.93,10281577.09,3293979.49,7071260.3,60152,248902.02,2549675.15,6896772.66,2428759.52,40332434,8258714,2064190,114953,1209547.26,9907017,615701,418214.51,35182391,482616,2749738,23251748.04,256660.4,5999922.37,693749.19,160226.74,383554.87,10441760.15,129978,5399556,607605,5018208,2926039,129913,176055711,60554.09,11117377,3399899,961286,554949,1496706,88962,5276846,14344,1178132,46012125.57,1306573,343355,167112,7880548,2162772,105998156,2978993,13446183,154293,116210,18027055,20506,7371928,497628,4262184,347772,639980,917719,28731,2181623,3724231,1674146,0,320363,0,165304,13545,6043,19402,616839,0,229400,0,353150,0,0,8005,0
"NZL",18903167.59,1162389.08,4104542.15,16359392.05,433361910.39,18072664.13,468172.78,10695116.78,6165992.41,440028840.01,48792488.77,12388214,1868573.59,105120315.07,15531384.17,201184802.02,865994002.43,38200254.89,16051622.63,7090890.2,412107838.89,7267113.34,64010,219246884.02,20599070.4,1280920.94,1925123.56,216838830.29,24102248.66,218654.18,691578454.63,2149715.89,163573.57,3558305.34,150540412.62,376402051.99,2506158.32,85903845.79,12791895.09,0,18103916.42,61719905.36,241867847.8,19197193.04,214651.27,61943.91,13875702.31,37982918.2,214825786.75,9533308.68,97587674.07,5193268.14,1421534311.73,65864054.47,56276037.1,33993141.22,1842790544.16,125500.63,0,12778482.12,441747.33,70049292.18,230127226.31,69286739.37,57598261.24,62721.43,10985594.44,48039240.22,7151588.04,623278.21,1792793.22,0,0,1891765.97,2939891.41,115468851.08,32141480.27,22378274.43,2181293135.29,274293.9,30886174.22,305073.7,0,3726564.01,215006,11017832.62,6686205.34,880014.57,219419567.14,2035,213082762.38,2047145.17,1533170.82,58507.6,1580950.48,20381,1624173.37,153818.16,2099864.42,773078,3628,0,4298491.41,541904.38,57489674,410601,108618,0,25366251.01,11274480,0,13875.65,123386161,0,4714411,406330.1,69937,123769,1939243.79,16002.65,845326.27,370725.27,0,0,0,5615258,426331,155865.25,1882527,0,133273,0,25601122,0,17287,100029615,149741,0,0,194363.05,0,0,957489,5709840,17672,0,1599982,61462109,2277846,1103330,1079329,0,21600995,64866718,2171453,0,298039,0,0,0,32246345,732787,0,0,0,277555,36937,1899822.76,151237,37371272,72771,19655392,20846345,127252,0,0,27950,0
"PAN",6872673.65,3935314.86,8707179.12,1186333.83,1859248.99,23907511.05,80795696.86,904723.54,3087055.79,149129699.64,259893.47,3869610,111653357.26,142888627.1,18226831.34,27861086.21,10312256.17,34879680.78,112118531.67,11694037.89,13646739.48,59824841.78,1375060,1517118.26,2884544.03,1194117.65,2708936.87,30109884.43,24816963.58,536201.22,399702032.58,66159.06,852301.05,0,20351996.57,885360.65,95797464.96,2573085.93,19093078.47,576295.36,0,16990847.46,494665.48,4930494.95,1679622.67,0,65016760.68,68225143.41,2077112.66,1474769.48,24917214.24,13251028.31,370146539.81,191826919.4,2064193,1351924.4,75300.15,11395.8,0,653967.64,219991.55,32915871.96,31249323.94,9004778.88,8685606.92,828977.71,80575,478825.27,91417.23,52882.88,121031.57,95892.32,0,333189.18,7471.63,286748.67,0,0,41842461.53,48584.26,3287749.23,206791.94,0,20870.04,266230.75,0,81935.85,830088.39,9821160.42,0,2633003.46,2693609.15,2296206.3,0,127114.54,0,1495638.78,30624.54,0,0,0,317191.94,0,0,0,0,500843,0,1956100.01,0,0,3567695.96,13600,0,0,618836.26,0,2658788.99,0,0,419710.74,0,0,0,0,0,0,1648038.36,169577,0,0,0,3086758,0,0,0,0,0,0,32012.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22355,0,1702930,0,0,0,0
"PER",8643006.1,92847.88,125218630.22,518699.25,459956356.81,152810440.5,13772184.76,1529853.44,10471663.98,388928051.8,17852579.63,6774103,96867198.1,175747632.89,15732516.49,108736336.58,289361043.15,7007792.49,14472756.78,12000,70911712.79,3460861.77,513472,39390224.97,7253235.24,29826.26,9340196.05,258581201.39,1046549.53,0,99913753.58,1649205.67,121329.44,10210.73,115211036.2,66028572.43,636722.8,238952348.79,49703640.64,8090938.75,38746552.89,0,49441344.61,17684469.3,139275.79,1258540.97,15576895.92,11497454.29,37629252.13,4198503.43,18376896.66,5352602.11,1492975054.65,138858336.91,46293892.76,30640180.73,16918884.1,2879,540541.42,3096310.55,33922049.76,191174865.66,116323534.73,419916873.59,130650754.02,2264691.09,21857548,318526,2031764.86,419153.14,1224861.77,199355,12989,4912181.15,7065282.74,17588835.75,29159006.21,158395.35,488585158.39,3716.73,8066444.11,230002.37,3587620.75,402567.44,1871887.71,5046215.18,12985391.29,9434927.64,18574596.68,0,13218907.19,8235321.3,1977871.9,42074,4765124.91,0,949733.77,35425.39,0,0,6267,0,267036.54,856132,112293,0,0,0,211330.98,2467742,673567,1677252.01,861654,0,727168,15566260.19,0,0,1184649.61,48425,0,0,0,83983,0,26360,0,0,761855,0,703819,1138936,385902,0,0,163294,0,0,0,0,492708,0,0,692206,0,70769,0,2846766,0,0,0,0,116493,706790,83801,0,152899,42160,0,0,2697902,0,0,0,0,0,138122,58707,0,49995,60921,0,79012,67157,0,0,78731,0
"PHL",47942183.27,529360,1028815.2,2201993.27,324277863.94,8356417.2,1317117.83,3464725.17,9967549.98,1384587460.91,38674678.25,2183686,457770.14,123510419.28,60209654.17,322294005.39,1410166959.39,12254299.52,339935.74,71385.43,1788180167.98,286970.71,4024732,175349371.41,154546141.24,1124229.45,11562394.71,136734616.09,225069.13,0,793464887.91,4081439.85,0,3664407.93,135814503.54,882806904.61,22433.03,1543326227.87,28989541.38,40941923.33,34878725.08,4158673.59,0,17222285.67,69457,176354.93,116412.87,30412264.39,674821250.61,550792.39,29546519.82,3253464.32,8426700251.11,3419289.35,39899410.18,26548163.69,248827790.59,0,66112.44,9456887.75,192309.43,48603449.37,296243273.89,49925960.57,21225526.06,86526.46,1175809.42,23188108.14,398274.69,0,285214,0,0,1205365.3,31258000.47,36022109.11,2109206.28,4241322.61,4901913209.11,98119.36,2001282.89,271818.18,44370,646905.18,1290843.99,3052494.27,47827445.55,2812339.57,14929476.6,0,2366928684.67,2584181.22,6437037.61,110823.94,1243353.82,92125,356422.02,47571.5,392348.54,0,33035,136212,3442628.36,30750.68,142630465,360925,0,0,4420777.92,9337231,0,1612477.89,29739874,0,1295506,2681649.34,0,0,65633.74,37389.11,286500.25,25125,0,199340,87152,6995506,0,463277,175780.96,0,0,0,489606,0,0,1812240,424039,0,0,41424,1041,423399,1367204,16490180,106640,102215,13333,8951279,4816481,0,234552,0,727427,8713737,1589287,0,0,0,0,183104,94885034,234016,0,0,0,0,697990,96054,276160,281909,9682542,15630643,137736,2341079,0,0,0,112729
"PRT",379819300.86,147073,392442.44,207613.76,51976738.63,20516151.08,6096024.16,16576367.9,30806297.92,4658014754.31,476807487.87,4029841,3370103.07,3395990655.8,230901588.53,3104434714.4,2947085954.35,111292779.99,3203826.44,48719,58823571.14,1207183.82,237841,21546270.63,116048477.81,14868236.9,102045380.32,980778162.41,1931879.58,24417.11,40704063.54,29970621.82,7537984.44,21993423.14,38746970.36,24143959.38,451829.7,1210110179.55,283636569.92,17452402.55,13244835.36,4488908.67,9025168.01,0,382880.88,21272068.95,2546115.86,482110251.89,29536984.59,750030.95,125042875.59,12887402.38,1192508415.39,13666017.87,71190509.63,57502933.71,93644845.52,46079,942141.14,1768445.74,13042336.7,251408440.46,161132606.27,352379819.22,60654914.89,1624990.65,30575670.76,17270721.31,6492908.97,2400884.48,13845036.06,1022728.43,381487.47,5487019.53,87178902.55,18320913.48,8852915.92,26698258.2,170725207.24,1813362.14,86460945.2300001,180533.09,672339.15,8816193.81,11877831.99,1662232.47,73868664.72,7662005.88,57130559.57,437315.29,63186565.27,12274250.89,14282934.43,940115.45,5220173.17,388980.66,4459927.92,2672345.57,9855298.43,4039756,187319.28,621835.56,34725359.1,405767.22,17069698,176224,1263760,3716167,3454548.39,5606767,216192,1682705.71,45095391,37361,3028323,1725420.71,345206.96,943925,496004.47,217984.71,35825.52,292603.27,65858,408469515,418344,2039235,382907,44173.51,452471,355901.72,3400826,2257182,5144971,545643,332462,22013,597680,27434803,1486078,1117753.21,110756,592407,0,10366250,39421,18320949,2974051,1536153,0,0,48260649,2515345,172668,34329,1206355,8463,57453,3442486,21550,8005,2065462,6579323,52340,0,0,14898,0,0,66116,838280,113526,29920,5201,65646,0,96879,0,0
"SDN",65713.34,0,12900,13348.13,21225953.43,47745.31,9825.27,59165.59,948976.72,43971663.83,422833.82,0,0,2330906.12,688144.4,28145779.12,60597396.42,5347265.94,15933.75,0,10333980.69,0,0,4428660.95,3168120.88,189472.9,0,68292831.99,80998.67,0,32186203.9,17165769.34,0,0,3064081.58,82300.61,108699.02,6757646.79,2460002.78,5242.91,0,0,634449.57,6463595.1,0,0,0,3976843.59,17999630.88,0,9141816.13,0,11851797.61,0,10690589.45,26986.59,40750.87,0,0,7402442.19,1614067.15,5657328.28,33252.79,1234582.91,0,0,1301634,38678371.06,0,444793.05,3640.58,44842,0,789175.41,1035109.36,4493643.03,4567764,27195002.87,21925648.44,14630.6,21973.9,1221476.92,17006.06,659250.09,0,532379.2,3969232.27,291618.67,1768347.23,228516.39,173375.74,61068.75,371040.21,1980224.7,423539.52,0,0,0,5994234.21,0,0,0,3928991.11,1213,5327610,0,0,0,946393.89,252805,0,0,87850106,0,3594508,479204.71,0,0,0,0,0,49613.17,0,0,0,233268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204151,1294528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4022569,0,0,0,0
"SEN",145776.91,0,0,256115.81,485809.37,17280.3,0,0,72610.38,16262057.47,1236949.88,0,0,39421778.22,50298.62,158444529.47,17596766.84,18385207.15,0,0,8532102.34,0,7639,1831217.25,120571.41,0,6898,59291206.26,0,0,1906812.37,7332648.11,0,0,2219,2003831.08,0,11515765.01,66024.05,14037.86,0,90534.37,0,13358149.82,203310.86,0,0,708713.7,1458482.22,433387.1,319817.27,900935.16,5522094.98,0,688751.9,1568.51,10196.26,0,7905315.56,420086.2,0,4555476.75,1672181.11,2286056.26,10568,18043319.78,1383211,48313,0,100541.81,4209531.84,7682427.71,13562033.15,18950.84,13000,70515795.18,24870231.8,0,10243341.37,1125118.81,2133347.94,0,40018100.83,11355,3805703.37,0,57103.03,0,37464.43,1343983.7,0,0,11518.92,13412.01,274016.26,0,27256427.31,6372025.12,232845.84,0,2498580.93,4271418.04,1770648.22,195354.34,0,0,0,0,11004.15,41189,0,0,167694,448085,0,11972.8,0,0,29099.29,0,0,178218.44,0,0,14596453,0,0,0,0,96038.16,393483,762844,0,0,0,0,0,6789824,159513,0,0,0,0,8554,0,166647,88262,5230,0,0,0,8845819,0,0,0,0,0,847538,0,0,0,99286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",17597482.73,2751775,77973.67,206222.82,57985.95,2804409.78,114098774.37,0,329916.66,240802123.97,2881292.12,11427032,2818642.36,11048796.91,3796080.75,21604360.21,28883369.44,144212.07,255428323.27,33644.23,1586206.16,139516344.8,1202005,5202.71,56067.1,17738.59,56447.42,11114842.99,1082698.02,0,510815.47,67437.61,0,0,21171458.43,158550,70142456.62,28508980.17,834605.53,29105.91,27732184.24,6493810.18,0,1673269.53,43875.84,0,0,788005.98,401448.61,844871.45,671382.51,344850.27,861904922.34,4766258.43,166864.8,113049.27,327658.47,0,0,0,0,1423333.38,25039024.2,4628455.74,4345463.29,0,197732,0,59453.32,1389,10244,0,1205351,1420,121428.49,63617,0,0,21159835.16,0,2667613.06,0,0,0,25626.59,0,1290749.66,0,23282,0,131505.73,1264197.09,6466.73,0,1044.28,0,0,0,2639214,0,0,0,1230,1053.83,0,14342,0,0,0,3825,0,184715.33,0,0,0,0,0,0,1620.39,0,0,0,0,0,0,0,0,3302940.74,2465,0,0,0,220591,0,0,0,0,0,0,1245,0,0,0,0,0,0,0,3966743,0,0,0,0,0,0,0,0,20178,0,0,0,0,0,0,0,0,3607,0,0,0,0,0,0,0,25295,0,0,0,0
"SWE",848234653.88,1784764.08,87486474.73,2434097.42,1326819903.85,212257733.69,14373848.28,56728043.9200001,345522793.05,7945255912.41999,5497718756.02,3603470,32443295.11,1778321192.86,3701436111.99,3868271281.23,7266160920.79,469657700.04,9654541.86,7614360.35,1041937872.47,5249282.3,405859,537651665.89,486940487.02,185566247.39,231520490.74,2834655084.15,13454632.58,74458.19,770199044.04,97746411.37,178953802.55,9764868.92,364160333.85,595822437.17,2156786.53,4621757779.82001,5537813481.51,195783461.44,27041756.88,80639048.15,299204359.92,394403529.81,18768586.65,7043365.92,10899345.11,0,571304251.9,6185352.69,897416893.67,39641912.78,6933333323.16,111647434.69,413386196.1,390994520.65,1078784989.46,5992067.04,1626500.7,56892993.11,42262251.7,896691726.29,865145417.31,1148635675.54,356014982.88,9104857.57,46592505.9,327559681.73,410598182.09,43989949.68,49130637.93,1698700.8,1610110.42,149648870.89,267399151.06,298448703.24,229711182.19,41452208.9,2473467887.03,213482164.17,123785052.09,18326102.2,2221160.94,12553258.65,53139583.43,82966404.98,1302171782,141796921.76,935998571.48,355077.75,844156521.57,114135941.71,113554339.82,20615683.91,137547101.92,161637.87,11549253.6,2023258.5,30475103.19,862973,548907.42,4655980.59,82723536.56,13049282.85,188906550,14793601,2487603.63,762691,4852646.6,103048370,4101130,14447644.04,348882616,5391596,31809847,51285234.54,544698.82,933818.98,2208210.4,4239250.29,870146.72,4986903.23,45488,4478617,986465,34827215,17879161,582553.28,546148.12,295846.17,720874,493819,5356818,463933,5078927,789567,11836197,457774,57024,6310501.62,977955,12603033,1238308,48269606,4269584,881599,103456364,60779118,901254,1442,4948345,503523,1777743,1933618,74973333,110379,298625,73281,347917,13940628,62249955,11892879,13513286,108936,0,0,0,976385,53220,767405,0,20711,7078,845160,461841,138690,0,0
"THA",134521461.64,761631.9,1060789.8,3317400.05,1923752553.67,24346305.12,9475090.52,32843081.37,41990147.5,1833732567.93,284547083.39,9306525,4217913.87,590929701.49,127970137.36,1342866923.36,2239958751.54,107435775.37,5925169.35,988887.24,3034355812.43,2494200.63,911892,1042005857.56,253400374.72,6471571.6,130162810.34,683443526.36,9877890.43,239163.59,1310463940.94,72599431.63,1280494.24,22055600.55,210140976.88,2747128451.29,1068053.97,1523945348.68,103860689.55,126906361.39,91454178.21,21956068.49,873687900.560001,123127409.32,11431891.66,41372751.91,3417189.7,177192206.1,0,5284219.83,141977404.47,11831624.6,11387363919.58,8096246.37,261927982.77,119042522.18,928686220.479999,391685.46,1888265.29,160471598.79,4339411.14,266244004.52,772607551.2,271918068.17,48488718.04,5096992.9,12252874.99,76358621.38,3981688.59,10989880.03,20402837.36,1872318.48,7933067.06,8111882.36,152393819.29,258786047.47,207208660.15,43928974.41,8642256282.99,5600021.03,15545573.8,652644.21,2221539.98,11025171.99,226017132.65,40301695.68,128057970.69,10668360.5,121383536.25,7924486.78,6126954722.58,17017786.98,16776413.12,26829430.09,12844107.78,332159.29,20216194.37,10833829.01,24173371.54,197666,1637097.1,39588327.96,19141695.81,1999606.88,542406367,0,1311412,64653,19795019.63,155965643,24268227,7224066.4,381227626,4169223,50311032,4796027.14,2479252,26784,4988700.12,637654.65,8171671.01,3779150.25,15524525,9629183,27295874,21355201,720773,5497093.84,639413.54,102053,8078428,9266208,3027977,5656709,0,22343225,203584,3984992,0,724599.95,58512617,992092,303695064,71868212,376904457,3990089,13021118,146087041,400443792,1434393,12558133,26866218,17779004,19440517,11847524,5393900,1660333,163004,0,4526193,539747354,4448924,3762857,0,94839,0,520684,53880.23,228174,4591959,2595773,4262931,1112193,445242,0,0,0,0
