"","BRB","CHN","DEU","DNK","ESP","FRA","GBR","GLP","GTM","HKG","IRL","ITA","MYS","NLD","NZL","PRT","USA","ARG","AUS","AUT","BEL","BRA","CAN","CHE","CYP","EGY","FIN","GRC","GRL","IDN","IND","ISL","JPN","KOR","LBY","LKA","MEX","MLT","NOR","SAU","SGP","SWE","THA","TUR","URY","YUG","CHL","COL","JAM","PHL","TGO","BOL","CRI","DZA","ECU","FJI","GUF","SLV","TUN","VEN","JOR","KWT","MAR","OMN","PAK","PER","PNG","QAT","AFG","AGO","ALB","ARE","BEN","BFA","BGD","BGR","BHR","BHS","BLZ","BMU","CAF","CIV","CMR","COD","COG","CSK","CUB","DDR","DOM","ETH","GAB","GHA","GIB","GIN","GNQ","GUY","HND","HTI","HUN","IRN","IRQ","ISR","KEN","KHM","KNA","LAO","LBN","LBR","MAC","MDG","MLI","MMR","MNG","MOZ","MRT","MUS","NCL","NGA","NIC","PAN","POL","PRK","PRY","ROU","RWA","SDN","SEN","SOM","SUN","SUR","SYR","TTO","TZA","VNM","YMD","ZAF","ZWE","ATF","BDI","DJI","FLK","GMB","KIR","MWI","NER","NPL","SLE","SYC","TCD","UGA","WSM","ZMB","GNB","SHN","SPM","ABW","TKL","TLS"
"IRL",3148701,12309351,2676932901,215367569,565582752,1864989928,7383101973,891105,4779014,51245168,0,1147606344,36955183,983366419,28763958,105277951,1652013042,9652820,123769267,173316006,662811217,27217131,211638029,375868562,16529804,70488619,125791496,115460055,845033,69274586,12624942,6511375,586173703,81961815,52177304,8581935,178626286,12821243,212290007,113342300,80747653,320623414,22639725,58744913,928187,25700461,9406478,5326947,2034284,29224455,948857,1191480,4770754,19328722,5936491,78551,455080,566481,8190774,3337310,7356712,13604598,24992291,6709765,19214239,6083764,899281,4154776,1776683,1841831,571913,26023755,283166,214053,2306050,4108401,8104887,12129571,714621,4962291,169706,7281889,9005354,12150986,763030,11531707,9698320,1528188,396158,4426396,1913915,7024866,1428039,694161,26707,13539,677825,1697083,12162384,77420123,33825726,38461473,11185099,0,36787,4040,8026479,1698626,60732,978159,481259,10574,0,384533,12057,6202528,561875,68141084,1395801,4906389,39436929,78238,1093324,11349909,733444,5928660,1167807,27737,154433587,128201,6841334,8644588,1947659,192205,12043429,38065531,2812593,0,170275,725919,23906,516289,1875,408708,698656,648295,684238,262510,201285,490549,6894,7776994,0,94964,5568,1005291,0,0
"ITA",5152244,1010360855,29696623192,1176035910,8146972310,24989764929,10806737483,54259848,43814045,1262704761,480449362,0,382173251,4275051088,188273681,2324705505,12472326101,197677223,1048548736,4163320389,4933348282,785914015,1513823842,6844467598,238095563,990147175,1137879968,2840500414,4339729,373147523,534313168,47268399,4573043668,1060425098,1072417712,21518399,406326813,581752581,783790520,1132864331,863264970,2089880597,376556566,1662870997,56145017,2243227093,175489781,97691622,19850384,129028633,20550571,18116479,37230624,1172067432,102979431,2746720,45289666,10288494,847455189,325124794,104669605,229553935,457408852,44257132,228209991,98852256,8697544,112611236,2182130,78934408,60469335,577690398,17281150,22661367,66515763,249605326,65537581,14698782,797869,16068932,14393008,76777443,75653556,77761776,61213973,362361128,108331268,197461209,70533638,180382686,39971536,58838990,40734216,21546617,11036446,8111852,13854938,3581407,515725322,1092184490,274774954,880910847,96173960,164066,336387,714177,289466776,35645899,8499448,21654613,17109093,3280884,6970299,70704824,28868719,38541870,32349157,257146566,12136083,188019045,819194368,20276840,25566027,187255556,7774509,56604365,80186572,111655986,2636365509,3866290,176948616,6211896,111139783,14284829,54309085,733653160,40766180,0,12443785,13804888,8697561,6424019,355952,8410469,14550455,2353132,15202072,3769664,5601085,44097922,761851,22105980,5398138,4936264,1954127,20332098,0,0
"MYS",357872,771792501,1310594301,76538385,190424334,598619030,1239825073,1195322,8792965,960460747,54297558,319081243,0,486333912,78787963,24271999,5047015862,19739675,464229654,93164974,225150822,44654113,311536173,63373503,7060902,133152005,40231961,26144530,327394,331397305,477740928,814545,4899790177,1435898420,887784,111565110,21527661,3102413,33713603,125035828,7694196829,103204538,1049235907,101166938,2581745,35437223,9163354,1365608,10935448,351145318,284039,64946,988309,9513526,676806,4101291,256467,1312887,7238414,8644705,93315552,17698695,7378432,23785968,233233710,588371,8778058,9859701,3547016,1195796,194997,139122407,887052,251741,47281120,924059,12235531,304902,18177,45931,10287,1270479,8230119,744623,17431,18326830,13796,3843397,303233,507164,561165,477095,0,41157,0,27838,698879,15687444,10195964,55487065,45810482,4420,7070412,113455,0,443909,5158443,1703344,3130913,1361322,465175,51463492,139015,21323334,332007,16261324,170805,8716921,874,20142464,18515263,288380,1006293,5594486,1015,13153626,509353,0,136712454,428389,8010823,457931,4902032,6368394,3990090,263422,5741678,0,28650,230387,0,5945,22357,618755,348148,2968500,240140,689973,766,65507,92541,332529,35503,2414,0,442166,61922,0
"NLD",10635342,368518539,32271669168,1682811547,2951444989,10957051403,17109204336,17887607,18818359,593614750,779354177,9910281464,203908047,0,94654259,1379778992,4750126158,50118196,387180575,1257017720,19621476928,226001257,564160875,2609521638,60186715,295630290,782278756,1211697194,3330012,548651157,273249848,157043275,1063394686,436576947,299144163,20324427,193802771,50226656,970628509,575366016,481882187,2023019068,226788753,523955086,14533678,359242386,60352105,53376489,28532314,165406860,57472173,6164121,22088053,162922963,20541552,3518744,10438507,15125788,132117526,77871868,67652503,70704241,148700237,90250519,93726458,24486078,6433855,29646201,3678442,93696090,3417412,244194327,38651334,15310535,47038146,47814020,34487648,4364099,7776599,17857654,6033229,76228450,36927828,53688109,22079049,169513376,37791842,243147666,21126009,44167293,30345676,63953830,46746898,19651007,6691935,8219732,12454233,11329758,191960825,424525004,144551719,481615374,72214431,1342376,432826,1275105,43289721,16722887,4367106,6775677,24806430,18656666,3864227,24973346,13893143,8382180,7693665,256215128,9228706,25753707,411739278,4514690,11226999,85413222,10232960,55726919,38026498,3513782,514953222,71530582,77781688,18796178,39519045,9542198,75555681,278395708,39890527,0,4629413,9248380,36348,8326061,6368,15148388,15141150,2565832,14513203,6870069,3647732,7666110,405244,17798155,6061903,37078,1522303,38964102,0,0
"NZL",9519174,121668482,323344672,26290491,70011396,183982999,781044824,5478090,1367116,140258098,16533267,178429223,184025477,50261163,0,23876139,1221785335,1098404,1537326263,30148645,184342524,13157241,167156336,34304911,1484070,11692568,14637331,39590901,303965,104487681,67183580,875740,1644926758,432779315,6267968,38081085,168529285,3148273,7233712,97155407,127832186,28832215,99858792,38107605,1090060,5060480,15292288,619585,14786238,94765256,34380,44044,86250,49967106,863410,155991704,597740,2899915,1323209,32100639,30281932,11718689,998146,11020228,21189293,36594715,36874537,1925494,7352,122595,0,20647374,1035,0,4319280,2045220,6600427,881395,474061,3103383,0,0,10776,714,0,6566899,18638233,4966488,6844257,390534,122838,294835,205074,0,0,250343,934004,282283,1271653,29125388,12928362,1031633,1460654,0,74524,30338,760236,0,5130901,0,0,610888,0,897520,1344,18728415,23406426,133699,1326983,5189172,432970,330976,40485,8988562,0,1655335,0,0,174459128,2293,434345,9374490,494888,439765,1871276,10083160,1772191,7277,6069,22107,155153,2773,2227387,1253123,8825,22844612,44341,49630,21616,1975,26696827,40309,0,0,0,8243,18158,0
"PRT",290474,32751474,2669409999,332372729,2022585089,2736530410,1897836036,3212449,759513,20628224,97114076,584016605,5995655,685000428,10148098,0,805114018,2943970,39489827,277841851,423384332,46402707,135559193,310891776,20178611,18497520,285445458,75684527,1298009,8665998,24340274,13416491,198393820,33040091,16062267,417732,4774404,7693506,274573556,19449219,22346348,672761234,12536352,28034515,579868,13707392,7434156,759411,613191,4544574,1848550,466759,928368,24849497,5673930,89543,3273004,498038,5178607,8987932,739788,3554928,51939356,660578,9286799,1705033,96271,378534,23384,413039813,906734,5522920,460102,640191,246691,5665873,909875,354579,15637,443677,688501,2261430,2094650,3668171,1515330,6473224,908449,6136714,2974502,156060,1263001,1618608,1267971,1553015,843,366700,818695,148638,5978270,5456889,1583141,42336617,3534245,0,4888,0,6372630,764784,11297982,228278,702622,282248,0,43044489,795269,1082402,180733,8737640,60170,11611059,4292620,50036,390101,2622827,838992,269908,4913134,2039470,70879658,289418,1580040,504609,3334048,50882,727535,35529690,6729943,0,205038,160101,1634,245991,0,748922,820704,0,87592,51419,8326,145857,2624,262885,41701289,0,774,62881,0,0
"USA",220178854,6447028419,20602938458,1743569439,6647873406,17646975968,24079501225,72078383,727960624,6595667784,2739769332,8327297122,4449693843,8845470007,1645893337,963601575,0,744999930,8274234937,1661704550,4840838909,4988256037,69645046151,4005340735,175497845,1799253416,1704368193,697785425,18253713,2269854033,2186426003,224037216,47968413120,15335451658,62672882,192239836,18033866869,59063452,1981489520,4103913264,8786174609,4275292592,3253225627,2120736368,177604972,559699352,1441066328,1983646449,931527742,2287754927,30600883,154503086,1146786929,1305800001,611836413,90724288,266541301,498097770,266541423,2862423600,308921615,400679324,454040398,239263769,1053128475,738766259,108901761,114670317,4259683,149745608,10409164,998169051,23652249,14741433,169771630,84292288,718367153,799116727,103876802,254432308,1199447,77320233,46448634,138443957,89791698,88357540,1297852,62337199,1641540597,157000493,48964444,138439687,31925694,42900676,241619,74795452,557301095,477501528,156556198,126695084,731801357,2636956994,101033136,33664,51980640,770819,98037895,44277947,72593955,11489925,9004345,20066579,97153,50262840,14489203,12888049,34049102,548021017,66811818,863519640,404874397,32266,164811614,358545277,994816,42265813,52623192,11610569,2886409901,156746403,150418133,429096331,47974539,7444891,111152455,1789695105,134644961,15287,790195,7385588,208074,8733893,18874449,13785478,12404151,9615713,26579120,2230985,7903889,25993025,4488071,80141535,1114110,16639,316357,201836416,569775,0
"ARG",2417440,406330520,1103225153,124071762,447090198,455623790,247856451,909202,27907276,83582772,15469130,581358897,121866253,657067121,10830924,149727732,1518458107,0,72235594,20978634,284397255,1422653128,114651722,78728625,10432863,146646218,51994913,44752072,9342,105114662,37976372,440619,499937687,81123472,17395390,2112085,299430385,9595667,53287785,24468592,47898704,49549608,129824595,176635964,266044006,48942021,468198070,132324210,5519154,25895506,229145,72261117,23439597,53292603,31269428,0,358778,2561853,30662098,124609643,1078391,14320707,25158407,2060689,7937041,268972771,32900,3429065,0,22682668,21815,5032799,94160,292810,48743464,44371699,175974,3457787,21951,35100,19303,6048088,233052,3112417,1891456,31679549,163410751,13564665,13753279,66007,3597977,846754,136240,137600,14184,99336,4531978,1400257,3045186,512475197,12372575,63613240,4020274,0,64474,179656,2831025,4553663,315580,0,102404,60956,71750,115017,8854,4089272,1345,6399145,1004294,15714399,41123834,43296,157329922,76566187,37113,12800,68103,2946,498718593,343377,29339915,5680708,4164856,17565,3100,83474537,489208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",1781098,1433907327,1190377639,63978106,179663555,808865646,1629121424,491925,187657,895315224,17563591,881256424,980504665,637503369,1759124877,45403702,4368082938,81109120,0,31254211,371681549,72780855,620033828,606769097,2853445,667498754,66135857,13521102,268487,1075087770,245655206,38883030,11170026691,2345978109,7322544,44167733,57614948,3142169,60883817,298331291,1076791621,131905330,512029057,93883981,1404323,89516970,24067087,13667249,1304020,391020320,117827,178361,594720,54923954,3249499,187815463,36152,88939,835859,23642216,9354619,23479643,5042892,83664930,116593118,20380768,514634241,19182095,672285,1271184,2994,121414357,3893,34817,47530905,6556072,17221645,1081930,8316,11967,12354,96696,35393,165202,5513,38728339,400663,0,1732899,2443014,2101,28981950,0,66606,0,29231,106015,39798,1223460,421620906,180671872,54221842,4966476,1282427,0,1280446,698067,1091,11612989,493630,344466,27410479,124783,3744955,70039,28298875,62044020,3016401,508216,546383,29461745,27147778,73768,90977252,0,2087802,34053,44585,185800233,4688,468140,5079576,5594316,18122521,0,58992282,12993913,76566,128824,106388,244416,1812,8782116,81599,254945,936338,409901,2500229,15532,352615,11874605,1008276,0,0,0,0,0,0
"AUT",824542,282129118,13741603134,349905613,666943091,1908434785,1558702392,974861,3687648,148687676,71762870,3794640205,55943750,1022067769,29434907,177308128,1282952046,25103590,156462293,0,818113329,51318380,360378134,2539064494,25011303,91591054,335161293,248185658,784142,84367826,125155142,11929080,652324267,143487885,121188345,4607791,40833418,24450397,240188088,173318562,144710542,713540837,99939764,234010025,9101785,1002350584,27290069,22998597,2220223,33028575,3224968,1557930,6853331,154543824,9896202,157684,450551,1980404,33633059,30154650,17268683,29804620,30730142,9851845,42890918,7441976,707568,5143860,99832,2800285,12292204,47966530,9298328,444796,5337024,124680885,4108042,2697138,201913,9988371,704589,6135315,12603887,1428012,365359,773442943,5456980,0,1862048,14939289,1146597,6991391,13222665,1555018,0,448037,751838,459172,926218569,311178223,101315214,59524445,12631951,24530,1281761,36842,12146726,399239,799927,631971,1393261,5628181,6913499,1233498,636202,2078515,2827962,95233430,2739331,2431030,392420119,21943244,1861744,91117690,1534970,7508286,5598961,1081540,901565752,350715,38597292,991306,4464794,6769487,13750489,110825505,14128583,0,1809677,464475,118704,928593,616349,867567,589555,795249,488376,272896,139728,6737655,0,3329086,42143,0,0,0,0,0
"BEL",3350627,319889144,23163695162,946226341,2492494334,20273902788,10298927505,21343965,11742876,729207909,407700786,8376184970,191085026,16180226325,67537672,989109815,4340189108,39000823,311549581,1364042028,0,145867765,463575096,2361240297,45243213,215081152,707995160,706761460,2146503,219153953,1418459430,29310824,1478187443,404800838,184450901,54108387,204437430,29090719,576142922,432038321,316691917,1496761009,515422120,524599778,8407344,214987564,58852994,76521512,21590481,113059906,18113302,3247706,13169880,420021378,18126802,6383037,21220053,8677963,245005920,76331129,84336366,77358744,190919947,23907022,87585084,42770589,2617010,15078954,2042401,70776669,3391107,145097740,12614424,8564720,16290340,38399157,25370900,710891,70893,793992,4044526,60278786,81203583,328519144,27501338,92576600,43765415,120733629,8284232,57322805,19518756,26667301,2485214,40138591,3682798,2263265,3491685,6442225,149061880,321112546,84842747,1862592439,80977319,162936,908606,595527,73720861,13005614,2180559,13830805,20939505,2236067,644229,11567113,26161516,23865665,16468048,161511051,4681819,19260724,216335321,11415820,3226508,54744748,32470438,17607254,42641667,7806629,414580086,5765010,73537370,6051609,32167705,3282953,67267295,379381534,12529339,0,32099744,7165405,60842,10497007,49772,5653155,7811086,3611026,6142390,1315093,8754554,8689418,34560,9287929,1381095,88923,171453,0,0,0
"BRA",7691023,493337091,2853977505,197008253,857558617,1572864133,1175378479,18951964,28287989,284690844,63276200,1779147801,276692522,1051648047,32475666,358477612,7920811357,652840858,208922279,150139564,630150917,0,616421881,237951958,17948335,190311709,122593082,159939337,186818,219376181,167708760,3884382,2845243155,639102639,134393968,2952003,337057986,10085940,105764859,349465026,271197155,266365999,315596200,156424386,402501273,174362657,511265704,179219158,68854761,265969252,1932963,118419110,63823392,82425974,120798695,709794,4610899,14413888,24249235,243166158,19008384,22717581,114311541,6409817,38782168,161683028,915347,19418119,858821,83124503,76296,66117607,247967,87479,41343289,27661310,16531857,36420821,636750,252888,1068852,17451582,23825559,12013539,1542064,86033572,84556388,55394538,29725921,1195039,1585715,15025531,11827336,8725273,137622,2399796,19720324,4891836,179760076,425995029,110520352,19096477,10335354,20856,64408,142291,23662550,10023098,2324271,6103273,325709,0,0,13303952,3893938,4086982,98319,179858619,4184753,48594049,81476593,0,212791705,65139723,761698,1433109,10315168,1186502,208305941,16763138,13863945,35803769,5026532,2980742,4809900,167945405,7303683,0,606833,10427,0,679274,0,1313987,1018833,43389,1137348,119277,176154,1072789,0,495741,267688,0,0,0,0,0
